Date,Close,Open,High,Low,Volume
2010-01-04,7.64,7.62,7.66,7.58,493730000.0
2010-01-05,7.66,7.66,7.7,7.62,601900000.0
2010-01-06,7.53,7.66,7.69,7.53,552160000.0
2010-01-07,7.52,7.56,7.57,7.47,477130000.0
2010-01-08,7.57,7.51,7.57,7.47,447880000.0
2010-01-11,7.5,7.6,7.61,7.44,462230000.0
2010-01-12,7.42,7.47,7.49,7.37,594460000.0
2010-01-13,7.52,7.42,7.53,7.29,605890000.0
2010-01-14,7.48,7.5,7.52,7.46,433150000.0
2010-01-15,7.35,7.53,7.56,7.35,594340000.0
2010-01-19,7.68,7.44,7.69,7.4,730010000.0
2010-01-20,7.56,7.68,7.7,7.48,612150000.0
2010-01-21,7.43,7.57,7.62,7.4,608150000.0
2010-01-22,7.06,7.38,7.41,7.04,881770000.0
2010-01-25,7.25,7.23,7.31,7.15,1070000000.0000001
2010-01-26,7.35,7.36,7.63,7.23,1870000000.0
2010-01-27,7.42,7.39,7.52,7.13,1720000000.0
2010-01-28,7.12,7.32,7.34,7.1,1170000000.0
2010-01-29,6.86,7.18,7.22,6.79,1250000000.0
2010-02-01,6.95,6.87,7.0,6.83,749870000.0
2010-02-02,6.99,7.0,7.01,6.91,698340000.0
2010-02-03,7.12,6.97,7.15,6.94,615330000.0
2010-02-04,6.86,7.03,7.08,6.84,757650000.0
2010-02-05,6.98,6.88,7.0,6.82,850310000.0
2010-02-08,6.93,6.99,7.07,6.93,478270000.0
2010-02-09,7.01,7.01,7.05,6.96,632880000.0
2010-02-10,6.97,7.0,7.02,6.94,370360000.0
2010-02-11,7.1,6.96,7.13,6.93,550340000.0
2010-02-12,7.16,7.08,7.2,6.98,655470000.0
2010-02-16,7.26,7.21,7.27,7.2,543950000.0
2010-02-17,7.23,7.29,7.3,7.17,436400000.0
2010-02-18,7.25,7.2,7.28,7.18,422820000.0
2010-02-19,7.2,7.21,7.26,7.18,415730000.0
2010-02-22,7.16,7.23,7.23,7.11,390830000.0
2010-02-23,7.04,7.14,7.19,6.99,575310000.0
2010-02-24,7.17,7.08,7.19,7.07,460570000.0
2010-02-25,7.21,7.05,7.24,7.03,665400000.0
2010-02-26,7.31,7.23,7.33,7.21,507460000.0
2010-03-01,7.46,7.35,7.48,7.34,550090000.0
2010-03-02,7.46,7.5,7.53,7.42,566550000.0
2010-03-03,7.48,7.46,7.5,7.43,372240000.0
2010-03-04,7.53,7.47,7.53,7.45,366040000.0
2010-03-05,7.82,7.68,7.85,7.67,899620000.0
2010-03-08,7.82,7.86,7.86,7.79,429890000.0
2010-03-09,7.96,7.8,8.04,7.78,920260000.0
2010-03-10,8.03,7.99,8.05,7.97,596220000.0
2010-03-11,8.05,8.0,8.05,7.98,405700000.0
2010-03-12,8.09,8.12,8.13,8.06,416320000.0
2010-03-15,7.99,8.05,8.05,7.87,493500000.0
2010-03-16,8.02,8.01,8.03,7.95,446910000.0
2010-03-17,8.0,8.03,8.09,7.97,450960000.0
2010-03-18,8.02,8.0,8.04,7.95,342110000.0
2010-03-19,7.94,8.03,8.04,7.9,559450000.0
2010-03-22,8.03,7.87,8.07,7.86,456420000.0
2010-03-23,8.16,8.06,8.17,8.0,602430000.0
2010-03-24,8.19,8.13,8.22,8.13,598280000.0
2010-03-25,8.09,8.25,8.25,8.08,543270000.0
2010-03-26,8.25,8.18,8.28,8.16,640870000.0
2010-03-29,8.3,8.32,8.35,8.27,540740000.0
2010-03-30,8.42,8.45,8.48,8.37,527309999.99999994
2010-03-31,8.39,8.41,8.45,8.37,430660000.0
2010-04-01,8.43,8.48,8.53,8.31,603140000.0
2010-04-05,8.52,8.39,8.52,8.38,684510000.0
2010-04-06,8.55,8.51,8.58,8.46,447020000.0
2010-04-07,8.59,8.56,8.64,8.52,628500000.0
2010-04-08,8.57,8.59,8.63,8.5,572990000.0
2010-04-09,8.64,8.62,8.64,8.59,334180000.0
2010-04-12,8.65,8.65,8.68,8.64,333220000.0
2010-04-13,8.66,8.64,8.67,8.61,306210000.0
2010-04-14,8.77,8.76,8.78,8.72,404070000.0
2010-04-15,8.89,8.78,8.89,8.77,376780000.0
2010-04-16,8.84,8.88,8.97,8.73,750540000.0
2010-04-19,8.82,8.82,8.85,8.63,566920000.0
2010-04-20,8.74,8.88,8.9,8.68,738320000.0
2010-04-21,9.26,9.24,9.29,9.13,982390000.0
2010-04-22,9.52,9.22,9.53,9.15,793420000.0
2010-04-23,9.67,9.57,9.72,9.54,796950000.0
2010-04-26,9.62,9.71,9.73,9.58,479070000.0
2010-04-27,9.36,9.55,9.57,9.3,709340000.0
2010-04-28,9.34,9.4,9.43,9.16,758400000.0
2010-04-29,9.59,9.39,9.64,9.36,558840000.0
2010-04-30,9.32,9.62,9.66,9.32,542460000.0
2010-05-03,9.51,9.42,9.57,9.39,454340000.0
2010-05-04,9.24,9.39,9.4,9.17,723820000.0
2010-05-05,9.14,9.04,9.22,8.88,883100000.0
2010-05-06,8.79,9.07,9.22,7.12,1290000000.0
2010-05-07,8.42,8.7,8.81,8.04,1680000000.0
2010-05-10,9.07,8.94,9.09,8.88,984310000.0
2010-05-11,9.16,8.99,9.28,8.95,850350000.0
2010-05-12,9.36,9.26,9.4,9.24,654380000.0
2010-05-13,9.23,9.4,9.46,9.16,599710000.0
2010-05-14,9.06,9.11,9.16,8.91,759360000.0
2010-05-17,9.08,9.1,9.15,8.85,762830000.0
2010-05-18,9.01,9.18,9.23,8.94,782680000.0
2010-05-19,8.87,8.91,9.03,8.74,1030000000.0
2010-05-20,8.49,8.64,8.71,8.44,1280000000.0
2010-05-21,8.65,8.31,8.73,8.26,1220000000.0
2010-05-24,8.81,8.83,8.96,8.79,754250000.0
