Date,Close,Open,High,Low,Volume
2010-01-04,43.46,43.49,43.89,43.28,2750000.0
2010-01-05,44.18,43.5,44.25,43.4,2580000.0
2010-01-06,44.41,44.24,44.56,43.77,3220000.0
2010-01-07,44.29,44.43,44.57,44.01,2620000.0
2010-01-08,44.38,44.38,44.57,44.01,1930000.0
2010-01-11,43.98,44.87,44.9,43.66,3280000.0
2010-01-12,43.44,43.75,43.94,43.01,2970000.0
2010-01-13,44.36,43.61,44.47,43.61,2800000.0
2010-01-14,44.61,44.35,44.66,44.04,4390000.0
2010-01-15,44.0,44.49,45.0,43.8,3130000.0
2010-01-19,44.19,44.06,44.38,43.77,2000000.0
2010-01-20,44.33,44.02,44.43,43.78,3050000.0
2010-01-21,43.98,44.42,44.5,43.78,3300000.0
2010-01-22,42.18,43.83,44.59,42.07,4019999.9999999995
2010-01-25,43.2,42.56,43.5,42.56,3860000.0
2010-01-26,42.54,43.17,43.17,42.15,3730000.0
2010-01-27,42.66,42.58,42.81,41.81,3580000.0
2010-01-28,42.32,42.74,43.31,41.87,3740000.0
2010-01-29,42.45,42.39,42.81,42.24,3760000.0
2010-02-01,43.08,42.95,43.15,42.28,2720000.0
2010-02-02,43.03,43.07,43.09,42.28,2360000.0
2010-02-03,42.79,42.95,43.37,42.66,3050000.0
2010-02-04,41.02,42.63,42.63,41.0,3760000.0
2010-02-05,40.1,40.96,41.06,39.46,7920000.0
2010-02-08,40.67,40.03,41.18,40.0,4940000.0
2010-02-09,41.45,41.28,41.63,40.83,4120000.0
2010-02-10,41.59,41.5,41.92,41.25,3020000.0
2010-02-11,42.52,41.6,42.76,41.26,2960000.0
2010-02-12,42.62,42.26,42.88,42.03,2760000.0
2010-02-16,43.36,42.92,43.41,42.92,2840000.0
2010-02-17,43.71,43.5,43.81,43.31,2250000.0
2010-02-18,43.39,43.62,43.83,43.2,2920000.0
2010-02-19,43.92,43.25,44.28,43.11,3070000.0
2010-02-22,43.78,44.08,44.08,43.35,2540000.0
