Date,Close,Open,High,Low,Volume
2010-01-04,158.03,158.99,159.39,157.71,408230.0
2010-01-05,156.71,158.65,158.65,152.32,1220000.0
2010-01-06,155.24,156.45,158.79,154.29,1070000.0
2010-01-07,157.3,155.92,157.91,155.14,424460.0
2010-01-08,155.28,156.73,156.99,155.14,461870.0
2010-01-11,155.48,155.01,155.65,153.89,440380.0
2010-01-12,155.14,155.26,156.19,153.55,453480.0
2010-01-13,154.75,154.83,155.51,153.97,362060.0
2010-01-14,154.38,154.5,154.72,152.75,375130.0
2010-01-15,155.08,154.14,155.53,153.64,697300.0
2010-01-19,157.28,154.81,157.43,154.35,591640.0
2010-01-20,156.37,156.38,157.89,155.34,682110.0
2010-01-21,157.33,156.98,159.01,156.98,560060.0
2010-01-22,155.87,156.94,158.72,155.51,661020.0
2010-01-25,156.44,156.75,157.61,156.07,509680.0
2010-01-26,158.34,155.74,158.56,155.47,542020.0
2010-01-27,156.38,158.34,159.59,155.56,661690.0
2010-01-28,155.42,156.69,157.29,154.44,399110.0
2010-01-29,155.03,155.31,156.66,154.97,422290.0
2010-02-01,156.5,155.45,157.04,155.41,284220.0
2010-02-02,157.58,156.34,158.05,155.84,364670.0
2010-02-03,157.09,157.18,157.58,156.19,322170.0
2010-02-04,154.4,156.57,157.37,154.34,689210.0
2010-02-05,155.38,154.38,156.02,153.44,820770.0
2010-02-08,156.94,157.56,159.45,156.94,666130.0
2010-02-09,159.05,158.09,159.63,155.87,486250.0
2010-02-10,158.5,158.58,159.45,157.89,328910.0
2010-02-11,158.65,158.5,159.17,157.2,528050.0
2010-02-12,160.85,158.2,161.13,157.72,481190.0
2010-02-16,164.87,161.32,164.92,161.02,737480.0
2010-02-17,165.62,164.5,165.73,163.45,328450.0
2010-02-18,163.19,162.69,163.42,160.2,892170.0
2010-02-19,163.67,163.0,164.52,162.54,490040.0
2010-02-22,163.07,164.3,164.43,162.98,275680.0
2010-02-23,164.24,162.6,165.85,162.6,444080.0
2010-02-24,164.96,163.77,165.5,163.28,494010.0
2010-02-25,166.08,162.87,166.31,162.76,686610.0
2010-02-26,165.93,166.5,167.09,164.51,583920.0
2010-03-01,166.0,165.43,166.66,164.3,704290.0
2010-03-02,164.74,168.34,170.33,164.53,1700000.0
2010-03-03,164.57,163.88,166.27,162.57,943020.0
2010-03-04,167.62,164.78,168.4,164.75,742050.0
2010-03-05,168.79,168.5,169.75,167.86,536100.0
2010-03-08,168.15,168.76,168.97,167.77,495340.0
2010-03-09,167.86,167.1,169.69,167.02,563290.0
2010-03-10,168.09,167.36,169.06,167.36,633670.0
2010-03-11,168.66,167.3,168.77,166.72,333550.0
2010-03-12,168.89,168.73,169.33,168.09,256579.99999999997
2010-03-15,169.0,168.89,169.17,167.79,305290.0
2010-03-16,169.17,167.79,169.33,167.46,516070.00000000006
2010-03-17,172.0,168.48,173.03,168.48,672140.0
2010-03-18,172.21,172.49,174.15,171.29,309230.0
2010-03-19,172.28,170.35,173.19,170.15,551080.0
2010-03-22,174.19,172.65,174.82,171.62,518409.99999999994
2010-03-23,175.05,173.81,175.39,173.64,345940.0
2010-03-24,173.57,174.33,174.33,172.75,437100.0
2010-03-25,173.93,174.85,175.23,173.82,367950.0
2010-03-26,174.22,173.93,175.35,173.31,307930.0
2010-03-29,173.23,174.31,174.73,172.87,293750.0
2010-03-30,173.58,172.84,174.89,172.73,343600.0
2010-03-31,173.09,173.11,173.84,172.43,297420.0
2010-04-01,174.88,173.82,175.33,173.82,288060.0
2010-04-05,173.53,174.59,174.99,172.9,403130.0
2010-04-06,173.97,173.51,174.14,172.59,281460.0
2010-04-07,176.0,173.7,176.63,172.62,389110.0
2010-04-08,175.05,175.44,176.09,174.17,347210.0
