Date,Close,Open,High,Low,Volume,Change
2018-01-02,183.65,176.4,184.1,175.7,29920000.0,0.06509999999999999
2018-01-03,184.0,185.19,185.63,181.4,20120000.0,0.0019
2018-01-04,185.71,185.9,187.75,184.43,19470000.0,0.009300000000000001
2018-01-05,190.7,187.17,190.75,186.3,18170000.0,0.0269
2018-01-08,190.33,190.46,191.66,189.07,16230000.0,-0.0019
2018-01-09,190.8,191.13,192.49,188.0,19500000.0,0.0025
2018-01-10,189.79,188.1,190.39,186.58,17940000.0,-0.0053
2018-01-11,188.75,189.73,190.43,188.1,12400000.0,-0.0055000000000000005
2018-01-12,187.79,189.91,190.2,187.25,11790000.0,-0.0051
2018-01-16,182.4,190.4,191.74,181.75,27430000.0,-0.0287
2018-01-17,183.83,183.3,184.8,179.32,21350000.0,0.0078000000000000005
2018-01-18,184.4,184.28,185.84,182.69,14190000.0,0.0031
2018-01-19,184.05,185.15,185.24,182.8,15350000.0,-0.0019
2018-01-22,184.02,184.97,185.04,181.68,16020000.0,-0.0002
2018-01-23,192.28,185.28,192.4,183.54,31310000.0,0.0449
2018-01-24,195.53,194.71,198.86,192.4,34500000.0,0.0169
2018-01-25,198.33,196.34,199.59,194.1,23420000.0,0.0143
2018-01-26,205.22,200.33,205.23,199.21,23770000.0,0.0347
2018-01-29,203.01,204.83,205.69,201.82,21910000.0,-0.0108
2018-01-30,199.66,198.68,202.54,196.49,23380000.0,-0.0165
2018-01-31,204.29,202.82,206.2,202.8,26980000.0,0.0232
2018-02-01,192.22,192.75,199.49,191.14,52630000.0,-0.0591
2018-02-02,187.31,194.79,195.68,186.8,32229999.999999996,-0.0255
2018-02-05,180.53,183.7,190.47,179.9,31080000.0,-0.0362
2018-02-06,185.17,174.72,185.59,174.17,35800000.0,0.025699999999999997
2018-02-07,180.3,183.5,186.83,180.3,19670000.0,-0.0263
2018-02-08,173.7,182.27,183.1,171.39,32049999.999999996,-0.0366
2018-02-09,176.67,175.12,177.62,168.88,28050000.0,0.0171
2018-02-12,177.44,180.44,180.79,175.09,18280000.0,0.0044
2018-02-13,179.25,177.42,182.15,177.0,15510000.0,0.0102
2018-02-14,186.76,179.22,186.93,178.9,21050000.0,0.04190000000000001
2018-02-15,187.45,189.25,189.56,184.43,14360000.0,0.0037
2018-02-16,183.68,186.75,188.27,183.54,16110000.0,-0.020099999999999996
2018-02-20,187.19,183.67,188.83,183.0,14850000.0,0.0191
2018-02-21,188.82,189.37,193.17,188.46,22070000.0,0.0087
2018-02-22,188.75,190.2,190.74,187.77,12280000.0,-0.0004
2018-02-23,193.29,190.18,193.41,189.95,16940000.0,0.0241
2018-02-26,194.19,194.46,195.15,190.65,19460000.0,0.004699999999999999
2018-02-27,188.26,192.59,193.57,187.21,23220000.0,-0.0305
2018-02-28,186.14,187.25,188.24,185.0,19370000.0,-0.0113
2018-03-01,181.99,186.18,187.48,180.05,17290000.0,-0.0223
2018-03-02,179.76,178.01,180.23,175.45,18910000.0,-0.0123
2018-03-05,181.6,179.41,181.95,177.07,15660000.0,0.0102
2018-03-06,187.37,185.19,188.01,184.82,17860000.0,0.0318
2018-03-07,189.05,184.37,189.07,184.32,13730000.0,0.009000000000000001
2018-03-08,187.18,189.05,190.23,186.57,14330000.0,-0.009899999999999999
2018-03-09,190.55,189.64,190.7,188.01,14210000.0,0.018000000000000002
2018-03-12,192.74,192.3,194.4,190.9,17830000.0,0.0115
2018-03-13,188.41,193.88,194.25,187.39,14830000.0,-0.0225
2018-03-14,192.56,190.29,193.63,190.22,20030000.0,0.022000000000000002
2018-03-15,199.06,198.44,201.5,196.52,33630000.0,0.0338
2018-03-16,200.28,198.4,200.38,197.26,26950000.0,0.0060999999999999995
2018-03-19,194.53,198.0,198.43,192.8,19680000.0,-0.0287
2018-03-20,198.95,194.95,199.21,194.54,11950000.0,0.0227
2018-03-21,195.3,198.8,198.88,194.57,12050000.0,-0.0183
2018-03-22,184.65,190.75,192.39,184.6,25360000.0,-0.0545
2018-03-23,181.2,186.85,188.48,180.4,18710000.0,-0.0187
2018-03-26,190.5,187.89,190.62,184.32,16760000.000000002,0.0513
2018-03-27,181.89,192.24,192.25,180.66,16629999.999999998,-0.0452
2018-03-28,178.91,180.73,183.44,177.57,20080000.0,-0.016399999999999998
2018-03-29,183.54,180.88,185.13,178.62,16379999.999999998,0.0259
2018-04-02,177.61,182.81,183.51,175.75,16030000.000000002,-0.0323
2018-04-03,174.67,179.26,179.58,173.0,19980000.0,-0.0166
2018-04-04,172.07,166.88,172.41,166.13,24570000.0,-0.0149
2018-04-05,172.57,175.48,176.56,171.17,18250000.0,0.0029
2018-04-06,167.52,169.84,172.27,166.4,18210000.0,-0.029300000000000003
2018-04-09,169.87,169.75,172.72,168.61,14720000.0,0.013999999999999999
2018-04-10,177.1,175.1,177.88,173.85,20600000.0,0.0426
2018-04-11,175.36,176.48,178.16,174.74,10170000.0,-0.0098
2018-04-12,175.92,175.93,177.9,174.56,11130000.0,0.0032
2018-04-13,172.04,176.72,176.8,171.07,13530000.0,-0.022099999999999998
2018-04-16,174.7,172.01,174.79,171.01,9880000.0,0.0155
2018-04-17,178.7,174.83,179.34,174.83,16290000.0,0.0229
2018-04-18,182.68,178.9,182.88,177.64,16970000.0,0.0223
2018-04-19,181.39,183.26,183.63,179.52,11990000.0,-0.0070999999999999995
2018-04-20,179.11,179.36,181.39,177.53,14470000.0,-0.0126
2018-04-23,175.57,178.63,179.32,174.71,12030000.0,-0.019799999999999998
2018-04-24,173.09,177.63,178.0,170.68,14570000.0,-0.0141
2018-04-25,170.22,170.52,171.3,166.64,17130000.0,-0.0166
2018-04-26,173.9,173.25,174.36,172.05,13400000.0,0.0216
2018-04-27,177.16,177.11,178.2,174.01,15060000.0,0.0187
2018-04-30,178.54,178.09,180.04,177.05,14650000.0,0.0078000000000000005
2018-05-01,179.5,177.58,180.32,177.44,10790000.0,0.0054
2018-05-02,181.45,180.8,184.26,180.11,20680000.0,0.0109
2018-05-03,182.45,183.5,183.59,175.77,26260000.0,0.0055000000000000005
2018-05-04,188.89,180.4,190.6,178.62,57790000.0,0.0353
2018-05-07,195.35,190.41,196.6,190.3,29860000.0,0.0342
2018-05-08,196.31,194.2,197.34,193.01,21860000.0,0.0049
2018-05-09,195.43,195.84,197.38,194.5,13780000.0,-0.0045000000000000005
2018-05-10,195.96,196.3,199.77,195.16,21300000.0,0.0027
2018-05-11,194.36,196.4,196.46,193.38,12740000.0,-0.008199999999999999
2018-05-14,198.64,195.9,200.0,195.87,17630000.0,0.022000000000000002
2018-05-15,196.61,195.23,196.78,193.86,12690000.0,-0.0102
2018-05-16,198.11,196.75,199.75,196.3,12890000.0,0.0076
2018-05-17,196.02,196.0,198.43,195.57,13470000.0,-0.0105
