Date,Close,Open,High,Low,Volume,Change
2018-01-02,23.85,23.97,24.09,23.7,42030.0,0.0013
2018-01-03,24.09,23.93,24.24,23.83,43780.0,0.0101
2018-01-04,24.13,24.21,24.21,24.07,15610.0,0.0017000000000000001
2018-01-05,24.22,24.16,24.22,24.09,16219.999999999998,0.0037
2018-01-08,24.23,24.13,24.24,24.13,14310.0,0.0004
2018-01-09,24.25,24.12,24.36,24.12,7730.0,0.0008
2018-01-10,24.24,24.12,24.25,24.04,19320.0,-0.0004
2018-01-11,24.2,24.3,24.44,24.0,36410.0,-0.0017000000000000001
2018-01-12,24.25,24.18,24.39,24.06,10810.0,0.0021
2018-01-16,24.2,24.24,24.29,24.04,16230.0,-0.0021
2018-01-17,24.37,24.2,24.39,24.19,14180.0,0.006999999999999999
2018-01-18,24.28,24.04,24.38,24.0,11560.0,-0.0037
2018-01-19,24.01,24.25,24.32,24.01,27940.0,-0.0111
2018-01-22,24.16,24.04,24.19,24.01,10130.0,0.0062
2018-01-23,24.21,24.19,24.29,24.11,17430.0,0.0021
2018-01-24,24.16,24.13,24.4,24.11,33880.0,-0.0021
2018-01-25,24.12,24.3,24.3,24.1,43200.0,-0.0017000000000000001
2018-01-26,24.23,24.16,24.29,24.11,21710.0,0.0046
2018-01-29,24.12,24.24,24.28,23.86,28550.0,-0.0045000000000000005
2018-01-30,23.71,23.6,24.05,23.6,41960.0,-0.017
2018-01-31,23.81,23.77,23.98,23.75,10700.0,0.0042
2018-02-01,23.68,23.92,23.93,23.63,14770.0,-0.0055000000000000005
2018-02-02,23.46,23.69,23.71,23.31,33040.0,-0.009300000000000001
2018-02-05,23.58,23.66,23.68,23.49,11500.0,0.0051
2018-02-06,23.63,23.35,23.89,23.35,12200.0,0.0021
2018-02-07,23.52,23.72,23.75,23.5,30160.0,-0.004699999999999999
2018-02-08,23.38,23.51,23.57,23.32,15530.0,-0.006
2018-02-09,23.2,23.36,23.43,23.2,13930.0,-0.0077
2018-02-12,23.32,23.35,23.8,23.23,21350.0,0.0052
2018-02-13,23.41,23.57,23.57,23.23,4540.0,0.0039000000000000003
2018-02-14,23.36,23.45,23.46,23.35,13180.0,-0.0021
2018-02-15,23.49,23.65,23.65,23.35,17090.0,0.005600000000000001
2018-02-16,23.38,23.54,23.56,23.37,15900.0,-0.004699999999999999
2018-02-20,23.35,23.48,23.49,23.34,17660.0,-0.0013
2018-02-21,23.24,23.21,23.42,23.21,27360.0,-0.004699999999999999
2018-02-22,23.33,23.28,23.43,23.27,41500.0,0.0039000000000000003
2018-02-23,23.49,23.35,23.49,23.31,16800.0,0.0069
2018-02-26,23.41,23.5,23.6,23.34,22500.0,-0.0034000000000000002
2018-02-27,23.26,23.37,23.47,23.26,20260.0,-0.0064
2018-02-28,23.32,23.45,23.45,23.27,19670.0,0.0026
2018-03-01,23.42,23.4,23.42,23.32,22190.0,0.0043
2018-03-02,23.47,23.28,23.51,23.28,6080.0,0.0021
2018-03-05,23.74,23.5,23.74,23.35,12170.0,0.0115
2018-03-06,24.25,23.72,24.25,23.71,43640.0,0.0215
2018-03-07,24.15,24.2,24.25,23.91,9640.0,-0.0040999999999999995
2018-03-08,23.99,24.16,24.16,23.7,19380.0,-0.0066
2018-03-09,23.87,24.1,24.1,23.75,15250.0,-0.005
2018-03-12,23.76,23.8,23.85,23.73,4550.0,-0.0046
2018-03-13,23.76,23.75,23.8,23.61,9030.0,0.0
2018-03-14,23.7,23.63,23.73,23.61,4370.0,-0.0025
2018-03-15,23.73,23.73,23.73,23.7,6280.0,0.0013
2018-03-16,23.8,23.75,23.94,23.75,10910.0,0.0029
2018-03-19,23.62,23.8,23.85,23.62,6760.0,-0.0076
2018-03-20,23.83,23.64,23.84,23.62,20720.0,0.0089
2018-03-21,23.74,23.66,23.84,23.56,9530.0,-0.0038
2018-03-22,23.69,23.68,23.72,23.66,6920.0,-0.0021
2018-03-23,23.65,23.69,23.71,23.61,9190.0,-0.0017000000000000001
2018-03-26,23.67,23.65,23.7,23.59,8920.0,0.0008
2018-03-27,23.41,23.7,23.7,23.41,21430.0,-0.011000000000000001
2018-03-28,23.51,23.58,23.64,23.5,6920.0,0.0043
