Date,Close,Open,High,Low,Volume
2010-01-04,97.87,97.33,98.01,96.92,46800.0
2010-01-05,99.58,97.8,99.96,96.0,83270.0
2010-01-06,100.35,99.27,100.99,98.6,71070.0
2010-01-07,101.54,101.46,102.0,100.83,99660.0
2010-01-08,101.05,101.55,102.99,100.73,44560.0
2010-01-11,100.82,101.64,101.64,99.93,54470.0
2010-01-12,100.47,100.45,100.78,99.91,27320.0
2010-01-13,101.62,100.42,101.78,100.11,32119.999999999996
2010-01-14,101.78,101.72,101.99,100.83,19440.0
2010-01-15,99.81,101.86,102.09,98.78,42290.0
2010-01-19,98.97,99.35,99.97,98.28,77180.0
2010-01-20,98.09,98.2,98.36,97.25,70390.0
2010-01-21,97.18,97.73,97.99,96.12,57640.0
2010-01-22,95.51,96.88,98.05,95.14,123350.0
2010-01-25,94.4,95.86,95.86,89.82,134940.0
2010-01-26,94.58,93.59,95.17,93.21,30610.0
2010-01-27,94.91,94.36,95.84,93.09,64900.00000000001
2010-01-28,94.45,95.13,95.22,94.13,40470.0
2010-01-29,93.18,94.16,94.4,93.18,63160.0
2010-02-01,94.6,93.58,95.28,92.33,69560.0
2010-02-02,94.71,94.49,95.47,93.53,46110.0
2010-02-03,94.47,94.63,94.87,93.54,24380.0
2010-02-04,92.75,93.8,93.94,92.38,35600.0
2010-02-05,91.72,92.48,92.6,89.96,40090.0
2010-02-08,92.47,91.62,92.72,91.48,41040.0
2010-02-09,93.58,92.95,94.94,92.64,80660.0
2010-02-10,92.35,93.1,93.18,90.38,55570.0
2010-02-11,93.02,92.07,93.46,92.02,31330.0
2010-02-12,93.91,92.5,93.91,92.11,46300.0
2010-02-16,94.52,94.29,95.22,93.12,44670.0
2010-02-17,95.63,94.55,96.18,94.55,28970.0
2010-02-18,96.03,95.89,96.59,95.49,19190.0
2010-02-19,95.68,95.64,96.48,95.0,44700.0
2010-02-22,97.4,95.94,97.46,95.71,43290.0
2010-02-23,96.94,97.44,97.78,96.13,36890.0
2010-02-24,97.97,97.24,97.97,96.29,61390.0
2010-02-25,94.71,95.8,96.49,94.18,248650.0
2010-02-26,93.39,94.53,95.15,92.29,114050.0
2010-03-01,99.74,94.32,99.76,94.18,128370.0
2010-03-02,100.54,99.97,100.82,98.53,127040.0
2010-03-03,99.91,100.28,101.29,99.52,87360.0
2010-03-04,98.72,100.0,100.25,98.28,65250.0
2010-03-05,100.56,99.34,100.59,98.86,64610.0
2010-03-08,100.16,100.19,100.82,99.52,29840.0
2010-03-09,100.46,99.66,100.72,99.66,42860.0
2010-03-10,100.24,100.07,101.92,99.95,52810.0
2010-03-11,100.65,100.15,100.89,99.26,27400.0
2010-03-12,99.75,100.32,100.58,99.41,60920.0
2010-03-15,99.5,99.86,100.33,99.03,87680.0
2010-03-16,99.99,99.66,100.26,99.16,58550.0
2010-03-17,100.15,100.48,100.96,100.03,29250.0
2010-03-18,100.89,100.46,101.27,99.9,38770.0
2010-03-19,99.34,100.89,100.93,99.26,86240.0
2010-03-22,100.64,98.92,100.94,98.92,26890.0
2010-03-23,102.77,100.63,103.57,100.06,67280.0
2010-03-24,101.75,102.66,102.66,101.53,46570.0
2010-03-25,101.95,102.58,102.76,101.37,33140.0
2010-03-26,101.55,102.01,102.54,101.52,20680.0
2010-03-29,103.05,101.86,103.15,101.86,38650.0
2010-03-30,104.03,103.42,104.3,102.91,42310.0
2010-03-31,103.52,103.63,104.44,103.45,28430.0
2010-04-01,104.2,103.58,105.12,103.32,44610.0
