Date,Close,Open,High,Low,Volume
2012-02-08,15.39,9.06,17.9,9.0,11640000.0
2012-02-09,14.65,15.18,17.3,14.12,3150000.0
2012-02-10,14.24,14.43,15.35,14.14,894350.0
2012-02-13,13.16,14.51,14.8,13.13,853680.0
2012-02-14,12.59,13.23,13.48,11.82,904080.0
2012-02-15,12.48,12.78,13.19,12.28,405070.0
2012-02-16,12.66,12.39,13.48,12.32,1060000.0
2012-02-17,12.56,13.0,13.24,12.56,275090.0
2012-02-21,12.5,12.6,12.76,12.3,340340.0
2012-02-22,12.0,12.82,12.82,12.0,207900.0
2012-02-23,11.4,12.05,12.23,10.95,658080.0
2012-02-24,10.87,11.5,11.5,10.77,541400.0
2012-02-27,10.36,10.42,10.62,10.36,383220.0
2012-02-28,10.86,10.8,11.0,10.36,452000.0
2012-02-29,11.32,11.08,11.87,10.9,640300.0
2012-03-01,11.22,11.48,11.57,10.93,391660.0
2012-03-02,11.0,11.2,11.33,10.95,197470.0
2012-03-05,11.28,11.3,11.5,11.0,548670.0
2012-03-06,11.19,11.1,11.25,11.0,159030.0
2012-03-07,11.18,11.24,11.27,10.9,104970.0
2012-03-08,11.01,11.24,11.28,10.95,79520.0
2012-03-09,11.04,11.08,11.15,10.99,67680.0
2012-03-12,11.05,11.02,11.05,10.96,84910.0
2012-03-13,11.01,11.09,11.15,10.97,140450.0
2012-03-14,12.88,11.0,12.88,11.0,1560000.0
2012-03-15,12.52,13.12,13.48,11.88,1480000.0
2012-03-16,12.99,12.56,13.29,12.28,416780.0
2012-03-19,12.93,12.89,13.34,12.51,332050.0
2012-03-20,12.99,13.17,13.2,12.61,209050.0
2012-03-21,12.7,13.25,13.25,12.63,304510.0
2012-03-22,12.55,12.59,12.61,12.38,163230.0
2012-03-23,12.5,12.51,12.62,12.4,151410.0
2012-03-26,12.9,12.51,13.05,12.51,360740.0
2012-03-27,12.98,12.58,13.25,12.55,382800.0
2012-03-28,13.95,13.02,14.3,13.02,1060000.0
2012-03-29,13.84,13.95,14.64,12.85,913820.0
2012-03-30,14.74,13.88,14.75,13.72,5120000.0
2012-04-02,15.08,14.8,15.14,14.61,857100.0
