Date,Close,Open,High,Low,Volume
2012-03-30,7.34,7.5,8.24,7.06,5050000.0
2012-04-02,7.81,7.65,8.2,7.4,495410.0
2012-04-03,7.64,7.75,7.8,7.5,316630.0
2012-04-04,7.45,7.77,7.77,7.31,165100.0
2012-04-05,7.43,7.48,7.55,7.37,104300.0
2012-04-09,6.98,7.89,7.89,6.62,123210.0
2012-04-10,7.07,7.09,7.23,6.97,247220.0
2012-04-11,7.13,7.25,7.53,7.0,161810.0
2012-04-12,7.3,7.56,7.56,7.08,41690.0
2012-04-13,7.1,7.69,7.69,7.0,92180.0
2012-04-16,7.16,7.15,7.16,6.73,70150.0
2012-04-17,7.0,7.15,7.15,6.8,108530.0
2012-04-18,7.29,6.96,7.3,6.82,54240.0
2012-04-19,7.04,7.21,7.29,7.0,23090.0
2012-04-20,7.02,7.05,7.19,7.02,32400.0
2012-04-23,6.98,7.0,7.2,6.85,15580.0
2012-04-24,6.91,7.09,7.12,6.84,86000.0
2012-04-25,6.88,6.94,6.96,6.84,21360.0
2012-04-26,6.86,6.9,6.9,6.8,15000.0
2012-04-27,6.75,6.84,6.85,6.75,24110.0
2012-04-30,7.28,7.2,7.45,7.09,259769.99999999997
2012-05-01,7.92,7.5,8.1,7.18,362390.0
2012-05-02,8.0,8.0,8.0,7.75,65630.0
2012-05-03,8.82,8.09,9.57,7.95,278870.0
2012-05-04,8.36,8.79,9.44,7.57,171010.0
2012-05-07,8.34,8.37,8.4,7.73,87420.0
2012-05-08,8.48,8.3,8.71,8.04,87230.0
2012-05-09,8.65,8.61,8.89,8.22,116810.0
2012-05-10,8.6,8.94,8.94,8.3,80740.0
2012-05-11,8.43,8.74,8.74,8.37,40820.0
2012-05-14,8.22,8.4,8.64,8.09,84630.0
2012-05-15,8.4,8.27,8.53,8.22,20710.0
2012-05-16,8.32,8.33,8.47,8.17,14700.0
2012-05-17,8.41,8.41,8.45,8.13,43450.0
2012-05-18,7.99,8.32,8.4,7.75,40540.0
2012-05-21,8.1,8.06,8.41,8.0,56570.0
2012-05-22,7.99,8.49,8.49,7.81,33170.0
2012-05-23,7.9,8.34,8.34,7.75,30830.0
2012-05-24,7.85,7.8,7.88,7.6,55700.0
2012-05-25,7.79,7.82,7.86,7.7,34410.0
2012-05-29,7.8,7.7,8.06,7.7,32320.0
2012-05-30,7.01,7.79,7.8,7.0,69650.0
2012-05-31,6.9,7.12,7.45,6.85,42960.0
2012-06-01,5.95,7.43,7.92,5.83,174970.0
2012-06-04,4.96,5.98,5.98,4.9,127150.0
2012-06-05,5.33,5.19,5.7,5.05,204440.0
2012-06-06,6.69,5.45,6.7,5.39,107660.0
2012-06-07,6.6,6.76,6.98,6.16,84540.0
2012-06-08,6.98,6.54,7.16,6.34,106360.0
2012-06-11,6.45,7.27,7.33,6.19,124750.0
2012-06-12,7.08,6.54,7.08,6.51,56580.0
2012-06-13,7.02,6.98,7.3,6.87,90420.0
2012-06-14,7.24,6.97,7.27,6.97,95420.0
2012-06-15,7.01,7.23,7.35,6.75,153250.0
2012-06-18,6.95,7.08,7.25,6.87,106000.0
2012-06-19,7.0,7.0,7.12,6.75,83010.0
2012-06-20,6.8,7.0,7.07,6.58,101580.0
2012-06-21,6.6,6.82,6.82,6.52,75430.0
2012-06-22,6.61,6.66,6.71,6.2,989230.0
2012-06-25,6.28,6.51,6.58,6.17,113420.0
2012-06-26,5.99,6.31,6.46,5.95,95720.0
2012-06-27,5.85,5.97,5.99,5.62,152340.0
2012-06-28,6.29,5.82,6.37,5.68,162310.0
2012-06-29,6.22,6.42,6.62,6.06,266660.0
2012-07-02,6.19,6.22,6.6,5.85,97040.0
2012-07-03,6.19,5.77,6.27,5.77,56510.0
2012-07-05,6.19,6.15,6.36,6.08,51980.0
2012-07-06,6.24,6.34,6.34,5.97,89820.0
2012-07-09,6.2,6.22,6.43,6.15,97240.0
2012-07-10,5.81,6.32,6.34,5.77,81320.0
2012-07-11,5.74,5.81,6.02,5.62,103980.0
2012-07-12,5.49,5.7,5.95,5.4,134580.0
2012-07-13,6.04,5.5,6.12,5.5,154370.0
2012-07-16,5.67,6.28,6.37,5.66,52870.0
2012-07-17,5.65,5.76,5.79,5.6,46460.0
2012-07-18,5.97,5.66,5.99,5.63,49100.0
2012-07-19,5.88,6.07,6.07,5.75,94310.0
2012-07-20,6.1,5.96,6.33,5.95,144240.0
2012-07-23,6.21,6.03,6.25,6.03,41540.0
2012-07-24,5.83,6.23,6.25,5.76,74020.0
2012-07-25,5.76,5.87,6.01,5.65,63360.0
2012-07-26,5.87,5.81,5.92,5.64,96830.0
2012-07-27,5.84,5.93,5.93,5.77,21280.0
2012-07-30,5.9,5.89,6.23,5.76,72090.0
2012-07-31,5.81,5.91,5.91,5.63,65920.0
2012-08-01,5.64,5.87,6.11,5.63,30400.0
2012-08-02,5.78,5.63,5.89,5.61,23890.0
2012-08-03,6.03,5.89,6.06,5.65,26810.0
2012-08-06,6.33,6.02,6.33,5.99,28800.0
2012-08-07,6.67,6.25,6.89,6.22,194480.0
2012-08-08,5.07,6.59,6.59,4.81,632940.0
2012-08-09,5.56,5.43,5.75,5.19,211140.0
2012-08-10,5.63,5.58,5.86,5.55,90770.0
2012-08-13,5.07,5.65,5.72,5.01,144990.0
2012-08-14,5.17,5.07,5.32,5.06,128620.0
2012-08-15,5.04,5.17,5.21,4.66,153490.0
2012-08-16,5.06,5.04,5.18,5.0,35050.0
2012-08-17,5.26,5.1,5.33,5.07,96440.0
2012-08-20,5.23,5.32,5.32,5.03,38990.0
2012-08-21,5.14,5.25,5.36,5.0,95640.0
2012-08-22,5.0,5.05,5.13,4.99,69460.0
2012-08-23,4.97,4.99,5.09,4.88,53050.0
2012-08-24,4.94,4.96,5.08,4.88,94570.0
2012-08-27,5.1,4.98,5.19,4.93,47890.0
2012-08-28,5.01,5.16,5.22,5.01,93560.0
2012-08-29,5.11,5.06,5.23,5.04,90910.0
2012-08-30,4.9,5.37,5.37,4.89,139340.0
2012-08-31,4.96,4.99,4.99,4.91,62850.0
2012-09-04,4.96,4.98,5.1,4.83,198640.0
