Date,Close,Open,High,Low,Volume
2010-01-04,32.16,32.1,32.57,31.94,2350000.0
2010-01-05,31.97,32.23,32.23,31.61,2950000.0
2010-01-06,31.83,31.77,32.01,31.54,4190000.0000000005
2010-01-07,32.3,31.68,32.32,31.61,2990000.0
2010-01-08,33.02,32.1,33.05,31.96,2770000.0
2010-01-11,34.53,33.06,34.65,33.06,5800000.0
2010-01-12,34.09,34.23,34.77,33.98,3670000.0
2010-01-13,34.45,34.13,34.5,33.87,3170000.0
2010-01-14,34.51,34.32,34.7,34.25,2060000.0
2010-01-15,33.88,34.52,34.56,33.84,3070000.0
2010-01-19,34.9,34.03,35.08,34.03,4370000.0
2010-01-20,34.2,34.38,34.53,33.87,2910000.0
2010-01-21,33.37,34.07,34.4,33.24,3440000.0
2010-01-22,32.94,33.31,33.56,32.84,3770000.0
2010-01-25,32.29,33.97,34.0,32.24,8600000.0
2010-01-26,32.06,32.43,32.62,31.79,4990000.0
2010-01-27,31.66,32.06,32.23,30.95,6130000.0
2010-01-28,31.27,31.86,31.86,31.0,3250000.0
2010-01-29,30.62,31.4,31.59,30.55,4110000.0000000005
2010-02-01,32.19,30.82,32.23,30.74,5820000.0
2010-02-02,32.58,32.1,32.61,32.04,3710000.0
2010-02-03,32.38,32.48,32.87,32.31,2240000.0
2010-02-04,30.96,31.84,31.84,30.91,3920000.0
2010-02-05,31.0,30.9,31.23,30.41,4310000.0
2010-02-08,30.99,31.11,31.6,30.82,4360000.0
2010-02-09,31.93,31.38,32.2,31.07,5200000.0
2010-02-10,31.77,31.96,32.12,31.45,2350000.0
2010-02-11,32.42,31.74,32.45,31.5,2610000.0
2010-02-12,32.51,31.98,32.61,31.64,3580000.0
2010-02-16,33.32,32.91,33.38,32.47,3750000.0
2010-02-17,33.52,33.43,33.71,33.06,3520000.0
2010-02-18,33.8,33.49,33.91,33.45,2190000.0
2010-02-19,33.86,33.73,34.01,33.57,3420000.0
2010-02-22,33.72,34.03,34.03,33.6,2420000.0
2010-02-23,33.19,33.66,33.86,33.06,2580000.0
2010-02-24,33.41,33.22,33.52,33.11,2150000.0
2010-02-25,33.48,32.72,33.52,32.29,4099999.9999999995
2010-02-26,34.06,33.9,34.65,33.56,4780000.0
2010-03-01,35.0,34.07,35.0,34.05,3980000.0
2010-03-02,35.01,35.23,35.34,34.91,2890000.0
2010-03-03,35.77,35.92,36.29,35.5,4760000.0
2010-03-04,35.77,35.83,36.12,35.48,4150000.0000000005
2010-03-05,36.57,36.32,36.67,36.06,3530000.0
2010-03-08,36.3,36.65,36.69,36.2,1560000.0
2010-03-09,36.21,36.2,36.39,36.01,2570000.0
2010-03-10,36.23,36.39,36.41,35.95,3630000.0
2010-03-11,36.27,36.16,36.27,35.65,3030000.0
2010-03-12,37.21,36.51,37.21,36.51,4880000.0
2010-03-15,36.98,37.23,37.31,36.62,2470000.0
2010-03-16,37.28,37.06,37.36,36.95,1810000.0
2010-03-17,37.45,37.35,37.87,37.2,2650000.0
2010-03-18,37.55,37.42,37.71,37.29,1320000.0
2010-03-19,37.08,37.66,37.98,36.97,4380000.0
2010-03-22,37.83,36.78,37.92,36.72,3090000.0
2010-03-23,38.16,37.97,38.2,37.62,2790000.0
2010-03-24,37.41,38.14,38.14,37.37,2630000.0
2010-03-25,37.23,37.76,37.87,37.17,3440000.0
2010-03-26,37.28,37.32,37.65,37.04,2520000.0
2010-03-29,38.05,37.42,38.1,37.42,2690000.0
2010-03-30,38.21,38.16,38.47,38.02,2240000.0
2010-03-31,37.88,38.17,38.25,37.77,2520000.0
2010-04-01,38.02,38.1,38.44,37.84,2890000.0
2010-04-05,38.45,38.05,38.66,38.05,2400000.0
2010-04-06,38.83,38.41,38.87,38.14,2560000.0
2010-04-07,39.22,38.64,39.44,38.64,6600000.0
2010-04-08,39.24,39.07,39.48,38.73,5370000.0
2010-04-09,40.1,39.35,40.34,39.35,5260000.0
2010-04-12,39.97,40.1,40.45,39.88,4460000.0
2010-04-13,39.69,39.77,39.9,39.35,4360000.0
2010-04-14,39.95,39.9,40.02,39.56,3440000.0
2010-04-15,40.16,39.95,40.6,39.83,3450000.0
2010-04-16,39.7,40.14,40.33,39.26,2930000.0
2010-04-19,39.58,39.42,39.82,38.56,5350000.0
2010-04-20,39.16,40.56,40.89,38.96,9410000.0
2010-04-21,39.05,39.34,39.59,38.66,4730000.0
2010-04-22,39.36,38.8,39.47,38.2,5610000.0
2010-04-23,39.6,39.45,39.7,39.21,3190000.0
2010-04-26,39.42,39.78,39.94,39.37,3640000.0
2010-04-27,38.52,39.27,39.77,38.38,3830000.0
2010-04-28,38.55,38.83,38.85,38.31,3520000.0
2010-04-29,39.51,38.92,39.52,38.76,5680000.0
2010-04-30,38.58,39.48,39.57,38.56,7800000.0
2010-05-03,39.23,38.95,39.55,38.58,4200000.0
2010-05-04,37.45,38.63,38.63,37.22,5790000.0
2010-05-05,37.51,36.97,37.7,36.29,6050000.0
2010-05-06,35.62,37.34,37.47,33.13,6330000.0
2010-05-07,35.12,35.44,35.71,34.15,7920000.0
2010-05-10,37.41,37.23,37.56,36.84,4820000.0
2010-05-11,37.51,36.9,37.88,36.87,4190000.0000000005
2010-05-12,38.5,37.67,38.63,37.67,3310000.0
2010-05-13,38.08,38.3,38.76,37.95,2430000.0
2010-05-14,36.96,37.65,37.8,36.57,3260000.0
2010-05-17,36.92,37.22,37.46,36.06,3440000.0
2010-05-18,36.3,37.31,37.88,36.09,3740000.0
2010-05-19,35.19,35.89,36.0,34.47,5290000.0
2010-05-20,33.8,34.12,34.75,33.62,5300000.0
2010-05-21,34.66,33.02,34.7,33.0,7540000.0
2010-05-24,34.53,34.52,34.81,34.3,5070000.0
2010-05-25,34.45,33.63,34.48,33.09,6560000.0
2010-05-26,34.13,34.84,35.34,34.01,5100000.0
2010-05-27,35.24,34.92,35.27,34.54,4410000.0
2010-05-28,34.98,35.85,35.85,34.69,4010000.0
2010-06-01,34.06,34.65,35.35,34.01,2960000.0
2010-06-02,35.32,34.2,35.36,34.04,3370000.0
2010-06-03,35.82,35.26,35.89,35.26,3140000.0
2010-06-04,33.59,34.85,35.09,33.43,3350000.0
2010-06-07,33.21,33.59,33.83,33.09,5190000.0
2010-06-08,33.73,33.3,33.8,33.17,5560000.0
2010-06-09,33.6,33.92,34.76,33.45,3110000.0
2010-06-10,35.43,34.31,35.48,34.31,3840000.0
2010-06-11,35.27,34.94,35.65,34.76,2550000.0
2010-06-14,35.7,35.65,36.29,35.58,3060000.0
2010-06-15,37.23,35.94,37.28,35.94,3820000.0
2010-06-16,36.78,36.97,37.38,36.55,2950000.0
2010-06-17,37.1,37.16,37.16,36.34,2950000.0
2010-06-18,37.16,37.09,37.34,36.84,2870000.0
2010-06-21,37.16,37.58,38.15,36.9,2770000.0
2010-06-22,35.79,37.16,37.42,35.7,3010000.0
2010-06-23,35.53,35.76,35.84,34.91,3030000.0
2010-06-24,34.71,35.38,35.54,34.62,2089999.9999999998
2010-06-25,35.1,34.77,35.2,34.31,4230000.0
2010-06-28,34.62,35.36,35.36,34.56,3000000.0
2010-06-29,32.99,33.8,34.06,32.69,4430000.0
2010-06-30,32.72,32.91,33.59,32.66,6160000.0
2010-07-01,32.28,32.65,32.78,31.86,4870000.0
2010-07-02,31.85,32.43,32.73,31.68,4040000.0
2010-07-06,31.79,32.6,32.72,31.48,3380000.0
2010-07-07,32.88,31.95,32.89,31.77,3590000.0
2010-07-08,33.27,33.14,33.41,32.72,2570000.0
2010-07-09,33.75,33.37,33.77,33.19,1700000.0
2010-07-12,33.3,33.55,33.66,33.12,3170000.0
2010-07-13,34.26,33.8,34.44,33.74,3030000.0
2010-07-14,34.35,34.06,34.48,33.83,2870000.0
2010-07-15,34.48,34.4,34.54,33.86,3340000.0
2010-07-16,33.6,34.12,34.41,33.48,3230000.0
2010-07-19,33.76,33.7,33.92,33.13,2180000.0
2010-07-20,34.53,33.15,34.62,33.05,3300000.0
2010-07-21,36.57,36.13,36.99,35.75,9400000.0
2010-07-22,37.38,37.22,37.81,36.85,6800000.0
2010-07-23,38.62,37.3,38.73,37.15,5590000.0
