Date,Close,Open,High,Low,Volume
2015-04-16,30.0,31.0,35.74,28.22,19760000.0
2015-04-17,27.58,29.77,30.3,26.51,3970000.0
2015-04-20,24.9,28.77,28.9,24.87,3080000.0
2015-04-21,25.75,24.97,26.04,24.56,2190000.0
2015-04-22,25.12,26.0,26.24,24.95,1440000.0
2015-04-23,25.62,24.93,25.74,24.08,1300000.0
2015-04-24,25.58,25.55,25.7,25.0,532830.0
2015-04-27,25.9,25.7,26.47,25.21,731500.0
2015-04-28,24.49,25.75,25.9,24.18,954980.0
2015-04-29,22.42,24.49,24.97,22.32,1670000.0
2015-04-30,22.24,22.66,23.18,21.82,1220000.0
2015-05-01,21.75,22.25,23.0,21.27,687380.0
2015-05-04,23.24,21.75,23.29,21.75,648640.0
2015-05-05,24.15,23.22,24.32,21.9,1070000.0
2015-05-06,23.4,24.15,25.42,23.03,1290000.0
2015-05-07,23.69,23.4,24.42,22.71,616890.0
2015-05-08,22.71,23.93,24.1,22.5,784010.0
2015-05-11,20.85,20.71,21.49,20.02,2120000.0
2015-05-12,20.57,21.23,21.45,20.36,1140000.0
2015-05-13,19.83,20.5,20.78,19.5,1540000.0
2015-05-14,20.6,19.83,20.75,19.62,1040000.0
2015-05-15,20.05,20.56,20.82,19.51,1180000.0
2015-05-18,20.56,19.51,20.75,19.15,1210000.0
2015-05-19,21.0,20.56,21.31,19.66,2020000.0
2015-05-20,17.2,16.9,17.32,15.7,11110000.0
2015-05-21,17.51,17.37,17.69,16.91,2320000.0
2015-05-22,17.17,17.82,18.15,17.0,2009999.9999999998
2015-05-26,17.09,16.59,17.3,16.18,1800000.0
2015-05-27,17.06,17.02,17.63,16.85,878590.0
2015-05-28,17.04,16.95,17.1,16.72,489190.0
2015-05-29,16.76,17.0,17.1,16.5,940360.0
2015-06-01,16.05,16.76,16.77,16.0,858370.0
2015-06-02,15.86,15.98,16.1,15.73,763030.0
2015-06-03,15.32,15.7,15.87,14.96,1430000.0
2015-06-04,15.07,15.25,15.63,15.0,807980.0
2015-06-05,15.03,15.15,15.28,14.64,712420.0
2015-06-08,14.86,14.95,15.13,14.68,503310.0
2015-06-09,15.99,15.11,16.25,15.01,2270000.0
2015-06-10,16.78,16.05,18.42,16.01,3380000.0
2015-06-11,16.86,17.08,17.68,16.75,1420000.0
2015-06-12,16.64,16.75,17.14,16.32,747290.0
2015-06-15,16.32,16.2,17.1,16.14,1090000.0
2015-06-16,16.29,16.51,16.89,16.2,767570.0
2015-06-17,15.77,16.3,16.49,15.65,1430000.0
2015-06-18,15.33,15.77,15.87,14.9,1390000.0
2015-06-19,14.31,15.26,15.39,14.3,2590000.0
2015-06-22,14.42,14.38,14.72,13.78,1540000.0
2015-06-23,14.34,14.45,14.8,14.13,916860.0
2015-06-24,14.39,14.33,14.59,14.17,842450.0
2015-06-25,14.9,14.43,14.96,14.2,874880.0
2015-06-26,14.25,14.28,14.57,13.95,4220000.0
2015-06-29,14.23,14.0,14.31,13.91,1250000.0
2015-06-30,14.05,14.3,14.42,13.95,1510000.0
2015-07-01,14.01,14.13,14.48,13.96,1760000.0
2015-07-02,13.27,14.0,14.24,12.81,1980000.0
2015-07-06,13.4,13.46,13.46,12.8,1440000.0
2015-07-07,13.32,13.51,13.53,13.0,1030000.0
2015-07-08,14.55,13.17,14.56,13.1,961000.0
2015-07-09,16.2,14.61,16.25,14.6,1940000.0
2015-07-10,16.53,16.25,17.29,15.82,1260000.0
2015-07-13,16.03,16.65,16.9,15.62,715290.0
2015-07-14,16.51,16.1,17.02,16.0,520179.99999999994
2015-07-15,16.82,16.58,17.15,16.41,1070000.0
2015-07-16,16.83,16.9,17.3,16.32,987950.0
2015-07-17,21.98,16.94,23.44,16.57,11960000.0
2015-07-20,19.56,20.44,20.97,18.92,3560000.0
2015-07-21,18.98,19.55,20.38,18.61,1730000.0
2015-07-22,18.45,18.82,19.46,18.02,869430.0
2015-07-23,18.44,18.37,19.14,17.77,1160000.0
2015-07-24,19.31,18.31,19.89,18.16,1290000.0
2015-07-27,18.3,19.28,19.47,18.16,645510.0
2015-07-28,18.65,18.47,19.15,18.31,955760.0
2015-07-29,18.98,18.7,19.45,18.25,874730.0
2015-07-30,21.2,18.96,21.66,18.9,2320000.0
2015-07-31,20.84,21.3,21.9,20.41,1920000.0
2015-08-03,20.5,21.0,21.48,19.85,1830000.0
2015-08-04,19.23,20.36,20.59,18.81,3030000.0
2015-08-05,13.78,15.62,16.28,13.63,4139999.9999999995
2015-08-06,13.59,13.82,13.91,13.06,2049999.9999999998
2015-08-07,13.44,13.54,13.77,13.21,1100000.0
2015-08-10,14.29,13.52,14.34,13.3,680610.0
2015-08-11,16.01,14.19,16.1,13.86,1200000.0
2015-08-12,16.88,16.0,18.57,15.56,2100000.0
2015-08-13,16.99,16.99,17.73,16.45,1290000.0
2015-08-14,17.08,17.07,17.65,16.65,1140000.0
2015-08-17,17.35,17.54,17.64,16.5,1130000.0
2015-08-18,15.86,17.16,17.47,15.78,793450.0
2015-08-19,14.98,15.68,16.03,14.93,845060.0
2015-08-20,14.25,14.61,14.96,13.8,853920.0
2015-08-21,13.46,13.91,14.11,13.25,1220000.0
2015-08-24,12.93,12.58,13.68,11.85,1000000.0
2015-08-25,12.87,13.9,14.0,12.84,638720.0
2015-08-26,13.04,13.2,13.3,12.63,580910.0
2015-08-27,14.29,13.25,14.31,13.19,838410.0
2015-08-28,14.82,14.22,15.19,14.12,661490.0
2015-08-31,14.33,14.61,14.88,13.88,782890.0
2015-09-01,14.06,13.84,14.45,13.8,440740.0
2015-09-02,14.35,14.23,14.56,13.88,431800.0
2015-09-03,14.02,14.26,14.79,13.94,398440.0
2015-09-04,14.21,13.9,14.3,13.71,297830.0
2015-09-08,14.36,14.57,14.65,14.08,252370.0
2015-09-09,13.99,14.54,14.6,13.9,516770.0
2015-09-10,14.23,13.89,14.3,13.87,337050.0
2015-09-11,14.31,14.08,14.38,13.96,270270.0
2015-09-14,14.38,14.17,14.5,13.98,209890.0
2015-09-15,14.6,14.48,14.76,14.38,189980.0
2015-09-16,14.39,14.53,14.66,14.14,207260.0
2015-09-17,15.61,14.32,15.66,14.32,643490.0
2015-09-18,15.4,15.28,15.7,14.9,617240.0
2015-09-21,15.9,15.44,16.73,15.17,897400.0
2015-09-22,15.18,15.5,15.99,15.1,393390.0
2015-09-23,14.61,15.16,15.34,14.34,341400.0
2015-09-24,14.98,14.39,14.99,14.16,244150.0
2015-09-25,14.11,15.13,15.29,14.0,425520.0
2015-09-28,13.88,14.12,14.37,13.86,592050.0
2015-09-29,13.82,13.94,14.2,13.52,540580.0
2015-09-30,13.69,14.0,14.19,13.31,500820.0
2015-10-01,14.15,13.91,14.35,13.43,315890.0
2015-10-02,14.32,14.08,14.57,13.89,394220.0
2015-10-05,14.66,14.38,15.11,14.05,261399.99999999997
2015-10-06,14.07,14.74,14.88,13.64,385900.0
2015-10-07,14.18,14.1,14.7,13.96,299130.0
2015-10-08,13.57,13.27,13.95,13.2,902390.0
2015-10-09,13.86,13.63,14.07,13.15,290010.0
2015-10-12,12.31,13.67,13.67,12.21,612750.0
2015-10-13,11.6,12.25,13.19,11.52,1470000.0
2015-10-14,10.99,11.84,11.88,10.82,1090000.0
2015-10-15,11.03,10.57,11.25,10.29,2089999.9999999998
2015-10-16,10.99,11.0,11.14,10.65,1190000.0
2015-10-19,10.94,10.89,11.04,10.53,1050000.0
2015-10-20,11.34,11.19,12.26,11.19,2069999.9999999998
2015-10-21,10.68,11.31,11.63,10.62,1020000.0
2015-10-22,11.39,10.69,11.58,10.54,660060.0
2015-10-23,11.18,11.54,11.67,10.86,588640.0
2015-10-26,11.27,11.07,11.48,10.76,704660.0
2015-10-27,10.98,11.42,11.49,10.8,1160000.0
2015-10-28,11.09,10.95,11.14,10.65,786350.0
2015-10-29,10.91,11.09,11.24,10.8,748140.0
2015-10-30,10.9,10.99,11.07,10.75,370900.0
2015-11-02,10.69,10.77,10.9,10.31,1360000.0
2015-11-03,11.03,10.74,11.25,10.6,2049999.9999999998
2015-11-04,9.97,10.53,10.73,9.79,2370000.0
2015-11-05,9.96,10.05,10.29,9.89,695690.0
2015-11-06,9.21,9.5,9.65,8.95,2190000.0
2015-11-09,8.8,8.91,9.34,8.79,982640.0
2015-11-10,8.49,8.71,8.73,7.91,4040000.0
2015-11-11,8.96,8.9,9.0,8.31,1560000.0
2015-11-12,8.94,8.72,9.17,8.62,1020000.0
2015-11-13,8.69,8.85,8.94,8.61,846120.0
2015-11-16,8.78,8.67,8.92,8.5,642030.0
2015-11-17,8.81,8.85,8.99,8.66,439920.0
2015-11-18,8.72,8.72,8.97,8.52,565640.0
2015-11-19,8.72,8.66,8.8,8.52,563790.0
2015-11-20,8.47,8.7,8.77,8.45,826260.0
2015-11-23,8.9,8.51,8.9,8.44,645350.0
2015-11-24,8.91,8.86,9.0,8.5,574000.0
2015-11-25,9.24,8.95,9.27,8.85,667260.0
2015-11-27,9.29,9.3,9.34,9.21,259450.0
2015-11-30,9.31,9.31,9.39,8.87,1200000.0
2015-12-01,9.28,9.31,9.31,9.21,491490.0
2015-12-02,9.23,9.24,9.46,9.19,453030.0
2015-12-03,9.2,9.33,9.36,9.01,604030.0
2015-12-04,9.27,9.29,9.35,8.76,914170.0
2015-12-07,9.47,9.31,9.6,9.02,1440000.0
2015-12-08,9.51,9.3,9.59,8.7,1570000.0
2015-12-09,9.43,9.5,9.68,8.88,1360000.0
2015-12-10,9.24,9.39,9.52,9.07,687320.0
2015-12-11,8.86,9.15,9.23,8.68,949970.0
2015-12-14,9.03,8.63,9.05,8.63,749430.0
2015-12-15,9.51,9.54,9.7,9.25,2130000.0
2015-12-16,9.79,9.62,9.88,9.52,1270000.0
2015-12-17,9.59,9.76,9.95,9.56,706440.0
2015-12-18,8.62,9.55,9.63,8.61,2220000.0
2015-12-21,8.71,8.71,8.76,8.41,658430.0
2015-12-22,8.78,8.1,8.79,8.0,1000000.0
2015-12-23,8.84,8.83,9.1,8.76,706100.0
2015-12-24,8.92,8.81,9.02,8.76,335360.0
2015-12-28,8.52,8.84,8.92,8.4,1070000.0
2015-12-29,8.51,8.52,8.6,8.23,793060.0
2015-12-30,8.48,8.45,8.51,8.37,813620.0
2015-12-31,8.26,8.39,8.53,8.23,1210000.0
2016-01-04,8.24,8.18,8.3,8.0,1060000.0
2016-01-05,8.51,8.24,8.55,8.08,698720.0
2016-01-06,8.8,8.3,8.82,8.15,939460.0
2016-01-07,8.67,8.61,9.05,8.36,1170000.0
2016-01-08,8.38,8.74,8.87,8.35,786270.0
2016-01-11,7.44,8.12,8.2,7.43,1970000.0
2016-01-12,7.35,7.44,7.5,6.89,1700000.0
2016-01-13,6.99,7.39,7.58,6.76,1190000.0
2016-01-14,7.07,7.04,7.28,6.68,1940000.0
2016-01-15,7.0,6.93,7.03,6.66,798770.0
2016-01-19,6.65,7.06,7.1,6.54,1430000.0
2016-01-20,6.88,6.54,7.0,6.04,1630000.0
2016-01-21,6.99,6.92,7.26,6.71,1170000.0
2016-01-22,7.42,7.11,7.46,7.06,888330.0
2016-01-25,7.25,7.36,7.44,7.21,807920.0
2016-01-26,7.38,7.24,7.42,7.03,434620.0
2016-01-27,7.3,7.32,7.44,7.21,485390.0
2016-01-28,7.49,7.37,7.59,7.08,1360000.0
2016-01-29,7.76,7.48,7.78,7.36,1190000.0
2016-02-01,7.55,7.75,7.75,7.36,841100.0
2016-02-02,7.12,7.4,7.43,7.03,1740000.0
2016-02-03,7.32,7.1,7.54,6.91,954740.0
