Date,Close,Open,High,Low,Volume
2010-01-04,21.02,21.01,21.18,20.84,3430000.0
2010-01-05,21.45,20.96,21.48,20.88,2900000.0
2010-01-06,22.86,22.09,23.24,22.0,10330000.0
2010-01-07,23.25,22.66,23.44,22.34,6250000.0
2010-01-08,23.49,23.45,23.58,23.03,3320000.0
2010-01-11,23.03,23.48,23.49,22.88,3980000.0
2010-01-12,23.02,22.88,23.14,22.77,2530000.0
2010-01-13,23.34,23.1,23.46,22.94,2660000.0
2010-01-14,23.15,23.22,23.64,23.02,2670000.0
2010-01-15,22.93,22.75,23.4,22.71,3300000.0
2010-01-19,22.41,21.77,23.24,21.68,9380000.0
2010-01-20,22.13,22.27,22.32,21.55,3910000.0
2010-01-21,21.75,22.14,22.33,21.73,3150000.0
2010-01-22,21.27,21.8,21.98,21.18,2390000.0
2010-01-25,21.32,21.4,21.42,21.02,2120000.0
2010-01-26,21.07,21.27,21.32,21.03,2280000.0
2010-01-27,21.12,20.95,21.18,20.88,2180000.0
2010-01-28,20.75,21.23,21.23,20.5,2980000.0
2010-01-29,20.74,20.81,21.25,20.73,2860000.0
2010-02-01,20.77,20.8,21.01,20.7,2840000.0
2010-02-02,21.48,20.86,21.52,20.82,3970000.0
2010-02-03,21.51,21.38,21.6,21.34,2390000.0
2010-02-04,21.07,21.39,21.45,21.02,3120000.0
2010-02-05,21.0,21.16,21.34,20.67,3870000.0
2010-02-08,20.61,20.98,21.0,20.57,3150000.0
2010-02-09,21.17,20.89,21.3,20.78,2730000.0
2010-02-10,20.77,21.03,21.3,20.68,2250000.0
2010-02-11,21.07,20.65,21.09,20.48,1760000.0
2010-02-12,20.91,20.88,21.03,20.72,2130000.0
2010-02-16,21.49,21.1,21.5,21.0,2160000.0
2010-02-17,21.56,21.53,21.67,21.3,1620000.0
2010-02-18,21.82,21.61,21.83,21.57,1570000.0
2010-02-19,21.93,21.68,22.04,21.67,1720000.0
2010-02-22,22.03,22.0,22.14,21.89,1690000.0
2010-02-23,21.96,22.04,22.18,21.89,2280000.0
2010-02-24,22.09,22.11,22.21,21.93,1340000.0
2010-02-25,22.18,21.69,22.21,21.66,2180000.0
2010-02-26,22.18,22.18,22.32,22.0,2630000.0
2010-03-01,22.46,22.2,22.5,22.09,3260000.0
2010-03-02,22.41,22.5,22.62,22.32,2330000.0
2010-03-03,22.51,22.52,22.77,22.48,2320000.0
2010-03-04,22.55,22.62,22.71,22.43,2280000.0
2010-03-05,22.85,22.59,22.89,22.57,2800000.0
2010-03-08,22.73,22.79,22.91,22.6,1790000.0
2010-03-09,22.64,22.73,22.82,22.54,2190000.0
2010-03-10,22.64,22.59,22.79,22.55,1820000.0
2010-03-11,22.61,22.52,22.61,22.36,1930000.0
2010-03-12,22.64,22.66,22.68,22.43,1500000.0
2010-03-15,22.94,22.66,22.97,22.57,1960000.0
2010-03-16,23.18,22.91,23.19,22.8,2180000.0
2010-03-17,23.72,23.23,23.73,23.12,2380000.0
2010-03-18,23.67,23.46,23.83,23.46,1710000.0
2010-03-19,23.49,23.9,23.9,23.29,4680000.0
2010-03-22,24.19,23.49,24.43,23.48,3710000.0
2010-03-23,24.5,24.25,24.52,24.07,2200000.0
2010-03-24,24.17,24.43,24.49,24.16,2370000.0
2010-03-25,24.02,24.4,24.45,23.98,2420000.0
2010-03-26,24.14,24.04,24.36,24.02,1500000.0
2010-03-29,24.21,24.25,24.39,24.16,1970000.0
2010-03-30,24.25,24.34,24.57,24.16,1520000.0
2010-03-31,24.0,24.2,24.27,23.96,1830000.0
2010-04-01,24.29,24.09,24.39,24.05,1550000.0
2010-04-05,24.85,24.44,24.89,24.36,1700000.0
2010-04-06,25.04,24.82,25.05,24.79,2400000.0
2010-04-07,25.86,24.95,26.32,24.95,6840000.0
2010-04-08,25.41,25.74,25.88,23.25,3810000.0
2010-04-09,25.57,25.55,25.59,25.36,1920000.0
2010-04-12,25.95,25.61,26.02,25.5,3850000.0
2010-04-13,26.5,27.1,27.48,26.32,6510000.0
2010-04-14,26.71,26.5,26.71,26.24,2960000.0
2010-04-15,27.5,26.66,27.59,26.57,5780000.0
2010-04-16,27.16,27.42,27.61,27.0,3510000.0
2010-04-19,27.43,27.11,27.46,26.82,2680000.0
2010-04-20,27.13,27.46,27.5,26.93,4250000.0
2010-04-21,27.19,27.1,27.25,26.7,3060000.0
2010-04-22,27.86,26.98,27.93,26.98,3560000.0
2010-04-23,28.1,27.84,28.23,27.61,2020000.0
2010-04-26,28.05,28.09,28.32,27.94,1980000.0
2010-04-27,27.14,27.98,28.11,27.06,2950000.0
2010-04-28,27.27,27.36,27.57,27.08,2150000.0
2010-04-29,28.02,27.64,28.09,27.32,2300000.0
2010-04-30,27.34,28.1,28.25,27.21,2220000.0
2010-05-03,28.24,27.21,28.3,27.21,2700000.0
2010-05-04,27.05,27.78,27.86,26.89,3150000.0
2010-05-05,26.66,26.95,27.15,26.55,3320000.0
2010-05-06,25.68,26.55,26.83,24.0,4019999.9999999995
2010-05-07,25.11,25.52,25.8,24.68,3410000.0
2010-05-10,26.74,25.77,26.83,25.77,2470000.0
2010-05-11,27.12,26.43,27.3,26.43,3460000.0
2010-05-12,27.73,27.2,27.77,27.0,3240000.0
2010-05-13,27.49,27.46,27.86,27.18,3000000.0
2010-05-14,26.83,27.33,27.43,26.52,1900000.0
2010-05-17,26.82,26.92,27.15,26.23,1880000.0
2010-05-18,26.29,27.0,27.23,26.18,1910000.0
2010-05-19,26.13,26.14,26.69,25.65,1980000.0
2010-05-20,24.61,25.93,26.05,24.55,5560000.0
2010-05-21,25.18,24.69,25.35,24.2,3360000.0
2010-05-24,24.79,24.82,25.26,24.72,1750000.0
2010-05-25,24.82,24.21,24.84,24.02,2280000.0
2010-05-26,24.71,24.46,25.41,24.46,1800000.0
2010-05-27,25.68,25.21,25.71,25.08,1550000.0
2010-05-28,25.22,25.6,25.82,24.86,2040000.0
2010-06-01,24.84,25.11,25.57,24.84,1980000.0
2010-06-02,25.89,24.89,25.89,24.66,3210000.0
2010-06-03,25.98,26.09,26.43,25.61,2980000.0
2010-06-04,24.7,25.3,25.63,24.61,2950000.0
2010-06-07,24.16,25.0,25.0,24.14,1710000.0
2010-06-08,24.52,24.33,24.57,23.88,2300000.0
2010-06-09,24.58,24.61,25.26,24.42,1960000.0
2010-06-10,25.75,24.99,25.77,24.81,1720000.0
2010-06-11,25.86,25.29,25.91,25.29,1540000.0
2010-06-14,26.0,26.2,26.54,25.93,1740000.0
2010-06-15,26.73,26.28,26.75,25.93,1650000.0
2010-06-16,26.84,26.61,26.87,26.5,1630000.0
2010-06-17,27.1,26.82,27.13,26.54,2700000.0
2010-06-18,27.34,27.14,27.49,26.95,3060000.0
2010-06-21,27.36,27.57,27.93,27.13,2790000.0
2010-06-22,26.41,27.43,27.55,26.32,2660000.0
2010-06-23,26.69,26.39,26.8,26.16,1600000.0
2010-06-24,26.01,26.54,26.66,25.93,1610000.0
2010-06-25,26.12,26.06,26.25,25.73,2800000.0
2010-06-28,26.09,26.16,26.43,25.86,1180000.0
2010-06-29,25.25,25.51,25.74,25.03,2340000.0
2010-06-30,25.09,25.09,25.75,25.05,2830000.0
2010-07-01,24.91,25.18,25.45,24.2,2590000.0
2010-07-02,24.61,24.99,25.0,24.41,1770000.0
2010-07-06,24.41,25.02,25.2,24.16,2210000.0
2010-07-07,25.1,24.38,25.18,24.27,3680000.0
2010-07-08,25.6,25.27,25.69,25.18,3170000.0
2010-07-09,26.04,25.68,26.09,25.48,2690000.0
2010-07-12,26.31,26.06,26.36,25.93,2860000.0
2010-07-13,25.22,25.74,26.42,25.12,7810000.0
2010-07-14,25.4,25.34,25.5,24.81,3660000.0
2010-07-15,24.89,25.43,25.48,24.67,4019999.9999999995
2010-07-16,23.83,24.9,24.9,23.77,4720000.0
2010-07-19,23.84,23.92,24.14,23.68,2990000.0
2010-07-20,24.12,23.61,24.18,23.52,2450000.0
2010-07-21,23.75,24.2,24.52,23.64,2650000.0
2010-07-22,24.43,24.07,24.7,24.07,2580000.0
2010-07-23,24.68,24.38,24.72,24.2,2280000.0
2010-07-26,24.98,24.64,24.98,24.44,1630000.0
2010-07-27,24.57,25.0,25.0,24.35,1950000.0
2010-07-28,24.44,24.59,24.7,24.23,1850000.0
2010-07-29,24.48,24.57,24.68,24.09,2220000.0
2010-07-30,24.54,24.18,24.62,24.11,1700000.0
2010-08-02,25.0,24.94,25.05,24.56,2310000.0
2010-08-03,25.07,24.96,25.16,24.83,2009999.9999999998
2010-08-04,25.55,25.22,25.6,25.2,2330000.0
2010-08-05,25.61,25.45,25.62,25.2,1010000.0
2010-08-06,25.58,25.27,25.61,25.0,1910000.0
2010-08-09,25.68,25.68,25.79,25.45,1220000.0
2010-08-10,25.33,25.5,25.66,24.95,1250000.0
2010-08-11,24.22,24.77,24.82,24.18,2340000.0
2010-08-12,24.23,23.91,24.34,23.9,1280000.0
2010-08-13,24.08,24.11,24.27,23.96,1070000.0
2010-08-16,24.07,24.0,24.24,23.75,1020000.0
2010-08-17,24.96,24.41,25.16,24.3,2220000.0
2010-08-18,24.82,24.61,24.98,24.38,1540000.0
2010-08-19,23.91,24.61,24.74,23.77,2650000.0
2010-08-20,24.0,23.82,24.04,23.48,2490000.0
2010-08-23,23.75,24.19,24.34,23.7,2020000.0
2010-08-24,23.14,23.5,23.5,22.88,3040000.0
2010-08-25,22.95,22.91,23.08,22.73,4120000.0
2010-08-26,22.75,23.04,23.16,22.73,3480000.0
2010-08-27,22.98,22.86,23.0,22.36,3190000.0
2010-08-30,22.55,22.84,23.03,22.55,1640000.0
2010-08-31,22.64,22.5,22.88,22.32,3950000.0
2010-09-01,23.59,23.11,23.68,22.86,2670000.0
2010-09-02,24.48,23.52,24.54,23.52,3300000.0
2010-09-03,24.68,24.86,24.95,24.24,2500000.0
2010-09-07,24.39,24.43,24.62,24.34,2060000.0
2010-09-08,24.85,24.5,25.0,24.48,2520000.0
2010-09-09,25.16,25.09,25.26,24.96,2190000.0
2010-09-10,25.46,25.25,25.55,25.16,1590000.0
2010-09-13,25.81,25.7,25.98,25.59,2370000.0
2010-09-14,25.82,25.7,25.98,25.58,1840000.0
2010-09-15,25.84,25.62,25.89,25.42,2130000.0
2010-09-16,25.59,25.84,25.91,25.45,1850000.0
2010-09-17,25.77,25.74,25.9,25.47,10080000.0
2010-09-20,26.11,25.79,26.14,25.7,2270000.0
2010-09-21,26.0,26.05,26.2,25.91,1630000.0
2010-09-22,26.09,26.05,26.67,25.92,2890000.0
2010-09-23,25.97,25.9,26.31,25.82,1580000.0
2010-09-24,26.7,26.36,26.85,26.23,1960000.0
2010-09-27,26.43,26.68,26.69,26.36,1460000.0
2010-09-28,26.9,26.59,26.98,26.0,2340000.0
2010-09-29,26.82,26.75,26.96,26.61,1460000.0
2010-09-30,26.59,27.09,27.29,26.38,1960000.0
2010-10-01,26.69,26.8,26.93,26.45,1710000.0
2010-10-04,26.32,26.68,26.9,26.08,1380000.0
2010-10-05,27.0,26.73,27.2,26.7,1910000.0
2010-10-06,26.98,26.96,27.19,26.77,1340000.0
2010-10-07,26.84,27.05,27.12,26.61,1480000.0
2010-10-08,27.26,26.93,27.38,26.71,1580000.0
