Date,Close,Open,High,Low,Volume
2010-01-04,19.89,19.6,19.91,19.46,1730000.0
2010-01-05,20.35,19.84,20.36,19.83,1420000.0
2010-01-06,20.49,20.29,20.57,20.21,888310.0
2010-01-07,20.49,20.39,20.59,20.2,1300000.0
2010-01-08,20.48,20.44,20.54,20.32,1070000.0
2010-01-11,20.52,20.68,20.78,20.44,969450.0
2010-01-12,20.56,20.36,20.77,20.36,1170000.0
2010-01-13,20.74,20.68,20.82,20.48,1150000.0
2010-01-14,20.75,20.62,20.79,20.55,1020000.0
2010-01-15,20.53,20.7,20.7,20.44,1130000.0
2010-01-19,20.85,20.51,21.04,20.51,1060000.0
2010-01-20,20.68,20.66,20.78,20.51,1060000.0
2010-01-21,20.24,20.72,20.84,20.14,1630000.0
2010-01-22,19.66,20.17,20.27,19.49,1940000.0
2010-01-25,20.13,19.88,20.3,19.88,1310000.0
2010-01-26,19.93,20.02,20.37,19.88,1120000.0
2010-01-27,20.35,19.93,20.4,19.86,1150000.0
2010-01-28,20.08,20.35,20.44,19.92,841330.0
2010-01-29,19.96,20.14,20.45,19.93,994250.0
2010-02-01,20.2,20.12,20.49,20.06,906850.0
2010-02-02,20.53,20.31,20.54,20.14,906640.0
2010-02-03,20.19,20.36,20.49,20.11,842390.0
2010-02-04,19.65,20.0,20.58,19.65,2170000.0
2010-02-05,19.6,19.63,19.76,18.96,1950000.0
2010-02-08,19.57,19.88,20.1,19.49,2060000.0
2010-02-09,19.68,19.82,20.02,19.3,1890000.0
2010-02-10,19.72,19.59,20.06,19.43,1350000.0
2010-02-11,19.8,19.77,19.88,19.41,2920000.0
2010-02-12,19.72,19.64,19.72,19.31,1620000.0
2010-02-16,19.86,19.9,19.91,19.42,1750000.0
2010-02-17,20.18,19.99,20.18,19.94,1330000.0
2010-02-18,20.5,20.13,20.6,20.07,1390000.0
2010-02-19,20.68,20.44,20.83,20.38,1300000.0
2010-02-22,20.83,20.68,20.88,20.54,1280000.0
2010-02-23,20.06,20.68,20.68,20.04,2940000.0
2010-02-24,20.37,20.07,20.45,20.04,1430000.0
2010-02-25,20.58,20.12,20.64,19.97,1690000.0
2010-02-26,20.67,20.67,20.74,20.4,1340000.0
2010-03-01,20.91,20.79,20.96,20.74,882770.0
2010-03-02,20.98,21.04,21.04,20.79,1120000.0
2010-03-03,21.54,21.08,21.66,20.98,2730000.0
2010-03-04,21.76,21.64,21.84,21.5,1930000.0
2010-03-05,22.22,21.92,22.26,21.81,1680000.0
2010-03-08,22.47,22.05,22.54,22.02,1530000.0
2010-03-09,22.42,22.31,22.53,22.28,1620000.0
2010-03-10,22.63,22.42,22.76,22.32,1770000.0
2010-03-11,22.79,22.55,22.79,22.5,1250000.0
2010-03-12,22.73,22.83,22.94,22.6,956100.0
2010-03-15,22.89,22.68,22.96,22.64,1670000.0
2010-03-16,23.37,22.92,23.38,22.87,1680000.0
2010-03-17,23.88,23.41,24.19,23.41,2310000.0
2010-03-18,23.86,23.82,23.96,23.67,990640.0
2010-03-19,23.64,23.98,24.08,23.62,1600000.0
2010-03-22,23.62,23.62,23.83,23.34,1240000.0
2010-03-23,23.72,23.59,23.72,23.33,1370000.0
2010-03-24,23.51,23.64,23.68,23.44,1660000.0
2010-03-25,23.44,23.73,23.83,23.39,1480000.0
2010-03-26,23.4,23.47,23.83,23.31,1540000.0
2010-03-29,23.6,23.55,23.7,23.3,1130000.0
2010-03-30,23.47,23.53,23.71,23.42,852540.0
2010-03-31,23.78,23.38,23.8,23.3,2390000.0
2010-04-01,24.06,23.91,24.15,23.89,1270000.0
2010-04-05,24.28,24.12,24.31,24.05,850550.0
2010-04-06,24.32,24.19,24.39,24.12,1660000.0
2010-04-07,23.97,24.28,24.3,23.8,1370000.0
2010-04-08,23.92,23.88,23.93,23.61,1600000.0
2010-04-09,23.95,23.93,23.96,23.73,837200.0
2010-04-12,24.17,24.04,24.18,23.98,1230000.0
2010-04-13,24.31,24.07,24.35,23.88,921680.0
2010-04-14,24.91,24.42,24.91,24.36,1490000.0
2010-04-15,24.77,24.91,24.91,24.48,1130000.0
2010-04-16,24.22,24.69,24.81,24.04,1840000.0
