Date,Close,Open,High,Low,Volume
2010-01-04,14.94,14.69,14.99,14.67,4010000.0
2010-01-05,14.94,14.95,14.97,14.8,2210000.0
2010-01-06,15.01,14.88,15.04,14.8,3310000.0
2010-01-07,14.99,14.99,15.05,14.81,2680000.0
2010-01-08,14.97,14.97,15.04,14.86,1660000.0
2010-01-11,14.94,14.94,14.98,14.74,1620000.0
2010-01-12,14.92,14.79,15.05,14.76,3090000.0
2010-01-13,15.17,14.97,15.31,14.97,2940000.0
2010-01-14,15.31,15.07,15.34,15.03,1380000.0
2010-01-15,15.38,15.17,15.57,15.1,5260000.0
2010-01-19,15.94,15.44,16.0,15.44,5780000.0
2010-01-20,15.63,15.82,15.89,15.4,3510000.0
2010-01-21,15.8,15.66,15.86,15.54,4650000.0
2010-01-22,15.79,15.82,16.19,15.74,4350000.0
2010-01-25,15.83,15.88,16.02,15.76,3150000.0
2010-01-26,15.63,15.74,15.88,15.59,4110000.0000000005
2010-01-27,15.35,15.79,15.83,15.23,3740000.0
2010-01-28,15.08,15.34,15.34,14.84,5390000.0
2010-01-29,15.07,15.12,15.31,15.06,3170000.0
2010-02-01,15.25,14.93,15.28,14.93,4240000.0
2010-02-02,16.58,16.16,16.84,15.86,17810000.0
2010-02-03,16.45,16.5,16.64,16.4,4960000.0
2010-02-04,16.2,16.36,16.47,16.16,4560000.0
2010-02-05,15.99,16.24,16.27,15.64,3470000.0
2010-02-08,16.0,16.0,16.1,15.83,2680000.0
2010-02-09,16.03,16.2,16.36,15.98,2930000.0
2010-02-10,16.03,16.01,16.22,15.95,3200000.0
2010-02-11,16.11,15.97,16.23,15.89,3630000.0
2010-02-12,16.0,15.99,16.06,15.85,2790000.0
2010-02-16,16.09,16.06,16.16,15.88,5320000.0
2010-02-17,16.07,16.13,16.17,15.93,4240000.0
2010-02-18,16.24,16.15,16.25,16.12,2660000.0
2010-02-19,16.11,16.28,16.3,16.03,3230000.0
2010-02-22,16.19,15.71,16.21,15.71,2490000.0
2010-02-23,16.16,16.18,16.29,16.04,4290000.0
2010-02-24,16.57,16.25,16.58,16.25,4370000.0
2010-02-25,16.93,16.38,17.02,16.35,7580000.0
2010-02-26,17.25,16.99,17.31,16.91,5050000.0
2010-03-01,17.35,17.35,17.6,17.28,5050000.0
2010-03-02,17.37,17.28,17.42,17.28,4160000.0
2010-03-03,17.15,17.4,17.44,17.14,3860000.0
2010-03-04,17.11,17.25,17.27,17.06,3040000.0
2010-03-05,17.41,17.09,17.45,17.06,2080000.0
2010-03-08,17.52,17.41,17.54,17.3,2330000.0
2010-03-09,17.42,17.39,17.56,17.34,1680000.0
2010-03-10,17.55,17.36,17.65,17.3,4130000.0
2010-03-11,19.28,17.47,19.56,17.4,23740000.0
2010-03-12,18.64,19.33,19.37,18.39,14790000.0
2010-03-15,19.38,18.64,19.42,18.61,7390000.0
2010-03-16,19.18,19.35,19.72,19.08,4139999.9999999995
2010-03-17,19.07,19.3,19.45,18.99,3070000.0
2010-03-18,19.56,19.05,19.68,19.0,4780000.0
2010-03-19,18.67,19.63,19.65,18.63,8230000.0
2010-03-22,18.77,18.43,18.97,18.33,4740000.0
2010-03-23,18.83,18.8,19.01,18.56,3380000.0
2010-03-24,18.67,18.83,18.92,18.59,1800000.0
2010-03-25,18.52,18.84,18.87,18.5,3510000.0
2010-03-26,18.26,18.64,18.65,18.19,2270000.0
2010-03-29,18.41,18.62,18.62,18.22,2480000.0
2010-03-30,18.34,18.47,18.52,18.23,1770000.0
