Date,Close,Open,High,Low,Volume
2010-01-04,31.65,31.33,31.79,30.86,371590.0
2010-01-05,31.43,31.55,31.55,31.0,372930.0
2010-01-06,31.81,31.44,31.84,31.35,220210.0
2010-01-07,31.75,31.85,32.12,31.56,307380.0
2010-01-08,32.24,31.61,32.28,31.47,228960.0
2010-01-11,32.24,32.27,32.4,32.06,313000.0
2010-01-12,31.77,31.99,32.04,31.44,244480.0
2010-01-13,31.77,31.84,31.84,31.27,319010.0
2010-01-14,31.65,31.74,31.87,31.49,240910.0
2010-01-15,31.23,31.65,31.72,31.07,181590.0
2010-01-19,31.59,31.14,31.78,31.14,217850.0
2010-01-20,31.34,31.24,31.43,30.88,253890.0
2010-01-21,30.51,31.27,31.43,30.41,350860.0
2010-01-22,29.98,30.41,30.44,29.92,553610.0
2010-01-25,29.57,30.12,30.15,29.18,421490.0
2010-01-26,29.39,29.44,29.54,29.14,344950.0
2010-01-27,29.28,29.28,29.4,28.84,209320.0
2010-01-28,28.8,29.26,29.54,28.45,186620.0
2010-01-29,28.22,28.91,29.2,28.22,374300.0
2010-02-01,28.78,28.37,28.85,28.09,464330.0
2010-02-02,29.33,28.77,29.43,28.64,371650.0
2010-02-03,29.32,29.12,29.48,29.06,385990.0
2010-02-04,29.3,30.87,30.87,29.29,1020000.0
2010-02-05,29.02,29.35,29.46,28.26,924330.0
2010-02-08,29.23,29.01,29.64,28.71,493910.0
2010-02-09,29.3,29.46,29.76,29.23,330520.0
2010-02-10,29.02,29.27,29.42,28.91,259660.00000000003
2010-02-11,29.55,29.02,29.57,28.83,306240.0
2010-02-12,29.94,29.21,29.94,28.98,403780.0
2010-02-16,30.32,30.0,30.32,29.77,201520.0
2010-02-17,30.6,30.31,30.65,30.27,340570.0
2010-02-18,31.24,30.68,31.33,30.47,305620.0
2010-02-19,31.48,31.25,31.51,31.18,374070.0
2010-02-22,31.52,31.66,31.75,31.15,221150.0
2010-02-23,30.82,31.37,31.5,30.78,156200.0
2010-02-24,30.9,30.83,30.98,30.62,123380.0
2010-02-25,31.05,30.3,31.09,30.09,271560.0
2010-02-26,31.0,30.99,31.17,30.66,232510.0
2010-03-01,31.56,31.16,31.83,31.0,265060.0
2010-03-02,31.77,31.54,31.9,31.42,329070.0
2010-03-03,31.59,31.73,31.9,31.43,328330.0
2010-03-04,31.33,31.6,31.76,31.11,381280.0
2010-03-05,32.17,31.57,32.17,31.43,160280.0
2010-03-08,32.3,32.08,32.3,31.97,301650.0
2010-03-09,32.43,32.17,32.49,31.84,204360.0
2010-03-10,32.66,32.36,32.67,32.23,241240.0
2010-03-11,33.0,32.43,33.0,32.3,321960.0
2010-03-12,32.8,33.0,33.0,32.55,399280.0
2010-03-15,32.71,32.85,33.03,32.56,419720.0
2010-03-16,32.57,32.71,32.78,32.39,291340.0
2010-03-17,32.8,32.71,33.11,32.71,419230.0
2010-03-18,32.29,32.93,32.98,32.2,511670.0
2010-03-19,32.09,32.39,32.54,32.02,552890.0
2010-03-22,32.47,31.82,32.57,31.82,197790.0
2010-03-23,33.13,32.53,33.15,32.35,190970.0
2010-03-24,32.56,32.96,33.07,32.48,268170.0
2010-03-25,32.2,32.87,32.87,32.17,449030.0
2010-03-26,32.82,32.31,32.85,32.16,371870.0
2010-03-29,33.21,32.82,33.22,32.75,344230.0
2010-03-30,33.42,33.12,33.6,33.09,288290.0
2010-03-31,33.1,33.4,33.66,33.09,233650.0
2010-04-01,33.16,33.33,33.58,32.91,245120.0
2010-04-05,33.61,33.18,33.69,33.11,239270.0
2010-04-06,33.67,33.35,33.85,33.35,351190.0
2010-04-07,33.53,33.74,33.74,33.23,331400.0
2010-04-08,33.39,33.38,33.57,32.92,273130.0
2010-04-09,33.68,33.5,33.7,33.11,351240.0
2010-04-12,34.0,33.78,34.0,33.59,178630.0
2010-04-13,34.11,34.01,34.12,33.65,219090.0
2010-04-14,34.36,34.26,34.38,33.93,180300.0
2010-04-15,34.51,34.2,34.67,34.08,160660.0
2010-04-16,34.14,34.35,34.66,33.99,336160.0
2010-04-19,33.58,34.04,34.45,33.25,934010.0
2010-04-20,34.21,34.46,35.0,33.65,980690.0
2010-04-21,34.76,34.33,34.81,34.2,395220.0
