Date,Close,Open,High,Low,Volume,Change
2019-01-18,25.2,25.15,25.2,25.0,5430000.0,0.0084
2019-01-22,25.15,25.14,25.25,25.0,3430000.0,-0.002
2019-01-23,25.2,25.15,25.22,25.08,1430000.0,0.002
2019-01-24,25.33,25.18,25.36,25.18,3350000.0,0.0052
2019-01-25,25.35,25.4,25.41,25.3,3380000.0,0.0008
2019-01-28,25.35,25.38,25.38,25.28,1050000.0,0.0
2019-01-29,25.45,25.38,25.58,25.33,1870000.0,0.0039000000000000003
2019-01-30,25.59,25.55,25.62,25.46,1090000.0,0.0055000000000000005
2019-01-31,25.61,25.63,26.0,25.6,2330000.0,0.0008
2019-02-01,25.61,25.74,25.79,25.57,483360.0,0.0
2019-02-04,25.67,25.65,25.69,25.55,681450.0,0.0023
2019-02-05,25.78,25.7,25.8,25.68,283560.0,0.0043
2019-02-06,25.67,25.75,25.78,25.66,579040.0,-0.0043
2019-02-07,25.67,25.7,25.73,25.63,628030.0,0.0
2019-02-08,25.63,25.67,25.68,25.58,313610.0,-0.0016
2019-02-11,25.68,25.7,25.75,25.64,520230.0,0.002
2019-02-12,25.83,25.75,25.85,25.72,400610.0,0.0058
2019-02-13,25.93,25.83,25.93,25.82,486530.0,0.0039000000000000003
2019-02-14,25.93,25.94,25.96,25.84,719050.0,0.0
2019-02-15,26.02,25.97,26.1,25.91,779480.0,0.0034999999999999996
2019-02-19,26.0,26.02,26.05,25.95,707920.0,-0.0008
2019-02-20,26.0,26.0,26.0,25.91,239750.0,0.0
2019-02-21,26.0,25.99,26.0,25.92,452090.0,0.0
2019-02-22,26.03,25.99,26.05,25.95,368100.0,0.0012
2019-02-25,26.09,26.01,26.09,25.98,390060.0,0.0023
2019-02-26,26.08,26.09,26.17,26.03,461720.0,-0.0004
2019-02-27,26.11,26.09,26.14,26.05,446990.0,0.0012
2019-02-28,25.89,26.1,26.14,25.83,2170000.0,-0.0084
2019-03-01,26.1,25.98,26.1,25.95,403450.0,0.008100000000000001
2019-03-04,26.28,26.12,26.35,26.07,658220.0,0.0069
2019-03-05,26.35,26.29,26.35,26.19,246850.0,0.0027
2019-03-06,26.37,26.3,26.45,26.26,1350000.0,0.0008
2019-03-07,26.32,26.35,26.37,26.19,577680.0,-0.0019
2019-03-08,26.35,26.3,26.35,26.17,358010.0,0.0011
2019-03-11,26.41,26.4,26.42,26.27,181860.0,0.0022
2019-03-12,26.48,26.33,26.5,26.32,234570.0,0.0027
2019-03-13,26.54,26.52,26.55,26.42,240690.0,0.0023
2019-03-14,26.59,26.55,26.64,26.52,192750.0,0.0019
2019-03-15,26.77,26.64,26.9,26.55,186210.0,0.0068000000000000005
2019-03-18,26.6,26.72,26.87,26.51,400940.0,-0.0064
2019-03-19,26.39,26.6,26.64,26.31,456660.0,-0.0079
2019-03-20,26.47,26.44,26.51,26.3,293370.0,0.003
2019-03-21,26.4,26.47,26.56,26.36,171150.0,-0.0026
2019-03-22,26.48,26.45,26.49,26.33,105460.0,0.003
