Date,Close,Open,High,Low,Volume,Change
2018-01-02,26.67,26.96,26.96,26.6,92310.0,-0.0097
2018-01-03,26.63,26.72,26.74,26.58,66010.0,-0.0015
2018-01-04,26.58,26.57,26.75,26.53,84000.0,-0.0019
2018-01-05,26.61,26.63,26.72,26.61,44850.0,0.0011
2018-01-08,26.7,26.66,26.8,26.61,50070.0,0.0034000000000000002
2018-01-09,26.75,26.68,26.76,26.62,106920.0,0.0019
2018-01-10,26.73,26.64,26.73,26.64,49740.0,-0.0007000000000000001
2018-01-11,26.76,26.66,26.77,26.66,100420.0,0.0011
2018-01-12,26.7,26.75,26.75,26.68,46840.0,-0.0022
2018-01-16,26.7,26.7,26.81,24.03,159430.0,0.0
2018-01-17,26.66,26.65,26.75,26.65,116430.0,-0.0015
2018-01-18,26.55,26.6,26.64,26.51,156390.0,-0.0040999999999999995
2018-01-19,26.72,26.46,26.88,26.45,215460.0,0.0064
2018-01-22,26.7,26.69,26.75,26.67,92800.0,-0.0007000000000000001
2018-01-23,26.64,26.65,26.68,26.6,59950.0,-0.0022
2018-01-24,26.52,26.62,26.67,26.52,98420.0,-0.0045000000000000005
2018-01-25,26.59,26.46,26.59,26.39,84190.0,0.0026
2018-01-26,26.49,26.51,26.58,26.43,57510.0,-0.0038
2018-01-29,25.95,26.04,26.05,25.88,187560.0,-0.0204
2018-01-30,25.74,25.86,25.88,25.66,170960.0,-0.008100000000000001
2018-01-31,25.75,25.74,25.89,25.73,89090.0,0.0004
2018-02-01,25.73,25.77,25.83,25.73,148890.0,-0.0008
2018-02-02,25.63,25.53,25.66,25.52,146810.0,-0.0039000000000000003
2018-02-05,25.62,25.63,25.69,25.57,113520.0,-0.0004
2018-02-06,25.57,25.55,25.66,25.51,178230.0,-0.002
2018-02-07,25.65,25.57,25.75,25.57,147280.0,0.0031
2018-02-08,25.58,25.72,25.72,25.56,264010.0,-0.0027
2018-02-09,25.7,25.65,25.7,25.41,157980.0,0.004699999999999999
2018-02-12,25.75,25.65,25.79,25.61,114630.0,0.0019
2018-02-13,25.62,25.7,25.75,25.62,142520.0,-0.005
2018-02-14,25.6,25.62,25.65,25.57,117350.0,-0.0008
2018-02-15,25.6,25.65,25.7,25.6,79960.0,0.0
2018-02-16,25.65,25.69,25.72,25.57,95860.0,0.002
2018-02-20,25.96,25.86,25.99,25.75,498620.0,0.0121
2018-02-21,26.08,26.03,26.18,26.0,275720.0,0.0046
2018-02-22,26.15,26.02,26.22,26.02,178190.0,0.0027
2018-02-23,26.31,26.23,26.35,26.15,103200.0,0.0060999999999999995
2018-02-26,26.23,26.35,26.46,26.21,181620.0,-0.003
2018-02-27,26.37,26.31,26.41,26.25,140650.0,0.0053
2018-02-28,26.34,26.35,26.4,26.32,297640.0,-0.0011
2018-03-01,26.5,26.38,26.53,26.36,79350.0,0.0060999999999999995
2018-03-02,26.45,26.45,26.56,26.44,123310.0,-0.0019
2018-03-05,26.59,26.5,26.6,26.5,190950.0,0.0053
2018-03-06,26.55,26.64,26.64,26.54,54540.0,-0.0015
2018-03-07,26.44,26.61,26.61,26.37,153240.0,-0.0040999999999999995
2018-03-08,26.54,26.42,26.54,26.41,211890.0,0.0038
2018-03-09,26.4,26.53,26.54,26.4,94920.0,-0.0053
2018-03-12,26.33,26.47,26.47,26.33,78970.0,-0.0027
2018-03-13,26.42,26.33,26.42,26.32,100690.0,0.0034000000000000002
2018-03-14,26.39,26.4,26.4,26.32,172330.0,-0.0011
2018-03-15,26.42,26.35,26.45,26.35,35430.0,0.0011
2018-03-16,26.48,26.43,26.5,26.37,39000.0,0.0023
2018-03-19,26.45,26.47,26.47,26.36,45770.0,-0.0011
2018-03-20,26.41,26.43,26.45,26.37,35060.0,-0.0015
2018-03-21,26.42,26.4,26.47,26.38,65300.0,0.0004
2018-03-22,26.43,26.37,26.46,26.37,63620.0,0.0004
2018-03-23,26.45,26.44,26.5,26.38,61800.0,0.0008
2018-03-26,26.43,26.48,26.48,26.38,41520.0,-0.0008
2018-03-27,26.45,26.44,26.46,26.4,29700.0,0.0008
2018-03-28,26.48,26.46,26.49,26.37,40220.0,0.0011
2018-03-29,26.44,26.41,26.53,26.41,40980.0,-0.0015
2018-04-02,26.43,26.41,26.5,26.39,39150.0,-0.0004
2018-04-03,26.47,26.48,26.48,26.31,69180.0,0.0015
2018-04-04,26.33,26.36,26.43,26.31,76320.0,-0.0053
2018-04-05,26.29,26.36,26.37,26.26,84050.0,-0.0015
2018-04-06,26.33,26.29,26.33,26.25,44840.0,0.0015
2018-04-09,26.25,26.35,26.35,26.25,51070.0,-0.003
