Date,Close,Open,High,Low,Volume
2010-01-04,76.85,75.87,76.95,75.52,2410000.0
2010-01-05,77.65,76.62,77.79,76.55,2360000.0
2010-01-06,76.51,76.1,77.19,75.85,5210000.0
2010-01-07,74.41,76.17,76.2,73.61,7040000.0
2010-01-08,75.61,74.35,75.94,74.32,3630000.0
2010-01-11,75.97,75.76,76.19,75.19,1970000.0
2010-01-12,75.96,75.75,76.47,75.31,2120000.0
2010-01-13,76.88,76.16,77.02,75.71,2250000.0
2010-01-14,76.84,76.79,77.03,76.15,1950000.0
2010-01-15,76.76,76.96,77.19,76.33,2040000.0
2010-01-19,78.31,76.8,78.7,76.55,3770000.0
2010-01-20,78.11,77.81,78.3,76.82,3130000.0
2010-01-21,76.98,78.05,78.58,76.47,2300000.0
2010-01-22,75.58,76.75,77.31,75.5,2069999.9999999998
2010-01-25,76.76,76.25,77.48,75.82,2560000.0
2010-01-26,76.78,76.42,77.35,75.85,2840000.0
2010-01-27,77.13,76.69,77.34,76.0,3050000.0
2010-01-28,76.15,78.43,78.47,75.25,3540000.0
2010-01-29,74.52,76.16,76.45,74.37,3250000.0
2010-02-01,74.89,75.34,75.34,74.28,2780000.0
2010-02-02,76.55,75.0,76.76,74.89,3000000.0
2010-02-03,76.69,76.18,76.95,75.84,2650000.0
2010-02-04,76.0,76.25,77.12,75.95,4990000.0
2010-02-05,75.72,75.85,76.62,74.04,5030000.0
2010-02-08,74.53,75.68,75.86,74.47,4310000.0
2010-02-09,75.45,75.17,75.99,74.7,3700000.0
2010-02-10,75.11,75.35,75.59,74.7,2800000.0
2010-02-11,76.35,74.9,76.42,74.51,3430000.0
2010-02-12,75.58,75.73,75.96,75.02,2480000.0
2010-02-16,76.03,75.92,76.33,75.48,2530000.0
2010-02-17,76.37,76.15,76.77,75.52,2060000.0
2010-02-18,77.33,76.17,77.44,76.15,2690000.0
2010-02-19,77.21,77.19,77.46,76.64,2800000.0
2010-02-22,76.94,77.19,77.73,76.55,3030000.0
2010-02-23,76.9,76.84,78.05,76.74,2900000.0
2010-02-24,77.56,77.17,77.69,76.93,2380000.0
2010-02-25,76.99,76.0,77.04,75.62,2049999.9999999998
2010-02-26,77.76,76.89,77.94,76.7,2640000.0
2010-03-01,78.86,77.75,79.42,77.69,2440000.0
2010-03-02,79.21,79.22,80.09,78.97,2730000.0
2010-03-03,78.85,79.73,80.05,78.72,1960000.0
2010-03-04,79.27,79.19,79.83,78.61,1850000.0
2010-03-05,81.27,79.42,81.33,79.42,3190000.0
2010-03-08,81.09,81.19,81.97,81.07,2440000.0
2010-03-09,82.22,81.01,82.45,80.84,2550000.0
2010-03-10,82.58,82.49,82.96,82.23,2310000.0
2010-03-11,83.03,82.2,83.24,80.32,3120000.0
2010-03-12,83.09,83.09,83.35,82.58,2009999.9999999998
