Date,Close,Open,High,Low,Volume,Change
2018-01-02,58.25,58.05,58.4,57.97,65760.0,-0.0077
2018-01-03,58.41,58.06,58.54,58.06,54190.0,0.0027
2018-01-04,59.11,59.48,59.51,59.0,110450.0,0.012
2018-01-05,60.18,59.66,60.2,59.51,64760.00000000001,0.0181
2018-01-08,58.9,58.68,58.9,58.62,165860.0,-0.0213
2018-01-09,58.84,58.89,58.89,58.44,71750.0,-0.001
2018-01-10,57.86,58.4,58.4,57.65,113650.0,-0.0167
2018-01-11,57.725,57.78,57.9,57.52,118580.0,-0.0023
2018-01-12,58.955,58.6,58.98,58.4,136820.0,0.0213
2018-01-16,59.3,59.515,59.56,59.15,106030.0,0.0059
2018-01-17,59.38,59.49,59.58,59.11,81470.0,0.0013
2018-01-18,58.455,58.52,58.77,58.24,79740.0,-0.015600000000000001
2018-01-19,58.99,58.93,59.06,58.6,96840.0,0.0092
2018-01-22,59.705,59.35,59.76,59.11,91160.0,0.0121
2018-01-23,60.05,60.0,60.32,59.85,73970.0,0.0058
2018-01-24,59.97,60.66,60.68,59.68,83350.0,-0.0013
2018-01-25,61.94,60.67,62.049,59.9,110690.0,0.032799999999999996
2018-01-26,62.63,62.51,62.82,62.25,126440.0,0.0111
2018-01-29,62.61,62.58,62.73,62.23,173330.0,-0.0003
2018-01-30,62.41,62.6,62.7,62.19,122210.0,-0.0032
2018-01-31,62.675,63.02,63.08,62.51,197720.0,0.0042
2018-02-01,63.09,62.54,63.2,62.54,111670.0,0.0066
2018-02-02,61.45,62.22,62.22,61.4,168130.0,-0.026000000000000002
2018-02-05,58.18,60.17,60.65,58.01,146370.0,-0.053200000000000004
2018-02-06,59.8,58.09,59.8,58.09,156180.0,0.0278
2018-02-07,59.85,59.52,60.44,59.41,157390.0,0.0008
2018-02-08,57.81,59.44,59.445,57.49,124040.0,-0.0341
2018-02-09,57.63,57.854,58.16,56.0,127860.0,-0.0031
2018-02-12,59.695,59.01,59.84,58.81,106440.0,0.0358
2018-02-13,59.1,58.69,59.16,58.45,85390.0,-0.01
2018-02-14,60.55,58.48,60.55,58.48,82080.0,0.0245
2018-02-15,61.26,60.72,61.42,60.52,123360.0,0.011699999999999999
2018-02-16,61.94,61.76,61.99,61.55,216240.0,0.0111
2018-02-20,60.16,60.52,60.66,59.97,112360.0,-0.0287
2018-02-21,60.22,60.55,61.16,60.21,107340.0,0.001
2018-02-22,60.14,60.15,60.47,59.98,77420.0,-0.0013
2018-02-23,60.955,60.44,61.0,60.44,61860.0,0.013600000000000001
2018-02-26,61.84,61.645,61.84,61.16,224010.0,0.014499999999999999
2018-02-27,60.1,60.69,60.83,60.1,73940.0,-0.0281
2018-02-28,59.98,60.33,60.6,59.9,69660.0,-0.002
2018-03-01,59.28,59.45399999999999,59.71,58.66,114550.0,-0.011699999999999999
2018-03-02,59.415,59.28,59.47,58.63,60950.0,0.0023
2018-03-05,59.81,59.095,59.81,58.9,76060.0,0.0066
2018-03-06,60.03,60.075,60.29,59.85,62540.0,0.0037
2018-03-07,60.19,59.51,60.21,59.51,48940.0,0.0027
2018-03-08,60.34,60.65,60.65,60.19,43820.0,0.0025
2018-03-09,60.6,60.58,60.76,60.46,104890.0,0.0043
2018-03-12,60.815,60.59,60.93,60.47,275240.0,0.0034999999999999996
2018-03-13,60.09,60.94,60.94,59.95,99060.0,-0.011899999999999999
2018-03-14,60.25,60.605,60.605,59.94,210210.0,0.0027
2018-03-15,60.895,60.62,61.06,60.56,47580.0,0.010700000000000001
2018-03-16,60.785,60.61,61.065,60.61,51360.0,-0.0018
2018-03-19,60.78,60.81,60.853,60.29,153050.0,-0.0001
2018-03-20,61.625,60.92,61.73,60.83,141970.0,0.0139
2018-03-21,61.99,61.96,62.38,61.66,232660.0,0.0059
2018-03-22,60.705,61.18,61.46,60.64,42240.0,-0.0207
2018-03-23,59.465,60.336999999999996,60.7,59.35,83710.0,-0.0204
2018-03-26,61.44,60.818000000000005,61.48,60.23,124240.0,0.0332
2018-03-27,59.79,60.83,61.02,59.79,109590.0,-0.0269
2018-03-28,60.35,59.88,60.67,59.71,227450.0,0.009399999999999999
2018-03-29,61.65,61.83,62.02,61.35,105280.0,0.0215
2018-04-02,60.54,62.08,62.08,59.86,100390.0,-0.018000000000000002
2018-04-03,62.99,62.48,63.06,62.27,116570.0,0.0405
2018-04-04,63.61,61.75,63.61,61.75,70590.0,0.0098
2018-04-05,64.66,64.12,64.79,64.08,95970.0,0.0165
2018-04-06,64.01,64.668,64.805,63.76,223930.0,-0.0101
2018-04-09,66.585,64.351,66.91,64.25,144740.0,0.04019999999999999
2018-04-10,67.835,67.68,68.08,67.17,99650.0,0.018799999999999997
2018-04-11,68.495,68.39,69.02,68.39,73880.0,0.0097
2018-04-12,68.91,69.02,69.14,68.82,94480.0,0.0060999999999999995
2018-04-13,68.505,68.79,68.86,68.3,122550.0,-0.0059
2018-04-16,69.21,68.98,69.25399999999999,68.73,96750.0,0.0103
2018-04-17,69.17,69.42,69.42,68.86,457690.0,-0.0006
2018-04-18,70.11,69.66,70.25,69.4,185110.0,0.013600000000000001
2018-04-19,68.465,68.8,68.8,68.21,200950.0,-0.0235
2018-04-20,68.445,68.24,68.689,67.91,63220.0,-0.0003
2018-04-23,68.46,68.41,68.71,68.155,100260.0,0.0002
2018-04-24,70.0,68.5,70.0,68.4,157220.0,0.0225
2018-04-25,68.38,68.35,68.45,67.9,154350.0,-0.0231
2018-04-26,68.185,68.2,68.45,67.8,57600.0,-0.0029
2018-04-27,68.99,68.57,69.05,68.51,39180.0,0.0118
2018-04-30,69.43,69.17,69.8,69.14,197350.0,0.0064
2018-05-01,69.45,69.65,69.65,68.73,79660.0,0.0003
2018-05-02,69.86,70.04,70.33,69.602,92450.0,0.0059
2018-05-03,70.105,70.02,70.25,69.45,82500.0,0.0034999999999999996
2018-05-04,69.97,69.57,70.05,69.4,222580.0,-0.0019
2018-05-07,69.3,69.17,69.44,68.96,53100.0,-0.0096
2018-05-08,69.22,68.66,69.22,68.64,133460.0,-0.0012
2018-05-09,69.11,68.92,69.31,68.92,104060.0,-0.0016
2018-05-10,69.87,69.82,69.87,69.376,138180.0,0.011000000000000001
2018-05-11,70.15,69.82,70.15,69.8,117060.0,0.004
2018-05-14,70.17,70.55,70.62,70.13,79250.0,0.0003
2018-05-15,70.74,70.37,70.94,70.17,268790.0,0.008100000000000001
2018-05-16,72.56,71.4,72.71,71.4,173530.0,0.025699999999999997
2018-05-17,72.45,72.5,72.74,72.24,98310.0,-0.0015
2018-05-18,72.715,72.31,72.9,72.21,77210.0,0.0037
2018-05-21,73.594,73.35,73.61,73.19,51750.0,0.0121
2018-05-22,72.79,73.04,73.26,72.69,139860.0,-0.0109
2018-05-23,71.56,70.812,71.57,70.66,532880.0,-0.0169
2018-05-24,71.85,71.8,71.94,71.16,64120.00000000001,0.0040999999999999995
2018-05-25,71.33,71.0,71.43,70.84,56600.0,-0.0072
2018-05-29,68.32,69.41,69.49,68.05,104390.0,-0.042199999999999994
2018-05-30,69.85,69.67,70.41,69.29,117910.0,0.022400000000000003
2018-05-31,69.88,70.0,70.0,69.045,143370.0,0.0004
2018-06-01,70.69,70.26,70.766,70.1,102960.0,0.0116
2018-06-04,71.255,71.12,71.43,71.0,87300.0,0.008
2018-06-05,72.37,72.23,72.6,72.15,172540.0,0.015600000000000001
2018-06-06,72.7,72.21,72.76,71.78,141430.0,0.0046
2018-06-07,69.67,70.0,70.255,69.29,64500.0,-0.0417
2018-06-08,70.97,70.57,71.11,70.468,80420.0,0.0187
2018-06-11,71.15,71.11,71.25,71.06,71470.0,0.0025
2018-06-12,69.57,70.58,70.58,69.29,79030.0,-0.0222
2018-06-13,69.38,69.98,69.99,69.21,64970.0,-0.0027
2018-06-14,70.24,70.54,70.69,70.13,298730.0,0.0124
2018-06-15,70.34,70.126,70.44,69.96,49250.0,0.0014000000000000002
2018-06-18,69.1,68.65,69.1,68.46,133170.0,-0.0176
2018-06-19,67.57,66.845,67.57,66.695,67110.0,-0.022099999999999998
2018-06-20,66.545,66.47,66.663,66.11,62270.0,-0.0152
2018-06-21,66.31,66.572,66.572,65.95,65840.0,-0.0034999999999999996
2018-06-22,66.88,66.83,67.04,66.42,42920.0,0.0086
2018-06-25,65.3,66.26,66.26,65.14,88380.0,-0.0236
