Date,Close,Open,High,Low,Volume
2010-01-04,16.62,15.6,16.62,15.52,36420000.0
2010-01-05,18.27,17.01,18.29,16.96,66120000.00000001
2010-01-06,18.1,18.03,18.35,17.8,31210000.0
2010-01-07,18.5,17.85,18.56,17.66,29380000.0
2010-01-08,18.1,18.35,18.4,18.01,18760000.0
2010-01-11,18.36,18.4,18.68,18.2,22030000.0
2010-01-12,18.34,18.37,18.85,18.18,34470000.0
2010-01-13,18.29,18.5,18.65,17.61,25560000.0
2010-01-14,18.65,18.32,19.12,18.18,32140000.0
2010-01-15,18.4,18.62,18.92,18.2,19680000.0
2010-01-19,18.62,18.32,18.64,17.91,18570000.0
2010-01-20,17.88,18.35,18.5,17.65,25000000.0
2010-01-21,17.02,17.86,18.3,16.98,29750000.0
2010-01-22,16.28,16.95,17.29,16.15,36810000.0
2010-01-25,16.19,16.73,16.75,15.56,28100000.0
2010-01-26,16.21,15.97,16.55,15.85,28930000.0
2010-01-27,16.24,16.18,16.29,15.77,18160000.0
2010-01-28,15.86,16.4,16.78,15.77,22580000.0
2010-01-29,15.5,16.12,16.5,15.37,30210000.0
2010-02-01,17.11,15.67,17.12,15.67,36440000.0
2010-02-02,16.95,17.02,17.15,16.31,31690000.0
2010-02-03,16.52,16.94,17.02,16.49,15660000.0
2010-02-04,15.37,16.22,16.24,15.33,32570000.0
2010-02-05,15.71,15.55,15.77,14.88,29590000.0
2010-02-08,15.54,15.81,16.2,15.4,21100000.0
2010-02-09,15.89,15.93,16.08,15.5,20940000.0
2010-02-10,15.84,15.99,16.2,15.71,15130000.0
2010-02-11,16.87,15.98,16.93,15.75,27330000.0
2010-02-12,16.81,16.55,16.82,16.25,23040000.0
2010-02-16,17.56,17.18,17.65,17.1,21860000.0
2010-02-17,17.46,17.85,17.95,17.31,23050000.0
2010-02-18,15.91,16.39,16.5,15.8,53190000.0
2010-02-19,16.24,15.87,16.44,15.87,28510000.0
2010-02-22,16.52,16.5,16.74,16.41,19230000.0
2010-02-23,16.09,16.44,16.47,15.95,23120000.0
2010-02-24,16.09,16.25,16.34,16.01,17610000.0
2010-02-25,16.2,15.85,16.24,15.5,20630000.0
2010-02-26,16.63,16.3,16.78,16.05,24110000.0
2010-03-01,17.09,16.87,17.3,16.8,22200000.0
2010-03-02,17.11,17.34,17.47,17.05,20440000.0
2010-03-03,17.17,17.11,17.41,16.9,19660000.0
2010-03-04,17.18,17.19,17.25,16.78,18190000.0
2010-03-05,17.87,17.39,17.98,17.34,25170000.0
2010-03-08,18.44,17.99,18.6,17.9,28280000.0
2010-03-09,18.85,18.36,19.3,18.25,41040000.0
2010-03-10,19.73,19.25,19.84,18.96,42070000.0
2010-03-11,19.34,19.59,19.62,19.1,25800000.0
2010-03-12,19.59,19.67,19.89,19.4,25330000.0
2010-03-15,18.69,19.25,19.45,18.3,34020000.0
2010-03-16,20.06,18.9,20.11,18.75,42330000.0
2010-03-17,19.84,20.35,20.55,19.63,36220000.0
2010-03-18,19.28,19.75,19.84,19.28,22970000.0
2010-03-19,19.5,19.31,19.58,19.25,23020000.0
2010-03-22,21.43,19.15,21.59,18.88,74330000.0
2010-03-23,21.45,21.78,22.1,20.9,46780000.0
2010-03-24,21.9,21.33,22.39,21.23,55190000.0
2010-03-25,20.93,22.29,22.49,20.82,43210000.0
2010-03-26,21.89,21.15,22.22,21.12,53850000.0
2010-03-29,21.86,22.1,22.14,21.43,29360000.0
2010-03-30,21.21,21.88,21.94,21.0,36320000.0
2010-03-31,21.15,20.98,21.62,20.6,40790000.0
2010-04-01,21.3,21.18,21.48,20.7,34440000.0
2010-04-05,23.36,21.67,23.41,21.56,58180000.0
2010-04-06,23.43,23.4,23.96,23.08,46350000.0
2010-04-07,22.93,22.89,23.35,22.6,38600000.0
2010-04-08,24.23,22.81,24.66,22.6,64040000.00000001
2010-04-09,24.12,24.38,24.42,23.93,35190000.0
2010-04-12,24.22,24.44,24.95,24.1,38660000.0
2010-04-13,24.39,24.37,24.8,24.18,28420000.0
2010-04-14,24.0,24.77,24.83,23.93,41130000.0
2010-04-15,23.72,23.34,24.24,23.27,33479999.999999996
2010-04-16,22.9,23.78,23.95,22.32,43910000.0
2010-04-19,22.77,22.6,23.44,22.07,33590000.0
2010-04-20,24.05,23.43,24.23,23.35,31850000.0
2010-04-21,23.71,24.16,24.19,23.38,23530000.0
2010-04-22,24.43,23.41,24.49,23.26,26880000.0
2010-04-23,25.12,24.65,25.92,24.61,41220000.0
2010-04-26,26.2,26.18,26.57,25.81,40520000.0
