Date,Close,Open,High,Low,Volume
2010-01-04,14.19,14.13,14.4,14.07,68760.0
2010-01-05,13.68,14.1,14.15,13.61,66090.0
2010-01-06,14.02,13.7,14.07,13.05,226370.0
2010-01-07,14.12,14.04,14.26,13.8,74670.0
2010-01-08,14.58,14.02,14.67,14.02,187510.0
2010-01-11,14.52,14.65,14.69,14.47,32900.0
2010-01-12,14.54,14.5,14.7,14.42,58330.0
2010-01-13,14.49,14.58,14.94,14.47,142490.0
2010-01-14,14.53,14.46,14.7,14.38,55940.0
2010-01-15,14.29,14.59,14.59,13.89,145270.0
2010-01-19,14.71,14.34,14.98,14.34,97110.0
2010-01-20,14.72,14.54,14.8,14.07,107920.0
2010-01-21,14.26,14.76,14.89,13.88,107690.0
2010-01-22,14.11,14.2,14.65,14.08,64739.99999999999
2010-01-25,14.39,14.26,14.59,14.08,65570.0
2010-01-26,13.6,14.28,14.28,13.52,92450.0
2010-01-27,13.84,13.52,13.86,13.52,119170.0
2010-01-28,13.63,13.89,13.89,13.51,89150.0
2010-01-29,13.63,13.67,13.81,13.43,106140.0
2010-02-01,13.79,13.64,13.82,13.26,190180.0
2010-02-02,13.83,13.77,13.92,13.62,106100.0
2010-02-03,14.16,13.71,14.88,13.71,197110.0
2010-02-04,13.25,14.06,14.38,13.2,144830.0
2010-02-05,13.64,13.32,13.73,13.09,118660.0
2010-02-08,13.36,13.56,13.61,13.26,70760.0
2010-02-09,13.52,13.55,13.65,13.23,65310.0
2010-02-10,13.82,13.44,13.95,13.28,72100.0
2010-02-11,14.52,13.74,14.54,13.54,138910.0
2010-02-12,14.71,14.28,14.71,14.22,114010.0
2010-02-16,14.89,14.82,14.91,14.59,49420.0
2010-02-17,15.0,15.0,15.0,14.73,61530.0
2010-02-18,15.27,15.0,15.34,14.79,267250.0
2010-02-19,15.36,15.26,15.57,15.18,99190.0
2010-02-22,15.53,15.47,15.81,15.42,193000.0
2010-02-23,15.34,15.53,15.63,15.29,76160.0
2010-02-24,15.39,15.44,15.67,15.29,45200.0
2010-02-25,15.02,15.1,15.23,15.0,78350.0
2010-02-26,14.94,15.08,15.08,14.69,193460.0
2010-03-01,14.97,14.92,15.37,14.59,145240.0
2010-03-02,14.99,14.74,15.17,14.74,193620.0
2010-03-03,15.01,15.05,15.32,14.87,71400.0
2010-03-04,15.18,15.07,15.24,14.5,44850.0
2010-03-05,15.47,15.25,15.52,15.09,78690.0
2010-03-08,15.07,15.29,15.37,15.01,67800.0
2010-03-09,15.1,15.04,15.17,14.97,71500.0
2010-03-10,14.97,15.07,15.23,14.88,71450.0
2010-03-11,14.92,14.84,15.07,14.8,69920.0
2010-03-12,14.91,14.96,15.0,14.77,77950.0
2010-03-15,14.92,14.92,14.94,14.53,97150.0
2010-03-16,15.27,15.0,15.27,14.91,61980.0
2010-03-17,15.68,15.34,15.73,15.21,189840.0
2010-03-18,15.68,15.76,16.0,15.6,175470.0
2010-03-19,15.87,15.8,15.91,15.49,180140.0
2010-03-22,15.98,15.6,16.09,15.59,82450.0
2010-03-23,16.14,16.03,16.2,15.83,70740.0
2010-03-24,16.05,16.04,16.28,16.0,83590.0
2010-03-25,16.01,16.21,16.54,15.97,77190.0
2010-03-26,16.2,16.11,16.6,16.0,48930.0
2010-03-29,15.99,16.31,16.49,15.98,70370.0
2010-03-30,15.91,15.98,16.41,15.49,167630.0
2010-03-31,15.73,15.78,16.1,15.65,118730.0
2010-04-01,15.57,15.81,16.04,15.38,62510.0
2010-04-05,16.0,15.65,16.01,15.61,66780.0
2010-04-06,15.91,16.0,16.0,15.62,39150.0
2010-04-07,15.92,15.85,16.0,15.65,324870.0
2010-04-08,16.01,15.8,16.11,15.46,140250.0
2010-04-09,16.21,15.99,16.34,15.72,108190.0
2010-04-12,16.48,16.18,16.49,15.97,100080.0
2010-04-13,16.79,16.41,16.82,16.25,174510.0
2010-04-14,17.26,16.87,17.26,16.84,127180.0
2010-04-15,17.4,17.19,17.44,17.19,39550.0
2010-04-16,17.13,17.42,17.42,16.96,164170.0
2010-04-19,16.76,17.0,17.05,16.65,161750.0
2010-04-20,17.13,16.82,17.19,16.72,80120.0
2010-04-21,17.03,17.1,17.3,16.71,88340.0
2010-04-22,17.3,16.77,17.41,16.67,80300.0
2010-04-23,17.0,17.27,17.27,16.9,92900.0
2010-04-26,16.88,16.97,17.08,16.87,43020.0
2010-04-27,16.16,16.84,16.92,16.09,61950.0
2010-04-28,16.02,16.24,16.41,15.68,155580.0
2010-04-29,16.23,16.1,16.25,15.54,149140.0
2010-04-30,15.77,16.22,16.22,15.6,131270.0
2010-05-03,16.4,15.92,16.42,15.71,197640.0
2010-05-04,16.01,16.09,16.1,15.37,213940.0
