Date,Close,Open,High,Low,Volume
2010-01-04,24.0,24.35,24.5,23.85,232590.0
2010-01-05,23.9,23.82,24.07,23.55,208370.0
2010-01-06,23.1,23.6,23.67,22.72,663620.0
2010-01-07,22.75,23.15,23.28,22.74,639330.0
2010-01-08,23.01,22.74,23.07,22.74,171050.0
2010-01-11,22.77,23.05,23.19,22.56,251200.0
2010-01-12,22.06,22.68,22.88,21.86,336000.0
2010-01-13,22.02,22.14,22.4,21.48,546730.0
2010-01-14,22.24,22.01,22.5,21.95,232140.0
2010-01-15,21.79,22.31,22.31,21.48,339000.0
2010-01-19,22.12,21.97,22.15,21.75,357470.0
2010-01-20,22.01,22.01,22.07,21.79,485290.0
2010-01-21,22.0,22.11,22.47,21.98,354910.0
2010-01-22,21.43,21.92,22.08,21.33,603820.0
2010-01-25,21.46,21.66,22.04,21.11,366810.0
2010-01-26,21.15,21.33,21.48,21.08,210410.0
2010-01-27,21.66,21.09,21.7,20.88,269730.0
2010-01-28,20.9,21.65,21.9,20.69,312850.0
2010-01-29,20.62,20.98,21.05,20.39,757400.0
2010-02-01,21.01,20.76,21.31,20.54,374260.0
2010-02-02,21.5,20.8,21.63,20.71,597240.0
2010-02-03,19.87,19.9,20.28,19.28,1880000.0
2010-02-04,18.98,19.67,19.7,18.94,860940.0
2010-02-05,19.44,18.8,20.25,18.4,1480000.0
2010-02-08,19.52,19.52,19.94,19.05,524880.0
2010-02-09,20.2,20.25,20.62,19.64,509490.0
2010-02-10,20.49,20.19,20.67,19.85,469690.0
2010-02-11,21.25,21.19,21.45,20.39,754570.0
2010-02-12,21.5,20.89,21.85,20.89,477380.0
2010-02-16,21.66,21.7,21.81,21.45,157190.0
2010-02-17,21.53,21.79,21.79,21.27,235740.0
2010-02-18,21.62,21.45,21.63,21.19,242630.0
2010-02-19,21.19,21.57,21.57,21.13,313450.0
2010-02-22,20.94,21.2,21.22,20.89,503050.0
2010-02-23,20.55,20.97,21.01,20.39,396400.0
2010-02-24,20.83,20.55,20.91,20.55,275060.0
2010-02-25,20.73,20.52,20.74,20.27,152740.0
2010-02-26,20.31,20.68,20.72,20.25,150540.0
2010-03-01,20.85,20.4,21.01,20.23,620390.0
2010-03-02,21.16,20.94,21.5,20.69,626150.0
2010-03-03,20.92,21.23,21.42,20.75,207070.0
2010-03-04,20.94,20.9,21.0,20.59,134430.0
2010-03-05,20.85,21.06,21.1,20.7,288170.0
2010-03-08,21.19,20.91,21.25,20.41,784030.0
2010-03-09,20.86,21.06,21.18,20.57,241090.0
2010-03-10,20.91,20.78,21.14,20.74,398420.0
2010-03-11,20.67,20.76,20.76,20.43,381710.0
2010-03-12,20.36,20.8,20.98,20.25,349560.0
2010-03-15,20.49,20.39,20.54,20.29,170530.0
2010-03-16,20.85,20.55,21.06,20.42,166590.0
2010-03-17,21.56,20.82,21.71,20.75,553400.0
2010-03-18,21.69,21.61,22.05,21.48,372540.0
2010-03-19,21.44,21.81,21.81,21.24,339110.0
2010-03-22,22.52,21.3,22.58,21.3,510170.0
2010-03-23,23.07,22.62,23.47,22.41,488710.0
2010-03-24,22.68,23.05,23.09,22.56,307060.0
2010-03-25,22.9,22.76,23.3,22.59,360250.0
2010-03-26,22.09,22.91,22.93,21.67,455480.0
2010-03-29,21.89,22.12,22.33,21.77,262870.0
2010-03-30,22.37,21.98,22.45,21.98,331150.0
2010-03-31,22.3,22.3,22.57,22.12,309850.0
2010-04-01,22.66,22.49,22.95,22.42,249800.0
2010-04-05,22.83,22.65,23.14,22.64,133560.0
2010-04-06,22.78,22.73,22.98,22.52,119290.0
2010-04-07,22.82,22.69,23.03,22.46,112800.0
2010-04-08,22.81,22.68,22.97,22.5,215150.0
2010-04-09,22.91,22.78,22.99,22.68,174550.0
2010-04-12,23.18,22.99,23.18,22.9,174560.0
2010-04-13,23.67,23.06,23.68,22.93,445280.0
2010-04-14,24.75,23.85,24.85,23.8,596740.0
2010-04-15,24.55,24.61,24.73,24.35,135630.0
2010-04-16,24.21,24.56,24.56,23.91,241290.0
2010-04-19,24.11,24.05,24.4,23.68,191900.0
2010-04-20,24.37,24.23,24.42,24.12,142550.0
2010-04-21,24.39,24.31,24.5,24.04,145920.0
2010-04-22,24.61,24.14,24.7,23.92,277270.0
2010-04-23,24.69,24.55,24.69,24.18,114820.0
2010-04-26,24.59,24.51,24.7,24.37,175180.0
2010-04-27,24.18,24.46,24.67,24.08,223420.0
2010-04-28,24.35,24.26,24.56,24.09,298160.0
2010-04-29,24.91,24.49,25.0,23.91,570660.0
2010-04-30,24.65,24.8,25.34,24.55,1090000.0
2010-05-03,24.15,24.87,25.23,24.09,487590.0
2010-05-04,22.9,23.82,23.92,22.67,602600.0
2010-05-05,22.59,22.66,23.4,22.5,249810.0
2010-05-06,21.81,22.5,23.0,20.06,581440.0
2010-05-07,20.63,21.62,21.62,20.34,671800.0
2010-05-10,21.99,21.31,22.03,21.31,282420.0
2010-05-11,21.58,21.65,22.03,21.48,282490.0
2010-05-12,21.3,21.57,21.59,21.05,430860.0
2010-05-13,20.81,21.25,21.41,20.33,1120000.0
2010-05-14,20.51,20.62,20.77,20.0,457760.0
2010-05-17,20.19,20.11,20.7,19.94,672500.0
2010-05-18,19.58,20.47,20.51,19.32,574980.0
2010-05-19,20.03,19.55,20.37,19.55,555640.0
2010-05-20,19.32,19.57,19.76,19.23,571280.0
2010-05-21,20.08,19.11,20.62,19.06,834260.0
2010-05-24,19.44,20.04,20.11,19.35,467010.0
2010-05-25,19.36,19.14,19.41,18.53,836390.0
2010-05-26,19.47,19.45,20.05,19.34,334670.0
2010-05-27,19.97,19.86,20.05,19.55,275420.0
2010-05-28,19.19,19.9,19.9,19.06,390620.0
2010-06-01,18.84,19.0,19.7,18.75,747930.0
2010-06-02,19.3,19.04,19.33,18.68,214250.0
2010-06-03,19.73,19.38,19.97,19.38,301680.0
2010-06-04,18.92,19.2,19.67,18.83,317480.0
2010-06-07,17.98,18.93,19.07,17.85,457950.0
2010-06-08,17.56,18.01,18.12,17.34,481220.0
2010-06-09,17.95,17.76,18.19,17.47,733610.0
2010-06-10,18.35,18.33,18.44,17.95,376250.0
2010-06-11,18.56,18.18,18.68,18.02,245270.0
2010-06-14,18.61,18.72,19.02,18.59,218520.0
2010-06-15,19.81,18.85,19.96,18.8,540950.0
2010-06-16,20.46,19.75,20.71,19.54,629750.0
2010-06-17,20.83,20.65,21.07,20.31,475600.0
2010-06-18,20.37,20.97,20.97,20.33,275360.0
2010-06-21,19.91,20.7,21.06,19.74,216380.0
2010-06-22,18.99,19.92,20.18,18.97,749000.0
2010-06-23,18.72,18.96,19.0,18.51,348080.0
2010-06-24,18.14,18.54,18.85,18.11,388840.0
2010-06-25,18.37,18.19,18.51,17.88,807120.0
2010-06-28,18.39,18.21,18.7,18.21,332450.0
2010-06-29,17.93,17.99,18.27,17.62,296690.0
2010-06-30,17.86,17.88,18.14,17.73,314160.0
2010-07-01,17.69,17.84,18.02,17.38,405960.0
2010-07-02,17.57,17.77,17.85,17.38,130690.0
2010-07-06,17.36,17.88,18.09,17.25,198880.0
2010-07-07,18.11,17.37,18.21,17.29,261610.0
2010-07-08,18.25,18.3,18.52,18.04,210960.0
2010-07-09,18.39,17.74,18.46,17.39,288000.0
2010-07-12,18.77,18.35,18.84,18.14,197090.0
2010-07-13,19.23,19.11,19.44,18.88,311130.0
2010-07-14,19.03,19.47,19.47,18.94,261670.00000000003
2010-07-15,19.0,19.01,19.34,18.68,194490.0
2010-07-16,18.52,18.86,18.86,18.43,213570.0
2010-07-19,19.03,18.59,19.06,18.43,139190.0
2010-07-20,18.53,18.77,18.97,18.2,342020.0
2010-07-21,18.24,18.71,18.75,18.18,224770.0
2010-07-22,18.58,18.5,18.76,18.44,303190.0
2010-07-23,18.59,18.47,18.76,18.31,312890.0
2010-07-26,19.4,18.69,19.44,18.56,590440.0
2010-07-27,19.69,19.55,19.9,19.43,466720.0
2010-07-28,19.17,19.6,19.7,19.0,389140.0
2010-07-29,18.23,19.64,19.72,18.19,1280000.0
2010-07-30,17.62,18.02,18.07,17.53,1240000.0
2010-08-02,17.18,17.7,17.75,17.17,1180000.0
2010-08-03,17.04,17.23,17.29,16.92,704470.0
2010-08-04,17.24,17.09,17.28,16.99,686440.0
2010-08-05,17.6,17.21,17.67,17.1,612100.0
2010-08-06,17.95,17.3,18.05,17.3,549960.0
2010-08-09,18.38,18.13,18.41,17.62,275460.0
2010-08-10,17.97,18.15,18.29,17.93,288010.0
2010-08-11,17.1,17.17,17.27,15.9,1180000.0
2010-08-12,17.27,16.75,17.5,16.75,581500.0
