Date,Close,Open,High,Low,Volume
2010-01-04,712.7,697.9,712.7,691.1,61860.0
2010-01-05,715.0,703.3,717.4,693.2,40190.0
2010-01-06,717.2,715.0,719.0,708.0,16090.0
2010-01-07,730.5,719.1,741.0,718.0,56720.0
2010-01-08,725.0,725.3,732.7,719.0,26990.0
2010-01-11,709.9,726.5,727.3,705.0,33920.0
2010-01-12,710.3,706.0,715.5,699.3,29020.0
2010-01-13,715.6,710.7,719.0,703.0,35690.0
2010-01-14,722.1,715.0,722.4,713.1,14460.0
2010-01-15,715.0,720.0,722.0,711.4,38650.0
2010-01-19,728.3,709.0,728.3,708.4,40060.0
2010-01-20,724.3,717.2,729.1,717.0,30900.0
2010-01-21,721.5,727.3,727.6,717.1,31640.0
2010-01-22,714.6,721.5,735.0,714.3,22560.0
2010-01-25,712.0,719.0,722.5,706.2,28060.0
2010-01-26,708.7,708.3,714.5,706.0,27530.0
2010-01-27,690.7,708.7,708.7,681.0,92490.0
2010-01-28,673.1,689.0,695.0,672.4,48620.0
2010-01-29,684.1,674.0,689.5,667.2,70140.0
2010-02-01,676.5,683.0,685.8,673.5,27820.0
2010-02-02,685.0,679.7,693.4,679.7,43100.0
2010-02-03,673.9,680.0,690.1,671.0,31790.0
2010-02-04,670.0,671.2,677.4,664.6,39470.0
2010-02-05,661.6,670.0,670.5,655.6,27360.0
2010-02-08,673.9,661.6,682.9,655.0,66430.0
2010-02-09,679.2,677.7,682.1,671.5,28210.0
2010-02-10,671.1,676.1,676.1,662.0,20640.0
2010-02-11,673.8,668.1,680.0,668.1,35280.0
2010-02-12,691.0,673.8,691.0,673.1,65140.0
2010-02-16,705.2,697.7,707.5,694.1,21790.0
2010-02-17,710.0,706.5,710.0,702.8,27720.0
2010-02-18,708.4,708.9,709.7,702.1,27100.0
2010-02-19,710.0,708.8,710.0,705.1,22100.0
2010-02-22,710.0,707.9,710.0,701.7,27550.0
2010-02-23,695.2,708.0,709.1,695.1,62310.0
2010-02-24,696.5,698.2,702.5,688.0,30740.0
2010-02-25,695.6,691.3,695.8,679.0,30030.0
2010-02-26,708.3,695.5,708.3,689.0,59680.0
2010-03-01,709.8,708.0,711.3,706.2,20480.0
2010-03-02,712.3,709.7,712.3,708.3,17650.0
2010-03-03,716.5,714.6,719.8,712.8,18110.0
2010-03-04,712.3,716.0,717.8,706.3,26630.0
2010-03-05,740.1,716.9,741.3,716.9,36870.0
2010-03-08,752.5,735.7,753.9,734.0,50660.0
2010-03-09,744.5,748.2,753.0,744.5,44490.0
2010-03-10,748.2,741.0,748.2,739.5,28500.0
2010-03-11,742.6,743.3,745.6,734.5,28970.0
2010-03-12,738.0,742.6,742.6,734.1,23680.0
2010-03-15,730.8,738.0,740.4,722.5,25950.0
2010-03-16,745.0,735.0,745.9,727.7,24590.0
2010-03-17,751.3,743.7,756.0,743.7,35650.0
2010-03-18,752.5,748.0,753.8,748.0,18460.0
