Date,Close,Open,High,Low,Volume
2010-01-04,13.02,13.64,13.83,12.89,2380000.0
2010-01-05,13.3,12.96,13.34,12.67,2670000.0
2010-01-06,13.54,13.27,13.86,13.27,1710000.0
2010-01-07,12.89,13.17,13.67,12.88,2080000.0
2010-01-08,13.07,13.02,13.27,12.86,2089999.9999999998
2010-01-11,12.99,13.11,13.19,12.88,900920.0
2010-01-12,12.92,12.95,13.18,12.74,1500000.0
2010-01-13,13.0,12.96,13.08,12.77,902970.0
2010-01-14,12.96,12.65,13.36,12.65,1190000.0
2010-01-15,12.63,13.0,13.0,12.46,1940000.0
2010-01-19,12.39,12.59,12.68,12.24,1630000.0
2010-01-20,12.24,12.36,12.36,12.07,1080000.0
2010-01-21,11.94,12.27,12.44,11.89,1500000.0
2010-01-22,11.8,11.93,12.03,11.72,1050000.0
2010-01-25,11.86,11.91,11.99,11.71,949860.0
2010-01-26,12.0,11.87,12.08,11.78,987840.0
2010-01-27,12.11,12.0,12.13,11.98,1990000.0
2010-01-28,12.28,12.47,12.92,12.17,3430000.0
2010-01-29,12.22,12.29,12.44,12.15,1560000.0
2010-02-01,12.49,12.26,12.58,12.22,1460000.0
2010-02-02,12.46,12.51,12.56,12.35,1300000.0
2010-02-03,12.61,12.4,12.67,12.33,914430.0
2010-02-04,12.36,12.56,12.56,12.36,937210.0
2010-02-05,12.27,12.35,12.52,12.04,1350000.0
2010-02-08,12.26,12.29,12.57,12.09,1190000.0
2010-02-09,12.57,12.42,12.64,12.28,919500.0
2010-02-10,12.52,12.5,12.57,12.29,1050000.0
2010-02-11,12.62,12.45,12.71,12.22,1290000.0
2010-02-12,12.68,12.56,12.68,12.34,819540.0
2010-02-16,12.59,12.7,12.7,12.42,958530.0
2010-02-17,12.86,12.66,12.87,12.61,1410000.0
2010-02-18,12.81,12.82,13.06,12.78,1380000.0
2010-02-19,12.96,12.82,12.99,12.78,906550.0
2010-02-22,13.25,12.95,13.29,12.92,1150000.0
2010-02-23,13.15,13.2,13.24,12.92,1260000.0
2010-02-24,13.37,13.15,13.42,13.14,1000000.0
2010-02-25,13.55,13.27,13.57,13.19,815660.0
2010-02-26,13.66,13.52,13.71,13.39,484820.0
2010-03-01,13.53,13.68,13.7,13.46,977740.0
2010-03-02,13.48,13.51,13.56,13.4,613920.0
2010-03-03,13.62,13.52,13.72,13.38,592930.0
2010-03-04,13.63,13.61,13.72,13.56,429860.0
2010-03-05,13.84,13.65,13.91,13.53,747380.0
2010-03-08,14.24,13.96,14.45,13.96,1310000.0
2010-03-09,14.81,14.27,15.09,14.27,2060000.0
2010-03-10,14.81,14.77,15.24,14.55,1290000.0
2010-03-11,14.92,14.73,15.0,14.72,486660.0
2010-03-12,14.9,14.99,15.01,14.56,756420.0
2010-03-15,14.89,14.84,14.98,14.68,532840.0
2010-03-16,15.32,14.89,15.33,14.89,716170.0
2010-03-17,15.11,15.35,15.38,15.03,745800.0
2010-03-18,14.96,15.04,15.11,14.78,961250.0
2010-03-19,14.81,15.03,15.03,14.74,761180.0
2010-03-22,14.9,14.7,15.0,14.62,552560.0
2010-03-23,14.93,14.95,15.04,14.86,568030.0
2010-03-24,14.75,14.92,14.97,14.72,414610.0
2010-03-25,14.73,14.86,15.08,14.71,406280.0
2010-03-26,14.71,14.73,14.87,14.49,499250.0
2010-03-29,14.68,14.78,14.94,14.6,348980.0
2010-03-30,14.85,14.73,14.86,14.63,375650.0
2010-03-31,14.84,14.8,15.03,14.61,737980.0
2010-04-01,14.71,14.94,15.19,14.61,1610000.0
2010-04-05,15.0,14.77,15.0,14.63,468920.0
2010-04-06,15.28,15.01,15.49,14.89,1170000.0
2010-04-07,15.4,15.28,15.41,15.04,875590.0
2010-04-08,15.52,15.32,15.54,15.19,700270.0
2010-04-09,15.45,15.47,15.48,15.32,690860.0
2010-04-12,15.43,15.44,15.65,15.37,676870.0
2010-04-13,15.36,15.4,15.47,15.21,602340.0
2010-04-14,15.97,15.46,15.99,15.4,2069999.9999999998
2010-04-15,16.57,16.02,16.97,16.01,1590000.0
2010-04-16,16.5,16.58,16.58,16.24,664210.0
2010-04-19,16.3,16.4,16.5,16.05,527410.0
2010-04-20,16.13,16.38,16.54,15.9,654610.0
2010-04-21,16.25,16.22,16.29,15.9,675990.0
2010-04-22,16.36,16.13,16.42,15.87,918040.0
2010-04-23,16.6,16.39,16.72,16.31,666000.0
2010-04-26,16.88,16.63,16.96,16.47,783050.0
2010-04-27,16.67,16.78,17.26,16.52,1270000.0
2010-04-28,15.84,16.7,16.79,15.68,2370000.0
2010-04-29,16.45,15.98,16.52,15.98,1130000.0
2010-04-30,15.95,16.51,16.78,15.92,817590.0
