Date,Close,Open,High,Low,Volume
2010-01-04,61.12,61.11,61.31,60.63,9190000.0
2010-01-05,61.14,61.13,61.28,60.6,8650000.0
2010-01-06,60.85,60.94,60.96,60.5,9910000.0
2010-01-07,60.52,60.58,60.7,60.24,8970000.0
2010-01-08,60.44,60.36,60.53,60.06,8470000.0
2010-01-11,60.2,60.08,60.27,59.01,14780000.0
2010-01-12,60.89,60.7,61.36,60.5,13460000.0
2010-01-13,61.52,61.04,61.79,60.91,16970000.0
2010-01-14,61.58,61.42,61.74,61.38,9140000.0
2010-01-15,60.82,61.6,61.86,60.44,15770000.0
2010-01-19,61.72,60.8,61.83,60.8,11580000.0
2010-01-20,60.45,60.97,61.04,60.1,11560000.0
2010-01-21,59.84,60.56,60.93,59.45,14300000.0
2010-01-22,60.31,59.75,60.69,59.22,17700000.0
2010-01-25,60.63,60.83,60.98,60.15,11630000.0
2010-01-26,60.69,60.17,60.95,60.0,13080000.0
2010-01-27,60.81,60.46,60.98,59.95,15230000.0
2010-01-28,61.68,61.67,63.31,61.58,26930000.0
2010-01-29,61.55,61.91,62.24,61.47,17070000.0
2010-02-01,61.99,61.85,62.24,61.51,12910000.0
2010-02-02,62.9,61.93,63.04,61.66,17680000.0
2010-02-03,62.65,62.74,62.86,62.36,11080000.0
2010-02-04,61.4,62.2,62.34,61.31,14310000.0
2010-02-05,61.3,61.09,61.44,60.43,14840000.0
2010-02-08,61.01,61.06,61.51,60.81,11430000.0
2010-02-09,61.76,61.38,62.0,61.01,11430000.0
2010-02-10,61.67,61.74,61.85,61.22,9850000.0
2010-02-11,61.96,61.42,62.16,61.27,10380000.0
2010-02-12,61.76,61.76,62.13,61.29,16190000.000000002
2010-02-16,62.83,62.6,62.87,62.35,13270000.0
2010-02-17,62.85,62.8,62.97,62.51,14380000.0
2010-02-18,63.39,62.73,63.5,62.35,17710000.0
2010-02-19,63.45,63.27,63.74,63.02,10900000.0
2010-02-22,63.42,63.69,63.88,63.3,9680000.0
2010-02-23,63.21,63.23,63.82,62.92,11950000.0
2010-02-24,63.89,63.22,63.96,63.13,12810000.0
2010-02-25,63.7,63.23,63.86,63.01,10090000.0
2010-02-26,63.28,63.75,63.88,63.14,10640000.0
2010-03-01,63.51,63.46,63.8,63.15,7750000.0
2010-03-02,63.71,63.72,63.87,63.34,8000000.0
2010-03-03,63.55,63.66,63.9,63.43,8610000.0
2010-03-04,63.67,63.65,64.15,63.41,8600000.0
2010-03-05,63.69,63.69,63.78,63.05,10100000.0
2010-03-08,63.19,63.55,63.67,63.03,11290000.0
2010-03-09,63.3,63.08,63.5,63.05,7100000.0
2010-03-10,63.01,63.23,63.29,62.86,9810000.0
2010-03-11,63.17,62.76,63.18,62.51,10050000.0
2010-03-12,63.32,63.33,63.55,63.06,8100000.0
2010-03-15,63.7,63.19,63.7,63.19,7680000.0
2010-03-16,63.53,63.72,63.9,63.42,8940000.0
2010-03-17,64.01,63.78,64.03,63.37,10140000.0
2010-03-18,63.73,63.9,64.13,63.65,8870000.0
2010-03-19,63.84,63.83,64.0,63.52,17460000.0
2010-03-22,63.88,63.52,64.09,63.52,9650000.0
2010-03-23,64.53,63.93,64.58,63.66,11810000.0
2010-03-24,63.61,64.33,64.4,63.48,11730000.0
2010-03-25,63.62,63.94,64.12,63.58,8199999.999999999
2010-03-26,63.69,63.68,63.93,63.4,10630000.0
2010-03-29,63.73,63.73,64.04,63.59,8180000.0
2010-03-30,63.66,63.73,63.97,63.51,6110000.0
2010-03-31,63.27,63.53,63.67,63.18,8189999.999999999
2010-04-01,63.36,63.47,63.7,63.2,10550000.0
2010-04-05,63.76,63.39,63.89,63.3,8580000.0
2010-04-06,63.11,63.58,63.59,63.01,11050000.0
2010-04-07,62.5,62.91,63.0,62.21,14040000.0
