Date,Close,Open,High,Low,Volume
2010-01-04,19.34,19.35,19.48,19.15,217070.0
2010-01-05,19.54,19.29,19.61,19.24,754870.0
2010-01-06,18.91,18.55,19.28,18.55,837890.0
2010-01-07,18.79,18.84,19.07,18.5,331670.0
2010-01-08,18.65,18.7,18.81,18.58,392470.0
2010-01-11,18.51,18.7,18.79,18.19,399110.0
2010-01-12,18.46,18.33,18.57,18.27,414600.0
2010-01-13,18.94,18.53,19.03,18.45,342720.0
2010-01-14,19.07,18.83,19.12,18.71,312330.0
2010-01-15,19.27,19.14,19.4,18.9,746610.0
2010-01-19,19.74,18.82,19.96,18.82,810620.0
2010-01-20,19.49,19.6,19.73,19.32,236090.0
2010-01-21,19.5,19.58,19.81,19.45,448680.0
2010-01-22,19.22,19.5,19.69,19.11,373890.0
2010-01-25,19.11,19.37,19.41,18.98,296430.0
2010-01-26,18.9,19.05,19.3,18.9,257130.0
2010-01-27,19.0,18.82,19.0,18.72,198790.0
2010-01-28,18.86,18.98,19.09,18.55,220260.0
2010-01-29,18.36,18.91,19.14,18.32,421870.0
2010-02-01,18.9,18.41,18.94,18.37,309290.0
2010-02-02,18.85,18.86,19.09,18.76,285430.0
2010-02-03,18.95,18.72,19.0,18.5,275190.0
2010-02-04,18.47,18.86,18.86,18.45,345140.0
2010-02-05,18.43,18.54,18.54,18.17,372380.0
2010-02-08,18.58,18.46,18.75,18.41,235000.0
2010-02-09,19.5,19.0,20.41,19.0,1120000.0
2010-02-10,19.57,19.52,19.82,19.32,508660.0
2010-02-11,19.99,19.45,20.19,19.45,454500.0
2010-02-12,20.6,19.87,20.62,19.74,523970.0
2010-02-16,21.13,20.65,21.23,20.56,551200.0
2010-02-17,20.99,21.21,21.48,20.83,606730.0
2010-02-18,20.58,20.84,20.84,19.95,783820.0
2010-02-19,20.66,20.47,20.68,20.2,541810.0
2010-02-22,20.71,20.65,20.84,20.42,434640.0
2010-02-23,20.32,20.69,20.69,20.26,404170.0
2010-02-24,20.34,20.4,20.47,20.21,337950.0
2010-02-25,20.43,20.11,20.45,20.11,333670.0
2010-02-26,19.98,20.38,20.38,19.95,192000.0
2010-03-01,20.24,20.14,20.46,19.93,376740.0
2010-03-02,20.5,20.33,20.53,20.2,207370.0
2010-03-03,20.87,20.59,21.09,20.55,246650.0
2010-03-04,20.94,20.94,21.0,20.65,114850.0
2010-03-05,21.48,20.9,21.52,20.74,404550.0
2010-03-08,21.55,21.55,21.93,21.5,397990.0
2010-03-09,21.91,21.45,22.03,21.45,642400.0
2010-03-10,22.13,21.88,22.23,21.88,535760.0
2010-03-11,22.05,21.94,22.2,21.86,183010.0
2010-03-12,22.08,22.21,22.21,21.83,236560.0
2010-03-15,22.14,21.94,22.21,21.93,231390.0
2010-03-16,22.82,22.19,22.82,22.1,252080.0
2010-03-17,22.71,22.79,22.85,22.63,226770.0
2010-03-18,22.71,22.75,22.9,22.61,139030.0
2010-03-19,22.91,22.84,23.16,22.68,492260.0
2010-03-22,23.4,22.76,23.4,22.76,311530.0
2010-03-23,23.68,23.44,23.7,23.26,260930.0
2010-03-24,23.26,23.54,23.67,23.2,169850.0
2010-03-25,23.1,23.3,23.57,23.06,360250.0
2010-03-26,22.97,23.06,23.32,22.87,297680.0
2010-03-29,23.11,23.09,23.26,23.0,165990.0
2010-03-30,23.06,23.21,23.22,22.64,359280.0
2010-03-31,22.64,22.91,23.3,22.64,216440.0
2010-04-01,22.6,22.7,22.98,22.29,228930.0
2010-04-05,23.43,22.61,23.43,22.56,264930.0
2010-04-06,23.15,23.35,23.35,23.13,161890.0
2010-04-07,22.84,23.06,23.26,22.77,279060.0
2010-04-08,22.91,22.69,22.95,22.39,123960.0
2010-04-09,22.76,22.82,22.87,22.32,135390.0
2010-04-12,22.61,22.83,22.83,22.5,170070.0
2010-04-13,22.57,22.63,22.63,22.36,207100.0
2010-04-14,22.97,22.62,22.97,22.52,280300.0
2010-04-15,23.63,22.9,23.66,22.9,459370.0
2010-04-16,23.89,23.63,23.97,23.5,329880.0
2010-04-19,24.93,24.72,25.0,24.21,709240.0
2010-04-20,24.91,25.0,25.26,24.69,486970.0
2010-04-21,24.42,24.86,25.0,24.38,763110.0
2010-04-22,25.32,24.59,25.46,24.27,947640.0
2010-04-23,25.52,25.44,25.87,25.02,827670.0
