Date,Close,Open,High,Low,Volume
2010-01-04,71.63,70.21,71.86,69.86,6100000.0
2010-01-05,70.56,71.64,71.64,70.28,5000000.0
2010-01-06,70.19,70.56,70.83,70.03,4730000.0
2010-01-07,70.49,70.01,70.62,69.57,4260000.0
2010-01-08,70.63,70.26,70.7,70.25,4650000.0
2010-01-11,72.16,70.73,72.26,70.73,5530000.0
2010-01-12,71.74,71.8,71.95,71.06,4670000.0
2010-01-13,72.56,71.82,72.66,71.79,4880000.0
2010-01-14,72.81,72.24,72.85,72.12,3550000.0
2010-01-15,71.99,72.83,72.93,71.68,5340000.0
2010-01-19,72.29,71.99,72.94,71.64,3680000.0
2010-01-20,71.43,72.01,72.24,70.63,3670000.0
2010-01-21,70.13,71.45,71.85,69.75,5110000.0
2010-01-22,69.08,69.87,70.29,69.0,5810000.0
2010-01-25,68.59,69.51,69.51,68.56,5000000.0
2010-01-26,68.47,68.0,68.86,67.8,5000000.0
2010-01-27,67.61,67.26,67.85,66.5,7690000.0
2010-01-28,67.37,67.69,67.83,66.55,5580000.0
2010-01-29,67.48,67.39,68.49,66.64,7230000.0
2010-02-01,67.55,67.76,67.97,67.2,4920000.0
2010-02-02,68.03,67.89,68.43,67.69,6130000.0
2010-02-03,68.24,67.82,68.43,67.7,4150000.0000000005
2010-02-04,66.38,67.87,67.95,66.34,5980000.0
2010-02-05,66.5,66.38,67.0,65.05,7830000.0
2010-02-08,65.4,66.28,66.33,65.31,5260000.0
2010-02-09,66.52,66.2,67.11,65.71,5280000.0
2010-02-10,66.64,66.52,66.93,66.11,4930000.0
2010-02-11,66.71,66.36,66.85,65.86,5500000.0
2010-02-12,65.69,65.9,66.26,65.01,7960000.0
2010-02-16,66.33,66.06,66.43,65.56,6290000.0
2010-02-17,67.35,66.3,67.53,65.82,5990000.0
2010-02-18,68.11,67.53,68.29,67.42,4120000.0
2010-02-19,68.52,68.24,68.9,68.11,5300000.0
2010-02-22,68.4,68.84,68.92,68.13,3310000.0
2010-02-23,67.79,68.38,68.75,67.72,4150000.0000000005
2010-02-24,68.62,68.19,68.7,67.79,4840000.0
2010-02-25,68.67,67.57,68.7,67.05,5920000.0
2010-02-26,68.65,68.67,68.98,68.14,3970000.0
2010-03-01,69.64,68.84,69.8,68.84,3700000.0
2010-03-02,69.75,69.89,70.0,69.64,5960000.0
2010-03-03,69.6,69.84,70.38,69.43,4840000.0
2010-03-04,70.37,69.66,70.79,69.64,5650000.0
2010-03-05,71.25,70.57,71.31,70.57,4059999.9999999995
2010-03-08,70.76,71.19,71.42,70.76,4019999.9999999995
2010-03-09,71.78,71.51,72.25,71.16,5560000.0
2010-03-10,71.79,71.97,72.22,71.38,4900000.0
2010-03-11,72.04,71.95,72.04,71.26,4980000.0
2010-03-12,71.53,71.79,72.45,71.14,5810000.0
2010-03-15,71.84,71.51,72.11,71.32,5460000.0
2010-03-16,72.4,71.97,72.5,71.59,5150000.0
2010-03-17,72.19,72.63,72.8,72.06,4490000.0
2010-03-18,72.5,72.08,72.55,72.06,3170000.0
2010-03-19,73.24,72.76,73.73,72.72,9200000.0
2010-03-22,72.61,72.66,73.03,72.57,5180000.0
2010-03-23,73.09,72.72,73.17,72.58,4960000.0
2010-03-24,73.04,72.98,73.54,72.76,4179999.9999999995
2010-03-25,73.27,73.41,73.82,73.18,3940000.0
2010-03-26,73.62,73.46,74.07,73.46,4790000.0
2010-03-29,74.0,73.79,74.32,73.63,3030000.0
2010-03-30,74.13,74.22,74.85,73.95,2880000.0
2010-03-31,73.61,73.93,74.33,73.42,3760000.0
2010-04-01,74.13,73.87,74.48,73.54,3460000.0
2010-04-05,74.85,74.32,74.95,74.22,4500000.0
2010-04-06,74.67,74.54,74.97,74.42,3690000.0
2010-04-07,73.99,74.55,74.64,73.53,5230000.0
2010-04-08,73.7,73.69,73.91,73.28,3350000.0
2010-04-09,73.99,73.71,74.0,73.41,2820000.0
2010-04-12,73.76,74.36,74.36,73.59,3790000.0
2010-04-13,73.46,73.58,73.71,72.93,4420000.0
2010-04-14,74.0,73.33,74.05,73.13,3380000.0
2010-04-15,74.61,73.89,74.72,73.76,3360000.0
2010-04-16,73.69,74.66,74.78,73.21,7570000.0
2010-04-19,73.76,73.46,73.81,73.0,5120000.0
2010-04-20,74.2,74.13,74.68,73.27,4980000.0
2010-04-21,76.93,73.63,77.09,73.63,10710000.0
2010-04-22,76.43,76.63,76.75,75.94,8610000.0
2010-04-23,76.47,76.52,76.78,75.78,4710000.0
2010-04-26,76.4,76.57,77.08,76.26,3460000.0
2010-04-27,74.32,76.21,76.35,74.07,6240000.0
2010-04-28,74.66,74.64,74.9,73.56,6120000.0
2010-04-29,76.02,75.31,76.35,75.16,4970000.0
2010-04-30,74.95,76.02,76.49,74.9,5070000.0
2010-05-03,76.28,75.26,76.38,75.14,4120000.0
2010-05-04,74.16,75.61,75.61,73.45,5430000.0
2010-05-05,73.59,73.59,74.31,72.83,6180000.0
2010-05-06,71.24,73.05,74.0,65.17,9270000.0
2010-05-07,69.46,70.85,71.46,68.86,10290000.0
2010-05-10,73.04,72.54,73.35,72.0,7690000.0
2010-05-11,73.13,72.34,74.25,72.33,5970000.0
2010-05-12,73.15,73.05,73.43,72.58,5070000.0
2010-05-13,72.86,73.11,74.11,72.73,5280000.0
2010-05-14,71.58,72.35,72.61,70.69,6650000.0
2010-05-17,71.03,71.71,72.0,69.92,5980000.0
2010-05-18,70.68,71.56,71.94,70.48,6040000.0
2010-05-19,69.35,70.16,70.75,68.66,8500000.0
2010-05-20,66.43,67.8,68.56,66.36,10900000.0
2010-05-21,66.44,64.58,67.11,64.58,10630000.0
2010-05-24,66.13,66.66,66.79,65.81,5350000.0
2010-05-25,66.16,64.34,66.31,63.79,7860000.0
2010-05-26,66.15,66.82,67.75,66.0,6560000.0
2010-05-27,68.11,67.34,68.11,66.99,5080000.0
2010-05-28,67.38,68.25,68.41,67.04,4810000.0
2010-06-01,66.05,66.59,67.47,65.93,5130000.0
2010-06-02,67.46,66.47,67.53,65.97,4300000.0
2010-06-03,67.85,67.76,68.25,67.28,3910000.0
2010-06-04,65.14,66.62,66.81,64.88,6460000.0
2010-06-07,63.22,65.26,65.45,63.15,8310000.000000001
2010-06-08,64.21,63.25,64.27,62.88,7430000.0
2010-06-09,63.42,64.45,64.81,63.27,8000000.0
2010-06-10,65.49,64.53,65.62,63.86,5870000.0
2010-06-11,66.23,64.93,66.29,64.55,4580000.0
2010-06-14,66.9,66.49,67.83,66.44,6660000.0
2010-06-15,68.6,67.02,68.66,66.96,4940000.0
2010-06-16,68.59,68.18,68.71,68.05,4059999.9999999995
2010-06-17,68.56,68.65,68.7,67.71,4350000.0
2010-06-18,69.18,68.65,69.25,68.51,6190000.0
2010-06-21,69.37,70.34,70.62,69.04,4520000.0
2010-06-22,67.99,69.3,69.67,67.85,4200000.0
2010-06-23,67.99,68.18,68.69,67.46,5070000.0
2010-06-24,67.35,67.89,68.51,67.16,5510000.0
2010-06-25,67.86,67.43,67.89,66.81,7920000.0
2010-06-28,67.11,67.91,67.96,66.82,3320000.0
2010-06-29,64.97,66.09,66.77,64.32,7030000.0
2010-06-30,64.91,64.99,65.85,64.43,6560000.0
2010-07-01,64.39,64.85,64.91,63.62,5680000.0
2010-07-02,64.29,64.45,64.93,63.84,3990000.0
2010-07-06,64.59,64.81,65.22,63.91,5780000.0
2010-07-07,66.55,64.6,66.59,64.56,5260000.0
2010-07-08,67.23,67.07,67.24,66.29,3640000.0
2010-07-09,67.51,67.28,67.7,66.88,2920000.0
2010-07-12,66.68,67.18,67.59,66.27,3790000.0
2010-07-13,67.76,67.18,68.32,67.18,5040000.0
2010-07-14,68.01,67.63,68.34,67.38,3440000.0
2010-07-15,68.15,67.96,68.36,67.17,4330000.0
2010-07-16,66.03,67.95,68.02,65.88,4500000.0
2010-07-19,66.39,66.42,66.9,66.12,4730000.0
2010-07-20,67.54,65.75,67.74,65.75,5260000.0
2010-07-21,67.03,67.67,68.73,66.53,6600000.0
2010-07-22,69.53,68.01,69.91,68.01,5200000.0
2010-07-23,70.9,69.48,71.14,69.16,4670000.0
2010-07-26,71.59,70.62,71.79,70.35,4540000.0
2010-07-27,71.09,71.96,71.97,70.75,4620000.0
2010-07-28,71.11,71.07,71.47,70.78,3670000.0
2010-07-29,71.15,71.48,72.0,70.49,5160000.0
2010-07-30,71.1,70.56,71.5,69.79,4730000.0
2010-08-02,72.61,72.04,72.85,71.77,3800000.0
2010-08-03,72.03,72.25,72.78,71.98,3560000.0
2010-08-04,72.67,72.21,72.94,72.06,2810000.0
2010-08-05,73.2,72.38,73.35,72.11,3070000.0
2010-08-06,72.73,72.4,73.2,71.68,3210000.0
2010-08-09,73.35,73.34,73.6,72.89,2670000.0
2010-08-10,73.39,72.82,73.81,71.93,4099999.9999999995
2010-08-11,71.27,72.16,72.33,70.77,4840000.0
2010-08-12,70.58,70.35,70.94,70.29,2870000.0
2010-08-13,70.7,70.27,70.98,70.13,2470000.0
2010-08-16,70.35,70.2,70.78,69.5,2600000.0
2010-08-17,70.51,70.85,71.33,69.91,6490000.0
2010-08-18,69.93,70.34,70.6,69.29,4940000.0
2010-08-19,68.51,69.62,70.14,68.02,6070000.0
2010-08-20,68.12,67.55,68.7,67.41,3820000.0
2010-08-23,67.22,68.54,68.97,67.21,3950000.0
2010-08-24,65.66,66.33,66.57,65.39,5290000.0
2010-08-25,65.26,65.14,65.75,64.57,6610000.0
2010-08-26,65.05,65.51,65.83,64.95,5600000.0
2010-08-27,66.57,65.99,66.68,64.99,5070000.0
2010-08-30,65.39,66.47,66.47,65.39,3370000.0
2010-08-31,65.21,65.12,65.73,64.67,5200000.0
2010-09-01,67.37,66.03,67.58,65.68,5230000.0
2010-09-02,67.44,67.11,67.44,66.91,3840000.0
2010-09-03,68.26,68.03,68.56,67.48,4320000.0
2010-09-07,67.98,68.01,68.41,67.67,3760000.0
2010-09-08,68.47,68.06,68.94,68.03,3080000.0
2010-09-09,68.62,69.35,69.45,68.25,2690000.0
2010-09-10,68.89,68.9,69.15,68.48,3030000.0
2010-09-13,68.79,69.33,69.8,68.28,4480000.0
2010-09-14,68.72,68.72,69.31,68.36,3470000.0
2010-09-15,68.27,68.7,68.7,68.05,3690000.0
2010-09-16,68.53,68.16,68.68,68.0,2810000.0
2010-09-17,69.53,68.94,69.63,68.56,5200000.0
2010-09-20,70.37,69.7,70.62,69.25,2980000.0
2010-09-21,70.6,70.53,71.22,70.28,4470000.0
2010-09-22,70.58,70.43,71.21,70.43,3060000.0
2010-09-23,69.8,69.96,70.57,69.62,3410000.0
2010-09-24,71.5,70.44,71.68,70.44,2990000.0
2010-09-27,70.91,71.34,71.46,70.85,3730000.0
2010-09-28,71.6,71.15,71.8,70.04,3500000.0
2010-09-29,71.49,71.3,71.78,71.17,2930000.0
2010-09-30,71.23,71.82,72.94,71.0,5020000.0
2010-10-01,71.13,71.68,72.03,70.98,5000000.0
2010-10-04,70.53,71.94,72.03,70.23,4440000.0
2010-10-05,72.51,71.31,72.82,71.24,5540000.0
2010-10-06,72.87,72.38,72.95,72.38,3950000.0
2010-10-07,72.78,72.82,73.05,72.41,3020000.0
2010-10-08,72.91,72.99,73.2,72.3,3510000.0
2010-10-11,72.93,73.11,73.11,72.61,2460000.0
2010-10-12,72.98,72.6,73.27,71.8,3940000.0
2010-10-13,74.18,73.51,74.6,73.36,4990000.0
2010-10-14,74.15,74.19,74.2,73.4,4850000.0
2010-10-15,74.1,74.34,74.87,73.4,4670000.0
2010-10-18,74.56,74.27,74.9,73.98,3830000.0
2010-10-19,73.61,73.8,74.18,72.85,5810000.0
2010-10-20,73.92,72.01,74.28,71.92,8760000.0
2010-10-21,74.97,74.32,75.58,74.25,8870000.0
2010-10-22,74.94,75.25,75.25,74.49,3170000.0
2010-10-25,75.01,75.46,75.57,74.8,4070000.0000000005
2010-10-26,74.67,74.47,74.82,74.03,3530000.0
2010-10-27,74.46,74.22,74.54,73.3,3320000.0
