Date,Close,Open,High,Low,Volume
2010-01-04,28.29,27.97,28.48,27.88,435220.0
2010-01-05,28.26,28.27,28.28,27.97,631420.0
2010-01-06,28.23,28.4,28.48,28.1,569940.0
2010-01-07,27.82,28.2,28.2,27.64,538210.0
2010-01-08,27.68,27.9,27.99,27.55,325130.0
2010-01-11,27.66,27.69,27.86,27.49,393050.0
2010-01-12,27.35,27.4,27.59,27.25,506080.0
2010-01-13,27.78,27.34,27.86,27.34,346030.0
2010-01-14,27.6,27.71,27.82,27.5,294690.0
2010-01-15,27.62,27.6,27.72,27.35,520400.0
2010-01-19,27.66,27.62,28.09,27.58,524540.0
2010-01-20,27.41,27.46,27.79,27.26,914960.0
2010-01-21,27.06,27.5,27.63,26.59,1270000.0
2010-01-22,26.82,26.97,27.16,26.71,531210.0
2010-01-25,26.96,27.0,27.21,26.62,342470.0
2010-01-26,26.75,26.82,26.89,26.55,516669.99999999994
2010-01-27,26.44,26.75,26.75,26.1,945940.0
2010-01-28,26.12,26.52,26.55,25.65,771410.0
2010-01-29,26.08,26.17,26.67,26.01,692230.0
2010-02-01,26.08,26.11,26.21,25.73,1280000.0
2010-02-02,29.53,27.29,29.95,26.29,3790000.0
2010-02-03,29.98,29.38,30.25,28.89,1560000.0
2010-02-04,29.73,29.89,30.47,29.72,1210000.0
2010-02-05,29.69,29.86,30.03,29.23,559610.0
2010-02-08,30.26,29.6,30.4,29.49,586300.0
2010-02-09,30.29,30.45,30.48,29.82,587330.0
2010-02-10,30.22,30.14,30.4,29.59,400600.0
2010-02-11,30.36,30.18,30.42,29.92,316340.0
2010-02-12,30.59,29.97,30.61,29.91,459070.0
2010-02-16,30.84,30.79,30.92,30.28,339940.0
2010-02-17,30.83,30.95,30.95,30.62,516350.0
2010-02-18,31.41,30.75,31.41,30.68,551170.0
2010-02-19,31.61,31.36,31.82,31.12,669830.0
2010-02-22,31.24,31.71,31.71,31.18,344750.0
2010-02-23,31.05,31.1,31.3,31.0,523470.0
2010-02-24,31.63,31.9,31.9,31.18,419730.0
2010-02-25,31.4,31.36,31.64,30.88,222510.0
2010-02-26,31.61,31.35,31.75,31.35,325720.0
2010-03-01,32.17,31.53,32.36,31.53,312020.0
2010-03-02,32.45,32.14,32.81,32.14,584640.0
2010-03-03,31.88,32.12,32.44,31.78,595500.0
2010-03-04,31.6,31.99,31.99,31.5,220140.0
2010-03-05,32.22,31.75,32.25,31.49,378360.0
2010-03-08,31.82,32.13,32.31,31.66,208150.0
2010-03-09,32.0,31.68,32.17,31.6,282440.0
2010-03-10,32.34,31.9,32.34,31.82,295670.0
2010-03-11,32.37,32.26,32.4,31.78,301860.0
2010-03-12,32.34,32.53,32.53,31.83,245410.0
2010-03-15,32.4,32.3,32.49,32.17,210890.0
2010-03-16,32.99,32.5,33.01,32.32,482680.0
2010-03-17,32.86,33.09,33.09,32.8,747140.0
2010-03-18,33.32,32.89,33.46,32.8,333120.0
2010-03-19,33.54,33.44,33.85,33.0,744860.0
2010-03-22,33.8,33.35,34.06,33.08,696610.0
2010-03-23,34.05,33.82,34.13,33.42,319990.0
2010-03-24,33.58,33.88,34.0,33.56,243910.0
2010-03-25,34.23,33.8,34.58,33.56,482610.0
2010-03-26,34.02,34.28,34.46,33.77,311490.0
2010-03-29,34.18,34.03,34.44,33.9,238080.0
2010-03-30,34.16,34.15,34.63,33.93,219700.0
2010-03-31,33.66,34.0,34.22,33.64,326960.0
2010-04-01,34.12,33.77,34.29,33.68,256899.99999999997
2010-04-05,34.29,34.25,34.55,33.65,255370.0
2010-04-06,33.96,34.09,34.25,33.94,252370.0
2010-04-07,35.78,36.05,38.16,35.38,3140000.0
2010-04-08,34.67,35.58,35.58,34.51,974990.0
2010-04-09,35.11,34.68,35.11,34.25,694260.0
2010-04-12,35.65,35.03,35.79,35.03,795960.0
2010-04-13,35.51,35.56,35.65,35.05,398820.0
2010-04-14,36.0,35.66,36.02,35.42,297150.0
2010-04-15,35.66,35.79,36.05,35.55,261519.99999999997
2010-04-16,35.68,35.7,36.18,35.44,308090.0
2010-04-19,35.85,35.54,35.91,35.19,358510.0
2010-04-20,36.21,35.88,36.6,35.49,703130.0
2010-04-21,35.46,36.14,36.23,35.15,463000.0
2010-04-22,34.91,35.21,35.28,34.35,609090.0
2010-04-23,34.92,34.95,35.07,34.62,413130.0
2010-04-26,34.48,34.83,35.01,34.45,357040.0
2010-04-27,34.02,34.46,34.78,33.83,484420.0
2010-04-28,33.99,34.03,34.23,33.89,292130.0
2010-04-29,34.24,34.15,34.46,33.95,319800.0
2010-04-30,33.28,34.18,34.39,33.28,564970.0
2010-05-03,33.87,33.37,34.02,33.04,447430.0
2010-05-04,33.51,33.49,33.63,32.91,677060.0
2010-05-05,34.31,33.4,34.63,33.25,757890.0
2010-05-06,32.97,32.27,34.35,31.02,1110000.0
2010-05-07,32.06,32.62,32.91,31.6,1210000.0
2010-05-10,32.86,33.0,33.3,32.4,703110.0
2010-05-11,33.37,32.42,33.98,32.33,523720.0
2010-05-12,33.37,33.43,33.73,33.15,812970.0
2010-05-13,33.32,33.41,33.81,32.99,402740.0
2010-05-14,33.04,33.17,33.4,32.74,615760.0
2010-05-17,33.58,33.24,33.86,32.72,513630.0
2010-05-18,33.43,33.95,34.3,33.36,372310.0
2010-05-19,32.97,33.31,33.44,32.79,561400.0
2010-05-20,31.87,32.37,32.5,31.7,684180.0
2010-05-21,31.9,31.62,32.32,31.08,553770.0
2010-05-24,31.85,31.72,32.36,31.42,313300.0
2010-05-25,31.34,31.27,31.48,30.5,385660.0
2010-05-26,31.28,31.41,32.15,31.13,387290.0
2010-05-27,32.06,31.83,32.06,31.6,340850.0
2010-05-28,31.83,31.92,32.38,31.7,352830.0
2010-06-01,30.96,31.67,31.86,30.93,347020.0
2010-06-02,31.41,30.98,31.56,30.57,889640.0
2010-06-03,31.55,31.4,31.62,31.1,762830.0
2010-06-04,30.4,31.25,31.25,30.32,419050.0
2010-06-07,30.11,30.48,30.62,30.09,561410.0
2010-06-08,30.09,30.12,30.35,29.84,616370.0
2010-06-09,30.18,30.2,30.68,30.04,853310.0
2010-06-10,30.43,30.56,30.7,30.13,482750.0
2010-06-11,31.42,30.12,31.46,30.03,422760.0
2010-06-14,32.15,31.59,32.41,31.59,499050.0
2010-06-15,32.45,32.24,32.5,31.84,377560.0
2010-06-16,32.29,32.23,32.46,32.03,297540.0
2010-06-17,32.6,32.36,32.64,31.88,283350.0
2010-06-18,32.59,32.5,32.83,32.09,505650.0
2010-06-21,32.59,32.92,33.12,32.41,338160.0
2010-06-22,32.26,32.56,33.1,32.21,285220.0
2010-06-23,31.8,32.16,32.17,31.66,256220.00000000003
2010-06-24,31.68,31.6,31.96,31.44,412160.0
2010-06-25,31.69,31.78,32.12,31.15,539600.0
2010-06-28,32.05,31.85,32.27,31.43,188520.0
2010-06-29,31.49,31.77,31.77,31.31,364290.0
2010-06-30,31.08,31.6,31.92,30.99,319290.0
2010-07-01,30.7,31.19,31.19,29.95,382840.0
2010-07-02,30.62,30.91,30.91,30.54,193190.0
2010-07-06,30.41,31.0,31.32,30.26,309240.0
2010-07-07,31.23,30.54,31.25,30.29,524010.0
2010-07-08,31.32,31.48,31.65,31.05,335280.0
2010-07-09,31.31,31.21,31.49,31.09,373520.0
2010-07-12,31.05,31.17,31.4,30.66,286310.0
2010-07-13,31.9,31.34,31.99,31.34,436180.0
2010-07-14,31.79,31.75,31.98,31.55,222180.0
2010-07-15,31.19,31.85,31.92,31.06,374080.0
2010-07-16,30.13,31.01,31.09,30.1,398300.0
2010-07-19,29.98,30.27,30.3,29.91,355210.0
2010-07-20,30.46,28.68,30.48,28.68,354800.0
2010-07-21,29.82,30.64,30.64,29.81,364140.0
2010-07-22,30.64,30.2,31.16,30.19,506010.0
2010-07-23,30.87,30.49,30.99,30.28,299530.0
2010-07-26,31.5,30.75,31.74,30.75,313910.0
2010-07-27,31.91,31.74,32.31,31.67,341020.0
2010-07-28,30.94,31.91,32.18,30.91,312720.0
