Date,Close,Open,High,Low,Volume
2010-01-04,52.16,51.28,52.27,50.83,3980000.0
2010-01-05,52.65,52.33,52.69,51.92,2240000.0
2010-01-06,53.46,52.66,53.53,52.5,3250000.0
2010-01-07,55.25,53.35,55.36,53.35,4099999.9999999995
2010-01-08,55.42,55.68,56.12,55.21,3540000.0
2010-01-11,55.25,55.76,55.85,54.98,2160000.0
2010-01-12,55.21,54.7,55.38,54.38,2880000.0
2010-01-13,55.47,55.15,55.64,55.02,1770000.0
2010-01-14,56.02,55.53,56.12,55.41,1630000.0
2010-01-15,56.03,55.98,56.04,55.43,2940000.0
2010-01-19,56.96,56.23,57.39,56.23,2580000.0
2010-01-20,55.93,56.82,57.37,55.59,2590000.0
2010-01-21,54.73,55.84,55.97,54.5,2410000.0
2010-01-22,54.04,54.45,55.19,53.98,2590000.0
2010-01-25,54.44,54.27,54.88,53.81,2310000.0
2010-01-26,54.56,54.3,55.04,53.9,2180000.0
2010-01-27,52.91,53.61,53.97,51.73,4059999.9999999995
2010-01-28,52.19,52.96,53.2,51.77,3360000.0
2010-01-29,51.92,52.43,52.57,51.6,3630000.0
2010-02-01,52.2,52.22,52.22,51.6,1330000.0
2010-02-02,53.15,52.34,53.29,52.06,2110000.0
2010-02-03,52.54,53.02,53.02,52.42,1350000.0
2010-02-04,51.09,52.15,52.19,51.07,4330000.0
2010-02-05,51.06,50.99,51.23,49.85,3190000.0
2010-02-08,51.43,51.14,51.98,50.93,2220000.0
2010-02-09,51.91,51.96,52.45,51.53,1910000.0
2010-02-10,51.62,51.93,52.1,51.29,1460000.0
2010-02-11,52.17,51.42,52.39,51.15,1780000.0
2010-02-12,52.06,51.66,52.26,51.37,1660000.0
2010-02-16,52.8,52.25,52.81,52.06,1360000.0
2010-02-17,53.07,53.0,53.22,52.8,1120000.0
2010-02-18,53.24,53.0,53.34,52.8,1070000.0
2010-02-19,53.16,52.97,53.43,52.81,1230000.0
2010-02-22,53.09,53.36,53.45,52.96,1260000.0
2010-02-23,52.62,52.91,53.07,52.45,1250000.0
2010-02-24,52.89,52.93,52.95,52.47,1090000.0
2010-02-25,52.84,52.07,52.85,51.84,1330000.0
2010-02-26,53.1,52.98,53.43,52.75,1220000.0
2010-03-01,53.82,53.32,54.08,53.29,1030000.0
2010-03-02,54.46,53.94,54.77,53.92,1090000.0
2010-03-03,54.11,54.56,54.78,54.05,1450000.0
2010-03-04,54.05,54.01,54.19,53.79,1260000.0
2010-03-05,55.04,54.23,55.04,54.21,2260000.0
2010-03-08,55.05,55.1,55.24,54.95,1360000.0
2010-03-09,55.0,54.93,55.07,54.78,1330000.0
2010-03-10,55.29,54.94,55.4,54.69,1570000.0
2010-03-11,55.73,55.2,55.79,54.78,2420000.0
2010-03-12,55.23,55.75,55.75,54.47,2089999.9999999998
2010-03-15,55.42,55.36,55.47,54.98,1030000.0
2010-03-16,55.43,55.55,55.55,55.06,1060000.0
2010-03-17,56.27,55.44,56.27,55.33,2230000.0
2010-03-18,56.66,56.07,56.67,56.02,1600000.0
2010-03-19,56.64,56.9,57.09,56.21,1800000.0
2010-03-22,56.85,56.21,57.25,56.21,1850000.0
2010-03-23,57.0,56.87,57.01,56.21,1370000.0
2010-03-24,57.96,57.89,58.24,57.38,2690000.0
2010-03-25,57.68,58.31,58.49,57.68,1710000.0
2010-03-26,56.71,57.67,57.68,56.66,1950000.0
2010-03-29,57.18,56.83,57.27,56.76,1120000.0
2010-03-30,57.51,57.33,57.62,57.05,1090000.0
2010-03-31,57.22,57.24,57.6,56.82,1250000.0
2010-04-01,57.65,57.59,57.74,57.31,863580.0
2010-04-05,57.85,57.74,58.2,57.51,942200.0
2010-04-06,57.78,57.79,57.9,57.5,875380.0
2010-04-07,57.17,57.81,57.93,56.9,1420000.0
2010-04-08,57.1,57.19,57.2,56.63,1090000.0
2010-04-09,57.64,57.01,57.64,57.01,618740.0
2010-04-12,57.64,57.64,57.95,57.32,1070000.0
2010-04-13,57.18,57.13,57.56,56.87,1950000.0
2010-04-14,57.71,57.21,57.83,56.87,1960000.0
2010-04-15,58.09,58.0,58.37,57.51,1510000.0
2010-04-16,57.24,58.05,58.25,56.84,1840000.0
2010-04-19,57.47,57.03,57.51,57.03,1630000.0
2010-04-20,58.45,57.71,58.72,57.55,2120000.0
2010-04-21,57.93,57.92,58.44,57.35,2000000.0
2010-04-22,57.72,57.37,57.82,56.76,1900000.0
2010-04-23,58.89,57.76,59.01,57.15,3250000.0
2010-04-26,58.81,59.13,59.72,58.71,2270000.0
2010-04-27,57.54,58.73,58.93,57.45,2400000.0
2010-04-28,58.08,57.52,58.35,57.31,1910000.0
2010-04-29,58.6,58.36,58.98,58.33,1300000.0
2010-04-30,57.44,58.85,58.92,57.4,2089999.9999999998
2010-05-03,58.12,57.6,58.37,57.22,2190000.0
2010-05-04,57.45,58.68,58.78,56.92,3480000.0
2010-05-05,57.22,56.75,57.41,56.75,2069999.9999999998
2010-05-06,56.25,56.91,57.28,53.85,4139999.9999999995
2010-05-07,54.12,56.12,56.12,53.74,4880000.0
2010-05-10,56.86,56.42,56.87,55.56,2760000.0
2010-05-11,56.75,56.3,57.18,56.09,1850000.0
2010-05-12,57.22,56.96,57.22,56.45,1170000.0
2010-05-13,57.47,57.01,57.99,57.01,1790000.0
2010-05-14,56.46,57.71,57.71,55.65,3250000.0
2010-05-17,56.56,56.39,56.89,55.74,2340000.0
2010-05-18,55.91,57.2,57.27,55.87,1240000.0
2010-05-19,55.72,55.66,56.38,55.04,2240000.0
2010-05-20,53.88,55.0,55.0,53.31,4530000.0
2010-05-21,52.7,53.23,53.9,52.18,5260000.0
2010-05-24,53.18,52.58,53.73,52.3,2790000.0
2010-05-25,52.59,52.02,52.62,51.22,2330000.0
2010-05-26,52.19,53.04,53.37,52.15,2170000.0
2010-05-27,53.47,52.79,53.53,52.53,1370000.0
2010-05-28,53.03,53.34,53.73,52.94,1830000.0
2010-06-01,52.42,52.6,53.34,52.34,1740000.0
2010-06-02,53.71,52.54,53.71,52.19,1830000.0
2010-06-03,54.03,53.91,54.35,53.62,1760000.0
2010-06-04,51.97,53.39,53.39,51.8,2400000.0
2010-06-07,50.62,51.98,52.17,50.58,3050000.0
2010-06-08,50.56,50.71,50.94,49.91,2640000.0
2010-06-09,49.48,50.85,51.0,49.24,4330000.0
2010-06-10,49.36,50.14,50.25,48.76,4720000.0
2010-06-11,50.59,49.01,50.6,49.0,4200000.0
2010-06-14,50.45,50.75,51.27,50.44,2020000.0
2010-06-15,51.72,50.83,51.72,50.68,2060000.0
2010-06-16,52.23,51.31,52.38,51.27,2040000.0
2010-06-17,52.04,52.22,52.23,51.56,1750000.0
2010-06-18,51.82,51.85,52.1,51.59,2020000.0
2010-06-21,51.58,52.24,52.47,51.25,1810000.0
2010-06-22,50.94,51.73,52.1,50.93,1880000.0
2010-06-23,51.14,51.23,51.43,50.17,2390000.0
2010-06-24,50.2,51.07,51.16,50.03,2360000.0
2010-06-25,50.1,50.26,50.51,49.75,3620000.0
2010-06-28,51.04,49.8,51.44,49.62,2400000.0
2010-06-29,50.16,50.51,50.77,49.73,2440000.0
2010-06-30,50.06,49.99,50.74,49.74,2000000.0
