Date,Close,Open,High,Low,Volume,Change
2018-01-02,54.5,53.765,54.5,52.99,2410000.0,0.049699999999999994
2018-01-03,54.79,54.51,54.81,54.5,2990000.0,0.0053
2018-01-04,55.54,55.43,55.68,55.27,3060000.0,0.0137
2018-01-05,55.87,55.52,55.88,55.5,2840000.0,0.0059
2018-01-08,56.47,56.27,56.6,55.95,2920000.0,0.010700000000000001
2018-01-09,57.06,57.02,57.21,56.65,3180000.0,0.0104
2018-01-10,56.02,56.29,56.3,55.77,2630000.0,-0.0182
2018-01-11,55.35,55.1,55.37,54.9,2290000.0,-0.012
2018-01-12,56.915,56.66,57.0,56.41,2110000.0,0.028300000000000002
2018-01-16,56.4,57.125,57.5,56.34,3830000.0,-0.009000000000000001
2018-01-17,57.92,57.605,57.97,57.12,2640000.0,0.027000000000000003
2018-01-18,57.415,57.51,57.56,57.12,2570000.0,-0.0087
2018-01-19,58.2,58.025,58.2,57.76,2110000.0,0.0137
2018-01-22,59.48,59.025,59.56,58.9,3200000.0,0.022000000000000002
2018-01-23,60.845,60.7,60.85,60.51,3930000.0,0.0229
2018-01-24,60.1,60.465,60.77,59.62,4160000.0,-0.012199999999999999
2018-01-25,59.04,59.28,59.54,58.66,4179999.9999999995,-0.0176
2018-01-26,60.96,60.51,61.0,60.24,2570000.0,0.0325
2018-01-29,59.82,60.31,60.31,59.5,4330000.0,-0.0187
2018-01-30,58.43,58.48,58.72,57.81,5400000.0,-0.0232
2018-01-31,59.17,59.475,59.79,58.72,2630000.0,0.0127
2018-02-01,57.91,58.24,58.47,57.86,3530000.0,-0.0213
2018-02-02,55.8,57.145,57.2,55.75,5100000.0,-0.0364
2018-02-05,54.0,55.67,56.54,53.79,6110000.0,-0.0323
2018-02-06,55.21,52.15,55.57,52.0,9920000.0,0.022400000000000003
2018-02-07,53.4,53.7,54.48,53.25,6260000.0,-0.032799999999999996
2018-02-08,51.3,54.049,54.05,51.28,7280000.0,-0.0393
2018-02-09,52.2,51.61,52.7,49.83,7760000.0,0.0175
2018-02-12,53.55,53.1,54.03,52.7,4800000.0,0.0259
2018-02-13,54.8,53.94,54.87,53.75,3340000.0,0.0233
2018-02-14,56.58,54.8,56.98,54.72,5180000.0,0.0325
2018-02-15,58.62,58.545,59.18,57.3,4500000.0,0.0361
2018-02-16,58.22,58.24,58.93,57.9,2690000.0,-0.0068000000000000005
2018-02-20,57.47,57.07,57.87,56.88,3240000.0,-0.0129
2018-02-21,58.1,58.94,59.44,58.1,2950000.0,0.011000000000000001
2018-02-22,57.63,57.87,58.43,57.51,2730000.0,-0.008100000000000001
2018-02-23,58.55,58.16,58.6,57.97,1610000.0,0.016
2018-02-26,58.56,58.03,58.71,57.81,2340000.0,0.0002
2018-02-27,56.15,57.01,57.23,56.1,2820000.0,-0.0412
2018-02-28,54.89,55.38,55.72,54.75,3000000.0,-0.022400000000000003
2018-03-01,55.75,56.78,56.8,55.0,3400000.0,0.015700000000000002
2018-03-02,55.89,54.255,55.95,54.02,2870000.0,0.0025
2018-03-05,55.6,54.42,55.8,54.36,3380000.0,-0.0052
2018-03-06,56.29,56.75,56.77,56.0,2650000.0,0.0124
2018-03-07,56.3,55.95,56.47,55.55,2810000.0,0.0002
2018-03-08,56.61,56.69,56.92,56.25,1490000.0,0.0055000000000000005
2018-03-09,58.17,57.505,58.17,57.29,2950000.0,0.0276
2018-03-12,58.661,58.669,58.83,58.14,2630000.0,0.0084
2018-03-13,57.83,59.315,59.32,57.57,3040000.0,-0.014199999999999999
2018-03-14,58.65,59.105,59.17,58.16,2660000.0,0.014199999999999999
2018-03-15,59.73,59.55,60.0,59.31,3610000.0,0.0184
2018-03-16,59.272,59.275,59.39,58.96,3770000.0,-0.0077
2018-03-19,58.25,58.55,58.6,57.605,4059999.9999999995,-0.0172
2018-03-20,59.68,59.585,59.84,59.41,4030000.0000000005,0.0245
2018-03-21,57.885,58.191,58.29,57.35,6470000.0,-0.0301
2018-03-22,51.69,53.56,53.58,51.59,27200000.0,-0.107
2018-03-23,52.39,53.63,53.8,52.28,9630000.0,0.013500000000000002
2018-03-26,55.26,54.43,55.48,53.76,7170000.0,0.0548
2018-03-27,53.65,55.36,55.5,53.31,5480000.0,-0.0291
2018-03-28,52.68,52.54,52.76,51.9,7810000.0,-0.0181
2018-03-29,53.29,52.425,53.56,52.11,4930000.0,0.0116
2018-04-02,51.41,52.92,52.92,51.02,5510000.0,-0.0353
2018-04-03,52.24,52.19,52.45,51.69,3740000.0,0.0161
2018-04-04,52.62,50.4,52.62,50.35,6980000.0,0.0073
2018-04-05,52.61,52.915,53.15,52.48,5850000.0,-0.0002
2018-04-06,51.255,51.79,52.45,50.96,3260000.0,-0.0258
2018-04-09,52.02,52.25,52.76,51.68,3740000.0,0.0149
2018-04-10,53.55,53.14,53.7,52.95,7130000.0,0.0294
2018-04-11,53.15,53.26,53.69,53.035,4010000.0,-0.0075
2018-04-12,53.32,52.82,53.49,52.776,5350000.0,0.0032
2018-04-13,51.64,52.35,52.47,51.4,3740000.0,-0.0315
2018-04-16,51.4,51.56,51.56,51.03,2890000.0,-0.0046
2018-04-17,51.79,50.97,51.9,50.9,5310000.0,0.0076
2018-04-18,51.47,51.29,51.74,51.06,3170000.0,-0.0062
2018-04-19,51.39,51.73,51.74,51.11,2000000.0,-0.0016
2018-04-20,50.51,51.04,51.06,50.36,2960000.0,-0.0171
2018-04-23,50.43,50.52,50.84,50.2,2730000.0,-0.0016
2018-04-24,49.77,50.755,50.89,49.38,4179999.9999999995,-0.0131
2018-04-25,49.1,49.15,50.0,48.51,4420000.0,-0.013500000000000002
2018-04-26,49.44,48.98,49.49,48.88,3990000.0,0.0069
2018-04-27,49.48,49.68,49.7,48.9,2940000.0,0.0008
2018-04-30,49.13,49.88,49.88,49.1,2160000.0,-0.0070999999999999995
2018-05-01,49.25,49.075,49.29,48.47,3690000.0,0.0024
2018-05-02,49.505,50.04,50.04,49.32,3260000.0,0.0052
2018-05-03,48.92,48.95,49.09,47.88,5210000.0,-0.0118
2018-05-04,49.61,48.69,49.86,48.41,3420000.0,0.0141
2018-05-07,48.91,48.43,48.93,48.34,7050000.0,-0.0141
2018-05-08,49.97,49.86,50.03,49.3,3060000.0,0.0217
2018-05-09,50.59,50.51,50.66,50.05,2710000.0,0.0124
2018-05-10,52.71,51.995,52.96,51.87,6340000.0,0.04190000000000001
2018-05-11,52.41,52.57,52.68,52.01,2450000.0,-0.005699999999999999
2018-05-14,52.35,52.6,52.83,52.22,4900000.0,-0.0011
2018-05-15,50.36,50.3,50.44,49.91,4290000.0,-0.038
2018-05-16,53.8,52.71,54.36,52.71,9870000.0,0.0683
2018-05-17,52.645,52.61,53.25,52.52,5620000.0,-0.0215
2018-05-18,52.219,52.06,52.23,51.7,3840000.0,-0.008100000000000001
2018-05-21,52.65,52.32,52.68,52.0,4270000.0,0.0083
2018-05-22,52.142,52.85,53.08,52.1,4470000.0,-0.0096
2018-05-23,52.54,52.0,52.65,51.65,3150000.0,0.0076
2018-05-24,51.83,52.08,52.2,51.29,2800000.0,-0.013500000000000002
2018-05-25,51.89,51.659,51.9,51.31,3030000.0,0.0012
2018-05-29,50.95,51.38,51.63,50.5,3980000.0,-0.0181
2018-05-30,50.87,50.405,51.0,50.3,4330000.0,-0.0016
2018-05-31,51.068,50.88,51.4,50.53,3980000.0,0.0039000000000000003
2018-06-01,52.32,51.74,52.51,51.653,5390000.0,0.0245
2018-06-04,53.28,52.928,53.47,52.92,3790000.0,0.0183
2018-06-05,53.84,53.71,53.99,53.5,3720000.0,0.0105
2018-06-06,54.67,54.35,54.73,54.11,4030000.0000000005,0.0154
2018-06-07,53.95,54.765,54.84,53.55,4320000.0,-0.0132
2018-06-08,53.6,52.99,53.67,52.8,5310000.0,-0.006500000000000001
2018-06-11,53.61,53.15,53.66,53.15,2480000.0,0.0002
2018-06-12,53.3,53.435,53.44,53.01,3070000.0,-0.0058
