Date,Close,Open,High,Low,Volume,Change
2018-01-02,54.4956,52.1458,54.4956,52.1458,67500.0,0.0483
2018-01-03,54.8356,55.4415,55.5955,54.5956,87110.0,0.0062
2018-01-04,55.5955,55.0055,56.3954,55.0055,113630.0,0.0139
2018-01-05,55.9955,56.4954,56.4954,54.8756,43940.0,0.0072
2018-01-08,56.5954,56.7754,56.7754,55.9955,46780.0,0.010700000000000001
2018-01-09,57.1154,57.0054,57.2854,56.7954,62190.0,0.0092
2018-01-10,56.1934,57.1154,57.1154,55.6955,59670.0,-0.0161
2018-01-11,55.5055,55.9455,55.9455,54.9955,64080.0,-0.012199999999999999
2018-01-12,56.9954,56.1954,57.0254,56.1954,94890.0,0.0268
2018-01-16,56.4954,57.4953,57.6753,56.1655,76040.0,-0.0088
2018-01-17,57.9334,58.2453,58.2453,56.9954,37470.0,0.0255
2018-01-18,57.3054,57.8953,57.8953,57.0054,36950.0,-0.0108
2018-01-19,58.2953,58.4753,58.4753,57.0354,55600.0,0.0173
2018-01-22,59.2952,59.1752,59.6152,57.9953,76110.0,0.0172
2018-01-23,60.8851,61.355,61.355,60.1451,61050.0,0.0268
2018-01-24,60.1951,60.3951,60.9151,59.5852,141020.0,-0.0113
2018-01-25,59.1952,59.9851,59.9851,58.7452,84780.0,-0.0166
2018-01-26,60.9951,60.9951,60.9951,59.4952,55890.0,0.0304
2018-01-29,59.9051,60.9951,60.9951,59.6152,130350.0,-0.0179
2018-01-30,58.4953,59.5752,59.5752,57.4953,75960.0,-0.0235
2018-01-31,59.2052,60.4951,60.4951,58.2453,42190.0,0.0121
2018-02-01,57.9953,59.5152,59.5152,57.4953,42510.0,-0.0204
2018-02-02,55.8955,56.6854,58.7052,55.8955,74720.0,-0.0362
2018-02-05,53.8956,55.2955,56.4954,53.3757,75320.0,-0.0358
2018-02-06,55.4955,51.7958,55.6255,51.5958,130710.00000000001,0.0297
2018-02-07,53.5557,55.1055,55.1055,53.2357,57670.0,-0.035
2018-02-08,51.6918,54.4756,54.4756,51.4558,89270.0,-0.0348
2018-02-09,52.6957,51.0559,52.6957,49.796,81300.0,0.0194
2018-02-12,53.9656,53.0557,54.1056,52.7457,63640.0,0.0241
2018-02-13,54.7156,53.9956,54.8056,53.9956,58010.0,0.0139
2018-02-14,56.9054,54.9955,56.9954,54.7956,69040.0,0.04
2018-02-15,58.5453,56.9774,59.3052,56.9774,34460.0,0.0288
2018-02-16,58.3353,59.2052,59.2052,57.9253,35880.0,-0.0036
2018-02-20,57.6253,58.1153,58.1153,56.9904,26020.0,-0.012199999999999999
2018-02-21,58.1353,58.2453,59.3952,57.7953,31440.0,0.0089
2018-02-22,57.6853,58.7952,58.7952,57.6053,24660.0,-0.0077
2018-02-23,58.7352,59.5152,59.5152,57.4403,28370.0,0.0182
2018-02-26,58.7512,56.8954,59.0552,56.8954,31000.0,0.0003
2018-02-27,56.4554,58.1453,58.1453,56.1555,27060.0,-0.0391
2018-02-28,54.9331,55.8955,55.8955,54.7156,43360.0,-0.027000000000000003
2018-03-01,55.5955,56.2454,56.9954,54.9955,28090.0,0.0121
2018-03-02,55.9055,55.4815,55.9055,53.6657,31210.0,0.005600000000000001
2018-03-05,55.1055,53.4357,55.7055,53.4357,19180.0,-0.0143
2018-03-06,56.3264,56.1305,56.9454,55.5955,23870.0,0.0222
2018-03-07,56.4954,54.4256,56.4954,54.4256,16800.0,0.003
2018-03-08,56.8354,57.0504,57.0504,56.2054,19460.0,0.006
2018-03-09,58.2453,57.9953,58.2453,57.2454,40990.0,0.0248
2018-03-12,58.6952,58.4953,58.9452,58.1953,47830.0,0.0077
2018-03-13,57.7453,59.0452,59.2652,57.6553,43340.0,-0.016200000000000003
2018-03-14,58.5253,59.1352,60.2471,57.7453,23700.0,0.013500000000000002
2018-03-15,59.8052,59.2452,60.9351,59.2452,47660.0,0.0219
2018-03-16,59.3552,60.2951,60.2951,58.9952,14590.0,-0.0075
2018-03-19,58.3773,59.4752,59.8552,57.6553,26740.0,-0.0165
2018-03-20,59.7452,60.7951,60.7951,59.0304,25610.0,0.023399999999999997
2018-03-21,58.2853,60.1051,60.1051,57.3954,78410.0,-0.024399999999999998
2018-03-22,51.9958,53.0457,53.5957,51.7658,213390.0,-0.1079
2018-03-23,52.4957,53.1657,53.8506,52.4358,1610000.0,0.0096
2018-03-26,55.2955,54.4956,55.4455,53.7356,44740.0,0.0533
2018-03-27,53.3257,55.5455,55.5455,53.3257,44660.0,-0.0356
2018-03-28,52.4657,54.0456,54.0456,51.9958,46680.0,-0.0161
2018-03-29,53.4757,53.1457,53.5057,51.9958,36970.0,0.019299999999999998
2018-04-02,51.3958,52.3958,53.4957,51.1059,86370.0,-0.038900000000000004
2018-04-03,52.3858,52.0038,52.4158,51.6158,55770.0,0.019299999999999998
2018-04-04,52.6057,51.6458,52.6057,50.2459,30540.0,0.0042
2018-04-05,52.8557,52.9657,53.1357,52.5207,27220.0,0.0048
2018-04-06,50.8459,51.7458,52.4957,50.8459,33030.0,-0.038
2018-04-09,52.1158,52.3458,52.9757,50.8659,27050.0,0.025
2018-04-10,53.7156,53.5907,53.7156,52.9957,29960.0,0.030699999999999998
2018-04-11,53.0457,53.9956,53.9956,52.9957,50400.0,-0.0125
2018-04-12,53.2657,51.7458,53.4957,51.7458,29260.0,0.0040999999999999995
2018-04-13,51.4958,52.2568,53.1157,51.4958,40220.0,-0.0332
2018-04-16,51.2558,51.4858,51.5158,51.0259,24160.0,-0.004699999999999999
2018-04-17,51.9458,50.9959,51.9458,50.5959,47170.0,0.013500000000000002
2018-04-18,51.5358,51.4958,51.7458,51.1459,59780.0,-0.0079
2018-04-19,51.5258,51.9859,51.9859,51.1959,32870.0,-0.0002
2018-04-20,50.4779,51.0059,51.0059,50.4059,15940.0,-0.0203
2018-04-23,50.5859,50.5759,50.9259,50.2693,16059.999999999998,0.0021
2018-04-24,49.846,49.996,50.8839,49.496,78130.0,-0.0146
2018-04-25,49.296,48.7161,49.396,48.5861,51340.0,-0.011000000000000001
2018-04-26,49.396,48.996,49.496,48.6561,54350.0,0.002
2018-04-27,49.446,49.996,49.996,48.936,41890.0,0.001
2018-04-30,49.156,50.1459,50.1459,49.146,11790.0,-0.0059
2018-05-01,49.156,49.266,49.266,48.4461,29690.0,0.0
2018-05-02,49.634,48.921,49.996,48.921,21820.0,0.0097
2018-05-03,49.216,48.5461,49.216,47.9961,20600.0,-0.0084
2018-05-04,49.546,49.966,49.966,48.2461,91560.0,0.0067
2018-05-07,48.846,48.2461,49.476,48.2461,57260.0,-0.0141
2018-05-08,49.931,49.896,50.1159,49.496,43050.0,0.0222
2018-05-09,50.6359,49.246,50.7959,49.246,30480.0,0.0141
2018-05-10,52.8657,51.7458,52.9757,51.7458,51700.0,0.044000000000000004
2018-05-11,52.5357,53.2717,53.3857,52.1308,27960.0,-0.0062
2018-05-14,52.3458,52.7797,52.9857,52.3458,51450.0,-0.0036
2018-05-15,50.3959,50.8959,50.8959,49.996,70060.0,-0.0373
2018-05-16,53.9956,52.4957,54.4956,52.4957,78110.0,0.07139999999999999
2018-05-17,53.0457,53.7456,53.7456,52.5857,54700.0,-0.0176
2018-05-18,52.2358,51.9458,52.2958,51.7858,41570.0,-0.015300000000000001
2018-05-21,52.5657,52.4308,53.0357,52.0958,20430.0,0.0063
2018-05-22,52.1758,52.5957,53.1357,52.1758,19400.0,-0.0074
2018-05-23,52.7057,53.0257,53.0257,51.7458,31760.0,0.0102
2018-05-24,51.9258,52.4957,52.4957,51.3758,11930.0,-0.0148
2018-05-25,51.6958,52.5757,52.5757,51.2458,27530.0,-0.0044
2018-05-29,50.9459,50.9959,52.2858,50.4959,50380.0,-0.014499999999999999
2018-05-30,50.8959,51.0959,51.0959,50.2959,22380.0,-0.001
2018-05-31,51.4958,50.8659,51.4958,50.5959,24090.0,0.0118
2018-06-01,52.2486,52.2458,52.5357,51.6958,29950.0,0.0146
2018-06-04,53.4457,53.4757,53.4957,52.9957,58840.0,0.0229
2018-06-05,53.9056,53.9956,53.9956,52.3158,41710.0,0.0086
2018-06-06,54.7956,54.3296,54.7956,54.1456,29670.0,0.0165
2018-06-07,54.0956,54.8956,54.8956,53.6657,38140.0,-0.0128
2018-06-08,53.6457,53.1957,53.7156,52.7957,29230.0,-0.0083
2018-06-11,53.6857,54.6256,54.6256,53.2457,11040.0,0.0007000000000000001
2018-06-12,53.0557,53.3057,53.7356,53.0557,16129.999999999998,-0.011699999999999999
2018-06-13,52.9957,52.1758,53.4857,52.1758,39100.0,-0.0011
2018-06-14,52.9357,53.3357,53.3357,52.6057,22340.0,-0.0011
2018-06-15,52.2458,51.8058,52.4957,50.5659,41790.0,-0.013000000000000001
2018-06-18,51.4555,51.7458,51.9958,51.0859,40510.0,-0.0151
2018-06-19,50.9759,50.3759,50.9759,50.1959,44680.0,-0.009300000000000001
2018-06-20,50.8359,51.9108,52.0458,50.6959,43550.0,-0.0027
2018-06-21,49.986,50.2459,50.9209,49.846,24090.0,-0.0167
2018-06-22,50.7459,50.7459,51.1459,50.2959,22130.0,0.0152
2018-06-25,48.881,49.996,49.996,48.4461,50660.0,-0.036699999999999997
2018-06-26,49.162,49.346,49.346,48.6261,47280.0,0.005699999999999999
2018-06-27,47.7961,48.4961,48.996,47.5961,63360.0,-0.0278
2018-06-28,48.896,47.7461,49.056,47.7461,68300.0,0.023
2018-06-29,50.3559,49.506,50.7359,49.506,27080.0,0.029900000000000003
2018-07-02,49.296,50.0489,50.1659,49.096,32890.0,-0.021
2018-07-03,49.506,49.576,50.2459,49.496,18540.0,0.0043
2018-07-05,49.446,49.986,49.986,48.946,26350.0,-0.0012
2018-07-06,49.896,48.996,50.1859,48.996,11520.0,0.0091
2018-07-09,51.0159,49.996,51.0859,49.996,21860.0,0.022400000000000003
2018-07-10,49.496,49.726,49.726,48.4961,24510.0,-0.0298
2018-07-11,48.0599,48.876,49.306,48.0361,19900.0,-0.028999999999999998
2018-07-12,48.841,47.4862,48.996,47.4862,21980.0,0.0163
2018-07-13,48.6961,48.7511,48.996,48.3961,19590.0,-0.003
2018-07-16,48.4961,48.6011,48.6961,47.6161,12430.0,-0.0040999999999999995
2018-07-17,48.4961,47.7461,48.6861,47.7461,32450.000000000004,0.0
2018-07-18,48.5461,47.3762,48.6461,47.3762,58750.0,0.001
2018-07-19,47.6461,47.9961,48.2461,47.0962,43990.0,-0.018500000000000003
2018-07-20,48.3961,48.0711,48.5461,47.7631,43220.0,0.015700000000000002
2018-07-23,47.5361,47.9961,47.9961,47.2462,25550.0,-0.0178
2018-07-24,48.2961,48.2641,48.6961,48.0461,44150.0,0.016
2018-07-25,49.046,48.2961,49.176,48.2961,44010.0,0.0155
2018-07-26,47.7461,48.896,48.896,47.4962,41150.0,-0.0265
2018-07-27,47.1947,47.2462,47.9341,46.9462,36510.0,-0.0115
2018-07-30,45.9563,46.9712,47.3962,45.9563,63290.0,-0.0262
2018-07-31,45.6963,45.2463,46.0363,45.2463,129770.00000000001,-0.005699999999999999
2018-08-01,45.4963,45.1463,45.7963,45.1463,86360.0,-0.0044
2018-08-02,44.4064,44.1464,44.4964,43.8215,96660.0,-0.024
2018-08-03,45.2663,45.2463,45.4063,44.4464,39940.0,0.0194
2018-08-06,45.2563,44.9114,45.8863,44.9114,57150.0,-0.0002
2018-08-07,45.8463,45.8863,46.0963,45.2063,80310.0,0.013000000000000001
2018-08-08,46.4962,46.7462,46.7462,45.9963,27370.0,0.014199999999999999
2018-08-09,47.6861,46.4762,47.9531,46.4762,12720.0,0.0256
2018-08-10,47.3062,47.7241,47.9161,45.9963,53520.0,-0.008
2018-08-13,45.7963,47.2862,47.2862,45.2063,28420.0,-0.0319
2018-08-14,44.1964,44.6764,44.6764,44.0664,111010.0,-0.0349
2018-08-15,41.1367,40.3667,41.8066,39.9968,139920.0,-0.0692
2018-08-16,42.5965,40.7667,42.6365,40.7667,122530.0,0.0355
2018-08-17,44.1964,43.9964,44.5964,42.3466,79350.0,0.037599999999999995
2018-08-20,44.8264,44.2964,45.3263,44.2964,60950.0,0.0143
2018-08-21,45.3463,45.1463,45.4563,44.7464,218130.0,0.0116
2018-08-22,46.0463,44.9964,46.4162,44.9964,45420.0,0.0154
2018-08-23,44.8264,46.6362,46.6362,44.8264,62430.0,-0.0265
2018-08-24,45.7963,45.0963,45.9963,45.0963,63510.0,0.0216
2018-08-27,46.5512,46.7462,46.8562,46.0363,102040.0,0.0165
2018-08-28,46.4962,45.6163,46.8762,45.6163,20470.0,-0.0012
2018-08-29,46.2463,45.9963,46.2463,44.5564,22940.0,-0.0054
2018-08-30,43.0965,45.9963,46.0886,42.5366,98870.0,-0.0681
2018-08-31,43.1585,42.9965,43.2065,42.3766,51790.0,0.0014000000000000002
2018-09-04,42.0866,42.2466,42.9965,41.8766,64910.0,-0.0248
2018-09-05,40.3667,41.2467,41.2467,40.3667,131500.0,-0.0409
2018-09-06,40.4967,40.1467,40.5467,39.8768,47120.0,0.0032
2018-09-07,40.5467,40.1867,40.9567,39.9978,46450.0,0.0012
2018-09-10,39.1468,39.8468,40.5967,38.9968,50270.0,-0.0345
2018-09-11,39.9968,38.8519,40.0968,38.5769,61220.0,0.0217
2018-09-12,39.9568,39.3768,40.3467,39.0468,81550.0,-0.001
2018-09-13,42.1213,42.3166,42.5466,41.5766,54170.0,0.0542
2018-09-14,41.2167,42.7465,42.7465,40.9767,28890.0,-0.0215
2018-09-17,40.4167,41.0967,41.0967,40.1467,28090.0,-0.0194
2018-09-18,41.0067,40.4467,41.5466,40.4467,23840.0,0.0146
2018-09-19,41.7466,41.3167,41.9966,41.1234,49430.0,0.018000000000000002
2018-09-20,42.0216,41.6216,42.1366,41.2467,31980.0,0.0066
2018-09-21,42.7165,42.3466,43.2265,42.3466,38560.0,0.0165
2018-09-24,41.8816,41.8466,42.4866,41.6066,37930.0,-0.0195
2018-09-25,42.2566,41.3966,42.4016,41.3966,15120.0,0.009000000000000001
2018-09-26,42.1966,42.0966,42.6365,42.0966,23780.0,-0.0014000000000000002
2018-09-27,41.4966,42.1466,42.1466,41.4466,21950.0,-0.0166
2018-09-28,40.7567,40.8467,41.3467,40.6967,32640.0,-0.0178
2018-10-01,41.1467,41.3766,41.4466,40.9967,54500.0,0.0096
2018-10-02,40.1967,41.2667,41.2667,39.9968,56880.0,-0.0231
2018-10-03,40.1467,40.8967,40.8967,39.8968,25720.0,-0.0012
2018-10-04,38.55,39.4868,39.4868,38.4169,48770.0,-0.0398
2018-10-05,38.9168,38.8968,38.9168,38.1569,24600.0,0.0095
2018-10-08,38.6409,38.4539,38.6409,37.8209,46990.0,-0.0070999999999999995
2018-10-09,37.057,37.247,37.7469,37.037,96780.0,-0.040999999999999995
2018-10-10,35.2471,36.997,36.997,35.2471,103920.0,-0.048799999999999996
2018-10-11,35.1921,33.9972,35.6471,33.9972,74710.0,-0.0016
2018-10-12,37.8569,37.172,37.8569,36.747,81950.0,0.0757
2018-10-15,36.537,36.797,36.797,35.8971,35260.0,-0.0349
2018-10-16,37.247,36.1721,37.317,35.7471,19420.0,0.0194
2018-10-17,36.427,36.922,37.067,36.1971,15850.0,-0.022000000000000002
2018-10-18,35.2571,36.0971,36.0971,34.9322,21300.0,-0.0321
2018-10-19,35.7771,35.1572,36.427,35.1572,27630.0,0.0147
2018-10-22,37.247,36.647,37.6969,36.647,31640.0,0.041100000000000005
2018-10-23,36.1971,35.6471,36.647,34.9992,68640.0,-0.0282
2018-10-24,34.4172,34.8872,35.3471,34.2872,57570.0,-0.0492
2018-10-25,34.7972,34.0472,35.1172,34.0472,58960.0,0.011000000000000001
2018-10-26,33.1573,33.5973,33.5973,32.7573,35760.0,-0.0471
2018-10-29,32.3974,32.7173,33.4473,31.7374,35380.0,-0.0229
2018-10-30,32.3974,32.2474,32.3974,31.6074,37890.0,0.0
2018-10-31,34.4172,33.0373,34.5572,33.0373,40740.0,0.0623
2018-11-01,37.327,35.8071,37.337,35.2971,34750.0,0.08449999999999999
2018-11-02,38.0969,38.9218,38.9218,37.357,22260.0,0.0206
2018-11-05,37.6869,37.9969,37.9969,37.607,47760.0,-0.0108
2018-11-06,37.307,37.017,37.8869,36.947,19390.0,-0.0101
2018-11-07,38.5969,38.5469,38.8269,38.1469,22970.0,0.0346
2018-11-08,36.417,37.8489,37.9269,36.417,171190.0,-0.0565
2018-11-09,34.9872,35.9471,35.9471,34.2772,36200.0,-0.0393
2018-11-12,33.8577,33.4373,34.1972,33.4373,42330.0,-0.0323
2018-11-13,35.0472,35.3471,35.9471,34.5872,67870.0,0.0351
2018-11-14,36.537,36.3021,37.277,36.1471,58250.0,0.0425
2018-11-15,36.997,36.537,37.8669,36.537,25500.0,0.0126
2018-11-16,37.647,37.587,37.6969,36.947,27930.0,0.0176
2018-11-19,36.677,37.427,37.487,36.2671,15200.0,-0.0258
2018-11-20,35.6771,35.4211,35.9971,34.4872,32810.0,-0.0273
2018-11-21,37.117,36.897,37.647,36.857,28750.0,0.0404
