Date,Close,Open,High,Low,Volume
2010-01-04,39.5,38.7,39.75,38.66,146890.0
2010-01-05,39.3,39.58,39.67,39.01,144320.0
2010-01-06,39.37,39.28,39.75,39.15,131390.0
2010-01-07,39.88,39.42,40.08,38.62,144120.0
2010-01-08,40.3,39.69,40.38,39.68,136850.0
2010-01-11,40.96,40.38,41.05,40.06,101330.0
2010-01-12,41.09,40.61,41.19,40.58,153880.0
2010-01-13,42.1,41.33,42.25,41.12,173030.0
2010-01-14,42.52,41.99,42.69,41.92,84480.0
2010-01-15,41.47,42.58,42.87,41.14,246320.0
2010-01-19,42.09,41.41,42.4,40.52,183390.0
2010-01-20,41.64,41.87,41.87,41.13,138210.0
2010-01-21,40.12,41.58,42.12,40.09,302260.0
2010-01-22,39.45,40.01,40.66,39.2,141580.0
2010-01-25,39.91,39.56,40.01,38.74,203230.0
2010-01-26,39.24,39.68,39.87,39.02,113340.0
2010-01-27,39.81,39.0,39.85,38.75,111990.0
2010-01-28,38.51,38.75,38.82,38.09,339990.0
2010-01-29,37.26,38.53,38.65,37.26,377180.0
2010-02-01,37.48,37.31,37.48,36.68,360530.0
2010-02-02,37.59,37.47,38.11,37.32,292100.0
2010-02-03,37.49,37.48,37.67,37.04,135010.0
2010-02-04,35.98,37.21,37.21,35.93,140060.0
2010-02-05,36.44,35.96,36.55,35.64,186590.0
2010-02-08,36.22,36.3,36.55,35.85,235800.0
2010-02-09,36.7,36.65,36.91,36.22,153340.0
2010-02-10,36.92,36.65,36.94,36.03,304740.0
2010-02-11,37.31,36.91,37.32,36.33,122750.0
2010-02-12,37.48,36.83,37.5,36.6,216720.0
2010-02-16,37.81,37.91,37.91,37.33,114540.0
2010-02-17,37.87,37.98,38.14,37.72,124240.0
2010-02-18,38.47,37.88,38.47,37.75,185110.0
2010-02-19,38.44,38.4,38.85,38.32,151730.0
2010-02-22,38.27,38.46,38.73,38.0,120370.0
2010-02-23,37.67,38.3,38.31,37.64,101850.0
2010-02-24,38.11,37.75,38.56,37.75,117730.0
2010-02-25,38.03,37.5,38.03,37.21,88930.0
2010-02-26,37.67,38.02,38.04,37.46,191240.0
2010-03-01,38.65,37.88,38.81,37.53,157020.0
2010-03-02,39.19,38.7,39.24,38.61,124450.0
2010-03-03,39.55,39.38,39.95,39.29,166980.0
2010-03-04,40.15,39.75,40.2,39.61,248300.0
2010-03-05,40.86,40.29,41.13,40.18,188470.0
2010-03-08,40.65,40.79,40.98,40.55,87190.0
2010-03-09,40.82,40.52,41.32,40.5,85860.0
2010-03-10,41.25,40.7,41.5,40.7,112650.0
2010-03-11,41.42,41.0,41.5,41.0,283700.0
2010-03-12,41.39,41.7,41.7,40.83,321260.0
2010-03-15,41.41,41.2,41.56,41.18,76560.0
2010-03-16,41.72,41.47,41.73,41.16,123470.0
2010-03-17,41.81,41.89,42.04,41.72,70980.0
2010-03-18,41.74,41.65,42.11,41.62,70840.0
2010-03-19,41.92,41.89,42.33,41.64,276070.0
2010-03-22,41.9,41.67,42.16,41.38,129759.99999999999
2010-03-23,42.21,41.83,42.44,41.68,168730.0
2010-03-24,41.75,42.16,42.25,41.59,114700.0
2010-03-25,41.22,41.95,42.03,41.2,211190.0
2010-03-26,41.26,41.27,41.72,41.0,116460.0
2010-03-29,41.41,41.49,41.76,41.16,125410.0
2010-03-30,41.86,41.51,41.95,41.31,124150.0
2010-03-31,41.27,41.63,42.05,41.25,111400.0
2010-04-01,41.07,41.49,41.96,40.66,160120.0
2010-04-05,41.54,41.17,41.55,41.0,96780.0
2010-04-06,41.4,41.4,41.67,41.27,89910.0
2010-04-07,41.3,41.24,41.59,41.08,95600.0
2010-04-08,40.69,41.06,41.11,40.6,129880.0
2010-04-09,40.97,40.67,40.98,40.08,176810.0
2010-04-12,41.5,40.97,41.58,40.9,170770.0
2010-04-13,41.44,41.5,41.5,40.97,74120.0
2010-04-14,41.95,41.64,42.0,41.27,143660.0
2010-04-15,41.9,41.9,42.01,41.77,163050.0
2010-04-16,42.03,41.92,42.14,41.65,143840.0
2010-04-19,42.34,41.81,42.41,41.75,93900.0
2010-04-20,42.75,42.51,42.89,42.25,93400.0
2010-04-21,43.32,42.94,43.51,42.86,112240.0
2010-04-22,43.37,42.74,43.39,42.73,134480.0
2010-04-23,43.88,43.37,43.9,42.81,93130.0
2010-04-26,43.63,43.95,44.42,43.54,90090.0
2010-04-27,42.56,43.38,43.63,42.51,100290.0
2010-04-28,42.9,42.74,43.17,42.4,68610.0
2010-04-29,44.11,42.52,44.12,42.52,211800.0
2010-04-30,43.6,44.2,44.47,43.4,202230.0
2010-05-03,44.1,43.96,44.57,43.77,137190.0
2010-05-04,43.29,43.35,43.73,42.87,179080.0
2010-05-05,43.86,43.22,44.21,42.98,169850.0
2010-05-06,41.92,43.69,44.0,39.0,201060.0
2010-05-07,39.77,41.59,41.83,39.53,246310.0
2010-05-10,42.23,41.01,42.25,41.01,181820.0
2010-05-11,42.61,41.81,43.37,41.42,162020.0
2010-05-12,43.49,42.61,43.56,42.42,217070.0
2010-05-13,43.41,43.39,43.81,43.01,222570.0
2010-05-14,42.31,42.91,43.5,41.72,249060.0
2010-05-17,42.58,42.49,42.97,41.29,215830.0
2010-05-18,41.96,43.05,43.31,41.88,163850.0
2010-05-19,41.67,41.9,42.17,41.0,193240.0
2010-05-20,39.21,40.84,40.84,39.18,217920.0
2010-05-21,39.46,38.74,39.59,38.4,367880.0
2010-05-24,38.67,39.46,39.68,38.65,146300.0
2010-05-25,38.5,37.69,38.65,37.17,249960.0
2010-05-26,38.25,38.76,39.42,38.16,171940.0
2010-05-27,39.94,39.22,39.97,38.67,159860.0
2010-05-28,39.31,39.92,39.92,38.85,163580.0
2010-06-01,38.33,38.97,39.71,38.3,171440.0
2010-06-02,39.67,38.48,39.68,38.03,228190.0
2010-06-03,40.06,39.55,40.28,39.55,234980.0
2010-06-04,38.77,39.05,39.61,38.55,355280.0
2010-06-07,37.63,38.95,39.17,37.53,332540.0
2010-06-08,36.68,37.66,37.71,36.19,303300.0
2010-06-09,36.9,37.1,37.39,36.65,183730.0
2010-06-10,37.87,37.51,37.9,37.11,127240.0
2010-06-11,37.81,37.5,38.09,37.3,118800.0
2010-06-14,37.94,38.14,38.75,37.81,86890.0
2010-06-15,39.22,38.2,39.28,37.91,226690.0
2010-06-16,39.49,38.91,39.76,38.57,168620.0
2010-06-17,39.4,39.58,39.82,38.72,276340.0
2010-06-18,39.41,39.47,39.64,39.06,332770.0
2010-06-21,40.16,40.06,40.96,39.82,256110.0
2010-06-22,40.0,40.16,40.67,39.88,293620.0
2010-06-23,39.81,40.0,40.12,39.58,307980.0
2010-06-24,39.59,39.6,40.35,39.52,212680.0
