Date,Close,Open,High,Low,Volume
2010-01-04,68.68,69.06,69.74,68.27,113530.0
2010-01-05,68.09,68.49,68.99,67.59,70440.0
2010-01-06,67.91,68.4,68.46,67.8,100920.0
2010-01-07,68.07,68.03,68.81,67.57,86520.0
2010-01-08,67.94,67.88,68.3,67.19,113790.0
2010-01-11,67.5,68.28,68.71,67.2,125270.0
2010-01-12,67.4,67.21,67.68,67.05,55780.0
2010-01-13,68.2,67.71,68.24,67.26,50810.0
2010-01-14,68.25,67.98,68.42,67.9,53640.0
2010-01-15,67.06,68.04,68.39,67.04,62090.0
2010-01-19,67.5,67.02,67.98,67.02,93830.0
2010-01-20,66.83,66.86,67.34,66.06,132230.0
2010-01-21,65.63,66.7,66.78,65.55,217740.0
2010-01-22,65.43,65.78,66.16,65.07,53290.0
2010-01-25,64.94,65.74,65.74,64.57,43320.0
2010-01-26,65.32,64.74,65.49,64.24,56110.0
2010-01-27,65.63,65.03,65.68,64.82,54440.0
2010-01-28,65.85,65.48,66.44,65.16,92450.0
2010-01-29,65.62,65.85,66.93,65.62,107420.0
2010-02-01,66.18,65.52,66.29,65.05,123170.0
2010-02-02,65.69,64.0,65.81,63.04,357340.0
2010-02-03,63.99,63.21,64.35,63.1,302730.0
2010-02-04,62.83,63.61,63.8,62.65,186530.0
2010-02-05,61.48,62.99,63.28,60.33,278050.0
2010-02-08,61.19,61.66,62.86,60.63,148750.0
2010-02-09,61.2,61.75,62.16,60.95,179770.0
2010-02-10,60.49,60.96,60.96,60.0,162200.0
2010-02-11,60.51,60.56,60.72,60.03,143730.0
2010-02-12,61.79,60.05,61.82,60.05,346650.0
2010-02-16,61.5,61.93,61.93,61.24,129389.99999999999
2010-02-17,62.06,61.73,62.2,61.23,201430.0
2010-02-18,62.48,62.24,62.62,61.92,112490.0
2010-02-19,63.06,62.52,63.08,62.18,117570.0
2010-02-22,62.86,63.0,63.19,62.35,362230.0
2010-02-23,63.08,62.58,63.29,62.05,173110.0
2010-02-24,63.71,63.03,63.77,63.03,80600.0
2010-02-25,63.51,63.21,63.82,63.1,120860.0
2010-02-26,63.92,63.69,63.97,63.21,115240.0
2010-03-01,64.75,63.89,65.13,63.72,91140.0
2010-03-02,65.57,64.68,65.74,64.68,111410.0
2010-03-03,65.49,65.8,65.88,65.16,104070.0
2010-03-04,65.45,65.5,65.54,65.19,95340.0
2010-03-05,65.69,65.49,66.0,64.95,183340.0
2010-03-08,65.11,65.49,66.44,64.85,144380.0
2010-03-09,65.03,65.12,65.21,64.6,99510.0
2010-03-10,65.12,64.86,65.92,64.63,179520.0
2010-03-11,65.58,64.76,65.62,64.3,58340.0
2010-03-12,65.38,65.86,65.86,64.84,53080.0
2010-03-15,65.77,65.46,66.35,65.46,82290.0
2010-03-16,65.87,65.68,66.02,65.41,42290.0
2010-03-17,65.9,66.11,66.19,65.46,42070.0
2010-03-18,65.97,65.66,66.13,65.66,42400.0
2010-03-19,65.57,66.0,66.23,65.4,139210.0
2010-03-22,66.21,65.25,66.49,65.1,62160.0
2010-03-23,66.93,66.37,67.01,65.1,80080.0
2010-03-24,66.1,66.85,66.85,66.04,45860.0
2010-03-25,65.96,66.53,66.53,65.31,123030.0
2010-03-26,65.39,65.89,66.18,64.74,156120.0
2010-03-29,65.32,65.34,65.54,65.12,102470.0
2010-03-30,64.89,65.54,65.58,64.61,96550.0
2010-03-31,63.58,64.63,64.95,63.46,190520.0
2010-04-01,63.65,63.65,64.18,63.26,76700.0
2010-04-05,63.3,63.56,63.63,63.11,162820.0
2010-04-06,63.2,63.0,63.41,63.0,83720.0
2010-04-07,63.1,63.0,63.25,62.73,237130.0
2010-04-08,62.82,63.17,63.17,62.59,88000.0
2010-04-09,62.62,62.74,62.75,62.15,101860.0
2010-04-12,62.05,62.53,62.62,61.88,139050.0
2010-04-13,62.71,61.85,62.96,61.58,434930.0
2010-04-14,63.01,63.05,63.65,62.32,302900.0
2010-04-15,63.65,63.15,64.03,63.15,272600.0
2010-04-16,63.73,63.55,63.93,63.5,62630.0
2010-04-19,64.07,63.6,64.16,62.91,114860.0
2010-04-20,65.0,64.25,65.12,63.67,220040.0
2010-04-21,65.37,64.96,65.5,64.78,135870.0
2010-04-22,65.25,64.92,65.28,64.36,85140.0
2010-04-23,65.46,65.16,65.53,65.0,65069.99999999999
2010-04-26,65.62,65.61,65.92,65.02,75090.0
2010-04-27,64.5,65.3,66.12,64.43,149870.0
2010-04-28,64.81,64.09,64.87,63.51,151700.0
2010-04-29,65.95,65.07,66.13,64.42,107470.0
2010-04-30,66.25,66.17,67.65,65.98,141120.0
2010-05-03,66.4,66.52,66.66,66.13,97790.0
2010-05-04,64.66,64.2,65.13,63.38,373310.0
2010-05-05,63.01,64.01,64.52,62.96,221770.0
2010-05-06,62.03,62.84,62.94,60.47,318900.0
2010-05-07,61.79,61.86,62.1,60.44,283850.0
2010-05-10,63.36,63.2,63.76,62.71,178180.0
2010-05-11,63.57,63.15,63.89,62.54,136560.0
2010-05-12,63.51,63.67,63.8,62.58,117710.0
2010-05-13,63.0,63.24,63.56,62.76,64540.00000000001
2010-05-14,61.96,62.76,62.76,61.5,101590.0
2010-05-17,62.4,62.32,62.71,60.83,85390.0
2010-05-18,61.32,62.71,63.07,61.09,105600.0
2010-05-19,61.55,61.05,61.99,60.79,93060.0
2010-05-20,60.58,60.69,61.26,59.99,282720.0
2010-05-21,60.35,59.97,60.62,59.87,131760.0
2010-05-24,60.15,60.39,61.02,59.98,77990.0
2010-05-25,59.83,59.26,60.0,58.04,147140.0
2010-05-26,60.47,60.19,61.58,59.48,171130.0
2010-05-27,60.8,61.49,62.1,60.55,133110.0
2010-05-28,60.55,61.05,61.05,59.36,147060.0
2010-06-01,60.05,60.42,61.42,59.87,139100.0
2010-06-02,60.94,60.13,60.94,59.86,108080.0
2010-06-03,61.38,61.19,61.74,60.87,70010.0
2010-06-04,59.85,60.9,61.25,59.63,68940.0
2010-06-07,58.95,60.11,60.48,58.94,82300.0
2010-06-08,58.0,59.01,59.36,57.67,149200.0
2010-06-09,57.1,58.11,58.47,57.1,314530.0
2010-06-10,58.68,57.61,58.71,57.49,158090.0
2010-06-11,59.4,58.15,59.81,58.15,110360.0
2010-06-14,59.56,59.63,60.33,59.47,93990.0
2010-06-15,60.34,59.65,60.4,59.51,95950.0
2010-06-16,60.38,60.25,60.88,60.25,52620.0
2010-06-17,60.33,60.25,60.99,60.01,36980.0
