Date,Close,Open,High,Low,Volume
2010-01-04,10.49,10.19,10.71,10.16,2660000.0
2010-01-05,10.52,10.46,10.62,10.38,2089999.9999999998
2010-01-06,9.8,10.52,10.53,9.74,5600000.0
2010-01-07,9.9,9.86,10.08,9.7,4430000.0
2010-01-08,9.34,9.61,9.63,9.16,6760000.0
2010-01-11,9.46,9.3,9.67,9.28,4730000.0
2010-01-12,8.36,9.7,9.8,8.32,14310000.0
2010-01-13,8.33,8.62,8.66,8.12,7770000.0
2010-01-14,8.2,8.17,8.45,8.16,4880000.0
2010-01-15,8.32,8.26,8.37,8.13,5410000.0
2010-01-19,8.42,8.29,8.65,8.24,4770000.0
2010-01-20,8.21,8.38,8.46,8.17,2890000.0
2010-01-21,7.88,8.13,8.25,7.86,6070000.0
2010-01-22,7.74,7.99,8.04,7.73,2810000.0
2010-01-25,7.71,7.86,7.88,7.65,2670000.0
2010-01-26,7.57,7.73,7.74,7.57,3230000.0
2010-01-27,7.49,7.5,7.63,7.34,3180000.0
2010-01-28,7.28,7.49,7.53,7.28,3270000.0
2010-01-29,7.41,7.33,7.57,7.26,3230000.0
2010-02-01,7.8,7.45,7.91,7.42,5980000.0
2010-02-02,7.78,7.7,7.82,7.5,3520000.0
2010-02-03,8.0,7.73,8.17,7.67,4270000.0
2010-02-04,7.65,7.86,7.9,7.61,3920000.0
2010-02-05,7.74,7.61,7.76,7.4,4350000.0
2010-02-08,7.73,7.71,7.88,7.61,2430000.0
2010-02-09,7.91,7.82,7.96,7.67,3090000.0
2010-02-10,7.61,7.9,7.99,7.57,3420000.0
2010-02-11,7.82,7.65,7.83,7.57,2370000.0
2010-02-12,7.84,7.83,8.05,7.71,2790000.0
2010-02-16,8.16,7.96,8.19,7.94,1950000.0
2010-02-17,8.17,8.13,8.26,8.11,1760000.0
2010-02-18,8.25,8.17,8.27,8.12,1540000.0
2010-02-19,8.3,8.16,8.36,8.15,1820000.0
2010-02-22,8.21,8.37,8.41,8.09,2009999.9999999998
2010-02-23,8.11,8.17,8.23,7.99,2490000.0
2010-02-24,8.21,8.15,8.28,8.03,2450000.0
2010-02-25,8.53,8.58,8.9,8.3,8170000.0
2010-02-26,8.12,8.63,8.63,8.08,5570000.0
2010-03-01,7.95,8.21,8.26,7.88,5120000.0
2010-03-02,8.2,8.07,8.25,7.96,3380000.0
2010-03-03,8.33,8.15,8.36,8.12,3280000.0
2010-03-04,8.38,8.36,8.41,8.21,2160000.0
2010-03-05,8.4,8.4,8.5,8.32,2280000.0
2010-03-08,8.62,8.45,8.65,8.38,2530000.0
2010-03-09,8.69,8.59,8.79,8.48,1800000.0
2010-03-10,8.7,8.66,8.82,8.61,2380000.0
2010-03-11,8.86,8.69,8.9,8.53,2670000.0
2010-03-12,8.8,8.91,8.95,8.75,1730000.0
2010-03-15,8.73,8.78,8.83,8.69,1190000.0
2010-03-16,9.01,8.73,9.01,8.71,1530000.0
2010-03-17,9.09,8.92,9.13,8.92,1430000.0
2010-03-18,9.13,9.07,9.16,8.96,1780000.0
