Date,Close,Open,High,Low,Volume
2010-01-04,20.3,20.05,20.31,20.05,175280.0
2010-01-05,20.78,20.22,21.36,20.01,416650.0
2010-01-06,20.77,20.8,21.52,20.7,274560.0
2010-01-07,20.5,20.69,20.84,20.35,164090.0
2010-01-08,20.74,20.4,20.74,20.4,68940.0
2010-01-11,20.51,20.76,20.76,20.38,152350.0
2010-01-12,20.18,20.31,20.65,20.08,138170.0
2010-01-13,20.16,20.18,20.34,19.97,161380.0
2010-01-14,20.44,20.2,20.53,20.15,116870.0
2010-01-15,20.48,20.58,20.59,20.02,238110.0
2010-01-19,20.64,20.57,20.83,20.24,219850.0
2010-01-20,20.02,20.58,20.58,19.62,187610.0
2010-01-21,19.53,20.1,20.22,19.47,218480.0
2010-01-22,19.02,19.46,19.7,18.92,168650.0
2010-01-25,19.02,19.18,19.2,18.86,126280.0
2010-01-26,18.98,18.91,19.11,18.63,223390.0
2010-01-27,19.12,18.87,19.2,18.77,111380.0
2010-01-28,18.77,19.11,19.12,18.59,151660.0
2010-01-29,18.73,18.79,18.95,18.7,191300.0
2010-02-01,19.0,18.8,19.0,18.53,230400.0
2010-02-02,18.86,18.97,19.1,18.75,223590.0
2010-02-03,18.86,18.79,19.0,18.79,219230.0
2010-02-04,18.75,18.8,18.8,18.56,177550.0
2010-02-05,18.79,18.83,18.84,18.32,247290.0
2010-02-08,18.5,18.77,18.85,18.46,190750.0
2010-02-09,18.72,18.63,18.76,18.43,90010.0
2010-02-10,18.72,18.64,18.8,18.46,85510.0
2010-02-11,18.88,18.65,18.97,18.48,108010.0
2010-02-12,19.0,18.68,19.03,18.6,180460.0
2010-02-16,19.18,19.1,19.18,18.97,66480.0
2010-02-17,19.51,19.28,19.51,19.16,109070.0
2010-02-18,19.36,19.55,19.64,19.22,155840.0
2010-02-19,19.26,19.32,19.42,19.11,92520.0
2010-02-22,19.38,19.25,19.42,19.18,59500.0
2010-02-23,19.4,19.38,19.52,19.27,143980.0
2010-02-24,19.63,19.59,19.85,19.4,79970.0
2010-02-25,18.52,18.84,18.84,18.21,418830.0
2010-02-26,18.16,18.48,18.48,18.02,342720.0
2010-03-01,18.73,17.9,18.78,17.13,329050.0
2010-03-02,18.63,18.71,18.85,18.53,344160.0
2010-03-03,18.48,18.7,18.72,18.47,223130.0
2010-03-04,18.66,18.57,18.67,18.48,306840.0
2010-03-05,19.03,18.7,19.13,18.64,183200.0
2010-03-08,19.04,19.04,19.23,18.97,153730.0
2010-03-09,18.94,19.07,19.27,18.89,262460.0
2010-03-10,19.03,18.88,19.21,18.79,190060.0
2010-03-11,18.97,19.0,19.0,18.89,158240.0
2010-03-12,18.96,19.03,19.09,18.85,267280.0
2010-03-15,19.15,19.01,19.25,18.9,106160.0
2010-03-16,19.19,19.21,19.24,19.0,103620.0
2010-03-17,19.2,19.22,19.39,19.18,108180.0
2010-03-18,19.08,19.12,19.26,19.05,86670.0
2010-03-19,19.13,19.17,19.21,18.95,146140.0
2010-03-22,19.28,19.0,19.3,19.0,89820.0
2010-03-23,19.39,19.27,19.42,19.07,62830.0
2010-03-24,19.15,19.37,19.37,19.09,166490.0
2010-03-25,18.9,19.27,19.3,18.84,136820.0
2010-03-26,19.03,19.01,19.03,18.85,99090.0
2010-03-29,19.06,19.03,19.1,18.7,133550.0
2010-03-30,18.97,19.02,19.22,18.81,107030.0
2010-03-31,18.74,18.86,19.01,18.73,215260.0
2010-04-01,18.9,18.8,18.95,18.66,591650.0
2010-04-05,19.06,18.92,19.11,18.87,92030.0
2010-04-06,18.98,19.04,19.16,18.94,169770.0
2010-04-07,18.85,18.91,19.02,18.75,170860.0
2010-04-08,18.78,18.75,18.91,18.73,255080.0
2010-04-09,18.86,18.53,18.89,18.5,121150.0
2010-04-12,18.88,18.82,19.05,18.78,113680.0
2010-04-13,18.92,18.8,18.96,18.72,103420.0
2010-04-14,18.97,18.94,18.98,18.6,191590.0
2010-04-15,18.99,18.91,18.99,18.84,125510.0
2010-04-16,18.85,19.0,19.01,18.76,143770.0
2010-04-19,18.8,18.76,18.88,18.61,125980.0
2010-04-20,18.88,18.92,18.96,18.77,85620.0
2010-04-21,18.95,18.84,18.95,18.75,106130.0
2010-04-22,19.6,18.81,19.61,18.76,189140.0
2010-04-23,19.83,19.52,19.83,19.52,121380.0
2010-04-26,19.37,19.77,19.79,19.34,111430.0
2010-04-27,19.2,19.29,19.54,19.16,104760.0
2010-04-28,19.0,19.22,19.25,18.94,83270.0
2010-04-29,17.47,18.49,18.51,17.34,653610.0
2010-04-30,17.04,17.42,17.58,17.04,408700.0
2010-05-03,17.27,17.06,17.28,17.06,346320.0
2010-05-04,17.38,17.16,17.45,16.95,382160.0
2010-05-05,17.22,17.31,17.46,17.16,177300.0
2010-05-06,17.0,17.2,17.4,16.58,395210.0
2010-05-07,16.41,17.02,17.07,16.3,488660.0
2010-05-10,16.99,16.97,17.05,16.82,203590.0
2010-05-11,17.1,16.91,17.35,16.91,268760.0
2010-05-12,17.21,17.11,17.32,16.95,235690.0
2010-05-13,17.16,17.13,17.3,17.05,112690.0
2010-05-14,17.0,17.02,17.13,16.9,152710.0
2010-05-17,17.0,17.09,17.22,16.74,150000.0
2010-05-18,17.0,17.15,17.2,16.86,133570.0
2010-05-19,16.98,17.0,17.28,16.84,361860.0
2010-05-20,16.05,16.62,16.75,16.05,203130.0
2010-05-21,16.36,15.99,16.54,15.91,233830.0
2010-05-24,16.02,16.3,16.33,15.99,196910.0
2010-05-25,16.08,15.87,16.11,15.79,431380.0
2010-05-26,16.12,16.11,16.45,16.04,322970.0
2010-05-27,16.53,16.41,16.54,16.28,114250.0
2010-05-28,16.23,16.37,16.46,16.16,170310.0
2010-06-01,16.05,16.14,16.43,16.01,220630.0
2010-06-02,16.2,16.09,16.2,15.8,196950.0
2010-06-03,16.58,16.17,16.69,16.15,117350.0
2010-06-04,16.02,16.26,16.33,15.96,228360.0
2010-06-07,15.99,16.05,16.26,15.96,217320.0
2010-06-08,16.16,16.02,16.22,15.98,250770.0
2010-06-09,16.05,16.22,16.35,16.01,125220.0
2010-06-10,16.28,16.25,16.35,16.06,123040.0
2010-06-11,16.47,16.17,16.47,16.17,91830.0
2010-06-14,16.34,16.63,16.66,16.31,95050.0
2010-06-15,16.61,16.44,16.67,16.34,75050.0
2010-06-16,16.69,16.45,16.74,16.45,67010.0
2010-06-17,16.69,16.68,16.92,16.63,57330.0
2010-06-18,16.44,16.81,16.81,16.42,206390.0
2010-06-21,16.47,16.65,16.73,16.38,90860.0
2010-06-22,16.29,16.5,16.79,16.27,115090.0
2010-06-23,16.42,16.32,16.53,16.17,76120.0
2010-06-24,16.3,16.31,16.48,16.25,110230.0
2010-06-25,16.49,16.31,16.57,16.3,215050.0
2010-06-28,16.04,16.23,16.25,15.83,525930.0
2010-06-29,15.65,15.77,15.79,15.49,307790.0
2010-06-30,15.52,15.69,15.95,15.44,272620.0
2010-07-01,15.64,15.49,15.82,15.14,710400.0
2010-07-02,15.5,15.73,15.73,15.45,162350.0
2010-07-06,15.09,15.73,15.83,15.0,333800.0
2010-07-07,15.2,15.18,15.25,15.0,394650.0
2010-07-08,15.34,15.3,15.38,15.1,270550.0
2010-07-09,15.43,15.29,15.44,15.11,195090.0
2010-07-12,15.45,15.36,15.53,15.25,101140.0
2010-07-13,16.1,15.61,16.16,15.56,185860.0
2010-07-14,16.11,16.05,16.21,16.0,76640.0
2010-07-15,15.95,16.14,16.18,15.77,110000.0
2010-07-16,15.56,15.84,16.0,15.51,172760.0
2010-07-19,15.59,15.64,15.7,15.5,123270.0
2010-07-20,15.44,15.41,15.51,15.23,269370.0
2010-07-21,15.2,15.53,15.57,15.19,177330.0
2010-07-22,15.78,15.35,15.8,15.3,166820.0
2010-07-23,15.97,15.69,16.14,15.63,165360.0
2010-07-26,16.16,16.05,16.19,15.75,249520.0
2010-07-27,16.3,16.25,16.42,16.04,171390.0
2010-07-28,16.01,16.29,16.34,15.97,103510.0
2010-07-29,16.88,16.04,16.89,16.01,338810.0
2010-07-30,16.43,16.72,16.85,16.42,222400.0
2010-08-02,16.97,16.55,17.06,16.55,252500.0
2010-08-03,17.02,16.87,17.15,16.79,168770.0
2010-08-04,17.69,16.97,17.78,16.97,240850.0
