Date,Close,Open,High,Low,Volume
2014-10-01,34.28,35.59,35.65,33.9,3310000.0
2014-10-02,34.5,34.27,34.63,33.29,3140000.0
2014-10-03,35.04,34.86,35.3,34.69,1990000.0
2014-10-06,34.51,35.27,35.33,34.35,2029999.9999999998
2014-10-07,34.1,34.33,34.68,33.97,1960000.0
2014-10-08,34.87,34.14,34.98,33.52,2370000.0
2014-10-09,33.77,34.84,35.07,33.63,3000000.0
2014-10-10,32.92,33.77,34.05,32.68,2740000.0
2014-10-13,31.84,32.81,32.88,31.12,4230000.0
2014-10-14,31.88,32.14,32.45,31.56,3760000.0
2014-10-15,32.55,31.31,32.7,31.0,4500000.0
2014-10-16,33.39,31.87,33.48,31.8,2910000.0
2014-10-17,33.65,33.97,34.34,33.53,2920000.0
2014-10-20,33.63,33.61,33.86,33.37,2730000.0
2014-10-21,34.84,33.96,34.86,33.93,3010000.0
2014-10-22,34.12,35.03,35.25,33.97,4420000.0
2014-10-23,33.24,32.44,34.82,31.93,10000000.0
2014-10-24,33.19,33.24,33.6,33.0,2350000.0
2014-10-27,33.43,33.13,33.65,32.95,1860000.0
2014-10-28,33.22,33.43,33.53,33.04,1970000.0
2014-10-29,33.2,33.09,33.25,32.85,2850000.0
2014-10-30,33.18,33.19,33.61,33.06,1670000.0
2014-10-31,33.88,33.81,34.21,33.51,2860000.0
2014-11-03,34.09,33.94,34.45,33.87,2320000.0
2014-11-04,33.47,33.86,33.93,33.38,2580000.0
2014-11-05,33.19,33.62,33.73,32.88,2480000.0
2014-11-06,34.24,33.3,34.26,33.24,1900000.0
2014-11-07,34.6,34.45,34.84,34.22,1990000.0
2014-11-10,35.3,34.71,35.56,34.64,2860000.0
2014-11-11,35.29,35.33,35.5,35.03,1770000.0
2014-11-12,35.72,35.17,35.82,35.1,1850000.0
2014-11-13,35.67,35.73,36.16,35.56,1700000.0
2014-11-14,35.72,35.67,35.99,35.65,1700000.0
2014-11-17,35.59,35.57,35.88,35.32,1890000.0
2014-11-18,35.83,35.77,35.98,35.39,1680000.0
2014-11-19,36.41,35.8,36.53,35.32,2730000.0
2014-11-20,36.37,36.26,36.63,35.97,2020000.0
2014-11-21,35.8,36.78,36.78,35.5,3140000.0
2014-11-24,36.16,35.99,36.23,35.83,2490000.0
2014-11-25,36.51,36.33,36.63,36.27,1650000.0
2014-11-26,36.92,36.51,37.1,36.42,1700000.0
2014-11-28,37.45,37.15,37.7,37.14,1190000.0
2014-12-01,36.05,37.48,37.58,35.99,2400000.0
2014-12-02,35.89,36.16,36.28,35.71,1730000.0
2014-12-03,36.1,36.07,36.14,35.75,1460000.0
2014-12-04,35.95,35.97,36.5,35.76,1490000.0
2014-12-05,35.87,36.03,36.13,35.7,1120000.0
2014-12-08,35.45,35.84,36.3,35.16,1490000.0
2014-12-09,35.3,35.14,35.36,34.31,2480000.0
2014-12-10,35.02,35.28,35.63,34.74,1640000.0
2014-12-11,35.4,35.21,35.84,34.94,1820000.0
2014-12-12,35.56,35.16,36.07,35.15,1440000.0
2014-12-15,35.41,35.69,35.95,35.03,1850000.0
2014-12-16,34.33,35.41,35.48,34.28,2009999.9999999998
2014-12-17,35.72,34.33,35.81,34.33,2640000.0
2014-12-18,36.65,36.28,36.67,35.94,2640000.0
2014-12-19,35.69,36.57,36.68,35.67,3240000.0
2014-12-22,35.16,35.69,35.97,35.08,2350000.0
2014-12-23,35.02,35.38,35.38,34.96,1900000.0
2014-12-24,35.11,35.03,35.37,35.0,749680.0
2014-12-26,35.17,35.31,35.51,35.13,1110000.0
2014-12-29,35.54,35.17,35.69,35.13,1520000.0
2014-12-30,35.3,35.54,35.89,35.28,1030000.0
2014-12-31,35.08,35.41,35.75,35.05,1330000.0
2015-01-02,34.55,35.34,35.39,34.16,1800000.0
2015-01-05,33.73,34.03,34.13,33.47,3580000.0
2015-01-06,33.17,34.54,34.6,33.12,3880000.0
2015-01-07,34.38,33.64,34.47,33.59,2970000.0
2015-01-08,35.27,34.65,35.28,34.65,2280000.0
2015-01-09,34.95,35.41,35.47,34.7,1520000.0
2015-01-12,34.68,35.0,35.11,34.5,1570000.0
2015-01-13,34.4,34.92,35.07,34.05,1470000.0
2015-01-14,33.97,33.86,34.23,33.55,2049999.9999999998
2015-01-15,33.4,34.14,34.22,33.33,1730000.0
2015-01-16,33.68,33.32,33.72,32.94,2510000.0
2015-01-20,33.82,33.74,34.05,33.26,2520000.0
2015-01-21,34.39,33.79,34.54,33.59,2480000.0
2015-01-22,35.86,34.65,35.98,34.34,3420000.0
2015-01-23,36.07,35.85,36.24,35.64,2190000.0
2015-01-26,36.99,36.1,37.13,36.08,2510000.0
2015-01-27,37.17,36.27,37.56,36.18,2680000.0
2015-01-28,36.61,37.37,37.45,36.54,1800000.0
2015-01-29,37.61,36.81,37.7,36.65,2400000.0
2015-01-30,37.24,37.4,38.06,36.95,2390000.0
2015-02-02,37.17,37.3,37.46,36.68,2680000.0
2015-02-03,37.62,37.49,37.65,37.13,2450000.0
2015-02-04,38.01,37.61,38.2,37.2,4460000.0
2015-02-05,37.87,38.26,39.54,37.37,11050000.0
2015-02-06,38.28,37.93,38.68,37.66,2940000.0
2015-02-09,37.54,38.19,38.19,37.28,3210000.0
2015-02-10,37.9,37.86,38.06,37.56,2009999.9999999998
2015-02-11,38.11,37.91,38.42,37.81,1760000.0
2015-02-12,38.2,38.21,38.28,37.89,1410000.0
2015-02-13,38.1,38.23,38.6,38.03,1570000.0
2015-02-17,37.66,38.0,38.28,37.57,2760000.0
2015-02-18,38.29,37.64,38.31,37.47,1450000.0
2015-02-19,38.14,38.25,38.31,37.93,1320000.0
2015-02-20,38.76,38.09,38.85,37.86,1810000.0
2015-02-23,39.19,39.16,39.42,39.03,2029999.9999999998
2015-02-24,39.03,39.19,39.52,38.92,1410000.0
2015-02-25,39.49,39.22,39.9,39.2,1990000.0
2015-02-26,39.78,39.58,39.92,39.54,1700000.0
2015-02-27,39.78,39.78,39.85,39.55,1650000.0
2015-03-02,39.8,39.77,40.03,39.58,2240000.0
2015-03-03,39.49,39.81,39.81,39.28,2160000.0
2015-03-04,39.01,39.26,39.39,38.8,1930000.0
2015-03-05,39.15,39.05,39.42,39.01,1990000.0
2015-03-06,38.64,39.15,39.42,38.51,1130000.0
2015-03-09,39.16,38.66,39.21,38.58,1340000.0
2015-03-10,38.54,38.76,38.9,38.49,1190000.0
2015-03-11,38.54,38.58,38.91,38.43,1160000.0
2015-03-12,39.62,38.79,39.7,38.61,1590000.0
