Date,Close,Open,High,Low,Volume
2010-01-04,18.72,18.35,18.77,18.31,3610000.0
2010-01-05,18.52,18.45,18.66,18.28,7940000.0
2010-01-06,18.34,18.37,18.5,18.26,6840000.0
2010-01-07,18.03,18.19,18.34,18.02,6830000.0
2010-01-08,17.42,17.7,17.8,16.75,20290000.0
2010-01-11,17.77,17.44,17.82,17.44,8390000.0
2010-01-12,17.41,17.51,17.75,17.34,4850000.0
2010-01-13,17.81,17.5,17.88,17.43,4700000.0
2010-01-14,17.87,17.75,17.97,17.73,7070000.0
2010-01-15,18.2,17.62,18.22,17.62,7220000.0
2010-01-19,18.74,18.1,18.75,18.09,9340000.0
2010-01-20,18.22,18.6,18.73,18.11,5800000.0
2010-01-21,17.94,18.27,18.43,17.88,5510000.0
2010-01-22,17.78,17.92,18.07,17.74,5600000.0
2010-01-25,17.68,17.68,18.0,17.68,3790000.0
2010-01-26,18.09,17.58,18.2,17.57,11140000.0
2010-01-27,18.25,18.1,18.26,17.98,5140000.0
2010-01-28,17.93,18.25,18.29,17.65,6760000.0
2010-01-29,18.23,18.01,18.47,18.0,7600000.0
2010-02-01,18.12,18.35,18.45,18.0,4800000.0
2010-02-02,18.2,18.21,18.24,17.82,4750000.0
2010-02-03,18.01,18.31,18.32,17.86,7160000.0
2010-02-04,17.78,17.89,18.03,17.55,6960000.0
2010-02-05,17.89,17.86,17.99,17.49,7510000.0
2010-02-08,17.76,17.99,18.0,17.71,3470000.0
2010-02-09,17.68,17.8,17.96,17.54,5950000.0
2010-02-10,17.61,17.61,17.8,17.29,5480000.0
2010-02-11,18.29,17.53,18.31,17.51,7890000.0
2010-02-12,18.31,17.96,18.34,17.8,3700000.0
2010-02-16,18.68,18.4,18.7,18.29,4260000.0
2010-02-17,18.87,18.7,18.92,18.51,4490000.0
2010-02-18,18.86,18.9,18.95,18.7,3730000.0
2010-02-19,19.07,18.85,19.1,18.84,4830000.0
2010-02-22,19.61,19.15,19.7,19.01,11220000.0
2010-02-23,19.16,19.58,19.7,19.13,7140000.0
2010-02-24,19.42,19.12,19.57,19.12,8680000.0
2010-02-25,20.7,20.03,21.03,19.96,27070000.0
2010-02-26,21.34,20.7,21.47,20.56,13310000.0
2010-03-01,21.38,21.4,21.6,21.12,19330000.0
2010-03-02,21.35,21.47,21.51,21.24,11760000.0
2010-03-03,21.13,21.44,21.44,21.04,7020000.0
2010-03-04,21.29,21.01,21.4,20.86,8050000.000000001
2010-03-05,21.77,21.38,21.86,21.21,8990000.0
2010-03-08,21.42,21.59,21.72,21.39,7430000.0
2010-03-09,21.61,21.6,21.62,21.35,6070000.0
2010-03-10,21.81,21.68,22.0,21.57,10670000.0
2010-03-11,21.98,21.77,22.05,21.72,6290000.0
2010-03-12,21.95,22.0,22.04,21.79,3530000.0
2010-03-15,21.95,22.0,22.0,21.71,6280000.0
2010-03-16,22.09,21.77,22.1,21.76,3710000.0
2010-03-17,22.1,22.05,22.22,21.99,3240000.0
2010-03-18,22.36,22.04,22.42,22.04,4580000.0
2010-03-19,22.53,22.5,22.88,22.33,10820000.0
2010-03-22,22.91,22.59,23.0,22.57,8490000.0
2010-03-23,22.92,23.24,23.3,22.9,9310000.0
2010-03-24,22.66,22.86,22.93,22.54,6590000.0
2010-03-25,22.26,22.87,22.96,22.22,5500000.0
2010-03-26,22.38,22.4,22.44,22.01,5310000.0
2010-03-29,22.87,22.53,22.95,22.35,5610000.0
2010-03-30,22.65,22.82,22.9,22.58,7810000.0
2010-03-31,22.71,22.8,22.97,22.59,4770000.0
2010-04-01,23.16,22.9,23.33,22.79,9410000.0
2010-04-05,23.25,23.14,23.63,23.01,6850000.0
2010-04-06,22.83,23.2,23.23,22.81,8330000.0
2010-04-07,22.72,22.8,23.03,22.55,6360000.0
2010-04-08,22.55,22.59,22.68,22.28,5550000.0
2010-04-09,22.54,22.63,22.7,22.43,2660000.0
2010-04-12,22.53,22.6,22.82,22.45,6060000.0
2010-04-13,22.53,22.53,22.73,22.49,3400000.0
2010-04-14,22.1,22.54,22.55,21.88,6900000.0
2010-04-15,22.05,21.89,22.18,21.86,5190000.0
2010-04-16,21.75,21.99,22.12,21.6,6880000.0
2010-04-19,21.57,21.59,21.85,21.41,6220000.0
2010-04-20,21.81,21.6,21.91,21.5,4010000.0
2010-04-21,22.08,21.81,22.12,21.62,6670000.0
2010-04-22,21.96,22.08,22.18,21.7,9230000.0
2010-04-23,22.24,22.04,22.25,21.87,5600000.0
2010-04-26,21.75,22.4,22.4,21.7,5960000.0
2010-04-27,21.36,21.72,21.89,21.32,7840000.0
2010-04-28,21.71,21.41,21.84,21.37,8080000.0
2010-04-29,21.77,21.47,21.86,20.52,25930000.0
2010-04-30,22.01,21.72,22.19,21.65,10350000.0
2010-05-03,22.03,21.91,22.34,21.88,9070000.0
2010-05-04,21.36,21.73,21.91,21.28,8910000.0
2010-05-05,21.83,21.4,22.06,21.29,9390000.0
2010-05-06,21.37,21.79,21.93,20.51,9890000.0
2010-05-07,21.34,21.38,21.66,20.89,14260000.0
2010-05-10,21.82,21.59,21.96,21.43,12230000.0
2010-05-11,21.77,21.5,21.93,21.42,13740000.0
2010-05-12,21.6,21.66,21.68,20.96,11540000.0
2010-05-13,21.14,21.5,21.65,21.06,6570000.0
2010-05-14,20.52,21.1,21.13,20.32,9800000.0
2010-05-17,20.6,20.5,20.64,20.06,6730000.0
2010-05-18,19.99,20.75,20.77,19.97,10630000.0
2010-05-19,20.23,19.84,20.43,19.68,9260000.0
2010-05-20,19.44,19.88,20.07,19.35,9860000.0
2010-05-21,19.51,19.25,19.59,19.15,11460000.0
2010-05-24,19.24,19.32,19.51,19.15,9730000.0
2010-05-25,19.15,18.7,19.16,18.69,17770000.0
2010-05-26,19.32,19.18,19.72,19.15,16059999.999999998
2010-05-27,19.82,19.79,19.85,19.58,5480000.0
2010-05-28,19.44,19.76,19.8,19.4,5900000.0
2010-06-01,18.94,19.32,19.44,18.89,4370000.0
2010-06-02,18.95,18.9,19.07,18.65,16390000.0
2010-06-03,18.85,19.06,19.11,18.68,7510000.0
2010-06-04,18.5,18.51,18.81,18.4,6730000.0
2010-06-07,18.43,18.5,18.83,18.43,6140000.0
2010-06-08,17.83,18.39,18.4,17.64,13450000.0
2010-06-09,17.96,18.12,18.25,17.82,9720000.0
2010-06-10,18.28,18.32,18.33,18.0,7390000.0
2010-06-11,18.32,18.08,18.42,18.08,5760000.0
2010-06-14,17.95,18.43,18.48,17.91,5790000.0
2010-06-15,18.39,18.17,18.43,17.97,6220000.0
2010-06-16,17.9,18.02,18.23,17.51,21310000.0
2010-06-17,18.36,17.95,18.38,17.95,9090000.0
2010-06-18,18.63,18.45,18.81,18.29,9230000.0
2010-06-21,17.97,18.74,18.84,17.89,7350000.0
2010-06-22,18.07,18.08,18.39,17.97,6120000.0
2010-06-23,17.79,18.34,18.34,17.65,6710000.0
2010-06-24,17.74,17.79,17.86,17.65,5680000.0
2010-06-25,17.93,17.75,17.98,17.62,5060000.0
2010-06-28,17.67,17.91,18.02,17.59,3650000.0
2010-06-29,17.25,17.52,17.56,17.1,8880000.0
2010-06-30,17.04,17.18,17.41,16.89,12280000.0
2010-07-01,16.86,16.91,16.98,16.55,9870000.0
2010-07-02,16.89,16.83,17.13,16.64,5560000.0
2010-07-06,17.02,17.0,17.27,16.89,7360000.0
2010-07-07,17.44,16.94,17.48,16.81,6790000.0
2010-07-08,17.85,17.22,17.92,17.22,8580000.0
2010-07-09,17.61,17.86,17.86,17.4,6170000.0
2010-07-12,17.52,17.59,17.67,17.42,2280000.0
2010-07-13,17.85,17.63,17.95,17.62,5470000.0
2010-07-14,17.85,17.78,17.99,17.68,5790000.0
2010-07-15,18.32,17.98,18.44,17.85,8010000.0
2010-07-16,17.71,18.31,18.31,17.58,7220000.0
2010-07-19,18.11,17.76,18.26,17.62,6520000.0
2010-07-20,18.17,17.81,18.18,17.73,5130000.0
2010-07-21,17.78,18.15,18.29,17.72,4410000.0
2010-07-22,17.79,17.9,18.18,17.54,9550000.0
2010-07-23,17.76,17.8,17.92,17.57,6660000.0
2010-07-26,18.28,17.74,18.33,17.72,5990000.0
2010-07-27,18.09,18.38,18.69,18.06,9120000.0
2010-07-28,17.91,18.1,18.29,17.9,5440000.0
2010-07-29,17.49,17.91,18.26,17.26,14820000.0
2010-07-30,17.4,17.12,17.54,16.87,7970000.0
2010-08-02,17.79,17.64,17.87,17.45,8330000.0
2010-08-03,17.48,17.49,17.95,17.4,5600000.0
2010-08-04,17.74,17.45,17.76,17.39,5020000.0
2010-08-05,17.63,17.64,17.75,17.57,3610000.0
2010-08-06,17.65,17.47,17.67,17.26,5070000.0
2010-08-09,18.1,17.91,18.15,17.82,5970000.0
2010-08-10,18.1,18.02,18.24,17.86,4970000.0
2010-08-11,17.53,17.82,17.88,17.43,6390000.0
2010-08-12,17.45,17.23,17.64,17.22,4480000.0
2010-08-13,17.46,17.32,17.57,17.25,3130000.0
2010-08-16,17.42,17.32,17.52,17.24,3400000.0
2010-08-17,17.95,17.64,18.01,17.53,6990000.0
2010-08-18,17.77,18.0,18.01,17.7,3920000.0
2010-08-19,17.6,17.74,17.8,17.43,4550000.0
2010-08-20,17.54,17.56,17.66,17.21,4600000.0
2010-08-23,17.55,17.56,17.81,17.49,4460000.0
2010-08-24,17.35,17.43,17.54,17.18,4770000.0
2010-08-25,17.38,17.25,17.44,17.19,4600000.0
2010-08-26,16.97,17.38,17.39,16.97,5240000.0
2010-08-27,17.34,17.19,17.47,16.98,4690000.0
2010-08-30,17.03,17.25,17.3,17.02,2190000.0
2010-08-31,17.16,16.97,17.3,16.97,5380000.0
2010-09-01,17.45,17.32,17.51,17.25,4730000.0
2010-09-02,17.44,17.42,17.65,17.34,3590000.0
2010-09-03,17.79,17.57,17.83,17.45,3170000.0
2010-09-07,17.65,17.78,17.78,17.59,3370000.0
2010-09-08,17.57,17.73,17.83,17.46,6660000.0
2010-09-09,17.7,17.75,17.78,17.57,4160000.0
2010-09-10,17.9,17.82,17.95,17.75,5180000.0
2010-09-13,17.95,18.0,18.05,17.84,4110000.0000000005
2010-09-14,18.02,17.88,18.12,17.86,3730000.0
2010-09-15,18.02,17.95,18.11,17.89,6650000.0
2010-09-16,18.15,18.0,18.18,17.89,6450000.0
2010-09-17,18.2,18.11,18.3,18.04,5210000.0
2010-09-20,18.4,18.25,18.43,18.21,3820000.0
2010-09-21,18.3,18.41,18.45,18.16,6010000.0
2010-09-22,18.37,18.3,18.42,18.02,7100000.0
2010-09-23,18.45,18.54,18.8,18.41,10980000.0
2010-09-24,18.92,18.66,18.97,18.57,7390000.0
2010-09-27,18.65,18.87,18.93,18.64,6200000.0
2010-09-28,18.8,18.75,18.9,18.39,6230000.0
2010-09-29,18.8,18.72,18.95,18.72,4780000.0
2010-09-30,18.81,18.84,18.98,18.72,6970000.0
2010-10-01,18.9,18.85,18.97,18.62,7550000.0
2010-10-04,18.68,18.9,18.99,18.6,7220000.0
2010-10-05,18.85,18.88,18.92,18.68,11040000.0
2010-10-06,18.79,18.8,18.96,18.64,4530000.0
2010-10-07,18.62,18.79,18.86,18.53,3800000.0
2010-10-08,18.6,18.59,18.69,18.47,6590000.0
2010-10-11,18.4,18.57,18.6,18.33,3530000.0
2010-10-12,18.73,18.6,18.8,18.45,9440000.0
2010-10-13,18.93,18.86,19.03,18.7,8400000.0
2010-10-14,18.94,18.84,18.99,18.82,4730000.0
2010-10-15,19.31,19.11,19.33,18.9,7680000.0
2010-10-18,18.94,19.31,19.36,18.59,11650000.0
2010-10-19,18.83,18.9,19.02,18.7,5730000.0
2010-10-20,18.98,18.89,19.24,18.8,5730000.0
2010-10-21,19.17,19.01,19.35,18.81,7430000.0
2010-10-22,19.38,19.22,19.46,19.07,4870000.0
2010-10-25,19.65,19.54,19.8,19.48,6150000.0
2010-10-26,19.6,19.65,19.77,19.45,8800000.0
2010-10-27,20.25,19.17,20.26,19.15,11330000.0
2010-10-28,20.5,20.21,20.55,20.11,9740000.0
2010-10-29,20.32,20.43,20.54,20.26,6180000.0
2010-11-01,20.18,20.37,20.46,20.13,5460000.0
2010-11-02,20.16,20.42,20.57,20.08,7170000.0
2010-11-03,20.16,20.16,20.28,19.95,5830000.0
2010-11-04,20.24,20.3,20.38,20.03,5610000.0
2010-11-05,20.14,20.32,20.33,20.04,2380000.0
2010-11-08,19.99,20.03,20.18,19.88,2640000.0
2010-11-09,19.48,20.04,20.05,19.34,9050000.0
2010-11-10,19.5,19.5,19.6,19.33,5940000.0
2010-11-11,19.47,19.43,19.58,19.3,5490000.0
2010-11-12,19.25,19.41,19.52,19.08,5460000.0
2010-11-15,19.24,19.45,19.51,19.15,6980000.0
2010-11-16,18.96,19.07,19.25,18.95,9960000.0
2010-11-17,19.01,18.89,19.18,18.82,10560000.0
2010-11-18,19.25,19.35,19.45,19.2,10800000.0
2010-11-19,19.85,19.2,19.85,18.99,26400000.0
2010-11-22,20.14,19.75,20.18,19.63,9890000.0
2010-11-23,20.14,19.92,20.14,19.75,15770000.0
2010-11-24,20.52,20.28,20.62,20.25,34480000.0
2010-11-26,20.33,20.38,20.43,20.17,3820000.0
2010-11-29,20.04,20.18,20.63,19.7,8790000.0
2010-11-30,19.57,19.82,19.94,19.49,7810000.0
2010-12-01,19.78,19.75,20.08,19.64,7140000.0
2010-12-02,19.74,19.74,19.79,19.6,5860000.0
2010-12-03,19.9,19.74,19.93,19.52,4790000.0
2010-12-06,20.16,19.83,20.23,19.72,6620000.0
2010-12-07,20.13,20.35,20.43,20.05,5800000.0
2010-12-08,20.08,20.13,20.25,19.97,4150000.0000000005
2010-12-09,20.11,20.17,20.23,20.0,7260000.0
2010-12-10,20.14,20.21,20.21,19.97,5480000.0
2010-12-13,19.84,20.13,20.2,19.79,4260000.0
2010-12-14,20.68,19.97,20.72,19.9,10630000.0
2010-12-15,20.85,20.63,20.95,20.63,6440000.0
2010-12-16,21.33,20.92,21.36,20.73,6500000.0
2010-12-17,21.4,21.29,21.46,21.14,13630000.0
2010-12-20,21.2,21.48,21.48,21.01,4460000.0
2010-12-21,21.21,21.28,21.34,21.07,4930000.0
2010-12-22,21.41,21.21,21.49,21.21,4190000.0000000005
2010-12-23,21.41,21.39,21.42,21.26,2470000.0
2010-12-27,21.42,21.35,21.49,21.17,2120000.0
2010-12-28,21.26,21.4,21.48,21.24,2400000.0
2010-12-29,21.2,21.33,21.37,21.14,2280000.0
2010-12-30,21.17,21.2,21.26,21.1,1560000.0
2010-12-31,21.13,21.11,21.21,20.94,2060000.0
2011-01-03,21.66,21.2,21.76,21.2,5720000.0
2011-01-04,21.55,21.64,21.67,21.4,5330000.0
2011-01-05,21.69,21.38,21.73,21.3,7140000.0
2011-01-06,22.46,21.81,22.5,21.76,12040000.0
2011-01-07,22.32,22.46,22.54,22.11,4800000.0
2011-01-10,22.42,22.17,22.55,22.08,4720000.0
2011-01-11,22.59,22.44,22.72,22.4,3980000.0
2011-01-12,22.6,22.71,22.79,22.4,6330000.0
2011-01-13,22.73,22.53,22.83,22.52,3330000.0
2011-01-14,22.8,22.63,22.8,22.6,2260000.0
2011-01-18,23.83,22.91,24.07,22.9,11400000.0
2011-01-19,23.01,23.62,23.66,22.91,8080000.0
2011-01-20,23.41,22.94,23.59,22.94,7290000.0
2011-01-21,23.01,23.29,23.46,22.97,6370000.0
2011-01-24,23.52,23.03,23.56,23.0,4500000.0
2011-01-25,23.8,23.51,23.85,23.32,6560000.0
2011-01-26,23.96,23.82,24.17,23.76,7740000.0
2011-01-27,23.7,24.0,24.07,23.5,5460000.0
