Date,Close,Open,High,Low,Volume
2010-01-04,20.86,20.67,20.97,20.61,510540.0
2010-01-05,20.86,20.77,20.93,20.68,587440.0
2010-01-06,21.0,20.85,21.27,20.77,1180000.0
2010-01-07,21.01,21.0,21.12,20.79,821840.0
2010-01-08,21.35,20.96,21.48,20.96,374340.0
2010-01-11,21.15,21.51,21.66,21.04,766800.0
2010-01-12,20.98,21.03,21.17,20.83,365520.0
2010-01-13,21.16,21.07,21.17,20.76,627590.0
2010-01-14,20.83,21.02,21.23,20.79,691860.0
2010-01-15,20.37,20.85,20.88,20.2,605990.0
2010-01-19,20.36,20.35,20.41,20.02,791500.0
2010-01-20,20.15,20.2,20.29,19.84,791100.0
2010-01-21,19.92,20.15,20.39,19.8,1100000.0
2010-01-22,19.75,19.94,20.04,19.67,1170000.0
2010-01-25,19.62,20.0,20.0,19.57,563240.0
2010-01-26,19.39,19.5,19.68,19.34,857560.0
2010-01-27,19.39,19.36,19.46,19.05,695310.0
2010-01-28,18.9,19.4,19.47,18.88,569140.0
2010-01-29,19.17,18.81,19.54,18.81,1860000.0
2010-02-01,19.23,19.25,19.51,19.15,744370.0
2010-02-02,19.32,19.17,19.54,19.14,529520.0
2010-02-03,19.01,19.16,19.26,18.88,713590.0
2010-02-04,18.44,18.85,18.88,18.36,642190.0
2010-02-05,18.5,18.43,18.55,18.08,1090000.0
2010-02-08,18.51,18.54,18.63,18.27,650690.0
2010-02-09,18.65,18.82,18.93,18.58,510870.0
2010-02-10,18.51,18.56,18.7,18.35,810280.0
2010-02-11,18.85,18.5,18.98,18.42,1160000.0
2010-02-12,18.83,18.67,18.88,18.41,755860.0
2010-02-16,19.03,19.06,19.17,18.85,573190.0
2010-02-17,19.2,19.03,19.21,19.0,721510.0
2010-02-18,19.55,19.25,19.65,19.11,516309.99999999994
2010-02-19,19.61,19.52,19.77,19.5,347370.0
2010-02-22,19.68,19.65,19.75,19.54,422370.0
2010-02-23,19.33,19.02,19.63,18.84,822050.0
2010-02-24,18.87,19.32,19.44,18.66,1200000.0
2010-02-25,19.08,18.7,19.11,18.49,693370.0
2010-02-26,19.07,19.08,19.17,18.91,532920.0
2010-03-01,19.45,19.13,19.63,19.1,726830.0
2010-03-02,19.57,19.5,19.63,19.4,493610.0
2010-03-03,19.67,19.58,19.73,19.42,767830.0
2010-03-04,19.75,19.75,19.94,19.59,393590.0
2010-03-05,20.07,19.85,20.11,19.79,702250.0
2010-03-08,20.15,20.01,20.19,19.99,448580.0
2010-03-09,20.53,20.09,20.57,20.07,1330000.0
2010-03-10,20.81,20.47,20.85,20.42,811340.0
