Date,Close,Open,High,Low,Volume
2010-01-04,19.73,19.78,19.86,19.66,232730.0
2010-01-05,19.48,19.76,19.76,19.38,245800.0
2010-01-06,19.3,19.43,19.52,19.21,272680.0
2010-01-07,19.36,19.29,19.39,19.07,130509.99999999999
2010-01-08,19.35,19.23,19.44,19.23,146030.0
2010-01-11,19.27,19.45,19.45,19.14,282490.0
2010-01-12,19.2,19.18,19.29,19.11,203360.0
2010-01-13,19.24,19.21,19.34,19.02,340990.0
2010-01-14,19.26,19.17,19.32,19.1,279830.0
2010-01-15,19.09,19.17,19.25,18.79,295680.0
2010-01-19,19.41,19.18,19.48,19.14,217720.0
2010-01-20,19.23,19.31,19.42,19.02,225710.0
2010-01-21,18.86,19.27,19.27,18.8,222900.0
2010-01-22,18.58,18.85,18.95,18.55,129130.0
2010-01-25,18.35,18.66,18.66,18.28,174400.0
2010-01-26,18.16,18.3,18.38,18.16,198350.0
2010-01-27,18.25,18.03,18.3,18.0,317630.0
2010-01-28,17.98,18.29,18.29,17.87,282340.0
2010-01-29,18.16,18.01,18.23,18.0,220710.0
2010-02-01,18.11,18.2,18.2,17.92,163980.0
2010-02-02,18.34,18.09,18.41,18.0,215260.0
2010-02-03,18.21,18.26,18.32,18.05,198360.0
2010-02-04,17.75,18.12,18.12,17.72,221200.0
2010-02-05,17.95,17.77,17.96,17.54,362410.0
2010-02-08,17.75,17.93,17.93,17.73,345800.0
2010-02-09,18.07,17.97,18.12,17.72,370480.0
2010-02-10,17.89,17.96,17.98,17.66,166200.0
2010-02-11,18.16,17.79,18.18,17.61,221090.0
2010-02-12,18.25,18.0,18.25,17.96,260459.99999999997
2010-02-16,18.39,18.34,18.39,18.02,117720.0
2010-02-17,18.48,18.41,18.49,18.34,166270.0
2010-02-18,19.5,18.5,19.59,18.5,534680.0
2010-02-19,19.11,19.5,19.5,19.01,363340.0
2010-02-22,19.02,19.23,19.28,18.98,264160.0
2010-02-23,19.25,19.08,19.31,19.04,496660.0
2010-02-24,19.32,19.25,19.46,19.17,199780.0
2010-02-25,19.57,19.14,19.57,19.13,304760.0
2010-02-26,19.48,19.64,19.75,19.45,383550.0
2010-03-01,20.07,19.59,20.13,19.54,595920.0
2010-03-02,20.27,20.04,20.36,19.96,482410.0
2010-03-03,20.23,20.36,20.4,20.23,203820.0
2010-03-04,20.25,20.22,20.25,20.04,128280.0
2010-03-05,20.43,20.32,20.46,20.2,194390.0
2010-03-08,20.29,20.37,20.48,20.25,109200.0
2010-03-09,20.36,20.18,20.4,20.14,139240.0
2010-03-10,20.48,20.3,20.48,20.24,226200.0
2010-03-11,20.32,20.33,20.48,20.3,181940.0
2010-03-12,20.34,20.44,20.45,20.14,188150.0
2010-03-15,20.62,20.38,20.62,20.37,240160.0
2010-03-16,20.88,20.64,20.89,20.52,305520.0
2010-03-17,20.98,20.9,21.12,20.77,249800.0
2010-03-18,20.93,20.92,21.1,20.89,129190.0
2010-03-19,20.99,21.02,21.15,20.76,439780.0
2010-03-22,21.34,20.84,21.35,20.84,200080.0
2010-03-23,21.63,21.41,21.64,21.21,221000.0
2010-03-24,20.91,21.6,21.61,20.91,268590.0
2010-03-25,20.75,21.11,21.11,20.73,210430.0
2010-03-26,20.77,20.84,20.88,20.59,186100.0
2010-03-29,20.91,20.76,20.95,20.76,100910.0
2010-03-30,21.03,20.98,21.05,20.78,180980.0
2010-03-31,20.98,20.91,21.2,20.89,302090.0
2010-04-01,21.1,21.11,21.16,20.88,298580.0
2010-04-05,21.16,21.11,21.23,21.02,216140.0
2010-04-06,21.25,21.04,21.34,21.0,163180.0
2010-04-07,21.34,21.33,21.43,21.16,198870.0
2010-04-08,21.27,21.36,21.47,21.07,300910.0
2010-04-09,21.3,21.28,21.34,21.04,252950.0
2010-04-12,21.41,21.3,21.48,21.18,193640.0
2010-04-13,21.31,21.35,21.4,21.23,409520.0
2010-04-14,21.83,21.35,21.87,21.25,359720.0
2010-04-15,22.03,21.75,22.03,21.72,249930.0
2010-04-16,21.73,22.02,22.19,21.62,291220.0
2010-04-19,21.73,21.64,21.76,21.43,264140.0
2010-04-20,22.29,21.75,22.29,21.75,216850.0
2010-04-21,22.16,22.24,22.42,21.9,581520.0
2010-04-22,21.39,21.91,21.98,21.34,629580.0
2010-04-23,21.23,21.43,21.46,21.21,665760.0
2010-04-26,20.92,21.23,21.36,20.87,505460.0
2010-04-27,20.7,20.77,20.93,20.5,528460.0
2010-04-28,20.87,20.73,20.95,20.7,965340.0
2010-04-29,21.34,20.92,21.37,20.92,664470.0
2010-04-30,20.93,21.4,21.54,20.92,410090.0
2010-05-03,21.35,21.07,21.5,21.02,485440.0
2010-05-04,21.02,21.14,21.25,20.9,393730.0
2010-05-05,20.91,20.8,21.05,20.7,410120.0
2010-05-06,20.5,20.86,20.95,19.57,1430000.0
2010-05-07,20.2,20.41,20.59,19.93,619530.0
2010-05-10,20.82,20.86,21.04,20.45,343060.0
2010-05-11,20.77,20.66,20.95,20.66,275180.0
2010-05-12,21.17,20.8,21.18,20.69,250770.0
2010-05-13,21.09,21.07,21.25,21.0,221420.0
2010-05-14,20.56,20.93,21.0,20.36,288250.0
2010-05-17,20.81,20.64,20.91,20.27,273840.0
2010-05-18,20.95,21.02,21.1,20.75,509620.0
2010-05-19,20.54,20.85,20.95,20.5,325910.0
2010-05-20,19.74,20.25,20.51,19.74,610200.0
2010-05-21,19.86,19.42,20.0,19.42,847780.0
2010-05-24,19.61,19.79,19.98,19.59,227290.0
2010-05-25,19.39,19.23,19.48,19.05,387100.0
2010-05-26,19.34,19.49,19.7,19.29,726700.0
2010-05-27,19.95,19.68,19.96,19.51,373220.0
2010-05-28,19.68,19.91,20.09,19.61,219810.0
2010-06-01,19.25,19.5,19.7,19.23,330520.0
2010-06-02,19.75,19.26,19.75,19.11,365750.0
2010-06-03,19.85,19.93,20.03,19.77,261269.99999999997
2010-06-04,18.89,19.48,19.57,18.85,334440.0
2010-06-07,18.54,18.89,18.95,18.52,307640.0
2010-06-08,18.49,18.62,18.68,18.26,451470.0
2010-06-09,18.57,18.66,19.08,18.5,493030.0
2010-06-10,18.81,18.75,18.84,18.61,692710.0
2010-06-11,18.91,18.64,18.91,18.58,364680.0
2010-06-14,18.96,19.11,19.25,18.91,284220.0
2010-06-15,19.23,19.0,19.23,18.89,264250.0
2010-06-16,19.13,19.05,19.25,19.05,227550.0
2010-06-17,18.98,19.27,19.27,18.88,263230.0
2010-06-18,18.91,19.05,19.1,18.82,405020.0
2010-06-21,18.91,19.15,19.32,18.8,215610.0
2010-06-22,18.66,18.99,19.2,18.63,416540.0
2010-06-23,18.58,18.59,18.67,18.38,634330.0
2010-06-24,18.5,18.51,18.68,18.45,301620.0
2010-06-25,18.5,18.61,18.66,18.2,622730.0
2010-06-28,18.57,18.5,18.76,18.32,216590.0
2010-06-29,18.16,18.29,18.41,18.08,477630.0
2010-06-30,18.25,18.18,18.34,18.09,458700.0
2010-07-01,18.2,18.21,18.26,17.8,490410.0
2010-07-02,18.03,18.28,18.28,17.93,323980.0
2010-07-06,18.14,18.18,18.4,17.98,624410.0
2010-07-07,18.15,18.14,18.16,17.96,607500.0
2010-07-08,18.19,18.26,18.36,18.05,443530.0
2010-07-09,18.36,18.2,18.36,18.11,320070.0
2010-07-12,18.24,18.34,18.39,18.02,572850.0
2010-07-13,18.48,18.42,18.52,18.18,437070.0
2010-07-14,18.2,18.38,18.42,18.04,297470.0
2010-07-15,18.14,18.19,18.2,17.84,252200.0
2010-07-16,17.64,17.99,18.07,17.6,816260.0
2010-07-19,17.54,17.61,17.7,17.36,183340.0
2010-07-20,17.71,17.34,17.72,17.27,275760.0
2010-07-21,17.3,17.77,17.84,17.25,310310.0
2010-07-22,17.5,17.54,17.75,17.38,567180.0
2010-07-23,17.7,17.41,17.84,17.32,323240.0
2010-07-26,18.14,17.79,18.16,17.73,293400.0
2010-07-27,18.35,18.27,18.41,18.18,322850.0
2010-07-28,18.02,18.28,18.42,18.01,217660.0
2010-07-29,17.93,18.14,18.16,17.73,169000.0
