Date,Close,Open,High,Low,Volume
2010-01-04,28.67,28.47,28.7,28.07,168720.0
2010-01-05,28.62,28.55,29.37,28.54,168750.0
2010-01-06,28.4,27.41,28.49,27.32,385240.0
2010-01-07,27.69,28.23,28.3,27.61,183570.0
2010-01-08,27.6,27.58,27.61,27.28,266450.0
2010-01-11,27.69,27.64,27.84,27.29,112960.0
2010-01-12,27.66,27.53,27.87,27.33,120330.0
2010-01-13,28.05,27.66,28.08,27.47,155880.0
2010-01-14,28.13,28.04,28.31,27.86,118920.0
2010-01-15,27.91,28.04,28.09,27.8,107190.0
2010-01-19,28.47,27.86,28.47,27.86,105600.0
2010-01-20,28.24,28.21,28.32,28.0,149680.0
2010-01-21,28.32,28.31,28.77,28.08,142180.0
2010-01-22,27.45,28.24,28.42,27.31,309910.0
2010-01-25,27.53,27.7,27.95,27.33,280410.0
2010-01-26,27.37,27.57,27.62,27.33,117790.0
2010-01-27,26.97,27.35,27.56,26.96,224040.0
2010-01-28,26.72,26.93,26.93,26.43,163450.0
2010-01-29,26.1,26.77,27.04,26.1,358030.0
2010-02-01,26.74,26.2,26.78,26.13,205940.0
2010-02-02,27.11,26.7,27.28,26.64,183760.0
2010-02-03,26.92,27.07,27.3,26.91,161910.0
2010-02-04,26.42,26.77,27.01,26.42,126330.0
2010-02-05,26.97,26.38,27.19,26.3,318780.0
2010-02-08,27.34,26.94,27.39,26.54,581220.0
2010-02-09,28.08,27.02,28.15,26.61,824160.0
2010-02-10,28.68,28.8,28.81,28.05,519240.0
2010-02-11,29.28,28.75,29.58,28.67,580800.0
2010-02-12,29.33,29.21,29.36,28.8,431270.0
2010-02-16,29.53,29.54,29.55,29.28,260140.0
2010-02-17,29.66,29.51,29.77,29.26,254470.0
2010-02-18,29.73,29.74,29.85,29.56,203280.0
2010-02-19,29.8,29.73,29.89,29.66,119020.0
2010-02-22,29.51,29.78,29.81,29.46,121890.0
2010-02-23,29.06,29.44,29.5,28.98,153310.0
2010-02-24,29.09,29.06,29.26,28.82,77020.0
2010-02-25,29.0,28.68,29.04,28.62,136880.0
2010-02-26,28.57,29.04,29.04,28.43,167730.0
2010-03-01,29.49,28.56,29.56,28.56,165310.0
2010-03-02,29.62,29.48,29.73,29.34,196070.0
2010-03-03,29.51,29.7,29.85,29.44,321100.0
2010-03-04,28.89,29.62,29.62,28.84,386350.0
2010-03-05,28.98,29.07,29.5,28.88,403940.0
2010-03-08,29.06,28.9,29.28,28.87,217390.0
2010-03-09,29.09,28.77,29.18,28.45,239680.0
2010-03-10,29.1,28.98,29.26,28.75,364150.0
2010-03-11,29.31,29.05,29.34,28.9,379210.0
2010-03-12,29.79,29.28,29.79,29.02,217180.0
2010-03-15,30.08,29.7,30.72,29.61,556750.0
2010-03-16,30.02,30.06,30.21,29.89,186830.0
2010-03-17,30.15,30.14,30.33,30.0,160400.0
2010-03-18,30.15,30.25,30.39,30.05,134120.0
2010-03-19,29.68,30.08,30.32,29.44,312630.0
2010-03-22,30.13,29.47,30.26,29.4,119930.0
2010-03-23,29.95,30.07,30.07,29.66,183420.0
2010-03-24,29.41,29.75,29.8,29.33,123080.0
2010-03-25,29.03,29.66,29.71,29.03,178790.0
2010-03-26,29.32,29.16,29.35,28.78,163680.0
2010-03-29,29.43,29.48,29.63,29.12,126350.0
2010-03-30,29.58,29.35,29.84,29.14,109470.0
2010-03-31,29.6,29.58,30.06,29.43,175380.0
2010-04-01,29.93,29.8,30.22,29.69,130199.99999999999
2010-04-05,30.46,29.94,30.52,29.68,98260.0
2010-04-06,30.62,30.24,30.77,30.0,70990.0
2010-04-07,30.23,30.5,30.62,30.03,170970.0
2010-04-08,29.31,30.04,30.04,28.5,566980.0
2010-04-09,29.41,29.31,29.43,28.96,328890.0
2010-04-12,29.61,29.49,29.61,29.31,120970.0
2010-04-13,29.56,29.54,29.6,29.32,91660.0
2010-04-14,30.23,29.76,30.47,29.76,172020.0
2010-04-15,30.38,30.11,30.48,29.85,147370.0
2010-04-16,30.8,30.2,30.93,30.1,262970.0
2010-04-19,30.47,30.78,30.96,29.96,244590.0
2010-04-20,30.61,30.53,31.0,30.31,166440.0
2010-04-21,30.5,30.54,30.83,30.31,95950.0
2010-04-22,30.56,30.22,30.64,29.97,124470.0
2010-04-23,30.36,30.43,30.49,29.85,213630.0
2010-04-26,30.69,30.33,30.88,30.18,150950.0
2010-04-27,30.01,30.5,30.77,29.98,119560.0
2010-04-28,29.87,30.08,30.26,29.85,148130.0
2010-04-29,30.32,30.04,30.47,29.83,175630.0
2010-04-30,29.05,30.39,30.45,28.92,336930.0
2010-05-03,28.66,29.23,29.38,28.55,497800.0
2010-05-04,29.01,30.04,30.56,28.18,1260000.0
2010-05-05,28.93,29.12,30.1,28.41,542110.0
2010-05-06,27.82,28.8,29.13,24.84,307480.0
2010-05-07,26.99,27.39,27.8,26.67,288370.0
2010-05-10,28.33,27.55,28.53,27.55,187550.0
2010-05-11,28.57,28.07,29.2,28.07,259430.0
2010-05-12,29.3,28.7,29.51,28.66,227310.0
2010-05-13,29.17,29.17,29.8,29.04,185250.0
2010-05-14,28.41,29.0,29.11,28.29,402730.0
2010-05-17,28.5,28.6,29.02,27.88,411400.0
2010-05-18,28.46,28.61,29.02,28.34,330390.0
2010-05-19,28.13,28.31,28.89,27.95,238420.0
2010-05-20,26.8,27.55,27.58,26.8,181770.0
2010-05-21,26.8,26.65,27.25,26.26,287540.0
2010-05-24,26.53,26.67,27.02,26.41,302770.0
2010-05-25,26.51,26.2,26.63,25.64,344910.0
