"Name","Symbol","Last","Chg. %","Market Cap","Vol."
"Apple","AAPL","125.85","-0.12%","2.12T","154.89M"
"Microsoft","MSFT","233.26","-0.53%","1.76T","29.45M"
"Amazon.com","AMZN","3.20K","0.47%","1.60T","4.53M"
"Alphabet A","GOOGL","2.06K","0.30%","1.39T","1.70M"
"Alphabet C","GOOG","2.07K","0.31%","1.39T","1.62M"
"Tencent ADR","TCEHY","90.53","0.27%","875.05B","3.50M"
"Tencent Holdings","TCTZF","90.19","0.01%","875.05B","29.64K"
"Facebook","FB","265.64","2.04%","758.05B","21.71M"
"Alibaba ADR","BABA","252.81","-0.47%","687.23B","15.15M"
"Tesla","TSLA","698.65","-2.22%","676.45B","65.31M"
"Taiwan Semiconductor","TSM","129.09","-3.35%","596.71B","17.63M"
"Berkshire Hathaway","BRKa","371.26K","0.54%","577.66B","2.93K"
"Berkshire Hathaway B","BRKb","245.66","0.28%","577.66B","4.55M"
"JPMorgan","JPM","150.61","0.80%","461.01B","14.32M"
"JPMorgan Chase & Co Pg ADR","JPM_pg","25.56","-0.16%","459.27B","97.44K"
"JPMorgan Chase & Co Ph ADR","JPM_ph","25.45","-0.20%","459.27B","207.63K"
"JPMorgan Chase Pref EE","JPM_pc","26.99","-0.04%","459.27B","148.53K"
"J&J","JNJ","160.44","-0.88%","423.76B","6.84M"
"Visa A","V","212.07","1.80%","422.33B","8.84M"
"Walmart","WMT","135.43","-1.64%","383.88B","9.69M"
"Walt Disney","DIS","197.00","2.73%","359.88B","22.17M"
"Mastercard","MA","350.10","2.77%","350.56B","5.89M"
"NVIDIA","NVDA","565.60","-1.50%","349.88B","9.60M"
"Louis Vuitton ADR","LVMUY","131.71","-0.63%","330.13B","153.17K"
"Procter&Gamble","PG","127.51","0.73%","315.47B","9.03M"
"UnitedHealth","UNH","329.63","0.61%","313.50B","2.92M"
"PayPal Holdings Inc","PYPL","264.99","-3.24%","310.35B","20.09M"
"Bank of America Corp Pe ADR","BAC_pe","25.04","-0.04%","307.45B","15.99K"
"Bank of America Corp Pl Pref","BAC_pl","1.43K","0.21%","307.45B","4.77K"
"Bank of America Corp Pl ADR","BML_pl","24.80","0.12%","307.45B","64.04K"
"Bank of America Pm","BAC_pm","26.72","0.38%","307.45B","155.77K"
"Bank of America Corp Pg ADR","BML_pg","22.20","0.28%","307.45B","2.08K"
"Bank of America Corp Ph ADR","BML_ph","21.81","0.14%","307.45B","36.34K"
"Bank of America Corp Pj ADR","BML_pj","24.68","-0.08%","307.45B","12.63K"
"Bank of America","BAC","35.54","1.11%","306.84B","62.44M"
"Nestle ADR","NSRGY","107.33","-1.83%","300.87B","404.32K"
"Nestle","NSRGF","107.61","-1.35%","300.87B","8.27K"
"Meituan","MPNGF","50.91","-0.14%","298.01B","40.29K"
"Industrial Commercial Bank of China","IDCBY","13.55","2.46%","296.44B","47.11K"
"Samsung Electronics Co","SSNLF","2.21K","0.00%","294.11B","0.00"
"Roche Holding ADR","RHHBY","41.49","-1.24%","290.27B","1.18M"
"Roche Holding Participation","RHHVF","334.00","-0.25%","290.27B","1.22K"
"Home Depot","HD","267.24","-3.12%","288.68B","11.98M"
"China Construction Bank Corp","CICHY","16.40","1.86%","285.25B","55.22K"
"China Construction Bank","CICHF","0.82","1.86%","285.25B","601.00"
"Intel","INTC","61.12","0.68%","247.84B","26.95M"
"Comcast","CMCSA","53.35","1.62%","243.05B","17.95M"
"ICBC","IDCBF","0.66","0.12%","242.30B","11.59K"
"Netflix","NFLX","546.30","2.35%","241.23B","4.09M"
"ASML Holding","ASMLF","579.90","-2.52%","239.24B","9.63K"
