Date,Close,Open,High,Low,Volume
2010-01-04,44.64,43.56,44.99,43.51,736890.0
2010-01-05,43.64,44.71,44.88,43.51,652490.0
2010-01-06,43.35,43.74,43.83,43.33,486530.0
2010-01-07,43.46,43.19,43.53,43.03,471220.0
2010-01-08,43.76,43.38,43.77,43.16,381210.0
2010-01-11,43.93,43.95,44.0,43.28,361160.0
2010-01-12,42.74,43.75,43.91,42.54,310170.0
2010-01-13,43.04,42.72,43.62,42.67,301190.0
2010-01-14,43.49,42.89,43.52,42.89,253170.0
2010-01-15,43.34,43.56,43.84,43.1,332260.0
2010-01-19,44.09,43.26,44.14,43.01,338860.0
2010-01-20,42.79,44.04,44.09,42.54,297630.0
2010-01-21,41.84,42.88,43.18,41.76,303200.0
2010-01-22,40.8,41.96,42.03,40.72,299350.0
2010-01-25,40.77,41.24,41.31,40.49,303900.0
2010-01-26,40.56,40.76,40.83,40.28,252520.0
2010-01-27,42.19,40.36,42.21,40.24,943860.0
2010-01-28,41.97,42.0,42.37,41.59,456910.0
2010-01-29,41.86,42.15,42.47,41.86,643200.0
2010-02-01,42.19,41.97,42.19,41.54,376140.0
2010-02-02,42.35,42.13,42.57,41.86,267470.0
2010-02-03,42.57,42.06,42.67,42.01,275690.0
2010-02-04,40.97,42.19,42.22,40.9,392460.0
2010-02-05,41.19,40.85,41.22,40.26,429480.0
2010-02-08,40.68,41.16,41.16,40.4,183930.0
2010-02-09,41.05,40.94,41.25,40.52,273820.0
2010-02-10,41.27,40.86,41.41,40.7,362660.0
2010-02-11,41.35,41.1,41.45,40.83,344030.0
2010-02-12,41.59,40.9,41.62,40.9,295590.0
2010-02-16,42.03,42.0,42.06,41.71,222510.0
2010-02-17,42.83,42.0,42.88,41.98,429850.0
2010-02-18,43.36,42.93,43.5,42.71,256310.0
2010-02-19,43.17,43.27,43.58,43.1,243020.0
2010-02-22,43.18,43.24,43.38,42.9,150160.0
2010-02-23,42.99,43.13,43.25,42.7,276370.0
2010-02-24,44.04,43.2,44.36,43.19,486750.0
2010-02-25,43.62,43.1,43.64,42.03,462710.0
2010-02-26,43.86,43.51,43.97,42.74,498880.0
2010-03-01,44.3,43.97,44.3,43.66,565950.0
2010-03-02,44.62,44.22,44.67,44.14,517500.0
2010-03-03,44.46,44.46,45.0,44.46,416710.0
2010-03-04,44.23,44.66,44.73,43.95,431650.0
2010-03-05,44.87,44.52,45.08,44.22,252710.0
2010-03-08,44.93,44.95,45.24,44.52,358150.0
2010-03-09,44.66,44.65,45.19,44.38,418490.0
2010-03-10,45.13,44.52,45.23,44.52,389140.0
2010-03-11,45.14,44.82,45.31,44.58,376630.0
2010-03-12,45.17,45.47,45.5,44.9,298740.0
2010-03-15,45.21,45.0,45.29,44.65,299170.0
2010-03-16,45.03,45.17,45.42,44.7,866080.0
2010-03-17,45.8,45.23,45.87,45.21,470730.0
2010-03-18,46.29,45.64,46.49,45.64,776970.0
2010-03-19,44.89,46.23,46.23,44.67,1050000.0
2010-03-22,44.85,44.62,45.13,44.45,457290.0
2010-03-23,44.76,44.92,44.99,44.48,486630.0
2010-03-24,44.41,44.55,44.97,44.23,264490.0
2010-03-25,43.66,44.83,44.83,43.65,463110.0
2010-03-26,43.4,43.7,43.94,43.17,580090.0
2010-03-29,43.8,43.62,43.88,43.49,283360.0
2010-03-30,43.54,43.73,43.9,43.4,340840.0
2010-03-31,43.19,43.31,43.75,43.1,256399.99999999997
2010-04-01,43.02,43.12,43.47,42.6,426330.0
2010-04-05,44.21,43.24,44.23,43.0,332680.0
2010-04-06,44.28,43.91,44.45,43.52,415980.0
2010-04-07,43.73,44.12,44.2,43.48,275790.0
2010-04-08,43.88,43.45,44.16,43.43,200870.0
2010-04-09,44.03,43.88,44.07,43.55,419520.0
2010-04-12,44.15,44.14,44.24,43.74,364830.0
2010-04-13,43.96,43.99,44.04,43.4,457370.0
2010-04-14,43.52,44.04,44.04,43.25,527610.0
2010-04-15,43.82,43.34,44.1,43.14,440250.0
2010-04-16,43.56,43.57,43.99,43.38,372690.0
2010-04-19,43.77,43.34,43.99,43.14,490370.0
2010-04-20,44.68,43.99,44.68,43.76,247170.0
2010-04-21,44.65,44.82,44.87,44.38,420380.0
2010-04-22,45.39,44.25,45.42,43.76,386960.0
2010-04-23,45.67,45.52,45.76,45.12,305670.0
2010-04-26,45.54,45.51,45.74,45.28,196500.0
2010-04-27,44.95,45.3,45.46,44.72,469240.0
2010-04-28,44.93,45.06,45.5,44.57,536130.0
2010-04-29,46.04,45.09,46.34,44.97,513460.00000000006
2010-04-30,44.96,46.0,46.48,44.93,412660.0
2010-05-03,45.42,45.02,45.43,44.8,232360.0
2010-05-04,44.34,44.82,45.01,43.93,253520.0
2010-05-05,43.81,43.98,44.75,43.66,494470.0
2010-05-06,44.41,44.9,46.6,42.27,1130000.0
2010-05-07,42.86,44.0,44.16,42.29,870360.0
2010-05-10,44.98,43.93,45.0,43.72,851670.0
2010-05-11,45.03,44.5,45.57,44.48,573710.0
2010-05-12,46.26,45.26,46.35,44.83,493090.0
2010-05-13,45.95,45.98,46.88,45.69,497750.0
2010-05-14,44.79,45.6,46.15,44.59,473830.0
2010-05-17,45.39,45.05,45.49,44.23,424380.0
2010-05-18,44.4,45.86,45.95,44.16,386160.0
2010-05-19,44.16,44.13,44.53,43.55,315940.0
2010-05-20,42.57,43.39,43.89,42.44,514809.99999999994
2010-05-21,43.52,42.2,43.61,41.74,895090.0
2010-05-24,42.84,43.52,43.79,42.84,378160.0
2010-05-25,43.05,41.82,43.21,41.22,614640.0
2010-05-26,43.37,43.1,44.17,42.72,451350.0
2010-05-27,44.66,44.18,44.67,43.93,305410.0
2010-05-28,43.73,44.47,44.58,43.55,379720.0
2010-06-01,43.41,43.61,44.25,43.1,402990.0
2010-06-02,44.16,43.75,44.16,43.28,636740.0
2010-06-03,44.08,44.0,44.32,43.59,811460.0
2010-06-04,42.81,43.17,43.96,42.61,395420.0
2010-06-07,41.84,42.79,43.29,41.72,240970.0
2010-06-08,41.46,41.96,42.67,40.9,274500.0
2010-06-09,41.93,41.8,42.62,41.7,304560.0
2010-06-10,43.01,42.4,43.08,42.25,290360.0
2010-06-11,43.34,42.47,43.45,42.34,272940.0
2010-06-14,43.12,43.58,43.59,42.96,463980.0
2010-06-15,43.6,43.34,43.62,43.19,433550.0
2010-06-16,43.84,43.26,44.1,43.09,659390.0
2010-06-17,43.93,43.83,44.16,43.36,337460.0
2010-06-18,43.83,43.87,44.34,43.72,391680.0
2010-06-21,43.64,44.33,44.41,43.43,465320.0
2010-06-22,43.39,43.82,44.27,43.38,494360.0
2010-06-23,43.16,43.49,43.81,42.9,439760.0
2010-06-24,42.72,42.91,43.35,42.66,433810.0
2010-06-25,43.2,42.7,43.31,42.29,393490.0
2010-06-28,43.48,43.05,43.97,42.81,480060.0
2010-06-29,41.22,43.04,43.1,40.99,553570.0
2010-06-30,40.57,41.21,41.57,40.49,379910.0
2010-07-01,40.1,40.82,40.89,39.59,442670.0
2010-07-02,40.32,40.19,40.65,39.88,304640.0
2010-07-06,40.81,40.76,41.4,40.42,626370.0
2010-07-07,41.55,40.97,41.58,40.66,576590.0
2010-07-08,41.95,41.9,42.22,41.61,575250.0
2010-07-09,42.15,41.79,42.51,41.79,197850.0
2010-07-12,42.31,41.91,42.39,41.3,350940.0
2010-07-13,43.65,42.59,43.74,42.55,404970.0
2010-07-14,43.9,43.59,44.1,43.52,276130.0
2010-07-15,43.51,43.79,43.95,43.12,191630.0
2010-07-16,42.08,43.2,43.51,42.01,196220.0
2010-07-19,42.34,42.13,42.44,41.79,212790.0
2010-07-20,42.47,41.84,42.53,41.46,421440.0
2010-07-21,42.3,42.69,42.9,42.13,226520.0
2010-07-22,43.74,42.79,43.85,42.79,223320.0
2010-07-23,45.04,43.56,45.05,43.56,373390.0
2010-07-26,45.55,45.05,45.57,44.63,259390.0
2010-07-27,45.56,45.68,45.94,45.4,364360.0
2010-07-28,45.02,45.64,45.8,44.84,200680.0
2010-07-29,44.26,45.18,45.53,44.21,345340.0
2010-07-30,44.95,43.72,45.09,43.21,379620.0
2010-08-02,45.92,45.52,45.93,45.27,285630.0
2010-08-03,45.6,45.67,45.95,45.08,219530.0
2010-08-04,46.58,45.77,46.66,45.65,330360.0
2010-08-05,43.96,44.01,44.87,43.18,814240.0
2010-08-06,44.21,43.68,44.3,43.38,304100.0
2010-08-09,44.1,44.58,44.58,43.87,288290.0
2010-08-10,43.68,43.59,44.09,43.27,167590.0
2010-08-11,42.65,43.04,43.13,42.47,330000.0
2010-08-12,41.67,42.2,42.2,41.54,287930.0
2010-08-13,40.91,41.56,41.72,40.86,431350.0
2010-08-16,40.87,40.75,41.27,40.55,282460.0
2010-08-17,41.84,41.29,42.21,41.19,309770.0
2010-08-18,42.19,41.71,42.37,41.27,257579.99999999997
2010-08-19,41.6,41.93,42.33,41.55,220640.0
2010-08-20,41.98,41.37,42.03,41.32,213090.0
2010-08-23,40.48,42.14,42.28,40.47,513230.0
2010-08-24,40.04,40.01,40.62,39.84,337950.0
2010-08-25,40.19,39.82,40.34,38.88,558850.0
2010-08-26,39.76,40.3,40.47,39.57,423660.0
2010-08-27,40.14,40.06,40.32,39.32,387380.0
2010-08-30,39.37,40.06,40.06,39.08,415850.0
2010-08-31,38.78,39.37,39.43,38.69,800440.0
2010-09-01,40.32,39.32,40.43,39.03,549950.0
2010-09-02,40.01,40.07,40.25,39.68,530420.0
2010-09-03,40.66,40.35,41.23,40.21,286360.0
2010-09-07,40.58,40.52,40.89,40.5,237160.0
2010-09-08,40.57,40.62,41.05,40.36,221550.0
2010-09-09,40.5,41.07,41.4,40.21,376440.0
2010-09-10,40.87,40.5,40.93,40.34,265840.0
2010-09-13,42.24,41.29,42.29,41.21,409060.0
2010-09-14,41.81,42.2,42.48,41.65,273310.0
2010-09-15,42.14,41.54,42.59,41.46,348350.0
2010-09-16,42.24,42.0,42.32,41.88,234290.0
2010-09-17,42.83,42.54,43.04,42.01,414890.0
2010-09-20,43.55,43.05,43.8,42.87,265200.0
2010-09-21,42.78,43.37,43.78,42.64,375290.0
2010-09-22,42.33,42.55,42.95,41.92,221640.0
2010-09-23,42.03,41.99,42.74,41.59,173780.0
2010-09-24,42.68,42.62,42.68,42.29,311620.0
