Date,Close,Open,High,Low,Volume,Change
2018-01-02,1312.0,1313.0,1318.0,1309.19,4810.0,-0.0053
2018-01-03,1317.99,1306.0,1320.56,1306.0,9310.0,0.0046
2018-01-04,1318.0,1313.0,1318.0,1311.04,1670.0,0.0
2018-01-05,1316.0,1316.94,1317.63,1311.0,2180.0,-0.0015
2018-01-08,1308.0,1310.0,1314.7,1295.3,15060.0,-0.0060999999999999995
2018-01-09,1304.32,1307.99,1310.0,1300.0,11030.0,-0.0028000000000000004
2018-01-10,1287.0,1300.0,1305.98,1285.07,18860.0,-0.013300000000000001
2018-01-11,1283.0,1285.11,1292.0,1281.54,10750.0,-0.0031
2018-01-12,1277.0,1281.0,1284.66,1272.0,8510.0,-0.004699999999999999
2018-01-16,1277.03,1277.0,1287.0,1275.0,5150.0,0.0
2018-01-17,1280.0,1275.45,1280.0,1272.57,12930.0,0.0023
2018-01-18,1279.75,1278.01,1281.5,1275.11,12840.0,-0.0002
2018-01-19,1280.0,1275.25,1280.0,1275.16,10700.0,0.0002
2018-01-22,1288.0,1281.0,1292.99,1281.0,1950.0,0.0063
2018-01-23,1289.55,1293.5,1295.85,1288.3,2870.0,0.0012
2018-01-24,1277.36,1287.55,1292.0,1275.27,6580.0,-0.0095
2018-01-25,1281.95,1275.31,1284.25,1275.0,2200.0,0.0036
2018-01-26,1275.92,1281.0,1281.0,1273.52,4640.0,-0.004699999999999999
2018-01-29,1263.5,1270.0,1270.0,1261.01,8300.0,-0.0097
2018-01-30,1267.24,1262.0,1267.24,1251.0,27250.0,0.003
2018-01-31,1262.0,1268.0,1272.72,1258.0,8640.0,-0.0040999999999999995
2018-02-01,1255.0,1255.0,1260.0,1255.0,4460.0,-0.0055000000000000005
2018-02-02,1242.5,1255.0,1255.0,1241.0,11940.0,-0.01
2018-02-05,1240.1,1187.95,1250.0,1187.95,9290.0,-0.0019
2018-02-06,1247.5,1240.0,1250.0,1235.5,12340.0,0.006
2018-02-07,1238.8,1241.9,1247.05,1237.0,4090.0,-0.006999999999999999
2018-02-08,1237.0,1240.0,1240.0,1233.77,9910.0,-0.0015
2018-02-09,1235.0,1233.1,1240.0,1227.0,3880.0,-0.0016
2018-02-12,1232.0,1235.0,1240.0,1230.0,3730.0,-0.0024
2018-02-13,1236.0,1234.78,1239.55,1230.0,2320.0,0.0032
2018-02-14,1233.0,1231.0,1250.0,1230.01,3280.0,-0.0024
2018-02-15,1233.17,1233.28,1241.69,1233.17,3930.0,0.0001
2018-02-16,1243.12,1239.0,1248.74,1234.1,2810.0,0.008100000000000001
2018-02-20,1240.0,1240.41,1240.41,1228.6,2480.0,-0.0025
2018-02-21,1232.6,1236.99,1239.83,1230.0,3250.0,-0.006
2018-02-22,1231.0,1228.65,1234.82,1228.65,4560.0,-0.0013
2018-02-23,1241.25,1238.31,1244.74,1231.0,5810.0,0.0083
2018-02-26,1247.07,1243.0,1253.98,1238.0,4740.0,0.004699999999999999
2018-02-27,1247.5,1241.77,1251.27,1241.77,2210.0,0.0003
2018-02-28,1279.53,1247.5,1279.53,1245.0,10420.0,0.025699999999999997
2018-03-01,1271.63,1277.8,1278.29,1265.52,2830.0,-0.0062
2018-03-02,1262.51,1266.01,1272.57,1260.41,1120.0,-0.0072
2018-03-05,1264.5,1260.47,1264.83,1259.89,920.0,0.0016
2018-03-06,1276.73,1262.17,1276.98,1261.53,1790.0,0.0097
2018-03-07,1277.5,1268.3,1277.5,1263.02,3110.0,0.0006
2018-03-08,1271.72,1279.85,1283.0,1270.11,1350.0,-0.0045000000000000005
2018-03-09,1277.0,1272.0,1280.0,1271.3,2510.0,0.0042
2018-03-12,1283.0,1279.0,1284.99,1277.55,810.0,0.004699999999999999
2018-03-13,1285.7,1282.0,1293.73,1281.0,7900.0,0.0021
2018-03-14,1289.5,1290.0,1292.0,1282.5,890.0,0.003
2018-03-15,1301.0,1288.01,1301.0,1288.01,11950.0,0.0089
2018-03-16,1298.5,1299.14,1302.25,1294.0,5200.0,-0.0019
2018-03-19,1297.5,1300.87,1301.78,1295.0,4550.0,-0.0008
2018-03-20,1297.5,1297.0,1301.17,1295.0,3300.0,0.0
2018-03-21,1297.25,1297.0,1301.73,1296.01,6810.0,-0.0002
2018-03-22,1296.0,1296.26,1298.98,1293.0,4140.0,-0.001
2018-03-23,1288.01,1296.01,1301.71,1288.01,9750.0,-0.0062
2018-03-26,1290.01,1290.15,1297.22,1287.61,6810.0,0.0016
2018-03-27,1295.25,1295.25,1295.25,1290.01,1180.0,0.0040999999999999995
2018-03-28,1279.0,1282.0,1282.0,1272.18,1220.0,-0.0125
2018-03-29,1289.45,1275.22,1291.0,1275.22,2130.0,0.008199999999999999
2018-04-02,1284.77,1281.48,1293.7,1281.48,1570.0,-0.0036
2018-04-03,1275.0,1289.19,1289.47,1275.0,4650.0,-0.0076
2018-04-04,1272.0,1271.89,1279.31,1271.69,2710.0,-0.0024
2018-04-05,1272.0,1271.95,1276.9,1271.0,9510.0,0.0
2018-04-06,1271.0,1268.02,1275.0,1259.42,9440.0,-0.0008
2018-04-09,1263.07,1270.96,1275.0,1263.07,20600.0,-0.0062
2018-04-10,1270.59,1270.99,1272.01,1265.01,7430.0,0.006
2018-04-11,1271.0,1269.0,1272.49,1269.0,5280.0,0.0003
2018-04-12,1277.0,1270.01,1277.0,1268.0,2980.0,0.004699999999999999
2018-04-13,1272.0,1276.99,1277.0,1270.35,9420.0,-0.0039000000000000003
2018-04-16,1272.25,1267.25,1273.8,1267.25,1070.0,0.0002
2018-04-17,1273.0,1272.01,1273.01,1267.02,20740.0,0.0006
2018-04-18,1272.99,1273.99,1277.0,1272.0,49120.0,-0.0
2018-04-19,1273.0,1272.0,1275.0,1272.0,37750.0,0.0
2018-04-20,1272.0,1277.0,1277.0,1270.0,2110.0,-0.0008
2018-04-23,1272.5,1270.25,1275.0,1268.5,2680.0,0.0004
2018-04-24,1271.0,1272.0,1277.0,1266.78,2680.0,-0.0012
