Date,Close,Open,High,Low,Volume
2010-01-04,28.29,28.19,28.44,27.93,6130000.0
2010-01-05,28.59,27.95,28.64,27.75,7190000.0
2010-01-06,28.16,28.48,28.51,28.09,7250000.0
2010-01-07,29.35,28.08,29.49,27.91,11050000.0
2010-01-08,29.53,29.28,29.55,28.98,7140000.0
2010-01-11,29.02,29.65,29.68,28.79,9360000.0
2010-01-12,29.07,28.88,29.32,28.79,8930000.0
2010-01-13,29.29,29.07,29.46,28.87,5870000.0
2010-01-14,29.25,29.26,29.46,28.91,5940000.0
2010-01-15,29.03,29.15,29.39,28.9,10780000.0
2010-01-19,29.53,29.01,29.61,28.89,9110000.0
2010-01-20,30.96,29.89,31.23,29.79,17470000.0
2010-01-21,30.67,30.91,31.3,30.55,13330000.0
2010-01-22,29.27,30.65,31.14,29.13,12170000.0
2010-01-25,29.76,29.55,30.03,29.5,6830000.0
2010-01-26,29.27,29.58,29.88,29.22,7130000.0
2010-01-27,29.76,29.25,29.94,29.09,7730000.0
2010-01-28,29.17,29.93,29.93,28.77,8050000.000000001
2010-01-29,29.09,29.28,29.66,28.99,8300000.000000001
2010-02-01,29.58,29.29,29.87,29.2,6980000.0
2010-02-02,29.26,29.56,29.56,28.98,7540000.0
2010-02-03,28.57,29.09,29.17,28.51,7010000.0
2010-02-04,27.29,28.47,28.7,27.25,10370000.0
2010-02-05,27.14,27.38,27.79,26.35,14940000.0
2010-02-08,26.86,27.15,27.55,26.83,7670000.0
2010-02-09,27.06,27.06,27.39,26.76,7360000.0
2010-02-10,27.39,27.09,27.69,26.95,8490000.0
2010-02-11,27.46,27.3,27.65,27.11,5290000.0
2010-02-12,27.05,27.18,27.31,26.7,7780000.0
2010-02-16,27.73,27.2,27.77,27.11,5080000.0
2010-02-17,27.71,27.66,27.91,27.53,4320000.0
2010-02-18,27.69,27.56,27.76,27.42,4700000.0
2010-02-19,28.66,27.65,29.18,27.65,12290000.0
2010-02-22,28.84,28.78,29.09,28.42,7650000.0
2010-02-23,28.12,28.73,28.84,28.01,7440000.0
2010-02-24,28.63,28.14,28.82,28.02,7150000.0
2010-02-25,28.39,28.35,28.43,27.91,6520000.0
2010-02-26,28.52,28.46,28.55,28.11,5390000.0
2010-03-01,28.42,28.63,28.63,28.23,4700000.0
2010-03-02,28.69,28.45,29.15,28.34,6760000.0
2010-03-03,28.69,28.65,28.87,28.51,5410000.0
2010-03-04,28.89,28.71,28.98,28.58,4430000.0
2010-03-05,29.7,29.06,29.73,28.94,7190000.0
2010-03-08,29.62,29.6,29.73,29.26,6130000.0
2010-03-09,29.81,29.33,29.89,29.33,6450000.0
2010-03-10,29.62,29.91,29.91,29.47,6620000.0
2010-03-11,29.67,29.62,29.67,29.16,5670000.0
2010-03-12,29.72,29.78,29.96,29.6,5640000.0
2010-03-15,29.94,29.57,30.01,29.56,5500000.0
2010-03-16,30.25,30.06,30.29,29.83,6280000.0
2010-03-17,30.69,30.37,30.76,30.19,6490000.0
2010-03-18,30.82,30.63,30.85,30.3,5920000.0
2010-03-19,30.64,30.84,31.07,30.55,7790000.0
2010-03-22,30.83,30.44,30.94,30.41,4300000.0
2010-03-23,31.35,30.83,31.37,30.78,6010000.0
2010-03-24,30.68,31.19,31.25,30.58,7640000.0
2010-03-25,30.84,30.9,31.46,30.76,6310000.0
2010-03-26,30.9,30.86,31.3,30.65,5920000.0
2010-03-29,30.96,31.09,31.22,30.68,4340000.0
2010-03-30,30.72,30.88,30.97,30.61,3910000.0
2010-03-31,30.88,30.56,31.05,30.42,7140000.0
2010-04-01,31.26,31.14,31.29,30.91,5220000.0
2010-04-05,31.5,31.4,31.59,31.18,4680000.0
2010-04-06,31.7,31.39,31.75,31.17,4660000.0
2010-04-07,31.46,31.71,31.89,31.33,5890000.0
2010-04-08,31.85,31.38,31.91,31.32,6130000.0
2010-04-09,31.95,31.87,32.07,31.69,4430000.0
2010-04-12,32.54,32.1,32.65,32.1,6470000.0
2010-04-13,32.47,32.48,32.65,32.06,5110000.0
2010-04-14,32.18,32.31,32.5,31.58,13730000.0
2010-04-15,32.02,32.25,32.49,31.91,8430000.0
2010-04-16,31.57,31.87,32.04,30.77,13370000.0
2010-04-19,32.14,31.75,32.18,31.39,8610000.0
2010-04-20,32.15,31.91,32.32,31.54,11040000.0
2010-04-21,32.22,32.11,32.45,31.95,10300000.0
2010-04-22,32.42,31.94,32.42,31.75,10390000.0
2010-04-23,31.95,32.33,32.33,31.77,9440000.0
2010-04-26,31.65,31.87,32.03,31.64,8210000.000000001
2010-04-27,30.87,31.4,31.8,30.81,9440000.0
2010-04-28,31.24,31.13,31.5,30.95,6220000.0
2010-04-29,31.97,31.56,32.16,31.37,6080000.0
2010-04-30,31.13,31.82,31.92,31.09,7650000.0
2010-05-03,31.33,31.16,31.48,31.03,5020000.0
2010-05-04,30.61,31.02,31.08,30.45,8980000.0
2010-05-05,31.18,30.2,31.71,30.05,10500000.0
2010-05-06,30.22,31.01,31.53,29.0,14140000.0
2010-05-07,30.06,30.33,31.04,29.9,18170000.0
2010-05-10,31.57,31.34,31.69,30.64,8430000.0
2010-05-11,30.98,31.27,31.48,30.6,15410000.0
2010-05-12,30.92,31.17,31.23,30.75,10640000.0
2010-05-13,29.98,30.76,30.82,29.9,14140000.0
2010-05-14,29.7,29.91,30.02,29.51,13140000.0
2010-05-17,29.8,29.68,29.85,29.24,8150000.0
2010-05-18,29.16,30.08,30.08,29.0,11630000.0
2010-05-19,28.78,29.01,29.37,28.56,12910000.0
2010-05-20,27.65,28.14,28.45,27.64,13040000.0
2010-05-21,27.82,26.68,27.91,26.63,20290000.0
2010-05-24,27.17,27.66,27.93,27.15,8600000.0
