Date,Close,Open,High,Low,Volume,Change
2018-01-02,23.28,23.4,23.4,23.1,43420.0,-0.009399999999999999
2018-01-03,23.4,23.21,23.52,23.0,15590.0,0.0052
2018-01-04,23.32,23.3,23.57,23.25,11000.0,-0.0034000000000000002
2018-01-05,23.32,23.3,23.33,23.22,10930.0,0.0
2018-01-08,23.37,23.28,23.39,23.19,29920.0,0.0021
2018-01-09,23.14,23.35,23.35,23.14,13600.0,-0.0098
2018-01-10,23.11,23.06,23.18,23.02,16040.0,-0.0013
2018-01-11,23.24,23.17,23.3,23.09,34850.0,0.005600000000000001
2018-01-12,23.14,23.17,23.25,23.1,36620.0,-0.0043
2018-01-16,23.08,23.07,23.22,23.05,42580.0,-0.0026
2018-01-17,23.26,23.05,23.3,23.05,24760.0,0.0078000000000000005
2018-01-18,23.36,23.3,23.36,23.13,24020.0,0.0043
2018-01-19,23.06,23.39,23.51,23.06,77000.0,-0.0128
2018-01-22,23.18,23.24,23.33,23.16,21130.0,0.0052
2018-01-23,23.12,23.19,23.27,23.1,37840.0,-0.0026
2018-01-24,23.31,23.12,23.34,23.09,39520.0,0.008199999999999999
2018-01-25,23.25,23.32,23.32,23.1,12860.0,-0.0026
2018-01-26,23.06,23.27,23.28,23.05,29020.0,-0.008199999999999999
2018-01-29,23.22,23.04,23.25,22.86,70620.0,0.0069
2018-01-30,23.24,22.95,23.26,22.82,47190.0,0.0009
2018-01-31,23.14,23.0,23.19,22.57,34140.0,-0.0043
2018-02-01,23.18,23.09,23.19,22.89,39660.0,0.0017000000000000001
2018-02-02,23.24,23.01,23.24,22.95,54260.0,0.0026
2018-02-05,23.18,23.23,23.24,22.96,37680.0,-0.0026
2018-02-06,22.99,23.08,23.26,22.89,55880.0,-0.008199999999999999
2018-02-07,23.1,23.12,23.35,22.94,57770.0,0.0048
2018-02-08,23.21,23.05,23.21,22.98,26560.0,0.0048
2018-02-09,23.12,23.11,23.2,22.86,29510.0,-0.0039000000000000003
2018-02-12,22.98,22.97,23.24,22.92,12410.0,-0.0060999999999999995
2018-02-13,22.95,23.08,23.15,22.95,16140.0,-0.0013
2018-02-14,23.16,22.96,23.18,22.9,39980.0,0.0092
2018-02-15,23.15,23.15,23.2,23.07,12260.0,-0.0004
2018-02-16,23.15,23.11,23.2,23.01,24350.0,0.0
2018-02-20,23.15,23.15,23.25,23.15,21010.0,0.0
2018-02-21,23.29,23.19,23.45,23.15,38700.0,0.006
2018-02-22,23.35,23.42,23.5,23.35,55540.0,0.0026
2018-02-23,23.41,23.42,23.42,23.28,41190.0,0.0026
2018-02-26,23.43,23.43,23.47,23.36,34690.0,0.0009
2018-02-27,23.37,23.36,23.4,23.33,9810.0,-0.0026
2018-02-28,23.35,23.38,23.39,23.3,18400.0,-0.0009
2018-03-01,23.42,23.33,23.42,23.29,11190.0,0.003
2018-03-02,23.44,23.4,23.44,23.27,13830.0,0.0009
2018-03-05,23.44,23.35,23.49,23.27,26540.0,0.0
2018-03-06,23.32,23.43,23.43,23.32,9810.0,-0.0051
2018-03-07,23.29,23.32,23.32,23.21,7360.0,-0.0013
2018-03-08,23.17,23.35,23.35,23.17,21360.0,-0.0052
2018-03-09,23.34,23.22,23.34,23.18,16290.0,0.0073
2018-03-12,23.34,23.27,23.35,23.26,8910.0,0.0
2018-03-13,23.33,23.34,23.35,23.26,15530.0,-0.0004
2018-03-14,23.26,23.37,23.39,23.26,11370.0,-0.003
2018-03-15,23.35,23.27,23.35,23.25,7440.0,0.0039000000000000003
2018-03-16,23.38,23.41,23.57,23.29,340790.0,0.0013
2018-03-19,23.35,23.39,23.43,23.15,30710.0,-0.0013
2018-03-20,23.32,23.29,23.35,23.2,11020.0,-0.0013
2018-03-21,23.32,23.26,23.34,23.21,12640.0,0.0
2018-03-22,23.44,23.3,23.44,23.24,19600.0,0.0051
2018-03-23,23.5,23.36,23.5,23.36,20010.0,0.0026
2018-03-26,23.47,23.5,23.5,23.34,22650.0,-0.0013
2018-03-27,23.54,23.46,23.54,23.4,17430.0,0.003
2018-03-28,23.57,23.38,23.62,23.37,12420.0,0.0013
2018-03-29,23.49,23.47,23.63,23.42,11980.0,-0.0034000000000000002
2018-04-02,23.49,23.6,23.6,23.43,14030.0,0.0
2018-04-03,23.47,23.47,23.47,23.16,15750.0,-0.0009
2018-04-04,23.21,23.37,23.42,23.14,14340.0,-0.0111
2018-04-05,23.27,23.22,23.27,23.16,6590.0,0.0026
2018-04-06,23.26,23.27,23.27,23.13,4180.0,-0.0004
2018-04-09,23.13,23.26,23.27,23.13,8180.0,-0.005600000000000001
2018-04-10,23.03,23.14,23.26,23.03,21280.0,-0.0043
2018-04-11,23.04,23.08,23.17,23.02,34750.0,0.0004
2018-04-12,23.14,23.16,23.2,23.06,16170.000000000002,0.0043
2018-04-13,23.05,23.08,23.17,23.02,11100.0,-0.0039000000000000003
2018-04-16,23.08,23.13,23.2,23.04,16230.0,0.0013
2018-04-17,23.14,23.14,23.15,23.08,6780.0,0.0026
2018-04-18,23.06,23.08,23.14,23.05,9600.0,-0.0034999999999999996
2018-04-19,23.06,23.01,23.06,22.97,11760.0,0.0
2018-04-20,23.25,23.03,23.25,22.96,23350.0,0.008199999999999999
2018-04-23,23.15,23.25,23.25,23.11,21710.0,-0.0043
2018-04-24,22.96,23.11,23.11,22.93,22740.0,-0.008199999999999999
2018-04-25,22.91,22.91,22.97,22.83,20700.0,-0.0022
2018-04-26,23.07,22.86,23.08,22.86,11740.0,0.006999999999999999
2018-04-27,22.99,22.94,23.0,22.94,22000.0,-0.0034999999999999996
2018-04-30,22.75,22.83,22.85,22.71,10000.0,-0.0104
2018-05-01,22.68,22.72,22.81,22.66,17880.0,-0.0031
2018-05-02,22.62,22.68,22.71,22.6,13950.0,-0.0026
2018-05-03,22.68,22.62,22.73,22.6,14790.0,0.0027
2018-05-04,22.74,22.62,22.77,22.62,26880.0,0.0026
2018-05-07,22.76,22.76,22.83,22.75,27110.0,0.0009
2018-05-08,22.8,22.84,22.84,22.73,32400.0,0.0018
2018-05-09,22.81,22.74,22.84,22.68,13910.0,0.0004
2018-05-10,22.8,22.74,22.88,22.73,12140.0,-0.0004
2018-05-11,22.8,22.9,22.9,22.8,19550.0,0.0
2018-05-14,22.78,22.84,22.85,22.69,27830.0,-0.0009
2018-05-15,22.81,22.71,22.81,22.62,24330.0,0.0013
2018-05-16,23.04,22.78,23.04,22.69,50500.0,0.0101
2018-05-17,22.97,23.04,23.07,22.97,18230.0,-0.003
2018-05-18,23.08,23.04,23.15,22.97,11770.0,0.0048
2018-05-21,23.08,23.12,23.12,22.87,29460.0,0.0
2018-05-22,23.08,23.08,23.12,23.03,20970.0,0.0
2018-05-23,23.12,23.07,23.12,23.03,5350.0,0.0017000000000000001
2018-05-24,23.03,23.11,23.18,23.0,12370.0,-0.0039000000000000003
2018-05-25,23.09,22.94,23.09,22.92,10130.0,0.0026
2018-05-29,22.97,23.02,23.03,22.84,26760.0,-0.0052
2018-05-30,22.91,23.0,23.0,22.91,10460.0,-0.0026
2018-05-31,22.9,22.98,23.04,22.9,28940.0,-0.0004
2018-06-01,23.17,22.99,23.17,22.96,13650.0,0.0118
2018-06-04,23.25,23.12,23.29,23.05,20200.0,0.0034999999999999996
2018-06-05,23.32,23.25,23.32,23.19,15750.0,0.003
2018-06-06,23.41,23.18,23.47,23.13,25190.0,0.0039000000000000003
2018-06-07,23.28,23.43,23.43,23.28,5560.0,-0.005600000000000001
2018-06-08,23.14,23.28,23.33,23.12,14620.0,-0.006
2018-06-11,23.17,23.09,23.27,23.05,16129.999999999998,0.0013
2018-06-12,23.3,23.2,23.3,23.1,19840.0,0.005600000000000001
2018-06-13,23.23,23.15,23.27,23.08,129080.00000000001,-0.003
2018-06-14,23.32,23.09,23.42,23.07,16910.0,0.0039000000000000003
2018-06-15,23.49,23.36,23.49,23.35,26040.0,0.0073
2018-06-18,23.62,23.45,23.64,23.39,8820.0,0.0055000000000000005
2018-06-19,23.66,23.54,23.66,23.53,26930.0,0.0017000000000000001
2018-06-20,23.62,23.59,23.7,23.49,23210.0,-0.0017000000000000001
2018-06-21,23.59,23.5,23.68,23.5,20460.0,-0.0013
2018-06-22,23.58,23.54,23.61,23.54,5420.0,-0.0004
2018-06-25,23.6,23.6,23.65,23.6,14900.0,0.0008
2018-06-26,23.44,23.54,23.55,23.4,14270.0,-0.0068000000000000005
2018-06-27,23.53,23.43,23.57,23.43,16810.0,0.0038
2018-06-28,23.6,23.58,23.7,23.47,18820.0,0.003
2018-06-29,23.74,23.65,23.74,23.59,20600.0,0.0059
2018-07-02,23.8,23.74,23.97,23.67,32130.000000000004,0.0025
2018-07-03,23.66,23.8,23.81,23.66,23760.0,-0.0059
2018-07-05,23.85,23.67,23.88,23.67,23990.0,0.008
2018-07-06,23.82,23.75,23.99,23.75,36560.0,-0.0013
2018-07-09,23.94,23.87,23.96,23.82,25790.0,0.005
2018-07-10,23.94,23.96,23.96,23.82,32070.0,0.0
2018-07-11,23.84,23.84,23.98,23.81,32320.0,-0.0042
2018-07-12,23.9,23.84,23.93,23.84,17550.0,0.0025
2018-07-13,24.27,23.91,24.36,23.66,105230.0,0.0155
2018-07-16,24.26,24.11,24.32,24.11,58810.0,-0.0004
2018-07-17,24.25,24.27,24.28,24.15,26160.0,-0.0004
2018-07-18,24.33,24.3,24.38,24.25,27370.0,0.0033
2018-07-19,24.17,24.35,24.47,24.17,16200.0,-0.0066
2018-07-20,24.29,24.29,24.29,23.93,42030.0,0.005
2018-07-23,23.93,24.21,24.4,23.93,22560.0,-0.0148
2018-07-24,23.93,24.0,24.15,23.93,10220.0,0.0
2018-07-25,24.14,24.2,24.22,23.71,13160.0,0.0088
2018-07-26,24.19,24.16,24.23,24.12,11010.0,0.0021
2018-07-27,24.0,24.25,24.25,23.95,8360.0,-0.0079
2018-07-30,24.19,24.11,24.19,24.11,23840.0,0.0079
2018-07-31,23.9,23.98,24.0,23.87,18630.0,-0.012
2018-08-01,23.73,23.86,23.86,23.73,14590.0,-0.0070999999999999995
2018-08-02,23.72,23.73,23.89,23.72,28260.0,-0.0004
2018-08-03,23.76,23.78,23.8,23.76,15490.0,0.0017000000000000001
2018-08-06,23.76,23.77,23.91,23.76,12250.0,0.0
2018-08-07,23.66,23.84,23.88,23.66,16059.999999999998,-0.0042
2018-08-08,23.8,23.84,23.84,23.72,5070.0,0.0059
2018-08-09,23.79,23.84,23.87,23.75,21420.0,-0.0004
2018-08-10,23.84,23.9,23.9,23.84,9320.0,0.0021
2018-08-13,23.66,23.92,23.94,23.66,16210.0,-0.0076
2018-08-14,23.75,23.86,23.86,23.72,5540.0,0.0038
2018-08-15,23.76,23.85,23.85,23.73,12660.0,0.0004
2018-08-16,23.85,23.83,23.9,23.83,6890.0,0.0038
2018-08-17,23.9,23.81,23.9,23.8,14120.0,0.0021
2018-08-20,23.76,23.91,23.97,23.76,22010.0,-0.0059
