Date,Close,Open,High,Low,Volume
2010-01-04,25.63,25.41,25.7,25.3,14380000.0
2010-01-05,25.23,25.51,25.55,25.01,16970000.0
2010-01-06,25.22,25.17,25.29,25.07,15530000.0
2010-01-07,25.24,25.18,25.41,25.1,15760000.0
2010-01-08,24.82,25.3,25.34,24.72,18730000.0
2010-01-11,25.08,24.94,25.11,24.86,14110000.0
2010-01-12,24.81,25.01,25.2,24.71,11940000.0
2010-01-13,24.99,24.79,25.08,24.7,14430000.0
2010-01-14,25.05,25.02,25.11,24.88,11350000.0
2010-01-15,25.07,25.05,25.18,24.9,13450000.0
2010-01-19,25.65,25.11,26.0,25.07,19370000.0
2010-01-20,25.46,25.45,25.88,25.19,16370000.000000002
2010-01-21,24.95,25.42,25.64,24.89,16780000.0
2010-01-22,24.6,24.98,25.05,24.5,15950000.0
2010-01-25,24.33,24.74,24.81,24.3,11290000.0
2010-01-26,24.3,24.27,24.37,23.5,13540000.0
2010-01-27,24.3,24.28,24.41,24.08,12400000.0
2010-01-28,24.1,24.63,24.82,24.1,18710000.0
2010-01-29,24.36,24.14,24.62,23.96,20530000.0
2010-02-01,24.38,24.77,24.77,24.23,15290000.0
2010-02-02,24.78,24.37,24.8,24.14,9870000.0
2010-02-03,24.5,24.67,24.72,24.32,8119999.999999999
2010-02-04,23.99,24.31,24.5,23.9,16700000.0
2010-02-05,23.97,23.94,24.07,23.49,15210000.0
2010-02-08,23.96,23.91,24.3,23.76,12500000.0
2010-02-09,24.25,24.1,24.41,23.9,9910000.0
2010-02-10,23.92,24.27,24.27,23.76,10600000.0
2010-02-11,23.89,23.85,23.98,23.57,11010000.0
2010-02-12,23.91,23.76,24.0,23.55,9660000.0
2010-02-16,24.21,24.03,24.28,23.86,10270000.0
2010-02-17,24.51,24.33,24.64,24.29,9010000.0
2010-02-18,24.84,24.51,24.88,24.42,11290000.0
2010-02-19,24.95,24.78,25.01,24.66,10740000.0
2010-02-22,24.68,24.95,24.98,24.44,8650000.0
