Date,Close,Open,High,Low,Volume,Change
2018-01-02,295755,297400,298000,294000,340.0,-0.0062
2018-01-03,299905,296200,299920,295801,190.0,0.013999999999999999
2018-01-04,300516,300450,302980,300000,530.0,0.002
2018-01-05,301525,302200,302430,297900,310.0,0.0034000000000000002
2018-01-08,304180,299500,304530,299500,480.0,0.0088
2018-01-09,304500,305784,306280,303880,630.0,0.0011
2018-01-10,308350,304625,308600,303930,350.0,0.0126
2018-01-11,309950,309000,310760,308800,430.0,0.0052
2018-01-12,315225,310100,315390,309910,450.0,0.017
2018-01-16,315261,319620,321060,313980,540.0,0.0001
2018-01-17,321469,317800,323630,315561,290.0,0.0197
2018-01-18,320000,324300,324300,319620,620.0,-0.0046
2018-01-19,320238,320800,321000,318191,440.0,0.0007000000000000001
2018-01-22,324064,320130,324064,320085,370.0,0.011899999999999999
2018-01-23,322885,324500,324619,319393,380.0,-0.0036
2018-01-24,323480,323551,325230,322000,330.0,0.0018
2018-01-25,322850,324600,324600,321520,160.0,-0.0019
2018-01-26,325915,323100,325915,323100,370.0,0.0095
2018-01-29,323500,325650,326350,322910,200.0,-0.0074
2018-01-30,323000,322480,324915,322155,860.0,-0.0015
2018-01-31,323375,323000,323500,321010,590.0,0.0012
2018-02-01,325900,322300,326110,322000,450.0,0.0078000000000000005
2018-02-02,314340,324351,324380,312030,640.0,-0.0355
2018-02-05,295600,308500,311850,295000,1020.0,-0.0596
2018-02-06,303000,293150,303431,288540,1180.0,0.025
2018-02-07,301000,304200,306710,301000,520.0,-0.0066
2018-02-08,288000,301190,301190,288000,650.0,-0.0432
2018-02-09,294140,293859,296296,285250,910.0,0.0213
2018-02-12,298940,298100,301020,295000,430.0,0.0163
2018-02-13,297500,296400,298508,294500,310.0,-0.0048
2018-02-14,301005,295960,301180,294458,180.0,0.0118
2018-02-15,305999,303580,305999,301100,260.0,0.0166
2018-02-16,306000,304650,309590,304650,370.0,0.0
2018-02-20,304904,305400,306805,303660,230.0,-0.0036
2018-02-21,301530,304470,307770,301240,230.0,-0.0111
2018-02-22,301404,302500,305020,300345,320.0,-0.0004
2018-02-23,304020,301860,306400,301425,390.0,0.0087
2018-02-26,316126,311240,316520,308455,840.0,0.0398
2018-02-27,314345,318150,319500,314345,570.0,-0.005600000000000001
2018-02-28,310250,316100,317410,310250,310.0,-0.013000000000000001
2018-03-01,302946,311000,313000,301405,390.0,-0.0235
2018-03-02,303100,300980,303693,299360,320.0,0.0005
2018-03-05,304500,302000,306499,300240,210.0,0.0046
2018-03-06,307005,307000,307499,304400,180.0,0.008199999999999999
2018-03-07,306756,303900,307560,303430,210.0,-0.0008
2018-03-08,307700,306400,310994,305240,260.0,0.0031
2018-03-09,319600,311540,319780,309355,530.0,0.0387
2018-03-12,317746,319320,320000,317130,340.0,-0.0058
2018-03-13,314039,318020,319860,313395,430.0,-0.011699999999999999
2018-03-14,310655,315485,315485,309435,310.0,-0.0108
2018-03-15,311601,312501,313950,308000,240.0,0.003
2018-03-16,310630,313340,313340,309880,240.0,-0.0031
2018-03-19,305980,310400,310513,304100,270.0,-0.015
2018-03-20,307100,307501,308210,305810,180.0,0.0037
2018-03-21,307600,308950,310720,306020,270.0,0.0016
2018-03-22,296949,304730,304730,295950,640.0,-0.0346
2018-03-23,288755,297440,298389,288450,510.0,-0.0276
2018-03-26,299500,295500,299925,293455,430.0,0.037200000000000004
2018-03-27,294650,301000,302590,292380,300.0,-0.016200000000000003
2018-03-28,295041,296400,298145,291640,280.0,0.0013
2018-03-29,299100,296540,301518,296540,310.0,0.0138
2018-04-02,293410,298620,299100,288740,460.0,-0.019
2018-04-03,296850,295480,297325,291885,180.0,0.011699999999999999
2018-04-04,299850,291100,300900,291100,360.0,0.0101
2018-04-05,301750,301410,304200,300500,430.0,0.0063
2018-04-06,294000,298810,299750,290990,360.0,-0.025699999999999997
2018-04-09,292671,296150,298000,292560,260.0,-0.0045000000000000005
2018-04-10,296556,296760,299500,296300,310.0,0.013300000000000001
2018-04-11,293249,295250,295500,292690,210.0,-0.011200000000000002
2018-04-12,297021,295320,299370,295000,250.0,0.0129
2018-04-13,295891,299200,299960,294300,210.0,-0.0038
2018-04-16,297181,297949,299892,296600,240.0,0.0044
2018-04-17,298701,299499,300950,298590,210.0,0.0051
2018-04-18,299205,300170,301300,299130,140.0,0.0017000000000000001
2018-04-19,300300,300000,302000,298990,140.0,0.0037
