Date,Close,Open,High,Low,Volume
2010-01-04,9.01,9.03,9.04,8.93,1440000.0
2010-01-05,8.94,8.97,8.99,8.85,1700000.0
2010-01-06,8.86,8.91,8.96,8.81,2380000.0
2010-01-07,8.87,8.87,8.9,8.8,2140000.0
2010-01-08,8.82,8.86,8.86,8.78,1130000.0
2010-01-11,8.86,8.88,8.88,8.83,1510000.0
2010-01-12,8.87,8.84,8.89,8.82,1690000.0
2010-01-13,8.92,8.87,8.93,8.82,3460000.0
2010-01-14,8.96,8.88,8.96,8.87,1750000.0
2010-01-15,8.88,8.95,8.95,8.87,1550000.0
2010-01-19,8.93,8.86,8.93,8.86,1640000.0
2010-01-20,8.9,8.86,8.91,8.83,1730000.0
2010-01-21,8.96,8.9,8.99,8.86,2210000.0
2010-01-22,8.95,8.98,9.05,8.9,1980000.0
2010-01-25,8.95,9.02,9.02,8.9,1280000.0
2010-01-26,8.91,8.96,9.0,8.9,1140000.0
2010-01-27,8.9,8.93,8.97,8.81,2100000.0
2010-01-28,8.81,8.94,8.94,8.75,2049999.9999999998
2010-01-29,8.8,8.81,8.85,8.8,1380000.0
2010-02-01,8.8,8.8,8.85,8.78,1480000.0
2010-02-02,8.88,8.79,8.88,8.79,885340.0
2010-02-03,8.92,8.86,8.94,8.82,1400000.0
2010-02-04,8.93,8.89,9.01,8.82,1780000.0
2010-02-05,8.88,8.91,8.97,8.83,2190000.0
2010-02-08,8.88,8.88,8.98,8.8,1780000.0
2010-02-09,8.88,8.94,8.96,8.85,1580000.0
2010-02-10,8.85,8.85,8.87,8.79,1380000.0
2010-02-11,8.85,8.84,8.88,8.79,1650000.0
2010-02-12,8.85,8.79,8.86,8.79,1320000.0
2010-02-16,8.28,8.78,8.78,8.24,5130000.0
2010-02-17,8.27,8.27,8.32,8.16,4059999.9999999995
2010-02-18,8.25,8.25,8.29,8.21,2690000.0
2010-02-19,8.36,8.32,8.4,8.2,5150000.0
2010-02-22,8.38,8.38,8.39,8.33,2840000.0
2010-02-23,8.41,8.37,8.47,8.34,1870000.0
2010-02-24,8.47,8.41,8.48,8.38,1290000.0
2010-02-25,8.45,8.41,8.48,8.39,1240000.0
2010-02-26,8.39,8.44,8.47,8.32,2300000.0
2010-03-01,8.42,8.4,8.51,8.37,1360000.0
2010-03-02,8.46,8.41,8.46,8.37,753210.0
2010-03-03,8.54,8.47,8.55,8.44,1470000.0
2010-03-04,8.59,8.56,8.62,8.47,1500000.0
2010-03-05,8.68,8.62,8.7,8.57,2120000.0
2010-03-08,8.65,8.65,8.71,8.62,1010000.0
2010-03-09,8.72,8.62,8.75,8.57,1500000.0
2010-03-10,8.78,8.69,8.78,8.61,1480000.0
2010-03-11,8.84,8.72,8.87,8.7,1570000.0
2010-03-12,8.84,8.86,8.89,8.76,1370000.0
2010-03-15,8.85,8.84,8.87,8.77,1240000.0
2010-03-16,8.87,8.84,8.88,8.81,459470.0
2010-03-17,8.94,8.91,8.96,8.79,700210.0
2010-03-18,8.96,8.92,8.97,8.88,945660.0
2010-03-19,8.99,8.96,8.99,8.78,1770000.0
2010-03-22,8.96,8.96,9.03,8.9,681190.0
2010-03-23,9.0,8.96,9.0,8.88,889510.0
2010-03-24,8.98,8.97,9.04,8.94,746490.0
2010-03-25,8.93,9.0,9.05,8.93,1070000.0
2010-03-26,8.9,8.93,8.98,8.89,1090000.0
2010-03-29,8.91,8.92,8.95,8.86,1410000.0
2010-03-30,8.99,8.94,9.0,8.87,997920.0
2010-03-31,8.96,8.96,9.03,8.93,962920.0
2010-04-01,8.87,8.96,8.99,8.82,806150.0
2010-04-05,8.89,8.87,8.91,8.83,938160.0
2010-04-06,8.96,8.82,8.96,8.82,986690.0
2010-04-07,8.99,8.92,8.99,8.89,1140000.0
2010-04-08,9.05,8.99,9.05,8.96,1110000.0
2010-04-09,9.15,9.04,9.15,9.01,979600.0
2010-04-12,9.21,9.1,9.21,9.08,1210000.0
2010-04-13,9.29,9.21,9.31,9.19,935840.0
2010-04-14,9.39,9.35,9.41,9.3,1820000.0
2010-04-15,9.43,9.37,9.54,9.36,1400000.0
2010-04-16,9.29,9.4,9.44,9.28,1560000.0
2010-04-19,9.45,9.26,9.48,9.22,1730000.0
2010-04-20,9.77,9.45,9.82,9.36,4090000.0
2010-04-21,9.73,9.76,9.76,9.64,2740000.0
2010-04-22,9.89,9.7,9.9,9.67,3230000.0
2010-04-23,10.02,9.91,10.03,9.84,2180000.0
2010-04-26,9.93,9.99,10.03,9.9,1910000.0
2010-04-27,9.85,9.87,9.94,9.8,3270000.0
2010-04-28,9.9,9.88,10.01,9.79,3000000.0
2010-04-29,10.12,9.97,10.12,9.94,2080000.0
2010-04-30,10.07,10.12,10.15,10.02,2690000.0
2010-05-03,10.07,10.05,10.12,9.99,1730000.0
2010-05-04,10.02,10.01,10.06,9.95,2440000.0
2010-05-05,9.88,9.93,10.06,9.87,2560000.0
2010-05-06,9.49,9.85,9.93,4.02,3800000.0
2010-05-07,9.51,9.51,9.65,9.43,5140000.0
2010-05-10,9.73,9.62,9.75,9.61,2640000.0
2010-05-11,9.79,9.64,9.85,9.62,1450000.0
2010-05-12,9.91,9.84,9.96,9.74,1490000.0
2010-05-13,9.91,9.87,9.99,9.86,2680000.0
2010-05-14,9.76,9.87,9.92,9.7,1760000.0
2010-05-17,9.88,9.79,9.89,9.7,2120000.0
2010-05-18,9.77,9.97,9.97,9.76,1930000.0
2010-05-19,9.81,9.72,9.88,9.68,2640000.0
2010-05-20,9.54,9.68,9.75,9.52,3250000.0
2010-05-21,9.55,9.46,9.58,9.4,2740000.0
2010-05-24,9.56,9.55,9.71,9.43,2009999.9999999998
2010-05-25,9.49,9.39,9.51,9.29,2720000.0
2010-05-26,9.54,9.56,9.66,9.52,1660000.0
2010-05-27,9.87,9.67,9.88,9.6,2080000.0
2010-05-28,9.8,9.85,9.9,9.79,1660000.0
2010-06-01,9.68,9.72,9.87,9.67,1300000.0
2010-06-02,9.79,9.72,9.79,9.64,1060000.0
2010-06-03,9.91,9.79,9.96,9.77,1520000.0
2010-06-04,9.65,9.82,9.85,9.64,2410000.0
2010-06-07,9.47,9.7,9.73,9.47,2110000.0
2010-06-08,9.52,9.51,9.53,9.32,2250000.0
2010-06-09,9.38,9.54,9.54,9.35,2069999.9999999998
2010-06-10,9.79,9.66,9.79,9.6,2800000.0
2010-06-11,9.86,9.71,9.86,9.67,760190.0
2010-06-14,10.0,9.9,10.03,9.83,1820000.0
2010-06-15,10.2,10.02,10.21,9.96,1470000.0
2010-06-16,10.13,10.18,10.22,10.1,1470000.0
2010-06-17,10.09,10.11,10.13,10.03,1460000.0
2010-06-18,10.11,10.1,10.14,10.05,1550000.0
2010-06-21,10.06,10.2,10.2,10.03,1620000.0
2010-06-22,9.93,10.08,10.09,9.92,1910000.0
2010-06-23,9.89,9.89,9.96,9.82,828810.0
2010-06-24,9.86,9.82,9.96,9.8,1360000.0
2010-06-25,9.89,9.86,9.97,9.82,3960000.0
2010-06-28,9.9,9.92,9.98,9.88,1730000.0
2010-06-29,9.68,9.79,9.8,9.64,2520000.0
2010-06-30,9.57,9.66,9.7,9.54,1940000.0
2010-07-01,9.57,9.59,9.64,9.48,3440000.0
2010-07-02,9.45,9.6,9.64,9.44,1490000.0
2010-07-06,9.48,9.54,9.68,9.44,1380000.0
2010-07-07,9.63,9.52,9.63,9.47,1570000.0
2010-07-08,9.69,9.7,9.71,9.57,1280000.0
2010-07-09,9.73,9.68,9.73,9.64,719200.0
2010-07-12,9.65,9.69,9.73,9.57,860900.0
2010-07-13,9.96,9.73,9.97,9.68,1570000.0
2010-07-14,9.83,9.93,9.93,9.81,829950.0
2010-07-15,9.73,9.81,9.84,9.68,938560.0
2010-07-16,9.47,9.7,9.75,9.46,1440000.0
2010-07-19,9.54,9.53,9.56,9.45,1370000.0
2010-07-20,10.0,9.69,10.01,9.63,3820000.0
2010-07-21,9.72,10.02,10.05,9.7,2490000.0
2010-07-22,10.04,10.02,10.1,9.92,3110000.0
2010-07-23,10.1,9.99,10.13,9.98,2080000.0
2010-07-26,10.12,10.12,10.18,10.06,1690000.0
2010-07-27,10.0,10.14,10.15,9.94,2250000.0
2010-07-28,9.99,10.0,10.02,9.97,1290000.0
2010-07-29,9.96,10.06,10.1,9.84,1040000.0
2010-07-30,10.01,9.89,10.04,9.82,1480000.0
2010-08-02,10.06,10.1,10.12,9.99,1910000.0
2010-08-03,9.95,10.05,10.06,9.91,1190000.0
