Date,Close,Open,High,Low,Volume
2010-01-04,37.58,37.74,37.84,37.25,3940000.0
2010-01-05,37.53,37.51,37.55,37.15,3410000.0
2010-01-06,37.6,37.38,37.64,37.09,3760000.0
2010-01-07,37.91,37.62,37.99,37.6,3330000.0
2010-01-08,38.44,37.71,38.49,37.41,4500000.0
2010-01-11,38.88,38.78,39.01,38.5,3560000.0
2010-01-12,38.34,38.6,38.92,38.22,3850000.0
2010-01-13,38.43,38.34,38.6,38.2,2520000.0
2010-01-14,38.59,38.41,38.67,38.26,1900000.0
2010-01-15,38.1,38.62,38.83,38.03,3510000.0
2010-01-19,38.41,38.15,38.49,38.0,2910000.0
2010-01-20,37.99,38.13,38.16,37.73,2049999.9999999998
2010-01-21,37.35,37.93,38.13,37.34,3290000.0
2010-01-22,36.73,37.23,37.32,36.71,3800000.0
2010-01-25,37.26,37.13,37.46,36.92,3410000.0
2010-01-26,37.03,37.23,37.35,36.87,2740000.0
2010-01-27,37.09,36.91,37.15,36.45,2950000.0
2010-01-28,36.43,36.12,36.99,35.88,5300000.0
2010-01-29,35.67,36.48,36.5,35.63,4540000.0
2010-02-01,35.92,35.81,35.98,35.55,5010000.0
2010-02-02,36.53,36.02,36.58,35.8,4230000.0
2010-02-03,36.44,36.25,36.57,36.01,3230000.0
2010-02-04,35.38,36.19,36.3,35.35,4050000.0
2010-02-05,35.51,35.38,35.62,34.9,6450000.0
2010-02-08,35.08,35.13,35.41,34.98,3970000.0
2010-02-09,35.45,35.46,35.65,35.06,4290000.0
2010-02-10,35.49,35.51,35.73,35.09,3100000.0
2010-02-11,35.95,35.37,35.98,35.06,2870000.0
2010-02-12,35.97,35.58,36.02,35.31,3730000.0
2010-02-16,36.75,36.27,36.78,36.09,3150000.0
2010-02-17,37.62,37.35,37.65,37.1,7440000.0
2010-02-18,37.74,37.65,37.86,37.57,3160000.0
2010-02-19,37.98,37.7,38.15,37.66,3890000.0
2010-02-22,37.88,38.15,38.15,37.6,3210000.0
2010-02-23,37.32,37.79,37.9,37.2,3500000.0
2010-02-24,37.26,37.47,37.48,36.95,4470000.0
2010-02-25,37.27,36.96,37.35,36.45,4370000.0
2010-02-26,36.98,37.19,37.41,36.95,4030000.0000000005
2010-03-01,37.67,36.98,37.72,36.87,4680000.0
2010-03-02,37.76,37.73,37.85,37.62,2100000.0
2010-03-03,37.65,37.92,38.05,37.56,2110000.0
2010-03-04,37.95,37.88,37.99,37.58,2770000.0
2010-03-05,38.48,38.13,38.49,38.03,2049999.9999999998
2010-03-08,38.3,38.38,38.47,38.18,1580000.0
2010-03-09,38.77,38.27,38.8,38.27,4290000.0
2010-03-10,38.96,38.71,39.06,38.67,4340000.0
2010-03-11,39.14,38.74,39.14,38.48,4670000.0
2010-03-12,39.06,39.49,39.49,38.79,2670000.0
2010-03-15,39.01,38.9,39.06,38.65,2320000.0
2010-03-16,38.99,39.1,39.12,38.74,3730000.0
2010-03-17,38.7,39.1,39.2,38.6,5450000.0
2010-03-18,38.99,38.65,39.02,38.44,4010000.0
2010-03-19,38.49,39.19,39.19,38.37,4040000.0
2010-03-22,38.73,38.41,38.84,38.3,2260000.0
2010-03-23,38.77,38.7,38.91,38.48,2820000.0
2010-03-24,38.18,38.54,38.59,38.18,3260000.0
2010-03-25,38.23,38.33,38.68,38.12,4240000.0
2010-03-26,38.31,38.27,38.72,38.22,3780000.0
2010-03-29,38.69,38.46,38.76,38.32,3100000.0
2010-03-30,40.44,40.08,40.55,39.8,9920000.0
2010-03-31,39.95,40.26,40.34,39.85,4500000.0
2010-04-01,40.31,40.06,40.48,40.03,3940000.0
2010-04-05,40.45,40.46,40.5,40.19,2330000.0
2010-04-06,40.28,40.32,40.38,40.16,2470000.0
2010-04-07,40.2,40.19,40.33,39.9,3970000.0
2010-04-08,39.92,40.2,40.24,39.8,3050000.0
2010-04-09,40.16,39.91,40.17,39.84,2420000.0
2010-04-12,40.18,40.24,40.27,40.01,2160000.0
2010-04-13,39.62,39.62,39.85,39.48,5680000.0
2010-04-14,40.45,39.6,40.51,39.45,4630000.0
2010-04-15,40.54,40.36,40.79,40.24,4520000.0
2010-04-16,39.91,40.48,40.56,39.77,5340000.0
2010-04-19,39.96,39.72,40.01,39.47,4190000.0000000005
2010-04-20,40.41,40.41,40.7,40.2,4019999.9999999995
2010-04-21,40.73,40.36,41.15,40.22,5670000.0
2010-04-22,42.2,41.69,42.58,41.1,10260000.0
2010-04-23,42.7,42.3,42.72,41.76,5180000.0
2010-04-26,42.5,42.75,42.75,42.33,4040000.0
2010-04-27,41.63,42.4,42.56,41.54,3540000.0
2010-04-28,41.76,41.86,42.12,41.6,4630000.0
2010-04-29,42.51,41.98,42.64,41.98,3540000.0
2010-04-30,42.14,42.67,42.74,41.99,6040000.0
2010-05-03,42.73,42.02,42.98,41.9,5690000.0
2010-05-04,41.56,42.24,42.24,41.09,6340000.0
2010-05-05,41.23,41.17,41.76,41.05,5700000.0
2010-05-06,40.13,40.99,41.57,37.66,7560000.0
2010-05-07,39.91,40.23,40.67,39.61,10600000.0
2010-05-10,42.08,41.12,42.13,41.05,5300000.0
2010-05-11,42.11,41.65,42.23,41.49,5440000.0
2010-05-12,43.71,42.62,43.77,42.5,6650000.0
2010-05-13,43.08,43.7,43.7,42.93,5010000.0
2010-05-14,42.52,42.69,42.9,41.92,4800000.0
2010-05-17,42.2,42.51,42.75,41.59,4700000.0
2010-05-18,41.47,42.57,42.6,41.38,4620000.0
2010-05-19,40.37,41.22,41.24,39.72,8100000.0
