Date,Close,Open,High,Low,Volume
2010-01-04,8.68,8.53,8.68,8.41,401220.0
2010-01-05,8.76,8.65,8.77,8.51,479250.0
2010-01-06,9.01,8.78,9.07,8.76,882900.0
2010-01-07,9.37,9.07,9.39,9.03,585850.0
2010-01-08,9.37,9.3,9.37,9.12,381630.0
2010-01-11,9.44,9.42,9.45,9.2,657480.0
2010-01-12,9.92,9.74,10.4,9.69,2180000.0
2010-01-13,10.28,10.15,10.29,9.99,1470000.0
2010-01-14,11.31,10.8,11.57,10.7,5090000.0
2010-01-15,11.33,11.3,11.4,11.07,1830000.0
2010-01-19,11.42,11.38,11.7,11.31,2009999.9999999998
2010-01-20,11.16,11.39,11.39,11.1,1560000.0
2010-01-21,11.03,11.19,11.24,11.0,1080000.0
2010-01-22,11.07,11.02,11.12,10.77,731170.0
2010-01-25,11.22,11.4,11.6,11.16,793000.0
2010-01-26,11.0,11.18,11.2,10.9,736680.0
2010-01-27,11.17,11.05,11.23,10.9,465100.0
2010-01-28,11.12,11.25,11.32,10.94,433470.0
2010-01-29,11.3,11.19,11.41,11.16,847390.0
2010-02-01,11.36,11.38,11.52,11.27,771850.0
2010-02-02,11.12,11.37,11.41,10.96,1200000.0
2010-02-03,11.08,11.11,11.2,11.03,634940.0
2010-02-04,10.7,11.01,11.07,10.57,1070000.0
2010-02-05,10.62,10.65,10.84,10.38,717780.0
2010-02-08,10.65,10.64,10.86,10.56,568780.0
2010-02-09,11.14,10.75,11.2,10.74,765180.0
2010-02-10,11.16,11.15,11.25,10.9,561330.0
2010-02-11,11.47,11.16,11.49,11.06,613470.0
2010-02-12,11.53,11.4,11.54,11.3,725100.0
2010-02-16,11.83,11.62,11.85,11.57,550440.0
2010-02-17,12.29,11.89,12.29,11.87,801140.0
2010-02-18,12.25,12.3,12.36,12.08,886000.0
2010-02-19,12.28,12.2,12.5,12.2,853070.0
2010-02-22,12.32,12.46,12.48,12.25,571690.0
2010-02-23,12.14,12.3,12.36,12.1,644230.0
2010-02-24,12.43,12.21,12.5,12.11,581160.0
2010-02-25,12.43,12.33,12.5,12.16,667300.0
2010-02-26,12.49,12.56,12.78,12.49,900860.0
2010-03-01,12.74,12.62,12.84,12.5,1920000.0
2010-03-02,13.39,13.17,13.4,12.77,3650000.0
2010-03-03,14.06,13.52,14.13,13.44,3590000.0
2010-03-04,13.7,14.06,14.06,13.36,2980000.0
2010-03-05,13.89,13.7,13.99,13.57,1140000.0
2010-03-08,13.79,13.97,14.05,13.77,1490000.0
2010-03-09,14.19,13.81,14.26,13.67,2130000.0
2010-03-10,13.57,14.0,14.0,13.53,2240000.0
2010-03-11,13.74,13.61,13.92,13.5,1390000.0
2010-03-12,13.9,13.88,13.94,13.65,687370.0
2010-03-15,13.77,13.9,13.98,13.69,753610.0
2010-03-16,14.08,13.79,14.08,13.65,1020000.0
2010-03-17,14.19,14.1,14.25,14.03,914990.0
2010-03-18,13.56,14.03,14.03,13.3,1940000.0
2010-03-19,13.35,13.55,13.7,13.29,1230000.0
2010-03-22,13.92,13.38,13.98,13.35,1130000.0
2010-03-23,13.9,13.96,13.96,13.67,664160.0
2010-03-24,13.83,13.8,13.85,13.67,663100.0
2010-03-25,13.97,13.9,14.1,13.84,1300000.0
2010-03-26,13.79,14.02,14.05,13.7,462630.0
2010-03-29,13.78,13.84,13.99,13.65,583780.0
2010-03-30,13.86,13.89,14.0,13.73,1080000.0
2010-03-31,13.64,13.83,13.95,13.62,803270.0
2010-04-01,13.78,13.74,13.89,13.59,614690.0
2010-04-05,14.0,13.87,14.0,13.69,808830.0
2010-04-06,13.94,13.87,14.05,13.73,764060.0
2010-04-07,14.01,13.98,14.05,13.88,1120000.0
2010-04-08,14.71,14.0,14.85,13.79,2850000.0
2010-04-09,14.46,14.8,14.83,14.32,1310000.0
2010-04-12,14.42,14.43,14.59,14.3,946290.0
2010-04-13,15.16,14.57,15.25,14.25,2130000.0
2010-04-14,15.35,15.48,15.57,15.24,1610000.0
2010-04-15,15.08,15.5,15.64,15.08,1030000.0
2010-04-16,14.82,15.04,15.2,14.6,1070000.0
2010-04-19,14.86,14.79,15.0,14.51,925500.0
2010-04-20,15.37,14.97,15.41,14.8,832950.0
2010-04-21,15.52,15.42,15.56,15.1,913700.0
2010-04-22,15.18,15.09,15.27,15.0,1420000.0
2010-04-23,15.19,15.16,15.3,15.02,623250.0
2010-04-26,16.16,15.49,16.32,15.49,2180000.0
2010-04-27,15.7,16.12,16.12,15.63,968910.0
2010-04-28,15.35,15.36,15.54,15.02,1990000.0
