Date,Close,Open,High,Low,Volume
2010-01-04,43.54,43.9,44.22,43.44,1420000.0
2010-01-05,43.05,43.41,43.79,42.74,2130000.0
2010-01-06,43.23,43.05,43.6,43.02,1530000.0
2010-01-07,42.83,43.22,43.31,42.61,1210000.0
2010-01-08,43.16,42.69,43.23,42.45,948730.0
2010-01-11,43.77,43.43,43.78,43.04,1230000.0
2010-01-12,43.73,43.59,44.04,43.31,2340000.0
2010-01-13,44.12,43.97,44.18,43.79,1120000.0
2010-01-14,44.29,44.14,44.35,43.83,1010000.0
2010-01-15,43.93,44.18,44.18,43.43,1350000.0
2010-01-19,44.33,44.04,44.42,43.94,1120000.0
2010-01-20,43.88,43.84,44.05,43.34,1510000.0
2010-01-21,42.85,43.78,44.17,42.68,2049999.9999999998
2010-01-22,42.06,42.81,42.87,42.01,2049999.9999999998
2010-01-25,42.66,42.47,42.93,41.91,1680000.0
2010-01-26,43.04,42.41,43.35,42.41,1630000.0
2010-01-27,42.75,42.93,42.93,42.25,1080000.0
2010-01-28,42.4,42.81,42.83,42.25,1080000.0
2010-01-29,42.04,42.6,42.77,42.03,1300000.0
2010-02-01,42.61,42.23,42.61,41.82,1050000.0
2010-02-02,43.03,42.56,43.05,42.08,812000.0
2010-02-03,42.68,42.94,43.03,42.51,533040.0
2010-02-04,41.75,42.39,42.57,41.75,1300000.0
2010-02-05,41.78,41.68,41.86,41.25,2089999.9999999998
2010-02-08,41.5,41.84,42.01,41.43,1260000.0
2010-02-09,42.0,41.97,42.58,41.59,1320000.0
2010-02-10,41.95,42.03,42.28,41.63,1080000.0
2010-02-11,42.33,41.81,42.34,41.31,886230.0
2010-02-12,41.95,41.98,42.12,41.6,1110000.0
2010-02-16,43.07,42.31,43.07,42.23,824120.0
2010-02-17,42.88,43.29,43.3,42.75,934450.0
2010-02-18,43.59,42.72,43.61,42.72,1160000.0
2010-02-19,44.6,43.43,44.9,43.43,2800000.0
2010-02-22,44.62,44.68,44.99,44.47,1270000.0
2010-02-23,43.99,44.45,44.62,43.88,1860000.0
2010-02-24,44.26,44.13,44.33,43.57,1240000.0
2010-02-25,43.95,43.86,43.99,43.19,1290000.0
2010-02-26,43.42,43.95,44.1,43.34,1240000.0
2010-03-01,44.31,43.71,44.37,43.66,1320000.0
2010-03-02,44.65,44.53,44.78,44.46,964720.0
2010-03-03,44.59,44.82,45.23,44.55,1410000.0
2010-03-04,44.7,44.76,44.82,44.32,999470.0
2010-03-05,45.04,44.89,45.14,44.67,1070000.0
2010-03-08,44.84,44.98,45.1,44.78,1160000.0
2010-03-09,44.94,44.61,44.99,44.51,1570000.0
2010-03-10,44.81,44.91,44.95,44.38,1340000.0
2010-03-11,44.91,44.72,44.91,44.57,654800.0
2010-03-12,44.87,45.09,45.14,44.52,742620.0
2010-03-15,45.06,44.76,45.09,44.72,994690.0
2010-03-16,45.61,45.07,45.63,44.97,926850.0
2010-03-17,45.82,45.74,45.93,45.43,1270000.0
2010-03-18,45.14,45.21,45.3,45.03,1160000.0
2010-03-19,45.1,45.17,45.36,44.76,1350000.0
2010-03-22,44.96,44.92,45.08,44.74,789100.0
2010-03-23,45.28,44.94,45.32,44.77,1040000.0
2010-03-24,45.04,45.19,45.32,44.97,1800000.0
2010-03-25,44.69,45.23,45.31,44.63,1180000.0
2010-03-26,44.7,44.7,45.04,44.41,1120000.0
2010-03-29,45.38,44.88,45.38,44.8,732060.0
2010-03-30,45.2,45.34,45.54,45.12,1110000.0
2010-03-31,44.6,45.07,45.1,44.42,1540000.0
2010-04-01,45.38,44.7,45.52,44.7,786760.0
2010-04-05,45.75,45.46,45.75,45.28,677510.0
2010-04-06,46.48,45.52,46.49,45.01,936020.0
2010-04-07,46.12,46.48,46.56,45.87,622470.0
2010-04-08,45.88,46.07,46.08,45.7,782820.0
2010-04-09,46.12,45.99,46.13,45.51,688890.0
2010-04-12,46.25,46.3,46.47,46.14,638330.0
2010-04-13,46.03,46.24,46.25,45.7,539290.0
2010-04-14,45.99,46.04,46.04,45.58,1010000.0
2010-04-15,46.12,45.99,46.35,45.62,1140000.0
2010-04-16,45.64,46.05,46.21,45.2,1520000.0
2010-04-19,45.9,45.49,46.08,45.49,1250000.0
2010-04-20,46.21,46.17,46.3,45.96,880550.0
2010-04-21,46.82,46.21,46.91,46.19,1360000.0
2010-04-22,47.26,46.64,47.33,46.44,1230000.0
2010-04-23,47.93,47.3,47.98,47.01,1150000.0
2010-04-26,47.55,47.82,47.97,47.51,874610.0
2010-04-27,46.87,47.32,47.68,46.72,1160000.0
2010-04-28,48.29,47.21,48.49,47.01,1910000.0
2010-04-29,48.07,48.45,48.79,48.01,1530000.0
2010-04-30,48.17,48.2,48.78,48.0,1530000.0
2010-05-03,48.91,48.31,49.05,48.14,1290000.0
2010-05-04,48.14,48.35,48.63,47.93,1740000.0
2010-05-05,47.64,47.94,48.24,47.41,1380000.0
2010-05-06,46.55,47.47,47.67,43.0,2440000.0
2010-05-07,45.69,46.52,46.88,45.49,2630000.0
2010-05-10,47.4,47.26,47.59,46.65,1400000.0
2010-05-11,47.72,46.98,48.31,46.83,1070000.0
2010-05-12,47.95,47.76,48.17,47.47,954720.0
2010-05-13,47.79,47.81,48.44,47.6,1350000.0
2010-05-14,47.3,47.54,47.87,47.06,1630000.0
2010-05-17,47.6,47.3,47.77,46.76,1100000.0
2010-05-18,47.17,48.06,48.26,47.1,1550000.0
2010-05-19,46.49,46.85,47.15,46.15,870920.0
2010-05-20,45.1,45.51,46.15,45.0,1860000.0
2010-05-21,45.39,44.48,45.39,44.19,1980000.0
2010-05-24,44.86,44.93,45.53,44.76,877110.0
2010-05-25,44.74,43.94,44.77,43.29,2040000.0
2010-05-26,44.54,44.96,45.38,44.42,1610000.0
2010-05-27,45.49,45.28,45.54,44.87,829230.0
2010-05-28,45.51,45.53,46.0,45.4,961760.0
2010-06-01,44.91,45.22,45.79,44.91,1140000.0
2010-06-02,45.62,45.2,45.68,44.71,2240000.0
2010-06-03,45.9,45.84,46.02,45.37,1340000.0
2010-06-04,44.42,45.09,45.32,44.25,1540000.0
2010-06-07,44.45,44.44,45.01,43.99,1630000.0
2010-06-08,45.07,44.57,45.17,44.16,1860000.0
2010-06-09,45.12,45.28,45.84,44.92,2060000.0
2010-06-10,46.14,45.65,46.23,45.57,1390000.0
2010-06-11,46.09,45.77,46.18,45.37,1460000.0
2010-06-14,46.5,46.5,46.9,46.41,884320.0
2010-06-15,47.76,47.0,47.81,46.78,1430000.0
2010-06-16,48.24,47.55,48.63,47.54,1370000.0
2010-06-17,48.35,47.73,48.41,47.44,1860000.0
2010-06-18,48.35,48.47,48.47,48.09,1600000.0
2010-06-21,48.03,48.72,48.81,47.77,677410.0
2010-06-22,47.01,48.11,48.19,46.85,879840.0
2010-06-23,46.51,46.96,47.18,46.3,1090000.0
2010-06-24,46.52,46.4,47.09,46.31,1110000.0
2010-06-25,46.53,46.5,46.85,45.94,1050000.0
2010-06-28,46.79,46.54,46.96,46.19,652220.0
2010-06-29,45.62,46.33,46.38,45.45,1120000.0
2010-06-30,45.61,45.64,46.25,45.36,1990000.0
2010-07-01,45.08,45.46,45.81,44.93,1360000.0
2010-07-02,45.47,45.19,45.74,45.06,1250000.0
2010-07-06,45.92,45.7,46.26,45.49,1080000.0
2010-07-07,47.35,46.09,47.36,45.86,1420000.0
2010-07-08,47.4,47.62,47.75,47.22,1110000.0
2010-07-09,47.73,47.35,47.77,47.09,957880.0
2010-07-12,47.67,47.54,47.92,47.31,564470.0
2010-07-13,48.11,48.0,48.35,47.77,923920.0
2010-07-14,47.92,47.95,48.02,47.48,1250000.0
2010-07-15,48.24,47.99,48.35,47.61,1070000.0
2010-07-16,47.13,48.1,48.13,47.04,1360000.0
2010-07-19,47.68,47.14,47.82,46.87,718300.0
2010-07-20,47.76,46.88,47.78,46.61,1600000.0
2010-07-21,46.83,47.87,47.87,46.53,1380000.0
2010-07-22,47.7,47.09,47.83,47.02,1020000.0
2010-07-23,48.06,47.72,48.09,47.34,802670.0
2010-07-26,48.39,48.2,48.39,47.91,1130000.0
2010-07-27,48.97,48.51,49.0,48.27,2740000.0
2010-07-28,48.67,48.8,48.97,48.45,1140000.0
2010-07-29,48.16,48.95,49.06,47.84,1060000.0
2010-07-30,46.16,45.6,47.24,45.6,3390000.0
2010-08-02,46.52,46.59,46.94,46.0,2020000.0
2010-08-03,46.28,46.3,46.51,46.13,1490000.0
2010-08-04,46.45,46.37,46.57,45.99,1550000.0
2010-08-05,46.79,46.29,46.84,46.17,1100000.0
2010-08-06,46.83,46.59,46.96,46.21,1550000.0
2010-08-09,47.33,46.95,47.86,46.9,1200000.0
2010-08-10,47.27,47.02,47.51,46.63,1650000.0
2010-08-11,46.23,46.8,46.8,46.17,1200000.0
2010-08-12,46.18,45.17,46.58,45.17,1280000.0
2010-08-13,46.21,45.94,46.66,45.89,798730.0
2010-08-16,46.41,45.98,46.48,45.6,1190000.0
2010-08-17,46.61,46.74,46.85,46.46,2069999.9999999998
2010-08-18,46.44,46.67,46.68,46.08,2150000.0
2010-08-19,45.86,46.33,46.37,45.5,1220000.0
2010-08-20,45.91,45.44,46.0,45.29,956090.0
2010-08-23,46.16,46.01,46.58,45.94,729830.0
2010-08-24,46.15,45.74,46.5,45.64,1060000.0
2010-08-25,46.16,45.87,46.32,45.51,2230000.0
2010-08-26,46.14,46.24,46.64,46.01,1060000.0
2010-08-27,47.13,46.37,47.25,45.96,1140000.0
2010-08-30,46.62,46.96,47.28,46.57,745730.0
2010-08-31,46.85,46.53,47.05,46.15,1460000.0
2010-09-01,47.83,47.19,47.96,47.09,1750000.0
2010-09-02,47.43,48.0,48.0,47.17,1030000.0
2010-09-03,47.54,47.72,47.79,47.2,962510.0
2010-09-07,47.18,47.2,47.4,46.9,3320000.0
2010-09-08,46.95,47.23,47.35,46.78,3160000.0
2010-09-09,47.1,47.3,47.35,46.98,892460.0
2010-09-10,47.47,47.02,47.56,46.67,1610000.0
2010-09-13,47.84,47.75,47.96,47.38,1270000.0
2010-09-14,48.25,47.74,48.39,47.61,1510000.0
2010-09-15,48.19,47.89,48.42,47.89,1780000.0
2010-09-16,46.69,47.55,47.55,46.51,1610000.0
2010-09-17,46.31,46.93,47.06,46.23,2210000.0
2010-09-20,46.55,46.31,46.71,46.27,1470000.0
2010-09-21,45.99,46.61,46.69,45.76,2640000.0
2010-09-22,46.12,45.81,46.46,45.8,1380000.0
2010-09-23,45.47,45.92,46.04,45.41,1170000.0
2010-09-24,45.84,45.76,46.2,45.68,1100000.0
2010-09-27,46.01,45.93,46.14,45.58,1160000.0
