Date,Close,Open,High,Low,Volume
2010-01-04,8.56,8.21,8.56,8.21,373060.0
2010-01-05,8.69,8.52,8.79,8.46,429000.0
2010-01-06,8.95,8.71,9.11,8.64,1050000.0
2010-01-07,9.21,9.02,9.34,8.91,376090.0
2010-01-08,9.04,9.2,9.3,8.97,174530.0
2010-01-11,9.01,9.12,9.24,8.94,204600.0
2010-01-12,9.46,8.97,9.46,8.9,388350.0
2010-01-13,9.22,9.47,9.58,9.02,328400.0
2010-01-14,9.22,9.23,9.36,9.19,184960.0
2010-01-15,9.7,9.49,9.89,9.28,2810000.0
2010-01-19,10.07,9.65,10.2,9.65,739010.0
2010-01-20,10.01,10.03,10.19,9.92,431340.0
2010-01-21,9.75,10.04,10.04,9.46,484220.0
2010-01-22,9.36,9.69,9.71,9.21,478620.0
2010-01-25,9.37,9.46,9.54,9.11,417460.0
2010-01-26,9.27,9.31,9.5,9.24,446280.0
2010-01-27,9.55,9.23,9.6,9.21,694390.0
2010-01-28,9.24,9.54,9.54,9.08,437140.0
2010-01-29,9.06,9.3,9.58,9.05,812400.0
2010-02-01,9.36,9.19,9.37,9.1,320530.0
2010-02-02,9.34,9.34,9.49,9.24,330020.0
2010-02-03,9.24,9.27,9.43,9.1,137540.0
2010-02-04,8.99,9.14,9.21,8.94,421920.0
2010-02-05,8.99,9.06,9.06,8.78,468130.0
2010-02-08,8.86,9.05,9.09,8.85,139750.0
2010-02-09,8.83,9.0,9.05,8.72,248580.0
2010-02-10,9.22,8.81,9.22,8.66,239210.0
2010-02-11,9.46,9.24,9.49,9.01,220240.0
2010-02-12,9.65,9.33,9.68,9.25,267150.0
2010-02-16,9.73,9.75,9.86,9.54,180440.0
2010-02-17,9.75,9.79,9.85,9.61,149200.0
2010-02-18,9.78,9.75,9.8,9.43,166410.0
2010-02-19,9.36,9.78,9.78,9.34,431540.0
2010-02-22,9.43,9.36,9.5,9.21,135970.0
2010-02-23,9.27,9.44,9.48,9.13,195330.0
2010-02-24,9.26,9.27,9.38,9.11,204180.0
2010-02-25,9.11,9.11,9.12,8.91,205760.0
2010-02-26,9.04,9.13,9.13,8.9,203640.0
2010-03-01,9.21,9.04,9.21,9.0,218390.0
2010-03-02,9.42,9.25,9.5,9.23,299780.0
2010-03-03,9.27,9.47,9.47,9.25,199190.0
2010-03-04,9.09,9.3,9.3,9.05,134990.0
2010-03-05,9.48,9.18,9.48,9.18,155900.0
2010-03-08,9.67,9.45,9.78,9.45,217540.0
2010-03-09,9.69,9.7,10.0,9.57,398850.0
2010-03-10,10.24,9.72,10.25,9.61,502470.0
2010-03-11,10.11,10.2,10.32,10.0,374740.0
2010-03-12,9.8,10.19,10.19,9.61,263900.0
2010-03-15,9.77,9.73,9.86,9.44,313710.0
2010-03-16,9.53,9.78,9.82,9.35,270190.0
2010-03-17,9.63,9.58,9.75,9.52,173900.0
2010-03-18,9.73,9.56,9.75,9.51,204820.0
2010-03-19,9.85,9.79,10.0,9.61,353440.0
2010-03-22,10.32,9.79,10.4,9.68,322110.0
2010-03-23,10.82,10.39,10.84,10.3,567130.0
2010-03-24,10.56,10.8,10.95,10.52,289520.0
2010-03-25,10.13,10.61,10.72,10.12,352700.0
2010-03-26,9.83,10.15,10.28,9.8,397240.0
2010-03-29,9.97,9.89,10.15,9.88,171450.0
2010-03-30,9.85,9.99,10.18,9.78,236670.0
2010-03-31,9.74,9.79,9.93,9.72,520659.99999999994
2010-04-01,9.93,9.78,9.98,9.7,234250.0
2010-04-05,10.01,9.93,10.25,9.84,316090.0
2010-04-06,9.87,9.94,10.1,9.84,163480.0
2010-04-07,9.56,9.9,10.01,9.36,462160.0
2010-04-08,9.51,9.56,9.58,9.41,342570.0
2010-04-09,9.92,9.5,9.93,9.46,372920.0
2010-04-12,10.11,9.93,10.21,9.93,227900.0
2010-04-13,10.42,10.11,10.47,10.05,265980.0
2010-04-14,10.8,10.5,10.81,10.5,348030.0
2010-04-15,10.99,10.82,11.0,10.81,216280.0
2010-04-16,10.86,10.99,11.0,10.7,278770.0
2010-04-19,10.68,10.85,10.88,10.52,123310.0
2010-04-20,10.96,10.75,10.97,10.66,184660.0
2010-04-21,10.97,10.98,10.98,10.57,194610.0
2010-04-22,11.01,10.85,11.1,10.75,286460.0
2010-04-23,10.57,11.07,11.2,10.39,396640.0
2010-04-26,10.57,10.55,10.7,10.35,200760.0
2010-04-27,10.77,10.55,10.85,10.55,386440.0
2010-04-28,10.95,10.85,10.96,10.72,179070.0
2010-04-29,11.31,11.0,11.37,10.93,317970.0
2010-04-30,10.95,11.31,11.38,10.82,738730.0
2010-05-03,11.35,10.95,11.39,10.93,315170.0
2010-05-04,10.87,11.19,11.19,10.74,291050.0
2010-05-05,10.52,10.65,10.9,10.3,267100.0
2010-05-06,9.88,10.3,10.33,9.71,703710.0
2010-05-07,9.27,9.88,10.16,9.15,642830.0
2010-05-10,9.52,9.85,9.85,9.4,412780.0
2010-05-11,10.07,9.41,10.22,9.28,321690.0
2010-05-12,10.67,10.13,10.71,10.13,230800.0
2010-05-13,10.92,10.7,11.26,10.7,203060.0
2010-05-14,10.95,10.82,11.01,10.69,237650.0
2010-05-17,10.97,10.96,11.16,10.59,242680.0
2010-05-18,10.68,11.13,11.2,10.62,157750.0
2010-05-19,10.93,10.71,11.16,10.71,433880.0
2010-05-20,10.22,10.67,10.83,10.13,525230.0
2010-05-21,10.32,10.02,10.35,9.73,512390.0
2010-05-24,9.95,10.28,10.28,9.92,208690.0
