Date,Close,Open,High,Low,Volume
2010-01-04,7.29,7.31,7.37,7.26,3090000.0
2010-01-05,7.34,7.27,7.34,7.26,2790000.0
2010-01-06,7.42,7.36,7.46,7.31,3010000.0
2010-01-07,7.49,7.46,7.51,7.38,2700000.0
2010-01-08,7.46,7.55,7.57,7.44,3570000.0
2010-01-11,7.62,7.5,7.62,7.49,4440000.0
2010-01-12,7.65,7.58,7.65,7.54,5210000.0
2010-01-13,7.68,7.67,7.72,7.62,2800000.0
2010-01-14,7.7,7.69,7.71,7.67,3140000.0
2010-01-15,7.63,7.72,7.72,7.56,4860000.0
2010-01-19,7.75,7.64,7.75,7.64,3460000.0
2010-01-20,7.83,7.74,7.84,7.69,4700000.0
2010-01-21,7.84,7.87,7.88,7.77,5030000.0
2010-01-22,7.58,7.82,7.82,7.56,6960000.0
2010-01-25,7.65,7.58,7.7,7.5,5060000.0
2010-01-26,7.64,7.6,7.69,7.6,2170000.0
2010-01-27,7.63,7.61,7.66,7.58,2310000.0
2010-01-28,7.54,7.62,7.73,7.53,4170000.0
2010-01-29,7.47,7.6,7.6,7.47,4340000.0
2010-02-01,7.52,7.47,7.54,7.42,2610000.0
2010-02-02,7.75,7.55,7.76,7.51,3440000.0
2010-02-03,7.7,7.75,7.82,7.69,4770000.0
2010-02-04,7.47,7.68,7.71,7.45,7510000.0
2010-02-05,7.48,7.37,7.49,7.1,16990000.0
2010-02-08,7.25,7.47,7.47,7.25,9710000.0
2010-02-09,7.22,7.33,7.35,7.13,8700000.0
2010-02-10,7.15,7.18,7.2,7.05,6110000.0
2010-02-11,7.2,7.12,7.21,7.09,6920000.0
2010-02-12,7.28,7.18,7.28,7.16,4190000.0000000005
2010-02-16,7.34,7.29,7.34,7.19,5320000.0
2010-02-17,7.48,7.38,7.49,7.34,4620000.0
2010-02-18,7.56,7.49,7.56,7.45,5550000.0
2010-02-19,7.54,7.57,7.6,7.5,5370000.0
2010-02-22,7.61,7.59,7.62,7.51,6020000.0
2010-02-23,7.51,7.62,7.62,7.49,7620000.0
2010-02-24,7.58,7.57,7.59,7.53,7220000.0
2010-02-25,7.6,7.51,7.6,7.47,8170000.0
2010-02-26,7.65,7.62,7.66,7.57,10190000.0
2010-03-01,7.8,7.65,7.81,7.5,6310000.0
2010-03-02,7.93,7.83,7.93,7.83,5500000.0
2010-03-03,7.95,7.94,7.96,7.88,5440000.0
2010-03-04,7.98,7.98,7.99,7.95,4520000.0
2010-03-05,8.08,7.99,8.08,7.97,3730000.0
2010-03-08,8.06,8.08,8.1,8.05,2780000.0
2010-03-09,8.03,8.07,8.1,8.0,2350000.0
2010-03-10,8.1,8.01,8.1,8.01,2970000.0
2010-03-11,8.1,8.09,8.1,7.93,2900000.0
2010-03-12,8.15,8.13,8.16,8.05,2520000.0
2010-03-15,8.23,8.13,8.3,7.99,5070000.0
2010-03-16,8.23,8.29,8.29,8.16,2660000.0
2010-03-17,8.2,8.25,8.25,8.18,2410000.0
2010-03-18,8.26,8.25,8.27,8.2,2430000.0
2010-03-19,8.32,8.28,8.33,8.27,5500000.0
2010-03-22,8.44,8.31,8.45,8.18,4840000.0
2010-03-23,8.38,8.45,8.5,8.32,5300000.0
2010-03-24,8.33,8.38,8.4,8.31,2740000.0
2010-03-25,8.25,8.35,8.35,8.24,6230000.0
2010-03-26,8.18,8.24,8.28,8.16,5680000.0
2010-03-29,8.29,8.21,8.3,8.2,2150000.0
2010-03-30,8.34,8.29,8.35,8.25,2040000.0
2010-03-31,8.24,8.31,8.32,8.24,2860000.0
2010-04-01,8.37,8.27,8.38,8.27,2690000.0
2010-04-05,8.6,8.4,8.6,8.4,4460000.0
2010-04-06,8.54,8.59,8.6,8.3,10770000.0
2010-04-07,8.58,8.57,8.64,8.49,3230000.0
2010-04-08,8.57,8.55,8.58,8.47,2350000.0
2010-04-09,8.67,8.65,8.67,8.54,3900000.0
2010-04-12,8.54,8.58,8.58,8.46,4420000.0
2010-04-13,8.71,8.55,8.71,8.47,4460000.0
2010-04-14,8.69,8.77,8.79,8.64,4420000.0
2010-04-15,8.78,8.71,8.79,8.67,2930000.0
2010-04-16,8.7,8.77,8.82,8.68,3670000.0
2010-04-19,8.63,8.66,8.76,8.61,4970000.0
2010-04-20,8.72,8.63,8.73,8.62,7650000.0
2010-04-21,8.36,8.48,8.66,8.34,11940000.0
2010-04-22,8.47,8.36,8.48,8.25,4860000.0
2010-04-23,8.56,8.44,8.57,8.33,4130000.0
2010-04-26,8.51,8.49,8.6,8.37,3270000.0
2010-04-27,8.57,8.51,8.69,8.47,4690000.0
2010-04-28,8.71,8.56,8.77,8.55,5240000.0
2010-04-29,8.79,8.72,8.79,8.65,4420000.0
2010-04-30,8.59,8.82,8.83,8.58,5320000.0
2010-05-03,8.82,8.61,8.83,8.61,4290000.0
2010-05-04,8.62,8.74,8.81,8.59,4890000.0
2010-05-05,8.58,8.6,8.63,8.5,6680000.0
2010-05-06,8.32,8.57,8.65,8.0,6900000.0
2010-05-07,8.12,8.34,8.34,8.03,12480000.0
2010-05-10,8.41,8.38,8.54,8.17,5910000.0
2010-05-11,8.32,8.38,8.4,8.26,6690000.0
2010-05-12,8.46,8.36,8.47,8.3,5370000.0
2010-05-13,8.49,8.43,8.58,8.43,2960000.0
2010-05-14,8.38,8.44,8.48,8.34,3290000.0
2010-05-17,8.47,8.43,8.49,8.3,4500000.0
2010-05-18,8.44,8.55,8.6,8.42,3960000.0
2010-05-19,8.3,8.4,8.46,8.27,4840000.0
2010-05-20,8.01,8.16,8.19,8.01,6890000.0
2010-05-21,8.2,7.92,8.21,7.76,7530000.0
2010-05-24,8.35,8.15,8.43,8.15,6860000.0
2010-05-25,8.26,8.21,8.38,8.06,12100000.0
2010-05-26,8.48,8.3,8.63,8.26,9810000.0
2010-05-27,8.65,8.54,8.67,8.48,5740000.0
2010-05-28,8.42,8.62,8.67,8.4,9260000.0
2010-06-01,8.68,8.37,8.79,8.37,10760000.0
2010-06-02,8.87,8.73,8.87,8.58,8330000.0
2010-06-03,8.97,8.89,9.01,8.84,6000000.0
2010-06-04,8.74,8.79,8.86,8.66,7910000.0
2010-06-07,8.57,8.78,8.93,8.55,7330000.0
2010-06-08,8.73,8.6,8.78,8.54,6140000.0
2010-06-09,8.76,8.74,8.83,8.7,4540000.0
2010-06-10,8.82,8.86,8.95,8.79,3850000.0
2010-06-11,8.97,8.79,8.99,8.76,3360000.0
2010-06-14,8.97,9.04,9.11,8.95,2910000.0
2010-06-15,9.08,8.98,9.1,8.98,2410000.0
2010-06-16,9.19,9.02,9.26,9.02,3310000.0
2010-06-17,9.15,9.16,9.22,9.09,3220000.0
2010-06-18,9.17,9.16,9.27,9.12,2850000.0
2010-06-21,9.17,9.27,9.33,9.13,2370000.0
2010-06-22,9.13,9.2,9.3,9.12,3640000.0
2010-06-23,8.69,8.9,8.96,8.56,11810000.0
2010-06-24,8.83,8.68,8.92,8.65,6860000.0
2010-06-25,8.89,8.9,8.9,8.75,8590000.0
2010-06-28,9.01,8.99,9.05,8.83,5420000.0
2010-06-29,8.97,8.91,9.05,8.85,6260000.0
2010-06-30,9.34,8.97,9.41,8.94,12950000.0
2010-07-01,9.26,9.36,9.36,9.1,9180000.0
2010-07-02,9.23,9.3,9.34,9.23,7320000.0
2010-07-06,9.43,9.36,9.54,9.33,6960000.0
2010-07-07,9.21,9.27,9.27,9.11,14950000.0
2010-07-08,9.27,9.28,9.36,9.16,8050000.000000001
2010-07-09,9.36,9.28,9.4,9.24,2350000.0
2010-07-12,9.33,9.33,9.4,9.28,2650000.0
2010-07-13,9.28,9.42,9.46,9.27,5160000.0
2010-07-14,9.33,9.27,9.34,9.17,4950000.0
2010-07-15,9.33,9.36,9.4,9.23,3210000.0
2010-07-16,9.12,9.28,9.32,9.11,4110000.0000000005
2010-07-19,9.2,9.16,9.25,9.14,3460000.0
2010-07-20,9.26,9.11,9.27,9.03,4580000.0
2010-07-21,8.92,9.27,9.27,8.89,9110000.0
2010-07-22,9.56,9.35,9.72,9.35,10360000.0
2010-07-23,9.7,9.56,9.73,9.51,8010000.0
2010-07-26,9.78,9.71,9.78,9.64,5090000.0
2010-07-27,9.79,9.83,9.88,9.7,4420000.0
2010-07-28,9.64,9.79,9.82,9.61,3070000.0
2010-07-29,9.54,9.7,9.77,9.53,4700000.0
2010-07-30,9.63,9.49,9.7,9.47,4570000.0
2010-08-02,9.6,9.74,9.77,9.58,5660000.0
2010-08-03,9.58,9.61,9.8,9.44,8289999.999999999
2010-08-04,9.59,9.58,9.68,9.54,4420000.0
2010-08-05,9.6,9.58,9.66,9.52,3620000.0
2010-08-06,9.72,9.52,9.73,9.49,5260000.0
2010-08-09,9.72,9.72,9.75,9.64,3510000.0
2010-08-10,9.67,9.64,9.74,9.58,3700000.0
2010-08-11,9.62,9.6,9.66,9.51,5920000.0
2010-08-12,9.57,9.6,9.62,9.52,3000000.0
2010-08-13,9.55,9.59,9.61,9.48,2850000.0
2010-08-16,9.54,9.54,9.6,9.42,2800000.0
2010-08-17,9.61,9.61,9.67,9.54,3840000.0
2010-08-18,9.62,9.57,9.69,9.52,4600000.0
2010-08-19,9.61,9.62,9.67,9.51,3590000.0
2010-08-20,9.7,9.58,9.72,9.56,6000000.0
2010-08-23,9.71,9.72,9.77,9.64,3740000.0
2010-08-24,9.52,9.64,9.64,9.5,4550000.0
2010-08-25,9.48,9.45,9.54,9.4,5130000.0
2010-08-26,9.58,9.49,9.61,9.48,4530000.0
2010-08-27,9.68,9.61,9.73,9.5,3370000.0
2010-08-30,9.64,9.64,9.72,9.61,2840000.0
2010-08-31,9.59,9.6,9.63,9.52,4390000.0
2010-09-01,9.82,9.67,9.83,9.63,4980000.0
2010-09-02,10.07,9.82,10.07,9.78,5800000.0
2010-09-03,10.16,10.12,10.19,10.05,3120000.0
2010-09-07,10.16,10.16,10.26,10.05,2260000.0
2010-09-08,10.0,10.14,10.18,9.96,6130000.0
2010-09-09,9.96,10.07,10.09,9.93,3520000.0
2010-09-10,9.84,9.95,9.98,9.83,5640000.0
2010-09-13,9.57,9.93,9.97,9.56,8670000.0
2010-09-14,9.5,9.51,9.56,9.17,10710000.0
2010-09-15,9.61,9.49,9.65,9.46,9640000.0
2010-09-16,9.72,9.58,9.82,9.58,6440000.0
2010-09-17,9.3,9.69,9.71,9.3,10870000.0
2010-09-20,9.08,9.27,9.36,8.85,24020000.0
2010-09-21,9.89,9.09,10.03,9.09,26490000.0
2010-09-22,9.95,9.9,9.99,9.72,14600000.0
2010-09-23,11.26,11.09,11.55,11.05,38290000.0
2010-09-24,11.32,11.32,11.33,10.95,11960000.0
2010-09-27,11.35,11.33,11.38,11.13,9100000.0
2010-09-28,11.33,11.15,11.46,10.96,6180000.0
2010-09-29,11.32,11.28,11.35,11.26,4030000.0000000005
2010-09-30,11.17,11.34,11.4,11.15,8630000.0
2010-10-01,11.18,11.24,11.37,11.03,5980000.0
2010-10-04,11.08,11.14,11.17,11.0,4480000.0
2010-10-05,11.28,11.16,11.29,11.1,4600000.0
2010-10-06,11.3,11.29,11.33,11.18,4130000.0
2010-10-07,11.27,11.35,11.37,11.16,3890000.0
2010-10-08,11.34,11.27,11.37,11.22,2840000.0
