Date,Close,Open,High,Low,Volume
2010-01-04,23.85,23.4,23.86,23.24,493750.0
2010-01-05,23.47,23.8,23.88,23.34,344210.0
2010-01-06,23.43,23.52,23.54,23.33,287940.0
2010-01-07,23.41,23.37,23.43,23.15,279300.0
2010-01-08,23.2,23.41,23.41,23.05,245470.0
2010-01-11,23.02,23.18,23.22,22.88,224960.0
2010-01-12,22.92,22.89,23.05,22.69,325450.0
2010-01-13,23.25,23.05,23.35,22.93,316180.0
2010-01-14,23.43,23.12,23.46,23.12,172930.0
2010-01-15,23.2,23.54,23.54,23.01,517780.0
2010-01-19,23.52,23.15,23.55,23.12,334960.0
2010-01-20,23.17,23.32,23.35,22.81,311620.0
2010-01-21,22.89,23.25,23.36,22.65,402280.0
2010-01-22,22.44,22.92,23.05,22.39,376470.0
2010-01-25,22.38,22.57,22.61,22.25,273210.0
2010-01-26,22.17,22.32,22.43,22.14,424740.0
2010-01-27,22.26,22.03,22.37,22.03,569070.0
2010-01-28,21.85,22.23,22.23,21.65,528120.0
2010-01-29,21.96,21.91,22.14,21.88,749540.0
2010-02-01,22.5,22.02,22.54,21.95,733560.0
2010-02-02,22.76,22.47,23.06,22.28,854400.0
2010-02-03,22.61,22.77,23.74,22.32,833120.0
2010-02-04,22.05,22.51,22.51,21.96,651990.0
2010-02-05,21.75,22.01,22.08,21.36,675420.0
2010-02-08,21.44,21.73,21.73,21.4,495450.0
2010-02-09,21.48,21.71,21.82,21.4,606140.0
2010-02-10,21.31,21.37,21.52,21.03,534200.0
2010-02-11,21.59,21.21,21.63,21.01,380000.0
2010-02-12,21.58,21.38,21.59,21.32,397990.0
2010-02-16,22.19,22.98,22.98,21.95,765180.0
2010-02-17,22.52,22.18,22.52,22.13,483800.0
2010-02-18,22.71,22.58,22.71,22.41,356620.0
2010-02-19,22.67,22.74,22.86,22.49,551580.0
2010-02-22,22.6,22.67,22.77,22.39,991450.0
2010-02-23,22.45,22.47,22.64,22.26,623340.0
