Date,Close,Open,High,Low,Volume,Change
2018-01-02,26.65,27.08,27.08,26.59,101880.0,-0.011899999999999999
2018-01-03,26.58,26.75,26.78,26.51,99780.0,-0.0026
2018-01-04,26.6,26.55,26.67,26.55,87690.0,0.0008
2018-01-05,26.64,26.63,26.7,26.63,37990.0,0.0015
2018-01-08,26.73,26.68,26.75,26.62,33160.0,0.0034000000000000002
2018-01-09,26.81,26.78,26.81,26.7,91320.0,0.003
2018-01-10,26.82,26.64,26.85,26.64,114150.0,0.0004
2018-01-11,26.84,26.8,26.85,26.75,31720.0,0.0007000000000000001
2018-01-12,26.76,26.85,26.85,26.75,34190.0,-0.003
2018-01-16,26.63,26.71,26.83,26.63,46330.0,-0.0049
2018-01-17,26.61,26.63,26.7,26.59,55220.0,-0.0008
2018-01-18,26.49,26.55,26.55,26.45,69630.0,-0.0045000000000000005
2018-01-19,26.53,26.41,26.92,26.35,251690.0,0.0015
2018-01-22,26.63,26.54,26.67,26.54,40440.0,0.0038
2018-01-23,26.66,26.58,26.7,26.58,32450.000000000004,0.0011
2018-01-24,26.62,26.56,26.65,26.51,86970.0,-0.0015
2018-01-25,26.56,26.54,26.61,26.48,55400.0,-0.0023
2018-01-26,26.52,26.56,26.66,26.48,70050.0,-0.0015
2018-01-29,25.8,26.14,26.14,25.77,99180.0,-0.0271
2018-01-30,25.72,25.77,25.92,25.66,92610.0,-0.0031
2018-01-31,25.8,25.78,25.83,25.64,136700.0,0.0031
2018-02-01,25.74,25.73,25.81,25.73,97250.0,-0.0023
2018-02-02,25.62,25.5,25.69,25.41,197290.0,-0.004699999999999999
2018-02-05,25.64,25.61,25.76,25.58,100430.0,0.0008
2018-02-06,25.62,25.55,25.69,25.51,164380.0,-0.0008
2018-02-07,25.63,25.68,25.76,25.62,80540.0,0.0004
2018-02-08,25.6,25.56,25.67,25.45,531360.0,-0.0012
2018-02-09,25.59,25.56,25.6,25.3,227390.0,-0.0004
2018-02-12,25.73,25.54,25.79,25.54,131730.0,0.0055000000000000005
2018-02-13,25.66,25.71,25.72,25.64,69020.0,-0.0027
2018-02-14,25.57,25.59,25.66,25.57,124140.0,-0.0034999999999999996
2018-02-15,25.59,25.65,25.68,25.56,78640.0,0.0008
2018-02-16,25.65,25.59,25.71,25.57,77560.0,0.0023
2018-02-20,25.8,25.65,25.86,25.65,101370.0,0.0058
2018-02-21,25.83,25.82,26.0,25.81,213440.0,0.0012
2018-02-22,25.85,25.89,25.93,25.82,211780.0,0.0008
2018-02-23,25.98,25.95,26.02,25.92,99840.0,0.005
2018-02-26,26.0,26.02,26.11,25.98,125780.0,0.0008
2018-02-27,26.13,26.03,26.14,26.02,87010.0,0.005
2018-02-28,26.27,26.14,26.27,26.12,105350.0,0.0054
2018-03-01,26.3,26.28,26.39,26.18,122560.0,0.0011
2018-03-02,26.24,26.29,26.31,26.18,76840.0,-0.0023
2018-03-05,26.35,26.27,26.35,26.2,52740.0,0.0042
2018-03-06,26.35,26.28,26.41,26.28,34190.0,0.0
2018-03-07,26.34,26.28,26.44,26.28,70710.0,-0.0004
2018-03-08,26.49,26.35,26.49,26.27,103330.0,0.005699999999999999
