Date,Close,Open,High,Low,Volume
2018-01-19,104.95,104.28,105.35,102.47,9560000.0
2018-01-22,107.11,107.0,107.38,105.35,7080000.0
2018-01-23,107.11,107.0,108.31,106.15,6120000.0
2018-01-24,106.72,107.39,107.64,105.9,4130000.0
2018-01-25,106.38,108.94,108.98,106.11,4860000.0
2018-01-26,107.4,106.64,107.4,105.53,4019999.9999999995
2018-01-29,106.84,108.0,108.38,106.68,3790000.0
2018-01-30,105.18,105.71,106.14,104.63,6360000.0
2018-01-31,104.73,105.67,106.2,104.54,7080000.0
2018-02-01,103.86,103.84,105.08,103.25,4920000.0
2018-02-02,101.5,103.85,103.86,101.15,6250000.0
2018-02-05,97.58,101.38,103.11,97.04,8340000.0
2018-02-06,100.22,95.29,100.92,94.81,9030000.0
2018-02-07,99.92,100.0,102.32,99.75,5260000.0
2018-02-08,95.01,99.92,100.11,94.89,7670000.0
2018-02-09,97.17,96.19,98.16,92.51,9670000.0
2018-02-12,97.78,98.25,99.0,97.17,8070000.0
2018-02-13,96.06,96.96,97.61,94.87,5540000.0
2018-02-14,96.93,95.09,97.4,94.4,8400000.0
2018-02-15,96.51,98.18,98.19,95.62,5730000.0
2018-02-16,96.31,96.48,97.67,95.78,5330000.0
2018-02-20,95.65,96.55,97.68,95.43,6650000.0
2018-02-21,95.34,96.0,97.2,95.22,4250000.0
2018-02-22,96.89,96.02,97.18,95.73,4460000.0
2018-02-23,97.49,97.33,97.62,96.62,4360000.0
2018-02-26,97.51,97.92,97.98,96.7,4730000.0
2018-02-27,95.79,97.62,98.41,95.48,8500000.0
2018-02-28,89.59,87.4,92.22,86.75,34110000.0
2018-03-01,87.96,89.57,89.7,87.11,15150000.0
2018-03-02,85.34,86.88,87.34,85.08,12480000.0
2018-03-05,86.33,85.06,87.02,85.05,8320000.0
2018-03-06,87.12,86.5,87.2,86.29,6360000.0
2018-03-07,86.11,86.49,86.81,85.51,6420000.0
2018-03-08,86.16,86.44,86.81,85.46,4710000.0
2018-03-09,87.28,86.75,87.33,86.23,6370000.0
2018-03-12,87.68,87.25,88.06,87.01,5800000.0
2018-03-13,86.14,87.73,88.02,85.9,5790000.0
2018-03-14,86.38,86.74,86.92,85.26,7050000.0
2018-03-15,85.54,86.55,86.65,85.29,4740000.0
2018-03-16,87.0,85.53,87.34,85.53,8770000.0
2018-03-19,85.79,86.61,87.02,85.3,6770000.0
2018-03-20,85.73,86.19,86.45,85.07,4800000.0
2018-03-21,87.25,85.89,87.98,85.67,6810000.0
2018-03-22,85.7,86.5,87.27,85.65,12070000.0
2018-03-23,83.77,85.94,86.65,83.74,7380000.0
2018-03-26,89.3,88.36,90.33,87.65,13890000.0
2018-03-27,85.96,89.0,89.0,85.51,10940000.0
2018-03-28,85.88,86.09,86.93,85.08,7730000.0
2018-03-29,87.75,86.23,88.0,85.97,8520000.0
2018-04-02,84.59,87.35,87.55,83.08,9610000.0
2018-04-03,85.45,85.02,86.01,84.34,7350000.0
2018-04-04,88.06,84.32,88.27,84.15,7860000.0
2018-04-05,88.75,88.51,89.05,88.23,5100000.0
2018-04-06,88.24,88.14,89.15,87.22,8760000.0
2018-04-09,85.24,88.46,88.6,85.07,7340000.0
2018-04-10,87.14,85.89,87.29,85.38,5670000.0
2018-04-11,86.65,86.36,87.77,86.23,4640000.0
2018-04-12,87.04,86.93,87.3,86.67,3930000.0
2018-04-13,86.23,87.35,87.63,85.77,4830000.0
2018-04-16,86.06,86.75,86.98,85.86,5090000.0
2018-04-17,86.16,86.58,86.93,86.04,5130000.0
2018-04-18,86.41,86.35,87.45,86.06,5120000.0
2018-04-19,84.88,86.3,86.3,83.98,5720000.0
2018-04-20,83.62,85.38,85.56,83.28,7570000.0
2018-04-23,84.35,84.17,84.57,83.45,5080000.0
2018-04-24,82.91,84.73,85.07,82.56,5440000.0
2018-04-25,81.48,82.56,82.76,81.31,10820000.0
2018-04-26,83.28,81.75,84.08,81.64,9230000.0
2018-04-27,84.0,83.16,84.45,82.91,3990000.0
2018-04-30,82.43,84.3,84.38,82.43,4190000.0000000005
2018-05-01,82.96,81.75,82.98,81.16,3970000.0
2018-05-02,83.96,82.66,85.22,82.51,6600000.0
2018-05-03,82.83,83.51,83.56,81.36,5680000.0
2018-05-04,84.23,82.59,84.74,82.21,3240000.0
2018-05-07,83.85,84.38,84.52,83.34,4810000.0
2018-05-08,84.25,83.43,84.28,83.0,3730000.0
2018-05-09,84.42,84.01,85.13,83.27,4220000.0
2018-05-10,85.07,84.81,85.5,84.09,5140000.0
2018-05-11,87.45,85.2,87.74,85.2,6840000.0
2018-05-14,86.58,87.69,87.93,86.06,5070000.0
2018-05-15,85.69,85.7,86.65,85.21,4740000.0
2018-05-16,85.51,86.01,86.12,85.18,3980000.0
2018-05-17,85.47,85.6,86.18,85.21,3180000.0
2018-05-18,86.34,85.31,86.87,85.22,5820000.0
2018-05-21,87.39,86.84,87.55,86.59,4310000.0
2018-05-22,85.75,90.05,90.35,85.58,10770000.0
2018-05-23,94.69,90.7,95.14,90.52,26300000.0
2018-05-24,96.49,93.85,96.75,93.07,10170000.0
2018-05-25,96.69,96.7,97.49,96.05,7640000.0
2018-05-29,95.78,95.5,96.75,95.4,5030000.0
2018-05-30,97.42,96.31,97.98,96.05,4930000.0
2018-05-31,95.01,97.4,97.83,94.86,7600000.0
2018-06-01,95.83,95.44,96.34,95.16,4790000.0
2018-06-04,97.59,95.95,97.9,95.89,5010000.0
2018-06-05,97.5,97.12,97.69,96.74,3840000.0
2018-06-06,98.49,97.98,98.64,97.14,4139999.9999999995
2018-06-07,99.27,98.68,99.64,98.68,4240000.0
2018-06-08,100.22,99.11,100.3,98.51,3680000.0
2018-06-11,100.5,100.44,100.93,100.0,3570000.0
2018-06-12,100.5,101.25,101.33,99.86,3400000.0
2018-06-13,99.46,100.6,100.83,99.44,4310000.0
2018-06-14,99.16,99.5,99.98,98.66,4130000.0
2018-06-15,99.18,98.36,99.67,98.17,6200000.0
2018-06-18,98.59,98.43,99.39,98.31,3770000.0
2018-06-19,98.16,97.96,98.75,97.64,6230000.0
2018-06-20,98.44,98.0,98.94,97.68,4420000.0
2018-06-21,99.06,98.34,99.39,97.87,4390000.0
2018-06-22,98.22,99.36,99.47,98.0,5750000.0
2018-06-25,96.85,97.76,98.48,96.21,4220000.0
2018-06-26,97.13,97.36,97.67,96.94,4440000.0
2018-06-27,96.31,97.28,98.24,96.21,3300000.0
2018-06-28,96.0,96.02,96.74,95.2,3950000.0
2018-06-29,95.57,96.6,97.43,95.57,4240000.0
2018-07-02,94.87,95.36,95.55,93.96,6040000.0
2018-07-03,95.06,95.25,96.2,94.89,2190000.0
2018-07-05,95.52,95.42,95.68,94.8,3180000.0
2018-07-06,96.14,95.25,96.51,94.51,3820000.0
2018-07-09,96.96,96.56,97.72,96.26,2650000.0
2018-07-10,99.01,97.99,99.41,97.64,4550000.0
2018-07-11,98.61,98.5,98.9,97.57,3800000.0
2018-07-12,98.3,99.02,99.07,97.91,3000000.0
2018-07-13,99.58,99.0,100.74,98.87,5200000.0
2018-07-16,99.63,99.67,99.85,98.75,2500000.0
2018-07-17,100.25,99.6,100.46,99.38,2870000.0
2018-07-18,101.05,100.34,101.1,100.23,2920000.0
2018-07-19,101.39,101.0,101.98,100.82,2740000.0
2018-07-20,100.66,101.11,101.25,100.45,5430000.0
2018-07-23,101.16,100.16,101.48,100.13,3630000.0
2018-07-24,100.0,101.27,101.48,99.58,3020000.0
2018-07-25,99.02,99.89,100.06,97.84,4280000.0
2018-07-26,98.52,99.1,99.42,97.98,3060000.0
2018-07-27,98.0,99.0,99.4,97.54,3720000.0
2018-07-30,99.28,98.07,99.53,98.05,4520000.0
2018-07-31,99.34,99.39,100.16,98.96,3240000.0
2018-08-01,97.96,98.99,99.32,97.71,2940000.0
2018-08-02,97.44,97.7,97.89,96.74,4250000.0
2018-08-03,97.63,97.83,98.45,97.48,3550000.0
2018-08-06,97.75,97.52,98.03,97.35,3250000.0
2018-08-07,98.78,97.66,99.0,97.38,2750000.0
2018-08-08,98.87,98.81,99.3,98.52,1820000.0
2018-08-09,99.94,99.43,100.58,98.88,4210000.0
2018-08-10,98.31,99.17,99.62,98.03,3070000.0
2018-08-13,97.09,98.31,98.61,97.04,3400000.0
2018-08-14,98.4,97.45,98.57,96.24,3750000.0
2018-08-15,96.83,97.75,97.95,96.26,3980000.0
2018-08-16,97.68,97.26,98.23,97.16,4330000.0
2018-08-17,97.98,97.67,98.23,97.33,2580000.0
2018-08-20,98.97,97.98,99.14,97.91,3470000.0
2018-08-21,99.74,99.29,100.29,98.81,5600000.0
2018-08-22,105.52,104.97,109.8,104.27,24970000.0
2018-08-23,107.15,106.93,107.64,106.2,7490000.0
2018-08-24,106.8,106.84,108.01,106.66,5110000.0
2018-08-27,106.97,107.41,107.99,106.77,3120000.0
2018-08-28,108.27,106.89,108.39,106.89,3790000.0
2018-08-29,108.68,108.25,108.86,107.62,3300000.0
2018-08-30,107.88,108.29,108.49,107.59,2530000.0
2018-08-31,108.75,107.78,108.83,107.69,4260000.0
2018-09-04,109.93,108.39,110.23,108.03,3880000.0
2018-09-05,108.41,109.66,110.78,108.38,4720000.0
2018-09-06,109.38,108.44,109.68,108.28,3620000.0
2018-09-07,109.59,108.99,110.49,108.82,3830000.0
2018-09-10,112.39,110.72,112.89,110.24,6210000.0
2018-09-11,114.18,112.95,114.53,112.1,5760000.0
2018-09-12,114.34,114.31,114.54,112.84,5520000.0
2018-09-13,112.75,113.49,113.7,112.01,4860000.0
2018-09-14,113.89,113.26,114.23,112.16,5290000.0
2018-09-17,113.74,113.68,114.15,113.41,4780000.0
2018-09-18,115.55,113.3,115.72,113.22,4440000.0
2018-09-19,116.26,115.69,116.5,115.48,3590000.0
2018-09-20,116.7,116.02,116.86,116.02,4660000.0
2018-09-21,116.84,116.94,117.35,116.34,9170000.0
2018-09-24,115.01,116.21,116.58,114.83,5650000.0
2018-09-25,115.2,115.32,116.0,114.94,4000000.0
2018-09-26,114.79,115.78,116.19,114.77,4290000.0
2018-09-27,114.5,114.59,115.18,113.57,4420000.0
2018-09-28,114.82,116.63,117.7,114.67,5750000.0
2018-10-01,114.07,115.58,115.63,114.04,4430000.0
2018-10-02,112.59,114.38,114.77,112.57,5060000.0
2018-10-03,111.75,113.0,113.51,111.54,6150000.0
2018-10-04,110.78,111.75,111.83,110.02,5750000.0
2018-10-05,109.74,110.64,111.11,108.39,5280000.0
