Date,Close,Open,High,Low,Volume
2010-01-04,48.31,48.27,48.82,47.95,496970.0
2010-01-05,48.12,48.26,48.38,47.42,621780.0
2010-01-06,47.93,47.99,48.25,47.74,501100.0
2010-01-07,48.77,47.66,49.25,47.62,975260.0
2010-01-08,49.64,48.6,49.83,48.46,890210.0
2010-01-11,49.43,49.91,49.97,49.04,673770.0
2010-01-12,48.04,48.88,49.11,47.55,640020.0
2010-01-13,47.98,48.14,48.4,47.78,895330.0
2010-01-14,47.8,47.92,48.26,47.77,783890.0
2010-01-15,46.79,47.82,48.07,46.44,1210000.0
2010-01-19,46.99,46.77,47.44,46.51,811550.0
2010-01-20,46.04,46.45,46.62,45.59,1550000.0
2010-01-21,45.18,46.1,46.23,45.08,1080000.0
2010-01-22,45.01,45.17,46.36,44.65,926670.0
2010-01-25,44.54,45.74,45.74,43.69,1040000.0
2010-01-26,43.69,44.55,44.7,43.59,713240.0
2010-01-27,43.51,43.51,43.57,42.57,930600.0
2010-01-28,42.94,43.48,44.27,42.71,1060000.0
2010-01-29,41.41,43.2,43.2,41.33,1480000.0
2010-02-01,42.73,41.75,42.92,41.67,1090000.0
2010-02-02,45.71,42.94,45.94,42.92,1820000.0
2010-02-03,46.25,45.45,46.53,45.07,1340000.0
2010-02-04,44.52,45.58,45.7,44.46,1100000.0
2010-02-05,44.43,44.38,44.5,42.48,1300000.0
2010-02-08,43.77,44.4,45.17,43.7,864510.0
2010-02-09,44.21,44.42,44.57,43.45,690910.0
2010-02-10,43.88,44.16,44.45,43.17,678550.0
2010-02-11,44.51,43.86,44.66,43.52,710930.0
2010-02-12,44.54,43.91,44.57,43.53,782750.0
2010-02-16,45.7,45.01,45.75,44.39,949260.0
2010-02-17,46.14,45.86,46.6,45.6,854660.0
2010-02-18,46.59,46.22,46.65,45.51,560360.0
2010-02-19,46.78,46.51,47.21,46.43,652720.0
2010-02-22,46.8,46.92,47.23,46.6,720980.0
2010-02-23,46.69,46.77,47.35,46.48,1020000.0
2010-02-24,47.34,46.84,47.72,46.18,906370.0
2010-02-25,47.78,46.41,47.86,45.91,895860.0
2010-02-26,51.58,48.92,52.09,48.92,3070000.0
2010-03-01,52.93,52.03,52.94,51.72,1120000.0
2010-03-02,52.24,53.09,53.43,52.09,1230000.0
2010-03-03,53.11,52.51,53.35,52.35,1010000.0
2010-03-04,52.92,53.12,53.22,52.34,614490.0
2010-03-05,53.88,53.37,53.98,52.96,746680.0
2010-03-08,54.71,53.76,54.87,53.66,733300.0
2010-03-09,54.55,54.5,55.07,54.38,917390.0
2010-03-10,54.27,54.53,55.21,54.14,824660.0
2010-03-11,54.29,53.97,54.78,53.74,558900.0
2010-03-12,53.93,54.62,54.62,53.38,804360.0
2010-03-15,54.18,53.95,54.3,53.12,506470.0
2010-03-16,54.06,54.42,54.58,53.59,630800.0
2010-03-17,54.42,54.16,55.0,54.1,499900.0
2010-03-18,54.19,54.49,55.0,54.07,394950.0
2010-03-19,53.03,54.44,54.48,52.98,832280.0
2010-03-22,54.29,52.57,54.58,52.57,511600.0
2010-03-23,54.19,54.46,55.22,53.54,496130.0
2010-03-24,53.86,53.88,54.51,53.75,441000.0
2010-03-25,53.02,54.38,54.8,52.89,753460.0
2010-03-26,53.13,53.41,53.78,52.69,379450.0
2010-03-29,54.99,53.63,54.99,53.2,952110.0
2010-03-30,54.25,54.94,55.52,54.08,497360.0
2010-03-31,54.38,54.15,55.11,54.03,631730.0
2010-04-01,54.73,54.96,55.09,54.22,345000.0
2010-04-05,54.79,55.03,55.3,54.47,617520.0
2010-04-06,54.27,54.42,54.78,53.8,525730.0
2010-04-07,53.21,54.18,54.54,52.76,485740.0
2010-04-08,53.96,52.86,54.09,52.33,344050.0
2010-04-09,55.12,54.15,55.22,53.37,419580.0
2010-04-12,56.45,55.45,56.72,54.86,1710000.0
2010-04-13,57.32,56.47,57.49,56.31,646630.0
2010-04-14,59.68,57.71,59.9,57.65,1380000.0
2010-04-15,58.69,59.38,60.37,58.67,1340000.0
2010-04-16,57.2,58.07,58.07,55.99,898840.0
2010-04-19,58.78,58.3,59.7,57.47,933410.0
2010-04-20,59.57,59.08,60.34,59.08,995150.0
2010-04-21,60.47,59.86,60.64,59.7,1210000.0
2010-04-22,61.72,59.81,61.75,59.26,1210000.0
2010-04-23,63.18,61.75,64.3,61.59,1620000.0
2010-04-26,62.79,63.48,64.36,62.66,1060000.0
2010-04-27,60.49,62.38,62.93,60.31,1110000.0
2010-04-28,60.72,60.97,61.27,59.63,936570.0
2010-04-29,63.65,61.33,64.29,61.11,1820000.0
2010-04-30,63.74,64.06,66.93,63.55,2029999.9999999998
2010-05-03,64.46,64.14,65.03,63.69,1120000.0
2010-05-04,62.18,63.32,63.45,61.77,1290000.0
2010-05-05,60.53,61.5,61.59,59.58,1280000.0
2010-05-06,58.7,59.99,61.11,52.93,1410000.0
2010-05-07,55.02,58.67,59.0,54.97,1660000.0
2010-05-10,60.0,58.28,60.07,57.54,979950.0
2010-05-11,60.99,58.99,61.86,58.99,905970.0
2010-05-12,64.02,61.17,64.31,60.99,1390000.0
2010-05-13,62.2,63.9,63.9,61.6,898830.0
2010-05-14,61.23,61.52,61.87,60.1,710160.0
2010-05-17,62.98,61.51,63.17,59.79,1200000.0
2010-05-18,60.86,63.78,64.58,60.27,968010.0
2010-05-19,59.23,60.24,61.17,57.96,956370.0
2010-05-20,55.4,57.01,57.19,54.59,1370000.0
2010-05-21,55.39,54.04,56.64,53.67,1320000.0
2010-05-24,54.66,55.23,56.49,54.56,614630.0
2010-05-25,54.85,52.65,54.95,52.03,661450.0
2010-05-26,54.56,55.2,56.81,54.29,823310.0
2010-05-27,57.3,55.68,57.35,55.33,585710.0
2010-05-28,56.16,57.1,57.75,55.41,518600.0
2010-06-01,53.88,55.83,56.53,53.76,554510.0
2010-06-02,55.2,54.3,55.21,53.5,855280.0
2010-06-03,54.4,55.19,55.98,54.04,596880.0
2010-06-04,51.0,53.08,53.4,50.48,1200000.0
2010-06-07,48.68,51.07,51.31,48.57,1110000.0
2010-06-08,47.61,48.63,49.04,46.39,1760000.0
2010-06-09,47.86,47.86,49.91,47.54,795250.0
2010-06-10,49.92,49.14,50.07,48.62,658530.0
2010-06-11,50.14,48.63,50.36,48.63,525370.0
2010-06-14,53.76,51.96,54.21,51.94,1350000.0
2010-06-15,54.55,53.91,54.68,52.56,875150.0
2010-06-16,53.27,53.88,53.88,52.34,731300.0
2010-06-17,52.43,53.33,53.54,51.4,456320.0
2010-06-18,52.33,52.15,52.75,51.89,559960.0
2010-06-21,51.88,53.33,53.9,51.61,367830.0
2010-06-22,50.36,51.86,52.43,49.86,1020000.0
2010-06-23,50.74,50.16,51.78,48.89,718580.0
2010-06-24,49.39,50.44,50.53,48.9,707370.0
2010-06-25,49.94,49.55,50.29,48.52,821990.0
2010-06-28,49.68,50.24,50.69,49.26,374840.0
2010-06-29,46.74,48.63,48.63,46.24,1060000.0
2010-06-30,45.76,46.53,47.16,45.64,715700.0
2010-07-01,44.55,45.61,45.96,43.75,1120000.0
2010-07-02,44.19,44.88,45.17,43.58,468070.0
2010-07-06,43.85,45.06,45.92,43.32,643040.0
2010-07-07,44.5,43.9,45.08,43.67,1710000.0
2010-07-08,45.34,45.21,45.66,44.38,861140.0
2010-07-09,46.02,45.26,46.13,44.76,379850.0
2010-07-12,45.62,45.79,46.21,44.62,353820.0
2010-07-13,48.28,46.25,48.59,46.04,504120.0
2010-07-14,47.46,48.0,48.11,46.67,409590.0
2010-07-15,46.31,47.42,47.45,45.67,584450.0
2010-07-16,43.8,45.9,45.9,43.71,1040000.0
2010-07-19,44.31,44.11,44.35,43.13,555520.0
2010-07-20,46.94,43.5,47.12,43.38,1130000.0
2010-07-21,44.92,47.21,47.59,44.45,1100000.0
2010-07-22,47.97,45.9,48.08,45.76,911050.0
2010-07-23,49.5,47.6,49.69,47.34,732700.0
2010-07-26,50.61,49.63,50.91,49.32,407410.0
2010-07-27,49.71,50.99,51.83,49.01,639070.0
2010-07-28,48.38,49.6,50.07,47.96,423580.0
2010-07-29,48.61,48.73,49.18,47.54,461890.0
2010-07-30,48.93,47.89,49.22,47.7,477510.0
2010-08-02,50.94,49.98,51.1,49.95,488910.0
