Date,Close,Open,High,Low,Volume
2010-01-04,61.71,60.45,62.36,60.08,4070000.0000000005
2010-01-05,63.15,62.43,63.83,62.43,6510000.0
2010-01-06,65.57,64.36,65.95,62.97,10000000.0
2010-01-07,65.76,65.09,66.35,64.45,5540000.0
2010-01-08,66.7,65.74,66.97,65.48,4070000.0000000005
2010-01-11,66.31,67.85,68.28,65.38,4030000.0000000005
2010-01-12,62.49,63.33,64.36,61.67,10230000.0
2010-01-13,62.54,62.26,62.75,60.7,6830000.0
2010-01-14,60.84,62.77,63.09,60.62,4520000.0
2010-01-15,61.56,61.47,62.59,60.71,5460000.0
2010-01-19,63.04,61.5,63.1,61.39,4480000.0
2010-01-20,62.03,62.19,62.38,60.81,4320000.0
2010-01-21,60.07,62.08,63.4,60.02,5740000.0
2010-01-22,58.63,60.08,60.5,58.32,3870000.0
2010-01-25,58.76,59.37,60.67,58.74,3220000.0
2010-01-26,58.58,58.15,60.23,57.06,4680000.0
2010-01-27,58.04,58.81,59.33,56.74,4179999.9999999995
2010-01-28,55.56,57.5,58.2,54.82,7030000.0
2010-01-29,53.51,56.24,57.29,53.2,5920000.0
2010-02-01,56.27,54.08,56.27,54.05,3570000.0
2010-02-02,56.35,56.76,56.85,55.25,5060000.0
2010-02-03,57.64,57.35,58.44,56.76,4820000.0
2010-02-04,54.01,56.42,56.7,54.01,4870000.0
2010-02-05,55.18,54.44,55.35,52.87,4790000.0
2010-02-08,54.54,55.66,56.61,54.51,3890000.0
2010-02-09,56.91,55.54,57.5,55.54,5050000.0
2010-02-10,57.42,57.59,58.13,56.48,5100000.0
2010-02-11,58.42,57.7,58.92,57.41,6280000.0
2010-02-12,58.83,57.39,59.13,57.1,4380000.0
2010-02-16,60.38,60.0,60.44,59.44,4500000.0
2010-02-17,61.26,61.37,61.59,60.2,4770000.0
2010-02-18,60.56,60.91,61.25,59.92,4970000.0
2010-02-19,60.78,61.09,61.35,60.3,4480000.0
2010-02-22,60.68,61.42,61.42,60.3,4230000.0
2010-02-23,58.88,60.58,60.76,58.54,4260000.0
2010-02-24,57.62,58.5,58.87,57.02,4300000.0
2010-02-25,58.52,57.0,58.8,55.95,5280000.0
2010-02-26,58.39,58.74,59.14,57.84,2890000.0
2010-03-01,59.45,58.51,59.5,57.97,3430000.0
2010-03-02,61.49,61.24,62.25,60.9,4780000.0
2010-03-03,61.27,61.49,62.23,61.06,3090000.0
2010-03-04,60.43,61.51,61.87,60.14,3680000.0
2010-03-05,61.6,61.35,62.15,61.21,3970000.0
2010-03-08,61.38,62.05,62.49,61.27,2210000.0
2010-03-09,60.98,61.0,62.12,60.62,3740000.0
2010-03-10,60.35,61.27,61.3,59.95,4440000.0
2010-03-11,59.93,60.37,60.44,59.17,3490000.0
2010-03-12,63.8,63.37,64.7,63.11,11280000.0
2010-03-15,62.39,63.52,63.79,62.0,4360000.0
2010-03-16,63.04,63.0,63.77,62.7,3690000.0
2010-03-17,61.91,63.65,63.69,61.58,4059999.9999999995
2010-03-18,59.56,61.74,62.25,59.17,8500000.0
2010-03-19,58.42,59.74,59.89,58.11,5150000.0
2010-03-22,59.19,57.61,59.38,57.33,4740000.0
2010-03-23,59.14,58.94,59.8,58.3,3510000.0
2010-03-24,60.28,58.54,60.85,58.45,6420000.0
2010-03-25,58.44,61.14,61.3,58.31,4790000.0
2010-03-26,59.35,58.83,60.2,58.62,3820000.0
2010-03-29,60.22,60.07,60.79,59.41,3210000.0
2010-03-30,60.05,60.23,60.58,59.41,2680000.0
2010-03-31,60.77,59.64,60.8,59.64,4440000.0
2010-04-01,58.33,59.6,60.21,57.7,11130000.0
2010-04-05,57.99,59.09,59.09,57.7,4740000.0
2010-04-06,57.54,57.5,58.29,57.36,3520000.0
2010-04-07,56.99,57.46,58.09,56.67,4970000.0
2010-04-08,57.59,56.51,57.68,56.17,2740000.0
2010-04-09,56.65,58.22,58.22,56.33,5010000.0
2010-04-12,56.75,56.87,57.05,56.35,2990000.0
2010-04-13,56.78,56.52,57.17,56.14,4740000.0
2010-04-14,55.4,55.56,56.0,54.56,9090000.0
2010-04-15,55.16,55.56,56.38,54.97,4970000.0
2010-04-16,54.13,55.01,55.14,53.91,5500000.0
2010-04-19,53.19,53.66,53.86,51.9,6200000.0
2010-04-20,54.92,53.79,55.1,53.7,4510000.0
2010-04-21,53.23,55.36,55.36,52.71,5440000.0
2010-04-22,54.08,52.75,54.11,52.26,4160000.0
2010-04-23,53.78,54.36,54.37,52.6,4290000.0
2010-04-26,52.19,53.52,54.0,52.05,6520000.0
2010-04-27,50.58,51.99,52.06,50.3,8070000.0
2010-04-28,51.95,50.95,52.23,50.33,6390000.0
2010-04-29,51.51,52.05,52.76,50.8,5180000.0
2010-04-30,51.14,51.84,52.49,51.11,4520000.0
2010-05-03,50.98,51.68,51.94,50.04,3610000.0
2010-05-04,49.1,50.35,50.38,48.84,5280000.0
2010-05-05,48.3,48.36,49.92,47.43,6390000.0
2010-05-06,47.66,48.66,49.92,45.66,7220000.0
2010-05-07,48.16,47.66,49.2,47.01,8830000.0
2010-05-10,48.73,50.06,50.39,48.25,5680000.0
2010-05-11,47.67,48.07,48.37,47.5,4290000.0
2010-05-12,49.4,48.55,49.51,47.92,5910000.0
2010-05-13,48.03,49.0,49.15,47.85,3520000.0
2010-05-14,47.76,47.64,48.45,47.13,4019999.9999999995
2010-05-17,46.86,47.66,48.02,45.81,4010000.0
2010-05-18,48.0,47.54,48.67,47.49,7260000.0
2010-05-19,46.86,47.97,48.08,45.91,5400000.0
2010-05-20,44.97,45.35,46.03,44.52,5920000.0
2010-05-21,45.71,44.09,46.0,44.01,5380000.0
2010-05-24,44.94,46.57,46.57,44.94,3760000.0
