Date,Close,Open,High,Low,Volume
2010-01-04,13.31,13.26,13.44,13.22,10410000.0
2010-01-05,13.18,13.32,13.36,13.06,11190000.0
2010-01-06,13.31,13.16,13.34,13.16,13490000.0
2010-01-07,13.28,13.3,13.3,13.16,9770000.0
2010-01-08,13.16,13.24,13.29,13.11,9070000.0
2010-01-11,13.15,13.19,13.44,12.97,24570000.0
2010-01-12,12.83,13.05,13.05,12.76,22500000.0
2010-01-13,12.88,12.8,12.94,12.64,23430000.0
2010-01-14,12.5,12.62,12.66,12.41,32320000.0
2010-01-15,12.64,12.43,12.66,12.35,24170000.0
2010-01-19,12.72,12.56,12.72,12.53,14180000.0
2010-01-20,12.49,12.64,12.64,12.35,15850000.0
2010-01-21,12.26,12.48,12.58,12.22,18660000.0
2010-01-22,12.04,12.26,12.28,12.03,14230000.0
2010-01-25,11.94,12.1,12.13,11.92,21730000.0
2010-01-26,12.3,12.12,12.39,12.03,25260000.0
2010-01-27,12.44,12.29,12.44,12.2,17490000.0
2010-01-28,12.25,12.46,12.46,12.22,13260000.0
2010-01-29,12.19,12.25,12.3,12.17,23270000.0
2010-02-01,12.31,12.16,12.32,12.13,11110000.0
2010-02-02,12.39,12.3,12.4,12.18,10450000.0
2010-02-03,12.35,12.32,12.37,12.27,15060000.0
2010-02-04,12.01,12.26,12.28,11.99,18500000.0
2010-02-05,11.85,11.98,12.0,11.69,25320000.0
2010-02-08,11.72,11.85,12.32,11.72,9210000.0
2010-02-09,11.62,11.79,11.83,11.58,29610000.0
2010-02-10,11.48,11.62,11.62,11.45,18620000.0
2010-02-11,11.49,11.5,11.52,11.37,17410000.0
2010-02-12,11.39,11.4,11.46,11.32,13020000.0
2010-02-16,11.6,11.46,11.6,11.46,11660000.0
2010-02-17,11.44,11.62,11.65,11.43,11450000.0
2010-02-18,11.44,11.46,11.47,11.39,11800000.0
2010-02-19,11.72,11.46,11.77,11.43,16750000.0
2010-02-22,11.71,11.79,11.81,11.69,13580000.0
2010-02-23,11.7,11.7,11.76,11.66,14850000.0
2010-02-24,11.77,11.76,11.82,11.7,23350000.0
2010-02-25,11.72,11.68,11.74,11.56,12080000.0
2010-02-26,11.59,11.75,11.77,11.59,13330000.0
2010-03-01,11.85,11.74,11.93,11.7,14040000.0
2010-03-02,11.8,11.86,12.0,11.79,12070000.0
2010-03-03,11.73,11.79,11.87,11.69,12190000.0
2010-03-04,11.81,11.73,11.83,11.7,9310000.0
2010-03-05,11.91,11.87,11.93,11.81,9360000.0
2010-03-08,11.94,11.94,11.96,11.89,7570000.0
2010-03-09,11.76,11.9,11.91,11.73,11990000.0
2010-03-10,11.74,11.74,11.8,11.69,7940000.0
2010-03-11,11.84,11.72,11.86,11.68,11970000.0
2010-03-12,11.77,11.89,11.9,11.74,10050000.0
2010-03-15,11.83,11.79,11.83,11.71,6090000.0
2010-03-16,11.96,11.84,11.98,11.78,6910000.0
2010-03-17,12.01,12.02,12.02,11.96,9470000.0
2010-03-18,11.99,12.02,12.04,11.95,11520000.0
2010-03-19,12.04,12.01,12.14,11.95,13210000.0
2010-03-22,11.96,12.02,12.04,11.91,8700000.0
2010-03-23,11.96,11.97,12.03,11.91,9040000.0
2010-03-24,11.82,11.95,11.97,11.78,10960000.0
2010-03-25,11.86,11.87,11.9,11.78,10770000.0
2010-03-26,11.95,11.9,11.98,11.85,10840000.0
2010-03-29,12.14,11.96,12.15,11.94,11160000.0
2010-03-30,11.91,12.18,12.18,11.88,17420000.0
2010-03-31,12.08,11.9,12.18,11.86,15150000.0
2010-04-01,12.21,12.14,12.23,12.12,10010000.0
2010-04-05,12.24,12.22,12.25,12.14,9530000.0
2010-04-06,12.3,12.18,12.33,12.14,8440000.0
2010-04-07,12.28,12.3,12.3,12.15,11230000.0
2010-04-08,12.26,12.26,12.29,12.14,13640000.0
2010-04-09,12.43,12.28,12.43,12.16,13890000.0
2010-04-12,12.44,12.43,12.47,12.38,10430000.0
2010-04-13,12.37,12.4,12.4,12.24,12830000.0
2010-04-14,12.15,12.34,12.38,12.1,17200000.0
2010-04-15,12.21,12.16,12.22,12.11,10930000.0
2010-04-16,12.11,12.2,12.31,12.04,10650000.0
2010-04-19,12.1,12.08,12.15,12.07,7950000.0
2010-04-20,12.51,12.23,12.51,12.21,15980000.0
2010-04-21,12.59,12.5,12.62,12.47,14420000.0
2010-04-22,12.72,12.55,12.74,12.48,17560000.0
2010-04-23,12.82,12.71,12.83,12.62,11970000.0
2010-04-26,12.77,12.85,12.86,12.65,12190000.0
2010-04-27,12.51,12.7,12.8,12.5,14650000.0
2010-04-28,12.69,12.54,12.77,12.49,14360000.0
2010-04-29,12.67,12.72,12.78,12.62,7660000.0
2010-04-30,13.01,12.72,13.05,12.71,18970000.0
2010-05-03,13.16,13.07,13.27,12.97,16930000.0
2010-05-04,12.86,13.07,13.07,12.8,15580000.0
2010-05-05,12.73,12.74,13.0,12.68,18460000.0
2010-05-06,12.77,12.69,13.0,12.25,33870000.0
2010-05-07,12.8,12.75,12.99,12.56,21740000.0
2010-05-10,13.15,13.02,13.25,13.01,13370000.0
2010-05-11,13.16,13.06,13.32,13.0,12200000.0
2010-05-12,13.22,13.19,13.22,13.05,9180000.0
2010-05-13,13.21,13.22,13.38,13.11,7180000.0
2010-05-14,13.18,13.19,13.36,13.1,10630000.0
2010-05-17,13.15,13.2,13.22,12.91,9320000.0
2010-05-18,13.08,13.15,13.28,13.07,8080000.0
2010-05-19,13.01,13.05,13.11,12.88,8020000.0
2010-05-20,12.54,12.86,12.86,12.54,13040000.0
2010-05-21,12.65,12.39,12.65,12.31,16489999.999999998
2010-05-24,12.57,12.62,12.79,12.53,8220000.000000001
2010-05-25,12.38,12.4,12.4,12.13,18600000.0
2010-05-26,12.11,12.36,12.43,12.11,22310000.0
2010-05-27,12.45,12.27,12.46,12.25,15010000.0
2010-05-28,12.48,12.43,12.62,12.43,9630000.0
2010-06-01,12.23,12.37,12.5,12.23,11120000.0
2010-06-02,12.41,12.25,12.48,12.16,9710000.0
2010-06-03,12.55,12.51,12.58,12.42,6010000.0
2010-06-04,12.16,12.46,12.46,12.12,8420000.0
2010-06-07,12.26,12.19,12.39,12.14,8119999.999999999
2010-06-08,12.23,12.25,12.29,12.15,18180000.0
2010-06-09,12.1,12.27,12.31,12.08,9820000.0
