Date,Close,Open,High,Low,Volume
2010-01-04,48.45,48.9,49.18,48.19,5630000.0
2010-01-05,48.58,48.48,49.13,47.77,7190000.0
2010-01-06,49.61,49.17,50.09,49.12,8020000.0
2010-01-07,49.29,49.51,49.51,48.69,7620000.0
2010-01-08,49.62,49.51,49.79,48.56,5950000.0
2010-01-11,50.18,50.99,51.25,49.92,6420000.0
2010-01-12,48.52,49.65,49.82,47.93,8460000.0
2010-01-13,48.75,48.79,48.99,47.72,5560000.0
2010-01-14,48.42,48.8,48.94,47.86,5050000.0
2010-01-15,47.61,47.94,48.07,47.14,9050000.0
2010-01-19,48.44,47.54,48.49,47.48,6410000.0
2010-01-20,46.41,47.14,47.33,45.22,12140000.0
2010-01-21,44.44,46.04,46.2,44.35,15470000.0
2010-01-22,44.43,44.06,45.69,43.86,13060000.0
2010-01-25,44.13,45.06,45.06,44.02,8410000.0
2010-01-26,44.24,43.71,45.04,43.62,8380000.000000001
2010-01-27,44.19,44.25,44.55,43.41,8940000.0
2010-01-28,43.99,44.69,44.87,43.01,10200000.0
2010-01-29,42.86,43.87,44.44,42.8,8930000.0
2010-02-01,45.54,43.48,45.54,43.4,11550000.0
2010-02-02,45.27,45.9,46.05,45.0,8720000.0
2010-02-03,45.87,45.26,46.28,45.25,10950000.0
2010-02-04,43.54,44.8,45.04,43.39,12670000.0
2010-02-05,46.23,43.39,46.29,43.11,17170000.0
2010-02-08,44.41,45.82,45.97,44.38,10300000.0
2010-02-09,45.82,45.17,46.07,44.85,12690000.0
2010-02-10,45.33,45.32,45.83,44.33,8630000.0
2010-02-11,46.76,45.54,46.93,45.19,11210000.0
2010-02-12,46.53,45.97,46.68,45.49,8140000.000000001
2010-02-16,47.42,47.74,47.97,46.89,11200000.0
2010-02-17,47.24,47.32,47.86,46.92,12090000.0
2010-02-18,48.41,47.3,48.95,47.3,10410000.0
2010-02-19,48.54,47.76,49.0,47.47,8570000.0
2010-02-22,47.73,48.57,48.69,47.46,6270000.0
2010-02-23,46.58,47.56,47.96,46.09,8060000.000000001
2010-02-24,46.48,46.34,47.01,46.07,8620000.0
2010-02-25,49.02,46.79,49.59,45.58,16559999.999999998
2010-02-26,49.28,49.19,49.5,48.3,7770000.0
2010-03-01,50.28,49.46,50.43,48.85,8050000.000000001
2010-03-02,51.7,50.56,52.4,50.52,11240000.0
2010-03-03,51.94,52.03,52.57,51.71,7710000.0
2010-03-04,50.86,51.61,51.84,50.31,10460000.0
2010-03-05,51.55,51.15,51.77,50.86,7410000.0
2010-03-08,51.06,51.66,52.0,50.89,5590000.0
2010-03-09,51.17,50.52,51.72,50.52,6960000.0
2010-03-10,50.27,51.12,51.59,49.94,9010000.0
2010-03-11,50.42,49.9,50.51,49.41,6470000.0
2010-03-12,50.04,50.56,50.69,49.53,5660000.0
2010-03-15,49.73,50.05,50.24,49.34,6030000.0
2010-03-16,51.34,50.7,51.5,50.41,8540000.0
2010-03-17,51.23,51.18,51.83,51.03,6070000.0
2010-03-18,51.27,51.42,52.19,50.94,6430000.0
2010-03-19,50.76,51.64,51.78,50.44,7830000.0
2010-03-22,51.4,50.07,51.44,49.87,6020000.0
2010-03-23,51.45,51.18,52.06,50.6,6240000.0
2010-03-24,49.72,50.51,50.72,49.63,8790000.0
2010-03-25,48.35,50.04,50.28,48.28,9640000.0
2010-03-26,49.38,48.67,49.59,48.2,6880000.0
2010-03-29,50.37,49.69,50.47,49.45,6440000.0
2010-03-30,50.74,50.49,50.95,50.29,6860000.0
2010-03-31,50.93,51.64,51.84,50.82,5630000.0
2010-04-01,52.91,51.5,53.16,51.19,7790000.0
2010-04-05,53.81,53.37,53.98,52.86,5520000.0
2010-04-06,53.27,53.62,54.07,53.1,6920000.0
2010-04-07,54.09,53.77,54.82,53.47,9060000.0
2010-04-08,53.9,53.75,54.3,53.25,6430000.0
2010-04-09,54.21,54.24,54.48,53.55,7150000.0
2010-04-12,53.55,54.18,54.35,53.34,5690000.0
2010-04-13,53.78,53.41,53.86,52.36,5530000.0
2010-04-14,53.55,53.89,54.12,53.23,4760000.0
2010-04-15,53.03,53.16,53.61,52.82,4099999.9999999995
2010-04-16,52.15,52.41,52.69,51.19,10960000.0
2010-04-19,52.22,51.75,52.28,51.4,6580000.0
2010-04-20,51.53,52.47,52.75,51.35,5650000.0
2010-04-21,51.91,51.76,52.37,51.22,5230000.0
2010-04-22,52.44,51.28,52.62,51.01,5450000.0
2010-04-23,53.1,52.14,53.2,51.62,4940000.0
2010-04-26,53.19,52.96,53.57,52.86,4320000.0
2010-04-27,53.26,53.22,53.89,52.13,10750000.0
2010-04-28,54.77,53.48,55.54,53.3,11720000.0
