Date,Close,Open,High,Low,Volume
2010-01-04,6.09,6.11,6.17,6.06,2710000.0
2010-01-05,6.08,6.11,6.14,6.02,3450000.0
2010-01-06,6.01,6.08,6.1,5.97,2900000.0
2010-01-07,5.93,5.99,6.01,5.9,2910000.0
2010-01-08,5.9,5.89,5.95,5.84,6180000.0
2010-01-11,5.98,5.91,5.99,5.87,3120000.0
2010-01-12,6.0,5.96,6.06,5.93,2560000.0
2010-01-13,6.09,6.04,6.1,5.98,2580000.0
2010-01-14,6.1,6.09,6.12,6.07,1280000.0
2010-01-15,6.01,6.06,6.08,5.94,2060000.0
2010-01-19,6.1,6.02,6.1,5.98,1160000.0
2010-01-20,6.08,6.06,6.08,6.0,1500000.0
2010-01-21,5.84,6.0,6.07,5.79,8910000.0
2010-01-22,5.73,5.84,5.89,5.72,4670000.0
2010-01-25,5.76,5.78,5.82,5.7,2990000.0
2010-01-26,5.82,5.77,5.85,5.73,2430000.0
2010-01-27,5.68,5.75,5.76,5.62,3530000.0
2010-01-28,5.62,5.69,5.72,5.6,3870000.0
2010-01-29,5.6,5.65,5.7,5.6,3470000.0
2010-02-01,5.84,5.63,5.89,5.6,5690000.0
2010-02-02,5.96,5.83,5.97,5.78,3440000.0
2010-02-03,5.94,5.89,5.97,5.89,2420000.0
2010-02-04,5.79,5.89,5.9,5.79,2410000.0
2010-02-05,5.77,5.78,5.8,5.67,2840000.0
2010-02-08,5.73,5.75,5.8,5.72,2250000.0
2010-02-09,5.82,5.78,5.9,5.76,3500000.0
2010-02-10,5.78,5.83,5.84,5.75,2390000.0
2010-02-11,5.81,5.74,5.82,5.7,2900000.0
2010-02-12,5.75,5.77,5.77,5.68,3790000.0
2010-02-16,5.9,5.82,5.9,5.79,3110000.0
2010-02-17,5.88,5.93,5.93,5.87,2060000.0
2010-02-18,5.89,5.86,5.95,5.86,3280000.0
2010-02-19,5.96,5.87,5.98,5.84,2460000.0
2010-02-22,5.98,5.99,6.01,5.95,2570000.0
2010-02-23,5.91,5.97,5.99,5.89,2410000.0
2010-02-24,5.9,5.91,5.94,5.82,2930000.0
2010-02-25,5.89,5.82,5.9,5.79,1800000.0
2010-02-26,5.9,5.91,5.96,5.87,9090000.0
2010-03-01,5.96,5.93,5.98,5.91,2049999.9999999998
2010-03-02,5.95,5.98,6.0,5.84,2510000.0
2010-03-03,5.95,5.95,5.98,5.92,1760000.0
2010-03-04,5.95,5.97,5.99,5.89,1980000.0
2010-03-05,6.04,5.97,6.04,5.95,1450000.0
2010-03-08,6.07,6.03,6.07,6.03,1120000.0
2010-03-09,6.06,6.08,6.08,6.02,1240000.0
2010-03-10,6.11,6.08,6.11,6.04,1680000.0
2010-03-11,6.12,6.08,6.12,6.04,1440000.0
2010-03-12,6.09,6.15,6.16,6.06,1530000.0
2010-03-15,6.09,6.09,6.09,6.04,1320000.0
2010-03-16,6.16,6.09,6.16,6.07,1630000.0
2010-03-17,6.22,6.17,6.24,6.15,1610000.0
2010-03-18,6.19,6.21,6.22,6.15,1410000.0
2010-03-19,6.18,6.19,6.24,6.11,2460000.0
2010-03-22,6.17,6.15,6.18,6.12,1170000.0
2010-03-23,6.23,6.17,6.24,6.14,1500000.0
2010-03-24,6.17,6.2,6.23,6.16,1510000.0
2010-03-25,6.13,6.19,6.22,6.13,1250000.0
2010-03-26,6.2,6.15,6.26,6.15,5520000.0
2010-03-29,6.28,6.22,6.29,6.2,1360000.0
2010-03-30,6.28,6.28,6.3,6.26,1090000.0
2010-03-31,6.21,6.28,6.29,6.21,1890000.0
2010-04-01,6.35,6.23,6.35,6.23,1930000.0
2010-04-05,6.4,6.35,6.42,6.35,1690000.0
2010-04-06,6.46,6.37,6.48,6.36,1160000.0
2010-04-07,6.42,6.47,6.5,6.35,2000000.0
2010-04-08,6.37,6.4,6.4,6.33,1430000.0
2010-04-09,6.39,6.38,6.39,6.33,5630000.0
2010-04-12,6.4,6.4,6.43,6.39,873750.0
2010-04-13,6.38,6.39,6.41,6.33,869760.0
2010-04-14,6.42,6.39,6.43,6.36,2790000.0
2010-04-15,6.42,6.39,6.44,6.38,1370000.0
2010-04-16,6.41,6.42,6.47,6.39,3370000.0
2010-04-19,6.44,6.39,6.45,6.36,3600000.0
2010-04-20,6.47,6.48,6.51,6.44,2580000.0
2010-04-21,6.45,6.47,6.5,6.44,2750000.0
2010-04-22,6.45,6.42,6.46,6.37,2000000.0
2010-04-23,6.57,6.44,6.57,6.42,2100000.0
2010-04-26,6.52,6.58,6.6,6.52,1870000.0
2010-04-27,6.39,6.5,6.52,6.38,2720000.0
2010-04-28,6.35,6.33,6.4,6.28,3180000.0
2010-04-29,6.42,6.37,6.5,6.36,3210000.0
2010-04-30,6.41,6.41,6.52,6.41,2740000.0
2010-05-03,6.55,6.42,6.57,6.41,2880000.0
2010-05-04,6.52,6.47,6.57,6.45,3220000.0
2010-05-05,6.37,6.48,6.53,6.33,4260000.0
2010-05-06,6.12,6.33,6.35,5.68,5820000.0
2010-05-07,6.04,6.13,6.2,5.96,5500000.0
2010-05-10,6.22,6.24,6.33,6.15,4310000.0
2010-05-11,6.24,6.18,6.34,6.13,3410000.0
2010-05-12,6.33,6.24,6.36,6.21,2230000.0
