Date,Close,Open,High,Low,Volume
2010-01-04,30.13,30.25,30.4,29.99,1130000.0
2010-01-05,29.74,30.03,30.24,29.29,2049999.9999999998
2010-01-06,29.8,29.68,29.92,29.65,3470000.0
2010-01-07,29.51,29.68,29.79,29.31,977660.0
2010-01-08,29.42,29.32,29.48,29.08,1340000.0
2010-01-11,29.8,29.63,29.93,29.58,1490000.0
2010-01-12,29.83,29.67,29.9,29.54,1210000.0
2010-01-13,30.26,29.85,30.4,29.83,1350000.0
2010-01-14,29.94,30.2,30.2,29.91,1020000.0
2010-01-15,29.59,29.76,29.96,29.24,1670000.0
2010-01-19,29.88,29.51,29.89,29.41,878670.0
2010-01-20,29.47,29.77,29.77,29.11,1730000.0
2010-01-21,28.92,29.41,29.67,28.78,1620000.0
2010-01-22,28.24,28.81,29.1,28.24,1870000.0
2010-01-25,28.42,28.47,28.61,28.04,2089999.9999999998
2010-01-26,28.41,28.34,28.61,28.18,1350000.0
2010-01-27,27.88,28.34,28.34,27.57,2650000.0
2010-01-28,27.57,27.93,28.03,27.39,3730000.0
2010-01-29,27.36,27.62,27.89,27.31,2230000.0
2010-02-01,27.48,27.47,27.56,27.24,1550000.0
2010-02-02,27.5,27.46,27.57,27.15,2720000.0
2010-02-03,27.28,27.37,27.44,27.15,1590000.0
2010-02-04,26.55,27.1,27.21,26.55,2540000.0
2010-02-05,26.91,26.61,27.04,26.3,2900000.0
2010-02-08,26.66,26.86,26.97,26.61,1670000.0
2010-02-09,26.88,26.95,27.28,26.69,2940000.0
2010-02-10,26.75,26.91,26.93,26.53,1770000.0
2010-02-11,27.21,26.8,27.24,26.67,3530000.0
2010-02-12,27.1,27.04,27.14,26.7,2310000.0
2010-02-16,27.66,27.21,27.66,27.21,1600000.0
2010-02-17,27.46,27.76,27.8,27.42,1150000.0
2010-02-18,27.43,27.38,27.76,27.35,1700000.0
2010-02-19,27.7,27.31,27.8,27.25,2160000.0
2010-02-22,27.21,27.88,27.88,27.21,2220000.0
2010-02-23,26.93,27.2,27.24,26.76,2620000.0
2010-02-24,26.81,27.09,27.09,26.61,2200000.0
2010-02-25,26.75,26.57,26.8,26.38,2550000.0
2010-02-26,26.42,26.92,26.92,26.41,2069999.9999999998
2010-03-01,26.86,26.57,27.03,26.54,1700000.0
2010-03-02,26.87,26.91,27.04,26.69,2640000.0
2010-03-03,26.64,26.87,27.06,26.56,1780000.0
2010-03-04,26.59,26.63,26.71,26.45,2500000.0
2010-03-05,26.89,26.72,26.89,26.56,4750000.0
2010-03-08,26.84,26.59,26.89,26.58,2200000.0
2010-03-09,26.79,26.82,26.9,26.63,1740000.0
2010-03-10,26.97,26.77,26.98,26.58,2170000.0
2010-03-11,26.84,26.91,26.95,26.7,1360000.0
2010-03-12,26.16,26.86,26.89,26.16,3480000.0
2010-03-15,26.56,26.19,26.58,26.03,3590000.0
