Date,Close,Open,High,Low,Volume
2010-01-04,21.24,21.12,21.28,21.0,2460000.0
2010-01-05,21.33,21.32,21.5,21.1,2160000.0
2010-01-06,21.94,21.36,22.1,21.26,2900000.0
2010-01-07,22.27,21.98,22.35,21.86,1940000.0
2010-01-08,21.86,22.13,22.22,21.7,2610000.0
2010-01-11,20.98,21.92,21.96,20.65,6050000.0
2010-01-12,20.59,20.85,20.93,20.43,3400000.0
2010-01-13,20.63,20.6,20.7,20.04,3290000.0
2010-01-14,19.44,20.21,20.4,19.34,5720000.0
2010-01-15,19.06,19.52,19.57,19.04,5390000.0
2010-01-19,18.48,18.5,18.65,17.96,7050000.0
2010-01-20,18.65,18.49,18.7,18.16,4830000.0
2010-01-21,18.5,18.72,19.12,18.49,5300000.0
2010-01-22,18.37,18.75,19.17,18.32,5360000.0
2010-01-25,18.41,18.62,18.75,18.27,2920000.0
2010-01-26,18.43,18.42,18.64,18.15,2910000.0
2010-01-27,18.51,18.42,18.53,17.92,3540000.0
2010-01-28,18.2,18.99,18.99,18.18,3050000.0
2010-01-29,18.22,18.43,18.67,18.2,2580000.0
2010-02-01,18.38,18.45,18.6,18.28,2300000.0
2010-02-02,18.38,18.46,18.53,18.26,1730000.0
2010-02-03,18.45,18.4,18.66,18.3,2370000.0
2010-02-04,17.69,18.28,18.29,17.65,2990000.0
2010-02-05,17.16,17.64,17.71,16.75,5760000.0
2010-02-08,17.33,17.27,17.61,17.05,2520000.0
2010-02-09,17.6,17.56,17.77,17.31,2520000.0
2010-02-10,17.43,17.53,17.59,17.11,2390000.0
2010-02-11,17.59,17.41,17.69,17.2,1440000.0
2010-02-12,17.49,17.39,17.57,17.21,1880000.0
2010-02-16,17.67,17.7,17.75,17.48,2160000.0
2010-02-17,17.61,17.72,17.83,17.5,1920000.0
2010-02-18,18.0,17.55,18.03,17.54,2120000.0
2010-02-19,17.88,17.94,18.17,17.79,3550000.0
2010-02-22,19.26,18.52,19.49,18.47,7420000.0
2010-02-23,19.04,19.21,19.36,18.87,4099999.9999999995
2010-02-24,19.16,19.1,19.42,18.98,3270000.0
2010-02-25,19.23,18.93,19.24,18.54,2049999.9999999998
2010-02-26,19.0,19.18,19.35,18.92,3190000.0
2010-03-01,19.19,19.12,19.3,18.96,3220000.0
2010-03-02,18.94,19.24,19.37,18.93,2210000.0
2010-03-03,18.8,19.03,19.3,18.8,2880000.0
2010-03-04,18.62,18.81,18.92,18.52,3170000.0
2010-03-05,18.69,18.65,18.79,18.41,2370000.0
2010-03-08,18.6,18.69,18.77,18.59,1650000.0
2010-03-09,18.69,18.53,18.82,18.51,2230000.0
2010-03-10,18.61,18.63,18.67,18.35,2430000.0
2010-03-11,18.68,18.56,18.71,18.39,1490000.0
2010-03-12,19.13,18.88,19.14,18.63,3570000.0
2010-03-15,18.97,19.1,19.22,18.8,916530.0
2010-03-16,19.45,19.08,19.56,18.91,2670000.0
2010-03-17,19.76,19.54,20.06,19.54,3670000.0
2010-03-18,19.62,19.71,20.06,19.58,1890000.0
2010-03-19,19.42,19.68,19.8,19.33,2260000.0
2010-03-22,19.72,19.3,19.76,19.24,2180000.0
2010-03-23,20.06,19.78,20.07,19.68,1950000.0
2010-03-24,19.98,20.07,20.07,19.83,2440000.0
2010-03-25,19.49,20.01,20.04,19.47,2350000.0
2010-03-26,19.41,19.6,19.7,19.26,1690000.0
2010-03-29,19.46,19.54,19.56,19.39,3010000.0
2010-03-30,19.11,19.49,19.5,19.03,2860000.0
2010-03-31,19.16,19.03,19.25,18.84,3920000.0
2010-04-01,19.55,19.24,19.57,19.24,1790000.0
2010-04-05,19.75,19.55,19.79,19.48,1340000.0
2010-04-06,19.96,19.69,19.96,19.49,2760000.0
2010-04-07,19.76,19.88,19.92,19.63,2770000.0
2010-04-08,19.89,19.68,19.9,19.57,2180000.0
2010-04-09,20.34,19.89,20.34,19.82,3300000.0
2010-04-12,20.0,20.47,20.5,20.0,3390000.0
2010-04-13,19.81,19.95,19.97,19.58,2320000.0
2010-04-14,19.55,19.9,19.9,19.51,3510000.0
2010-04-15,19.62,19.54,19.81,19.37,3430000.0
2010-04-16,19.33,19.54,19.73,19.16,2470000.0
2010-04-19,19.47,19.27,19.47,19.15,2660000.0
2010-04-20,19.77,19.55,19.84,19.43,1910000.0
2010-04-21,20.19,19.76,20.25,19.76,3130000.0
2010-04-22,20.21,20.02,20.25,19.8,2440000.0
2010-04-23,20.09,20.11,20.36,19.96,3820000.0
2010-04-26,19.93,20.02,20.05,19.38,3980000.0
2010-04-27,19.57,19.87,20.18,19.56,3090000.0
2010-04-28,19.76,19.68,20.0,19.58,2060000.0
2010-04-29,20.33,19.91,20.39,19.88,2210000.0
2010-04-30,20.13,20.33,20.41,20.0,3020000.0
2010-05-03,20.12,20.21,20.24,19.89,2089999.9999999998
2010-05-04,19.65,19.82,19.89,19.35,3850000.0
2010-05-05,19.59,18.65,20.04,18.13,5440000.0
2010-05-06,20.01,19.73,20.93,18.25,8700000.0
2010-05-07,19.67,20.06,20.5,19.54,5560000.0
2010-05-10,20.6,20.3,20.62,20.13,2970000.0
2010-05-11,20.59,20.32,20.95,20.21,3570000.0
2010-05-12,21.69,20.72,21.74,20.71,3860000.0
2010-05-13,22.62,21.58,23.04,21.58,6980000.0
2010-05-14,22.43,22.39,22.75,22.13,6320000.0
2010-05-17,22.44,22.44,22.77,22.05,4050000.0
2010-05-18,22.06,22.6,23.01,22.06,5730000.0
2010-05-19,21.81,21.83,22.11,21.3,5230000.0
2010-05-20,20.72,21.39,21.4,20.52,7560000.0
2010-05-21,21.12,20.31,21.23,20.3,4370000.0
2010-05-24,20.81,21.01,21.18,20.63,3190000.0
2010-05-25,20.63,20.24,20.65,19.96,3880000.0
2010-05-26,20.66,20.69,21.22,20.61,2980000.0
2010-05-27,20.89,20.6,20.97,20.01,3440000.0
2010-05-28,20.73,20.86,20.96,20.54,2650000.0
2010-06-01,20.2,20.54,20.8,20.2,2830000.0
2010-06-02,20.66,20.42,20.68,20.21,2089999.9999999998
2010-06-03,21.08,20.73,21.21,20.7,2590000.0
2010-06-04,20.87,20.6,21.19,20.6,5980000.0
2010-06-07,20.01,20.91,20.91,19.94,2970000.0
2010-06-08,20.25,20.01,20.29,19.78,3390000.0
2010-06-09,20.58,20.94,21.05,20.5,3120000.0
2010-06-10,21.3,20.91,21.31,20.75,2190000.0
2010-06-11,21.76,21.07,21.77,21.06,2410000.0
2010-06-14,21.78,21.95,22.07,21.67,3680000.0
2010-06-15,22.4,21.96,22.43,21.66,2260000.0
2010-06-16,22.68,22.33,22.89,22.22,2830000.0
2010-06-17,23.03,22.75,23.12,22.47,3530000.0
2010-06-18,22.85,23.13,23.15,22.71,3550000.0
2010-06-21,22.57,22.99,23.23,22.43,2029999.9999999998
2010-06-22,22.12,22.57,22.85,22.08,1840000.0
2010-06-23,22.14,22.12,22.38,21.78,2510000.0
2010-06-24,21.64,22.05,22.18,21.57,1890000.0
2010-06-25,21.86,21.76,21.93,21.43,1520000.0
2010-06-28,21.88,21.77,22.13,21.62,1640000.0
2010-06-29,20.9,21.32,21.62,20.73,1990000.0
2010-06-30,20.65,20.8,21.14,20.61,1980000.0
2010-07-01,20.47,20.8,20.8,20.22,2710000.0
2010-07-02,20.25,20.45,20.67,20.08,1670000.0
2010-07-06,20.32,20.61,20.82,20.08,1700000.0
2010-07-07,20.81,20.23,20.82,20.13,2480000.0
2010-07-08,21.17,21.14,21.23,20.88,1380000.0
2010-07-09,21.63,21.17,21.64,20.93,1230000.0
2010-07-12,21.31,21.52,21.7,21.2,1040000.0
2010-07-13,21.58,21.48,21.66,21.3,2170000.0
2010-07-14,21.5,21.43,21.66,21.15,1600000.0
2010-07-15,21.3,21.47,21.5,21.02,1450000.0
2010-07-16,20.31,21.12,21.12,20.26,2750000.0
2010-07-19,20.57,20.38,20.71,20.34,1710000.0
2010-07-20,21.37,20.28,21.41,20.18,2000000.0
2010-07-21,21.28,21.54,21.67,21.14,2480000.0
2010-07-22,21.89,21.58,21.93,21.52,2020000.0
2010-07-23,22.18,21.89,22.18,21.7,1550000.0
2010-07-26,22.5,22.14,22.5,22.06,1230000.0
2010-07-27,22.06,22.65,22.66,21.99,1890000.0
2010-07-28,21.78,22.06,22.06,21.64,1870000.0
2010-07-29,21.66,22.05,22.06,21.34,2150000.0
2010-07-30,21.48,21.47,21.93,21.25,2790000.0
2010-08-02,21.76,21.75,22.06,21.63,2690000.0
2010-08-03,21.44,21.73,21.8,21.21,2700000.0
2010-08-04,20.29,20.34,20.89,19.41,9770000.0
2010-08-05,19.59,19.88,20.07,19.51,4620000.0
2010-08-06,19.39,19.39,19.7,19.27,3550000.0
2010-08-09,19.49,19.38,19.53,19.28,2000000.0
2010-08-10,19.42,19.35,19.44,19.17,2020000.0
2010-08-11,18.72,19.17,19.27,18.66,2750000.0
2010-08-12,18.84,18.36,18.93,18.36,2450000.0
2010-08-13,18.88,18.73,19.07,18.7,1550000.0
2010-08-16,18.78,18.75,18.92,18.5,1630000.0
2010-08-17,19.24,18.89,19.65,18.8,3440000.0
2010-08-18,19.31,19.2,19.46,19.01,1470000.0
2010-08-19,18.91,19.17,19.24,18.75,1390000.0
2010-08-20,18.85,18.79,18.93,18.56,2089999.9999999998
2010-08-23,18.69,18.89,19.16,18.65,1410000.0
2010-08-24,18.18,18.45,18.54,18.0,3210000.0
2010-08-25,18.05,18.03,18.18,17.9,3970000.0
2010-08-26,17.93,18.1,18.35,17.85,2029999.9999999998
2010-08-27,18.41,18.01,18.41,17.8,2240000.0
2010-08-30,17.95,18.28,18.54,17.93,1580000.0
2010-08-31,17.94,17.84,18.1,17.8,1670000.0
2010-09-01,18.45,18.26,18.54,18.25,1670000.0
2010-09-02,18.7,18.44,18.71,18.4,1400000.0
2010-09-03,18.87,18.92,19.04,18.62,1190000.0
2010-09-07,18.46,18.75,18.83,18.43,999680.0
2010-09-08,18.73,18.46,18.81,18.43,1190000.0
2010-09-09,18.26,18.97,19.0,18.14,1760000.0
2010-09-10,18.22,18.29,18.41,18.13,1790000.0
2010-09-13,17.72,18.38,18.44,17.39,6000000.0
2010-09-14,17.84,17.75,17.94,17.43,4940000.0
2010-09-15,17.95,17.81,18.13,17.7,1800000.0
2010-09-16,17.71,17.91,17.95,17.63,1560000.0
2010-09-17,18.21,17.85,18.33,17.73,3320000.0
2010-09-20,18.7,18.25,18.77,18.2,2620000.0
2010-09-21,18.77,18.64,18.99,18.62,2610000.0
2010-09-22,18.5,18.77,18.96,18.4,1170000.0
2010-09-23,18.28,18.32,18.69,18.15,1230000.0
2010-09-24,18.86,18.46,18.91,18.46,1660000.0
2010-09-27,19.38,18.86,19.54,18.81,2720000.0
2010-09-28,19.31,19.48,19.5,18.91,1950000.0
2010-09-29,19.26,19.21,19.34,19.15,1610000.0
2010-09-30,19.08,19.3,19.56,19.0,1520000.0
2010-10-01,19.01,19.24,19.27,18.95,1860000.0
2010-10-04,18.83,18.86,19.19,18.72,1590000.0
2010-10-05,19.16,18.89,19.17,18.71,2540000.0
2010-10-06,19.1,19.08,19.26,18.9,1500000.0
2010-10-07,19.81,19.2,19.84,19.03,2750000.0
2010-10-08,20.0,19.82,20.18,19.66,2140000.0
2010-10-11,20.1,19.95,20.18,19.85,993230.0
2010-10-12,20.21,20.1,20.26,19.87,1630000.0
2010-10-13,20.42,20.36,20.45,20.24,1580000.0
2010-10-14,20.16,20.41,20.5,20.04,954750.0
2010-10-15,20.08,20.3,20.4,19.85,1970000.0
2010-10-18,20.28,20.11,20.28,20.03,877380.0
2010-10-19,19.75,20.05,20.22,19.62,1450000.0
2010-10-20,20.03,19.72,20.08,19.72,1070000.0
2010-10-21,20.2,20.07,20.31,20.01,1210000.0
2010-10-22,19.4,20.19,20.24,19.34,2310000.0
2010-10-25,19.88,19.52,20.14,19.52,1710000.0
2010-10-26,19.95,19.91,20.13,19.81,1080000.0
2010-10-27,19.52,19.8,19.8,19.3,1070000.0
2010-10-28,19.82,19.6,19.83,19.5,1170000.0
2010-10-29,19.66,19.75,19.78,19.5,1310000.0
2010-11-01,19.77,19.84,20.03,19.65,1200000.0
2010-11-02,19.93,19.97,19.99,19.75,1690000.0
2010-11-03,17.94,18.79,18.79,17.71,12590000.0
