Date,Close,Open,High,Low,Volume
2010-01-04,10.96,10.86,11.07,10.86,5170000.0
2010-01-05,11.0,10.91,11.22,10.82,6130000.0
2010-01-06,10.9,10.91,11.14,10.85,5840000.0
2010-01-07,10.96,10.8,10.98,10.76,4350000.0
2010-01-08,11.08,10.87,11.08,10.87,4080000.0
2010-01-11,11.52,11.41,11.54,11.27,7890000.0
2010-01-12,11.06,11.54,11.57,10.99,5990000.0
2010-01-13,10.91,11.2,11.28,10.72,6350000.0
2010-01-14,10.8,10.82,10.97,10.62,5130000.0
2010-01-15,10.33,10.8,10.87,10.23,5310000.0
2010-01-19,10.56,10.4,10.58,10.27,5060000.0
2010-01-20,10.4,10.41,10.48,10.27,6740000.0
2010-01-21,10.43,10.39,10.67,10.2,7500000.0
2010-01-22,9.76,10.35,10.35,9.72,6840000.0
2010-01-25,9.91,9.85,10.11,9.78,3990000.0
2010-01-26,10.12,9.88,10.25,9.79,6600000.0
2010-01-27,10.26,10.11,10.3,9.91,6750000.0
2010-01-28,9.49,10.78,10.78,9.26,15230000.0
2010-01-29,9.34,9.74,9.94,9.23,9830000.0
2010-02-01,9.64,9.36,9.7,9.34,7690000.0
2010-02-02,9.8,9.67,10.0,9.59,5870000.0
2010-02-03,9.62,9.8,9.94,9.56,4870000.0
2010-02-04,9.07,9.56,9.56,8.98,8510000.0
2010-02-05,9.3,9.07,9.35,8.95,7400000.0
2010-02-08,9.25,9.29,9.55,9.2,4570000.0
2010-02-09,9.32,9.5,9.53,9.2,6140000.0
2010-02-10,9.36,9.3,9.44,9.18,4850000.0
2010-02-11,9.72,9.32,9.76,9.27,4920000.0
2010-02-12,9.81,9.59,9.95,9.45,4760000.0
2010-02-16,10.12,9.86,10.14,9.84,3850000.0
2010-02-17,10.0,10.13,10.2,9.95,2420000.0
2010-02-18,9.97,9.91,10.01,9.85,3530000.0
2010-02-19,10.07,9.91,10.11,9.84,3480000.0
2010-02-22,10.04,10.12,10.16,9.97,2290000.0
2010-02-23,9.64,10.04,10.04,9.54,4059999.9999999995
2010-02-24,9.98,9.68,10.07,9.61,4310000.0
2010-02-25,10.03,9.75,10.04,9.63,4440000.0
2010-02-26,9.99,10.09,10.09,9.78,4780000.0
2010-03-01,10.39,10.05,10.4,10.05,4230000.0
2010-03-02,10.59,10.34,10.67,10.34,6380000.0
2010-03-03,10.52,10.67,10.74,10.47,4720000.0
2010-03-04,10.56,10.62,10.64,10.33,4800000.0
2010-03-05,10.7,10.64,10.84,10.51,3330000.0
2010-03-08,10.63,10.7,10.75,10.58,2810000.0
2010-03-09,10.81,10.53,10.85,10.5,6680000.0
2010-03-10,10.89,10.75,11.0,10.75,3950000.0
2010-03-11,10.66,10.85,10.85,10.6,6260000.0
2010-03-12,10.49,10.65,10.74,10.38,6620000.0
2010-03-15,10.19,10.43,10.48,10.04,5350000.0
2010-03-16,10.62,10.22,10.65,10.21,8930000.0
2010-03-17,10.92,10.65,10.99,10.63,5970000.0
2010-03-18,10.81,10.87,10.95,10.71,3120000.0
2010-03-19,10.66,10.79,10.86,10.34,5950000.0
2010-03-22,11.11,10.58,11.12,10.5,7820000.0
2010-03-23,11.48,11.11,11.5,11.08,5070000.0
2010-03-24,11.09,11.39,11.39,11.06,3960000.0
2010-03-25,11.19,11.3,11.38,11.16,5550000.0
2010-03-26,11.12,11.23,11.35,10.93,3540000.0
2010-03-29,11.12,11.18,11.25,11.05,2850000.0
2010-03-30,11.24,11.16,11.29,11.06,2750000.0
2010-03-31,11.17,11.2,11.38,11.11,2750000.0
2010-04-01,11.24,11.31,11.5,11.09,2670000.0
2010-04-05,11.47,11.27,11.49,11.21,5410000.0
2010-04-06,11.46,11.36,11.52,11.26,3320000.0
2010-04-07,11.62,11.43,11.63,11.31,4930000.0
2010-04-08,11.16,11.52,11.57,11.16,4240000.0
2010-04-09,11.08,11.2,11.25,10.85,6390000.0
2010-04-12,11.39,11.13,11.53,11.02,5430000.0
2010-04-13,11.43,11.45,11.55,11.3,3510000.0
2010-04-14,12.3,11.76,12.32,11.71,13230000.0
2010-04-15,12.19,12.33,12.41,12.1,4940000.0
2010-04-16,12.05,12.12,12.23,11.84,5570000.0
2010-04-19,11.93,11.94,12.1,11.54,5060000.0
2010-04-20,12.14,12.02,12.2,11.87,2900000.0
2010-04-21,12.18,12.2,12.46,11.8,7780000.0
2010-04-22,13.06,12.41,13.37,11.8,19830000.0
2010-04-23,12.92,13.03,13.04,12.67,9050000.0
2010-04-26,13.1,12.94,13.34,12.94,9210000.0
2010-04-27,12.6,13.04,13.29,12.57,11530000.0
2010-04-28,12.56,12.71,12.8,12.36,7340000.0
2010-04-29,12.7,12.66,12.74,12.35,5440000.0
2010-04-30,12.23,12.74,12.74,12.18,5910000.0
2010-05-03,12.98,12.46,13.07,12.45,7010000.0
2010-05-04,12.11,12.88,12.88,11.97,8640000.0
2010-05-05,11.88,11.95,12.15,11.65,8630000.0
2010-05-06,11.3,11.76,11.95,10.29,9800000.0
2010-05-07,11.01,11.29,11.47,10.63,9370000.0
2010-05-10,11.87,11.71,11.89,11.52,7150000.0
2010-05-11,11.66,11.61,11.96,11.4,6000000.0
2010-05-12,12.19,11.75,12.21,11.75,5400000.0
2010-05-13,11.73,12.03,12.28,11.68,5670000.0
2010-05-14,11.19,11.56,11.56,10.88,8100000.0
2010-05-17,11.32,11.16,11.38,10.81,6100000.0
2010-05-18,10.84,11.48,11.57,10.8,9950000.0
2010-05-19,10.9,10.76,11.19,10.6,6450000.0
2010-05-20,10.54,10.52,10.92,10.23,12160000.0
2010-05-21,10.86,10.24,11.09,10.13,9120000.0
2010-05-24,10.71,10.65,10.98,10.54,5740000.0
2010-05-25,10.72,10.21,10.74,10.17,6660000.0
2010-05-26,10.72,10.84,11.13,10.65,7150000.0
2010-05-27,11.32,11.03,11.32,10.95,5250000.0
2010-05-28,10.98,11.32,11.39,10.82,4610000.0
2010-06-01,10.53,10.88,11.09,10.53,5670000.0
2010-06-02,10.9,10.68,10.91,10.53,4440000.0
2010-06-03,11.22,11.0,11.25,10.92,5800000.0
2010-06-04,10.51,10.88,11.1,10.45,6410000.0
2010-06-07,10.04,10.6,10.75,9.98,9160000.0
2010-06-08,9.94,10.08,10.13,9.62,7710000.0
2010-06-09,9.88,10.17,10.38,9.81,5190000.0
2010-06-10,10.28,10.1,10.33,9.99,5400000.0
2010-06-11,10.54,10.02,10.59,10.02,4930000.0
2010-06-14,10.65,10.74,10.94,10.62,3990000.0
2010-06-15,11.77,10.88,11.82,10.73,12410000.0
2010-06-16,11.75,11.64,11.93,11.34,6500000.0
2010-06-17,11.76,11.93,11.94,11.41,6640000.0
2010-06-18,11.8,11.81,11.92,11.7,4270000.0
2010-06-21,11.6,12.01,12.06,11.49,3700000.0
2010-06-22,11.33,11.67,11.86,11.29,4680000.0
2010-06-23,11.28,11.36,11.43,10.93,6630000.0
2010-06-24,10.76,11.14,11.18,10.67,6320000.0
2010-06-25,10.64,10.86,10.86,10.3,8100000.0
2010-06-28,10.78,10.58,11.12,10.52,5540000.0
2010-06-29,9.95,10.49,10.49,9.86,7750000.0
2010-06-30,9.75,9.94,10.21,9.7,5770000.0
2010-07-01,9.55,9.72,9.86,9.25,9640000.0
2010-07-02,9.48,9.6,9.64,9.29,4720000.0
2010-07-06,9.49,9.64,9.91,9.36,4880000.0
2010-07-07,9.93,9.54,9.95,9.46,5970000.0
2010-07-08,9.98,10.06,10.1,9.81,5820000.0
2010-07-09,10.23,10.03,10.24,9.89,3000000.0
2010-07-12,10.26,10.19,10.4,10.08,3630000.0
2010-07-13,10.69,10.46,10.74,10.37,4310000.0
2010-07-14,10.37,10.77,10.91,10.3,8610000.0
2010-07-15,10.25,10.31,10.41,10.0,6780000.0
2010-07-16,9.93,10.16,10.17,9.88,5580000.0
2010-07-19,10.04,9.97,10.16,9.86,3400000.0
2010-07-20,10.18,9.72,10.19,9.59,4500000.0
2010-07-21,9.77,10.35,10.35,9.7,6080000.0
2010-07-22,10.14,9.95,10.26,9.84,5740000.0
2010-07-23,10.15,10.2,10.21,9.91,5800000.0
2010-07-26,10.64,10.24,10.66,10.09,6270000.0
2010-07-27,10.5,10.78,10.79,10.37,4990000.0
2010-07-28,10.21,10.37,10.5,10.05,7320000.0
2010-07-29,11.07,11.1,11.24,10.8,22630000.0
2010-07-30,10.76,10.84,10.88,10.53,7350000.0
2010-08-02,11.25,11.08,11.31,10.96,7570000.0
2010-08-03,11.05,11.2,11.23,10.95,4880000.0
2010-08-04,11.11,11.09,11.21,10.9,3800000.0
2010-08-05,11.15,11.01,11.26,10.89,7650000.0
2010-08-06,10.84,10.98,11.15,10.83,6300000.0
2010-08-09,10.89,10.95,10.99,10.85,4400000.0
2010-08-10,10.45,10.79,10.79,10.32,6250000.0
2010-08-11,9.88,10.09,10.14,9.82,8270000.0
2010-08-12,9.56,9.58,9.88,9.39,10910000.0
2010-08-13,9.61,9.5,9.78,9.5,5310000.0
2010-08-16,9.5,9.58,9.61,9.41,8480000.0
2010-08-17,9.7,9.63,9.79,9.52,8300000.000000001
2010-08-18,9.86,9.68,9.91,9.64,7340000.0
2010-08-19,9.68,9.84,10.01,9.63,5830000.0
2010-08-20,9.49,9.6,9.72,9.43,4790000.0
2010-08-23,9.47,9.64,9.69,9.45,6140000.0
2010-08-24,9.16,9.29,9.34,9.06,5080000.0
2010-08-25,9.32,9.04,9.38,9.0,8330000.0
2010-08-26,9.06,9.4,9.41,9.03,4760000.0
2010-08-27,9.32,9.16,9.37,8.84,7680000.0
2010-08-30,9.32,9.33,9.48,9.22,8660000.0
2010-08-31,8.98,9.23,9.29,8.91,5650000.0
2010-09-01,9.26,9.19,9.43,9.11,4019999.9999999995
2010-09-02,9.79,9.33,9.81,9.33,8390000.0
2010-09-03,9.98,9.95,10.02,9.77,7210000.0
2010-09-07,9.64,9.92,10.07,9.56,4310000.0
2010-09-08,9.3,9.47,9.54,9.17,8520000.0
2010-09-09,9.28,9.4,9.51,9.2,5690000.0
2010-09-10,9.54,9.22,9.64,9.1,8189999.999999999
2010-09-13,10.05,9.63,10.05,9.55,10430000.0
2010-09-14,9.94,9.8,10.3,9.6,9560000.0
2010-09-15,10.13,9.88,10.19,9.79,6830000.0
2010-09-16,10.39,10.13,10.43,10.05,7810000.0
2010-09-17,10.3,10.48,10.55,10.17,7590000.0
2010-09-20,10.43,10.35,10.46,10.23,3910000.0
2010-09-21,10.44,10.44,10.6,10.35,4770000.0
2010-09-22,10.41,10.35,10.43,10.16,7320000.0
2010-09-23,10.42,10.2,10.62,10.06,5570000.0
2010-09-24,11.05,10.61,11.14,10.58,7050000.0
2010-09-27,11.15,10.99,11.38,10.89,5620000.0
2010-09-28,11.4,11.25,11.41,10.94,5260000.0
2010-09-29,11.3,11.3,11.64,11.27,8780000.0
2010-09-30,11.14,11.4,11.5,10.86,9310000.0
2010-10-01,11.1,11.28,11.33,10.96,5160000.0
2010-10-04,10.92,11.13,11.13,10.7,5490000.0
2010-10-05,11.29,11.05,11.32,11.03,8119999.999999999
2010-10-06,11.15,11.23,11.26,10.84,7520000.0
2010-10-07,11.17,11.18,11.25,11.01,4200000.0
2010-10-08,10.95,10.93,11.01,10.51,14280000.0
2010-10-11,11.21,10.92,11.33,10.83,4570000.0
2010-10-12,11.28,11.26,11.41,11.2,4810000.0
2010-10-13,11.36,11.33,11.46,11.18,3820000.0
2010-10-14,11.15,11.32,11.36,11.09,5300000.0
2010-10-15,11.4,11.3,11.4,11.03,5520000.0
2010-10-18,11.41,11.45,11.45,11.22,2560000.0
2010-10-19,11.16,11.17,11.43,11.0,4640000.0
2010-10-20,11.27,11.18,11.46,11.18,4800000.0
2010-10-21,11.28,11.33,11.33,11.1,6010000.0
2010-10-22,11.45,11.34,11.6,11.2,5850000.0
2010-10-25,11.69,11.57,11.8,11.57,4980000.0
2010-10-26,11.75,11.62,11.84,11.43,6360000.0
2010-10-27,11.89,11.58,11.91,11.58,5810000.0
2010-10-28,10.95,10.8,11.24,10.71,20240000.0
2010-10-29,11.24,11.0,11.3,10.93,9030000.0
2010-11-01,11.24,11.38,11.45,11.13,4030000.0000000005
2010-11-02,11.26,11.38,11.41,11.08,7090000.0
2010-11-03,11.51,11.26,11.51,11.22,5710000.0
2010-11-04,11.67,11.64,11.85,11.55,7340000.0
2010-11-05,11.86,11.66,11.91,11.61,4300000.0
2010-11-08,12.11,11.84,12.15,11.77,4340000.0
2010-11-09,11.68,12.06,12.09,11.62,10120000.0
2010-11-10,11.6,11.67,11.75,11.28,6650000.0
2010-11-11,11.8,11.39,11.84,11.27,5460000.0
2010-11-12,11.58,11.73,11.86,11.52,3700000.0
2010-11-15,11.78,11.72,12.02,11.64,6600000.0
2010-11-16,11.3,11.65,11.82,11.26,6680000.0
