Date,Close,Open,High,Low,Volume
2010-01-04,12.82,12.59,12.94,12.59,1410000.0
2010-01-05,12.76,12.81,12.97,12.71,895110.0
2010-01-06,12.72,12.72,12.88,12.72,851250.0
2010-01-07,12.74,12.69,12.8,12.63,748030.0
2010-01-08,12.85,12.69,12.9,12.69,1010000.0
2010-01-11,12.74,12.87,12.98,12.65,906910.0
2010-01-12,12.54,12.68,12.77,12.46,924760.0
2010-01-13,12.68,12.6,12.76,12.46,1390000.0
2010-01-14,12.68,12.64,12.79,12.61,986730.0
2010-01-15,12.28,12.62,12.66,12.22,1150000.0
2010-01-19,12.43,12.25,12.5,12.25,1920000.0
2010-01-20,12.0,12.3,12.43,11.96,2460000.0
2010-01-21,11.87,11.98,12.18,11.84,2370000.0
2010-01-22,11.62,11.88,11.9,11.56,1510000.0
2010-01-25,11.74,11.74,11.82,11.6,1450000.0
2010-01-26,11.7,11.73,11.87,11.65,1450000.0
2010-01-27,11.79,11.65,11.84,11.55,1610000.0
2010-01-28,11.5,11.79,11.82,11.49,1200000.0
2010-01-29,11.45,11.54,11.64,11.44,2510000.0
2010-02-01,11.61,11.52,11.61,11.43,1100000.0
2010-02-02,11.63,11.6,11.73,11.48,1560000.0
2010-02-03,12.31,11.49,12.46,11.47,2990000.0
2010-02-04,11.82,12.17,12.17,11.82,2340000.0
2010-02-05,12.13,11.82,12.13,11.65,2000000.0
2010-02-08,12.24,12.12,12.39,11.97,2029999.9999999998
2010-02-09,12.35,12.34,12.47,12.18,1500000.0
2010-02-10,12.35,12.35,12.44,12.12,1460000.0
2010-02-11,12.53,12.33,12.54,12.21,1550000.0
2010-02-12,12.56,12.41,12.57,12.32,2230000.0
2010-02-16,12.56,12.57,12.57,12.31,1520000.0
2010-02-17,12.79,12.6,12.89,12.56,1400000.0
2010-02-18,13.02,12.81,13.06,12.72,1620000.0
2010-02-19,13.23,13.01,13.39,12.9,2100000.0
2010-02-22,13.6,13.25,13.61,13.19,2210000.0
2010-02-23,13.28,13.51,13.6,13.16,1950000.0
2010-02-24,13.55,13.35,13.56,13.32,994850.0
2010-02-25,13.5,13.35,13.55,13.24,1570000.0
2010-02-26,13.44,13.5,13.56,13.35,1420000.0
2010-03-01,13.71,13.45,13.87,13.41,1320000.0
2010-03-02,13.76,13.71,13.83,13.62,1020000.0
2010-03-03,13.79,13.81,13.95,13.72,942030.0
2010-03-04,13.7,13.76,13.86,13.65,936960.0
2010-03-05,13.58,13.73,13.84,13.53,3930000.0
2010-03-08,13.47,13.59,13.68,13.46,1740000.0
2010-03-09,13.5,13.38,13.56,13.26,2089999.9999999998
2010-03-10,13.52,13.46,13.54,13.39,1570000.0
2010-03-11,13.46,13.43,13.51,13.35,731990.0
2010-03-12,13.54,13.54,13.54,13.28,915710.0
2010-03-15,13.55,13.48,13.59,13.39,1030000.0
2010-03-16,13.56,13.55,13.66,13.44,728610.0
2010-03-17,13.91,13.56,13.99,13.45,1040000.0
2010-03-18,13.97,13.91,13.99,13.81,793980.0
2010-03-19,14.14,13.98,14.54,13.95,2910000.0
2010-03-22,14.2,14.04,14.36,13.99,1190000.0
2010-03-23,14.54,14.26,14.61,14.24,1480000.0
2010-03-24,14.29,14.44,14.59,14.19,1190000.0
2010-03-25,14.08,14.38,14.43,14.07,1450000.0
2010-03-26,14.11,14.16,14.28,14.0,1020000.0
2010-03-29,14.42,14.12,14.42,13.99,1380000.0
2010-03-30,14.39,14.38,14.49,14.27,938500.0
2010-03-31,14.36,14.31,14.46,14.3,1520000.0
2010-04-01,14.26,14.38,14.44,14.16,824470.0
2010-04-05,14.46,14.26,14.49,14.26,530730.0
2010-04-06,14.49,14.36,14.5,14.36,740920.0
2010-04-07,14.3,14.09,14.3,13.66,3400000.0
2010-04-08,14.37,14.2,14.38,14.06,1330000.0
2010-04-09,14.49,14.38,14.49,14.23,993680.0
2010-04-12,14.57,14.44,14.58,14.36,977680.0
2010-04-13,14.66,14.51,14.82,14.46,1700000.0
2010-04-14,15.02,14.7,15.05,14.7,1430000.0
2010-04-15,15.08,14.96,15.13,14.96,671880.0
2010-04-16,14.91,15.03,15.19,14.82,691950.0
2010-04-19,14.65,14.82,14.99,14.53,686480.0
2010-04-20,15.04,14.74,15.09,14.71,1750000.0
2010-04-21,15.29,15.39,15.8,15.28,2960000.0
2010-04-22,15.43,15.26,15.47,14.94,1020000.0
2010-04-23,15.51,15.45,15.61,15.31,852990.0
2010-04-26,15.57,15.46,15.67,15.37,494800.0
2010-04-27,15.4,15.47,15.8,15.38,1220000.0
2010-04-28,15.54,15.51,15.73,15.43,835280.0
2010-04-29,15.89,15.64,15.97,15.61,1020000.0
2010-04-30,16.35,16.5,16.78,16.11,2610000.0
2010-05-03,16.15,16.45,16.52,16.05,1510000.0
2010-05-04,15.42,15.94,16.05,15.29,1180000.0
2010-05-05,15.19,15.13,15.37,15.12,976960.0
2010-05-06,14.59,15.1,15.29,13.72,1490000.0
